time_captured,UTX_Low
2006-01-03,55.46
2006-01-04,55.84
2006-01-05,55.63
2006-01-06,56.1
2006-01-09,56.16
2006-01-10,56.05
2006-01-11,55.59
2006-01-12,55.12
2006-01-13,55.55
2006-01-17,55.82
2006-01-18,55.39
2006-01-19,55.28
2006-01-20,54.7
2006-01-23,54.2
2006-01-24,55.15
2006-01-25,56.43
2006-01-26,56.48
2006-01-27,57.6
2006-01-30,57.86
2006-01-31,57.98
2006-02-01,57.6
2006-02-02,57.63
2006-02-03,57.0
2006-02-06,56.86
2006-02-07,56.75
2006-02-08,56.51
2006-02-09,56.2
2006-02-10,56.47
2006-02-13,56.89
2006-02-14,57.16
2006-02-15,57.65
2006-02-16,57.84
2006-02-17,57.66
2006-02-21,58.07
2006-02-22,58.53
2006-02-23,58.5
2006-02-24,58.07
2006-02-27,58.76
2006-02-28,58.19
2006-03-01,58.41
2006-03-02,58.02
2006-03-03,57.64
2006-03-06,57.4
2006-03-07,57.26
2006-03-08,57.34
2006-03-09,57.14
2006-03-10,57.06
2006-03-13,57.86
2006-03-14,57.92
2006-03-15,57.55
2006-03-16,57.61
2006-03-17,58.5
2006-03-20,58.49
2006-03-21,58.26
2006-03-22,58.55
2006-03-23,58.31
2006-03-24,58.99
2006-03-27,58.8
2006-03-28,58.1
2006-03-29,58.05
2006-03-30,57.73
2006-03-31,57.77
2006-04-03,58.03
2006-04-04,57.56
2006-04-05,58.0
2006-04-06,57.62
2006-04-07,57.35
2006-04-10,57.57
2006-04-11,57.12
2006-04-12,57.07
2006-04-13,56.58
2006-04-17,56.87
2006-04-18,57.05
2006-04-19,61.1
2006-04-20,63.04
2006-04-21,63.85
2006-04-24,63.75
2006-04-25,63.76
2006-04-26,63.8
2006-04-27,63.31
2006-04-28,62.6
2006-05-01,62.5
2006-05-02,62.6
2006-05-03,62.91
2006-05-04,63.36
2006-05-05,64.01
2006-05-08,64.64
2006-05-09,64.72
2006-05-10,65.14
2006-05-11,65.64
2006-05-12,64.7
2006-05-15,63.88
2006-05-16,64.95
2006-05-17,63.01
2006-05-18,62.54
2006-05-19,62.08
2006-05-22,62.15
2006-05-23,62.49
2006-05-24,61.75
2006-05-25,61.75
2006-05-26,62.28
2006-05-30,62.07
2006-05-31,62.23
2006-06-01,62.69
2006-06-02,62.5
2006-06-05,61.3
2006-06-06,59.61
2006-06-07,59.8
2006-06-08,58.85
2006-06-09,60.0
2006-06-12,59.53
2006-06-13,59.05
2006-06-14,58.9
2006-06-15,59.3
2006-06-16,60.7
2006-06-19,60.26
2006-06-20,60.5
2006-06-21,60.61
2006-06-22,60.9
2006-06-23,61.32
2006-06-26,61.78
2006-06-27,61.34
2006-06-28,60.6
2006-06-29,61.5
2006-06-30,62.86
2006-07-03,63.58
2006-07-05,63.36
2006-07-06,63.59
2006-07-07,62.5
2006-07-10,62.67
2006-07-11,62.64
2006-07-12,62.93
2006-07-13,61.39
2006-07-14,58.3
2006-07-17,57.45
2006-07-18,58.22
2006-07-19,59.01
2006-07-20,60.25
2006-07-21,59.18
2006-07-24,60.07
2006-07-25,60.96
2006-07-26,61.2
2006-07-27,61.4
2006-07-28,61.8
2006-07-31,61.75
2006-08-01,61.43
2006-08-02,61.75
2006-08-03,61.75
2006-08-04,61.78
2006-08-07,62.28
2006-08-08,61.51
2006-08-09,60.13
2006-08-10,59.5
2006-08-11,59.56
2006-08-14,60.35
2006-08-15,60.75
2006-08-16,61.0
2006-08-17,61.57
2006-08-18,61.53
2006-08-21,60.96
2006-08-22,60.6
2006-08-23,60.39
