time_captured,AABA_Volume
2006-01-03,24232729
2006-01-04,20553479
2006-01-05,12829610
2006-01-06,29422828
2006-01-09,16268338
2006-01-10,16288580
2006-01-11,26192772
2006-01-12,18921686
2006-01-13,30966185
2006-01-17,42429911
2006-01-18,118670393
2006-01-19,60918436
2006-01-20,57681688
2006-01-23,30894265
2006-01-24,31686324
2006-01-25,23786001
2006-01-26,28480917
2006-01-27,24325960
2006-01-30,29030615
2006-01-31,36538014
2006-02-01,43601750
2006-02-02,18325852
2006-02-03,32640102
2006-02-06,23527156
2006-02-07,37249236
2006-02-08,28115179
2006-02-09,25341881
2006-02-10,19628507
2006-02-13,26141351
2006-02-14,26217040
2006-02-15,19550488
2006-02-16,19619753
2006-02-17,12620166
2006-02-21,14338713
2006-02-22,18433966
2006-02-23,15427590
2006-02-24,10136525
2006-02-27,11826242
2006-02-28,39929675
2006-03-01,18590783
2006-03-02,23495772
2006-03-03,23215697
2006-03-06,17212950
2006-03-07,23370264
2006-03-08,20922528
2006-03-09,18287116
2006-03-10,28994624
2006-03-13,18442605
2006-03-14,19303466
2006-03-15,20766370
2006-03-16,17114520
2006-03-17,23650513
2006-03-20,21457111
2006-03-21,18876317
2006-03-22,23151137
2006-03-23,33944220
2006-03-24,17835583
2006-03-27,14862989
2006-03-28,25983840
2006-03-29,25510222
2006-03-30,14314539
2006-03-31,12666967
2006-04-03,14889713
2006-04-04,16265347
2006-04-05,11991350
2006-04-06,21576285
2006-04-07,12980359
2006-04-10,9633654
2006-04-11,22109884
2006-04-12,14928168
2006-04-13,15610447
2006-04-17,18242998
2006-04-18,38756357
2006-04-19,77263961
2006-04-20,23486989
2006-04-21,25219814
2006-04-24,15444364
2006-04-25,22363153
2006-04-26,24426349
2006-04-27,19639200
2006-04-28,13317439
2006-05-01,19753189
2006-05-02,16282213
2006-05-03,23298008
2006-05-04,10405776
2006-05-05,14689303
2006-05-08,18196950
2006-05-09,13400208
2006-05-10,13811590
2006-05-11,24278733
2006-05-12,16788087
2006-05-15,13360555
2006-05-16,15335810
2006-05-17,39865162
2006-05-18,38254619
2006-05-19,33142252
2006-05-22,35091493
2006-05-23,28594020
2006-05-24,27287465
2006-05-25,34733945
2006-05-26,13843907
2006-05-30,16247771
2006-05-31,21309321
2006-06-01,16652761
2006-06-02,16470803
2006-06-05,17190404
2006-06-06,15618632
2006-06-07,17470884
2006-06-08,20538716
2006-06-09,10045014
2006-06-12,14352285
2006-06-13,16435770
2006-06-14,19263319
2006-06-15,22375490
2006-06-16,12958647
2006-06-19,12239077
2006-06-20,12613685
2006-06-21,18254442
2006-06-22,11570232
2006-06-23,17378470
2006-06-26,11456964
2006-06-27,16589398
2006-06-28,14043031
2006-06-29,15748387
2006-06-30,22686536
2006-07-03,8067157
2006-07-05,13471680
2006-07-06,13802068
2006-07-07,12372690
2006-07-10,15318601
2006-07-11,11288506
2006-07-12,18708342
2006-07-13,19463413
2006-07-14,12484647
2006-07-17,16376760
2006-07-18,43414869
2006-07-19,204412426
2006-07-20,54684560
2006-07-21,36190651
