time_captured,NKE_Close
2006-01-03,10.74
2006-01-04,10.69
2006-01-05,10.76
2006-01-06,10.72
2006-01-09,10.88
2006-01-10,10.9
2006-01-11,10.91
2006-01-12,10.79
2006-01-13,10.78
2006-01-17,10.6
2006-01-18,10.66
2006-01-19,10.59
2006-01-20,10.52
2006-01-23,10.43
2006-01-24,10.5
2006-01-25,10.53
2006-01-26,10.5
2006-01-27,10.39
2006-01-30,10.22
2006-01-31,10.12
2006-02-01,10.39
2006-02-02,10.42
2006-02-03,10.46
2006-02-06,10.52
2006-02-07,10.43
2006-02-08,10.55
2006-02-09,10.49
2006-02-10,10.56
2006-02-13,10.54
2006-02-14,10.5
2006-02-15,10.53
2006-02-16,10.6
2006-02-17,10.61
2006-02-21,10.64
2006-02-22,10.74
2006-02-23,10.82
2006-02-24,10.9
2006-02-27,10.91
2006-02-28,10.85
2006-03-01,10.79
2006-03-02,10.76
2006-03-03,10.79
2006-03-06,10.86
2006-03-07,10.61
2006-03-08,10.62
2006-03-09,10.67
2006-03-10,10.62
2006-03-13,10.56
2006-03-14,10.58
2006-03-15,10.63
2006-03-16,10.75
2006-03-17,10.68
2006-03-20,10.69
2006-03-21,10.62
2006-03-22,10.85
2006-03-23,10.75
2006-03-24,10.74
2006-03-27,10.68
2006-03-28,10.65
2006-03-29,10.69
2006-03-30,10.62
2006-03-31,10.64
2006-04-03,10.61
2006-04-04,10.63
2006-04-05,10.57
2006-04-06,10.61
2006-04-07,10.45
2006-04-10,10.39
2006-04-11,10.31
2006-04-12,10.32
2006-04-13,10.41
2006-04-17,10.23
2006-04-18,10.22
2006-04-19,10.26
2006-04-20,10.35
2006-04-21,10.38
2006-04-24,10.34
2006-04-25,10.25
2006-04-26,10.16
2006-04-27,10.23
2006-04-28,10.23
2006-05-01,10.21
2006-05-02,10.2
2006-05-03,10.14
2006-05-04,10.12
2006-05-05,10.19
2006-05-08,10.28
2006-05-09,10.28
2006-05-10,10.29
2006-05-11,10.16
2006-05-12,10.19
2006-05-15,10.2
2006-05-16,10.08
2006-05-17,10.04
2006-05-18,9.97
2006-05-19,9.84
2006-05-22,9.75
2006-05-23,9.87
2006-05-24,9.91
2006-05-25,9.96
2006-05-26,10.13
2006-05-30,10.0
2006-05-31,10.04
2006-06-01,10.18
2006-06-02,10.22
2006-06-05,10.03
2006-06-06,10.02
2006-06-07,10.09
2006-06-08,10.08
2006-06-09,10.14
2006-06-12,10.14
2006-06-13,10.17
2006-06-14,10.26
2006-06-15,10.44
2006-06-16,10.39
2006-06-19,10.38
2006-06-20,10.27
2006-06-21,10.34
2006-06-22,10.48
2006-06-23,10.54
2006-06-26,10.53
2006-06-27,10.45
2006-06-28,9.96
2006-06-29,10.12
2006-06-30,10.12
2006-07-03,10.17
2006-07-05,10.01
2006-07-06,9.97
2006-07-07,9.88
2006-07-10,9.87
2006-07-11,9.82
2006-07-12,9.83
2006-07-13,9.84
2006-07-14,9.82
2006-07-17,9.86
2006-07-18,9.81
2006-07-19,9.85
2006-07-20,9.95
2006-07-21,10.01
2006-07-24,10.08
2006-07-25,10.04
2006-07-26,10.0
2006-07-27,9.87
2006-07-28,9.99
2006-07-31,9.88
2006-08-01,9.84
2006-08-02,9.77
2006-08-03,9.77
2006-08-04,9.83
2006-08-07,9.74
2006-08-08,9.64
2006-08-09,9.61
2006-08-10,9.52
2006-08-11,9.56
2006-08-14,9.65
2006-08-15,9.71
2006-08-16,9.72
2006-08-17,9.62
2006-08-18,9.59
2006-08-21,9.6
2006-08-22,9.61
2006-08-23,9.61
2006-08-24,9.6
2006-08-25,9.6
2006-08-28,9.73
2006-08-29,10.0
2006-08-30,9.97
2006-08-31,10.1
2006-09-01,10.14
2006-09-05,10.18
2006-09-06,10.12
2006-09-07,10.07
