time_captured,INTC_Volume
2006-01-03,56409085
2006-01-04,46189650
2006-01-05,54893195
2006-01-06,45703307
2006-01-09,39461729
2006-01-10,47034594
2006-01-11,53005009
2006-01-12,54026675
2006-01-13,46311963
2006-01-17,89043324
2006-01-18,282104769
2006-01-19,196361139
2006-01-20,155494771
2006-01-23,155149599
2006-01-24,107260809
2006-01-25,110327101
2006-01-26,101993203
2006-01-27,75189388
2006-01-30,60422489
2006-01-31,79350790
2006-02-01,71661338
2006-02-02,87510771
2006-02-03,101422619
2006-02-06,66862028
2006-02-07,95326012
2006-02-08,77626359
2006-02-09,81808399
2006-02-10,83023221
2006-02-13,65892019
2006-02-14,60129138
2006-02-15,67234473
2006-02-16,70979098
2006-02-17,116649006
2006-02-21,67232626
2006-02-22,138570653
2006-02-23,85301464
2006-02-24,73157067
2006-02-27,87190140
2006-02-28,93254610
2006-03-01,80769883
2006-03-02,86247427
2006-03-03,202825605
2006-03-06,81747986
2006-03-07,90713524
2006-03-08,82857688
2006-03-09,69752665
2006-03-10,61554985
2006-03-13,80534558
2006-03-14,69377444
2006-03-15,69811288
2006-03-16,66074243
2006-03-17,110841841
2006-03-20,58655159
2006-03-21,124284549
2006-03-22,84953852
2006-03-23,84379513
2006-03-24,60452842
2006-03-27,60292532
2006-03-28,72698860
2006-03-29,81242993
2006-03-30,70656347
2006-03-31,86898719
2006-04-03,73361140
2006-04-04,67112248
2006-04-05,74324499
2006-04-06,51711857
2006-04-07,54545368
2006-04-10,52175773
2006-04-11,60191778
2006-04-12,44103022
2006-04-13,77395731
2006-04-17,76275896
2006-04-18,78096947
2006-04-19,104032549
2006-04-20,127129665
2006-04-21,92187769
2006-04-24,67613681
2006-04-25,90284045
2006-04-26,85363998
2006-04-27,134533918
2006-04-28,89979982
2006-05-01,75872327
2006-05-02,52922918
2006-05-03,69940646
2006-05-04,42448062
2006-05-05,51090856
2006-05-08,102807903
2006-05-09,66292928
2006-05-10,60607065
2006-05-11,56989523
2006-05-12,66626679
2006-05-15,62478399
2006-05-16,67088571
2006-05-17,83398127
2006-05-18,76210767
2006-05-19,189170681
2006-05-22,84591324
2006-05-23,89362200
2006-05-24,108900986
2006-05-25,68218593
2006-05-26,61157749
2006-05-30,65610135
2006-05-31,76175405
2006-06-01,77001443
2006-06-02,71259748
2006-06-05,63922943
2006-06-06,82309918
2006-06-07,109004601
2006-06-08,114392663
2006-06-09,83419639
2006-06-12,64680003
2006-06-13,116065724
2006-06-14,117605069
2006-06-15,71509458
2006-06-16,83664667
2006-06-19,61511966
2006-06-20,50890101
2006-06-21,55137316
2006-06-22,45674468
2006-06-23,48909324
2006-06-26,36205745
2006-06-27,61133199
2006-06-28,65728930
2006-06-29,76684313
2006-06-30,54048819
2006-07-03,25048164
2006-07-05,51646897
2006-07-06,35027557
2006-07-07,57549276
2006-07-10,43233752
2006-07-11,77150492
2006-07-12,76732149
2006-07-13,78659136
2006-07-14,65420410
2006-07-17,63856457
2006-07-18,69046826
2006-07-19,86712084
2006-07-20,136123930
2006-07-21,82610864
2006-07-24,54854437
2006-07-25,47364274
2006-07-26,58198996
2006-07-27,54400721
2006-07-28,67307423
2006-07-31,42870255
2006-08-01,39668712
2006-08-02,41677210
2006-08-03,59754367
2006-08-04,52990041
2006-08-07,32862423
2006-08-08,45419604
2006-08-09,56904467
2006-08-10,56530806
2006-08-11,41435903
2006-08-14,61412948
2006-08-15,49996830
2006-08-16,68499341
2006-08-17,63940285
2006-08-18,61895961
2006-08-21,55186882
2006-08-22,67406139
2006-08-23,58408017
2006-08-24,48188899
2006-08-25,67067807
2006-08-28,68406397
2006-08-29,74642746
2006-08-30,70881706
2006-08-31,46223153
2006-09-01,68307525
2006-09-05,80214794
2006-09-06,76694872
2006-09-07,76851279
2006-09-08,49941983
2006-09-11,57210547
2006-09-12,58642784
2006-09-13,63948683
2006-09-14,53503523
2006-09-15,71503770
