time_captured,IBM_High
2006-01-03,82.55
2006-01-04,82.5
2006-01-05,82.9
2006-01-06,85.03
2006-01-09,84.25
2006-01-10,84.12
2006-01-11,84.81
2006-01-12,83.96
2006-01-13,83.45
2006-01-17,83.16
2006-01-18,84.7
2006-01-19,84.39
2006-01-20,83.05
2006-01-23,81.92
2006-01-24,82.15
2006-01-25,81.62
2006-01-26,81.65
2006-01-27,81.77
2006-01-30,81.81
2006-01-31,82.0
2006-02-01,82.24
2006-02-02,81.59
2006-02-03,80.77
2006-02-06,79.95
2006-02-07,80.19
2006-02-08,80.9
2006-02-09,80.8
2006-02-10,81.46
2006-02-13,81.91
2006-02-14,81.45
2006-02-15,81.5
2006-02-16,80.91
2006-02-17,81.03
2006-02-21,80.75
2006-02-22,81.65
2006-02-23,81.34
2006-02-24,80.65
2006-02-27,80.89
2006-02-28,80.55
2006-03-01,80.81
2006-03-02,80.21
2006-03-03,80.83
2006-03-06,80.64
2006-03-07,80.79
2006-03-08,81.6
2006-03-09,81.98
2006-03-10,82.25
2006-03-13,82.4
2006-03-14,82.99
2006-03-15,83.76
2006-03-16,83.72
2006-03-17,83.41
2006-03-20,83.75
2006-03-21,84.99
2006-03-22,84.68
2006-03-23,84.27
2006-03-24,83.72
2006-03-27,83.26
2006-03-28,83.39
2006-03-29,83.55
2006-03-30,83.7
2006-03-31,83.6
2006-04-03,83.59
2006-04-04,83.78
2006-04-05,84.45
2006-04-06,84.32
2006-04-07,83.8
2006-04-10,82.74
2006-04-11,82.06
2006-04-12,81.37
2006-04-13,82.6
2006-04-17,82.92
2006-04-18,83.53
2006-04-19,84.0
2006-04-20,82.85
2006-04-21,82.5
2006-04-24,82.41
2006-04-25,82.9
2006-04-26,83.48
2006-04-27,84.4
2006-04-28,83.62
2006-05-01,83.31
2006-05-02,82.74
2006-05-03,83.29
2006-05-04,83.09
2006-05-05,83.34
2006-05-08,83.22
2006-05-09,83.29
2006-05-10,83.33
2006-05-11,83.09
2006-05-12,83.69
2006-05-15,83.15
2006-05-16,83.25
2006-05-17,82.21
2006-05-18,81.35
2006-05-19,81.0
2006-05-22,80.34
2006-05-23,81.3
2006-05-24,80.04
2006-05-25,80.18
2006-05-26,80.86
2006-05-30,80.96
2006-05-31,80.83
2006-06-01,80.87
2006-06-02,80.56
2006-06-05,80.04
2006-06-06,79.9
2006-06-07,80.74
2006-06-08,79.58
2006-06-09,78.1
2006-06-12,78.09
2006-06-13,77.93
2006-06-14,77.85
2006-06-15,78.78
2006-06-16,78.53
2006-06-19,78.3
2006-06-20,78.3
2006-06-21,78.56
2006-06-22,78.37
2006-06-23,77.84
2006-06-26,77.52
2006-06-27,77.6
2006-06-28,76.6
2006-06-29,77.8
2006-06-30,77.93
2006-07-03,78.27
2006-07-05,78.39
2006-07-06,78.53
2006-07-07,78.09
2006-07-10,76.83
2006-07-11,76.65
2006-07-12,76.3
2006-07-13,75.28
2006-07-14,74.3
2006-07-17,73.94
2006-07-18,74.42
2006-07-19,77.06
2006-07-20,75.88
2006-07-21,75.5
2006-07-24,76.15
2006-07-25,76.41
2006-07-26,76.3
2006-07-27,77.29
2006-07-28,77.3
2006-07-31,77.5
2006-08-01,77.38
2006-08-02,76.93
2006-08-03,76.73
2006-08-04,76.77
2006-08-07,76.2
2006-08-08,76.26
2006-08-09,76.28
2006-08-10,76.08
2006-08-11,75.78
2006-08-14,77.49
2006-08-15,77.14
2006-08-16,79.28
