time_captured,GS_Open
2006-01-03,126.7
2006-01-04,127.35
2006-01-05,126.0
2006-01-06,127.29
2006-01-09,128.5
2006-01-10,130.05
2006-01-11,131.45
2006-01-12,131.4
2006-01-13,132.02
2006-01-17,131.0
2006-01-18,131.06
2006-01-19,132.72
2006-01-20,132.85
2006-01-23,131.64
2006-01-24,132.63
2006-01-25,133.65
2006-01-26,133.01
2006-01-27,137.93
2006-01-30,139.55
2006-01-31,139.73
2006-02-01,141.4
2006-02-02,142.27
2006-02-03,141.55
2006-02-06,142.61
2006-02-07,142.35
2006-02-08,140.1
2006-02-09,141.14
2006-02-10,140.67
2006-02-13,139.65
2006-02-14,141.2
2006-02-15,142.0
2006-02-16,146.1
2006-02-17,146.19
2006-02-21,145.56
2006-02-22,143.45
2006-02-23,145.61
2006-02-24,143.05
2006-02-27,144.81
2006-02-28,143.6
2006-03-01,141.98
2006-03-02,143.07
2006-03-03,143.5
2006-03-06,146.54
2006-03-07,144.37
2006-03-08,143.55
2006-03-09,142.66
2006-03-10,141.63
2006-03-13,141.55
2006-03-14,145.92
2006-03-15,148.3
2006-03-16,149.1
2006-03-17,148.25
2006-03-20,150.05
2006-03-21,151.61
2006-03-22,148.3
2006-03-23,151.17
2006-03-24,151.68
2006-03-27,152.13
2006-03-28,155.01
2006-03-29,154.9
2006-03-30,157.73
2006-03-31,157.0
2006-04-03,157.99
2006-04-04,158.12
2006-04-05,160.5
2006-04-06,160.07
2006-04-07,162.04
2006-04-10,162.5
2006-04-11,163.0
2006-04-12,159.63
2006-04-13,158.45
2006-04-17,160.25
2006-04-18,162.75
2006-04-19,164.55
2006-04-20,166.06
2006-04-21,168.62
2006-04-24,165.5
2006-04-25,165.35
2006-04-26,163.5
2006-04-27,163.35
2006-04-28,163.81
2006-05-01,160.3
2006-05-02,157.6
2006-05-03,159.5
2006-05-04,159.16
2006-05-05,159.75
2006-05-08,164.39
2006-05-09,163.75
2006-05-10,164.85
2006-05-11,164.38
2006-05-12,158.75
2006-05-15,154.6
2006-05-16,153.6
2006-05-17,150.85
2006-05-18,149.36
2006-05-19,148.3
2006-05-22,148.51
2006-05-23,148.05
2006-05-24,143.65
2006-05-25,145.2
2006-05-26,150.0
2006-05-30,151.0
2006-05-31,151.3
2006-06-01,150.92
2006-06-02,155.5
2006-06-05,154.95
2006-06-06,151.39
2006-06-07,149.25
2006-06-08,148.8
2006-06-09,151.0
2006-06-12,150.3
2006-06-13,144.5
2006-06-14,139.75
2006-06-15,140.4
2006-06-16,143.3
2006-06-19,144.98
2006-06-20,144.65
2006-06-21,145.77
2006-06-22,149.71
2006-06-23,147.85
2006-06-26,148.92
2006-06-27,149.05
2006-06-28,147.41
2006-06-29,148.1
2006-06-30,152.2
2006-07-03,151.93
2006-07-05,151.7
2006-07-06,152.29
2006-07-07,150.01
2006-07-10,149.25
2006-07-11,148.4
2006-07-12,148.7
2006-07-13,144.03
2006-07-14,143.1
2006-07-17,140.1
2006-07-18,140.62
2006-07-19,142.7
2006-07-20,146.7
2006-07-21,145.05
2006-07-24,143.3
2006-07-25,146.9
2006-07-26,147.5
2006-07-27,148.7
2006-07-28,149.65
2006-07-31,151.6
2006-08-01,151.63
2006-08-02,150.26
2006-08-03,148.75
2006-08-04,154.0
2006-08-07,152.12
2006-08-08,152.65
2006-08-09,153.5
2006-08-10,149.5
2006-08-11,152.35
2006-08-14,152.48
2006-08-15,152.38
2006-08-16,153.95
2006-08-17,153.9
2006-08-18,154.45
2006-08-21,153.16
2006-08-22,154.36
2006-08-23,153.41
2006-08-24,153.55
2006-08-25,150.69
2006-08-28,148.25
2006-08-29,149.6
2006-08-30,147.2
2006-08-31,147.07
2006-09-01,148.7
2006-09-05,149.75
2006-09-06,150.65
2006-09-07,150.1
2006-09-08,151.0
2006-09-11,149.25
2006-09-12,154.75
2006-09-13,157.7
2006-09-14,159.75
2006-09-15,162.5
2006-09-18,162.02
2006-09-19,163.08
2006-09-20,164.63
2006-09-21,167.5
2006-09-22,166.95
2006-09-25,167.9
2006-09-26,167.94
2006-09-27,168.93
2006-09-28,168.95
2006-09-29,170.05
2006-10-02,168.51
2006-10-03,170.44
2006-10-04,173.31
2006-10-05,176.52
2006-10-06,174.32
2006-10-09,175.4
2006-10-10,177.05
2006-10-11,177.3
2006-10-12,179.27
2006-10-13,181.21
2006-10-16,183.82
2006-10-17,184.22
2006-10-18,184.07
2006-10-19,181.25
2006-10-20,179.72
2006-10-23,180.23
2006-10-24,184.52
2006-10-25,188.64
2006-10-26,189.18
2006-10-27,192.01
2006-10-30,188.0
2006-10-31,190.0
2006-11-01,191.0
2006-11-02,184.51
2006-11-03,188.9
2006-11-06,187.68
2006-11-07,190.2
2006-11-08,187.65
2006-11-09,188.4
2006-11-10,185.46
2006-11-13,187.65
2006-11-14,188.4
2006-11-15,190.37
2006-11-16,194.0
2006-11-17,195.98
2006-11-20,195.35
2006-11-21,199.0
2006-11-22,200.0
2006-11-24,200.23
2006-11-27,201.35
2006-11-28,193.0
2006-11-29,197.99
2006-11-30,195.98
2006-12-01,195.7
2006-12-04,195.65
2006-12-05,199.7
2006-12-06,202.0
2006-12-07,206.7
2006-12-08,200.24
2006-12-11,205.5
2006-12-12,200.21
2006-12-13,200.16
2006-12-14,199.2
2006-12-15,200.61
2006-12-18,200.5
2006-12-19,201.98
2006-12-20,201.79
2006-12-21,202.36
2006-12-22,199.1
2006-12-26,198.9
2006-12-27,199.86
2006-12-28,202.33
2006-12-29,200.93
2007-01-03,200.6
2007-01-04,200.22
2007-01-05,198.43
2007-01-08,199.05
2007-01-09,203.54
2007-01-10,203.4
2007-01-11,208.34
2007-01-12,210.9
2007-01-16,200.0
2007-01-17,212.2
2007-01-18,213.75
2007-01-19,209.08
2007-01-22,211.09
2007-01-23,212.82
2007-01-24,213.51
2007-01-25,202.0
2007-01-26,214.56
2007-01-29,213.9
2007-01-30,211.08
2007-01-31,208.3
2007-02-01,213.44
2007-02-02,211.0
2007-02-05,213.3
2007-02-06,213.29
2007-02-07,215.03
2007-02-08,212.09
2007-02-09,215.77
2007-02-12,213.75
2007-02-13,211.98
2007-02-14,213.7
2007-02-15,217.94
2007-02-16,215.96
2007-02-20,216.92
2007-02-21,220.94
2007-02-22,221.0
2007-02-23,218.97
2007-02-26,218.97
2007-02-27,209.75
2007-02-28,200.4
2007-03-01,197.12
2007-03-02,198.2
2007-03-05,193.55
2007-03-06,190.0
2007-03-07,197.37
2007-03-08,198.03
2007-03-09,202.95
2007-03-12,200.0
2007-03-13,204.96
2007-03-14,200.0
2007-03-15,200.15
2007-03-16,200.79
2007-03-19,201.32
2007-03-20,202.44
2007-03-21,205.34
2007-03-22,210.95
2007-03-23,210.06
2007-03-26,212.01
2007-03-27,211.73
2007-03-28,208.21
2007-03-29,206.76
2007-03-30,207.44
2007-04-02,207.67
2007-04-03,207.0
2007-04-04,209.75
2007-04-05,208.5
2007-04-09,208.57
2007-04-10,208.3
2007-04-11,208.7
2007-04-12,206.93
2007-04-13,207.95
2007-04-16,208.24
2007-04-17,215.15
2007-04-18,214.1
2007-04-19,215.34
2007-04-20,221.23
2007-04-23,221.0
2007-04-24,222.75
2007-04-25,221.9
2007-04-26,225.9
2007-04-27,224.05
2007-04-30,224.36
2007-05-01,218.61
2007-05-02,218.0
2007-05-03,220.39
2007-05-04,221.56
2007-05-07,227.0
2007-05-08,225.92
2007-05-09,224.95
2007-05-10,226.57
2007-05-11,223.91
2007-05-14,228.03
2007-05-15,226.19
2007-05-16,225.59
2007-05-17,227.11
2007-05-18,227.38
2007-05-21,230.34
2007-05-22,229.79
2007-05-23,230.71
2007-05-24,228.54
2007-05-25,226.81
2007-05-29,226.25
2007-05-30,228.44
2007-05-31,232.21
2007-06-01,230.82
2007-06-04,230.71
2007-06-05,229.36
2007-06-06,229.36
2007-06-07,226.29
2007-06-08,220.1
2007-06-11,225.6
2007-06-12,226.9
2007-06-13,229.0
2007-06-14,227.71
2007-06-15,227.33
2007-06-18,226.55
2007-06-19,226.16
2007-06-20,229.75
2007-06-21,225.98
2007-06-22,226.5
2007-06-25,221.5
2007-06-26,217.7
2007-06-27,214.0
2007-06-28,219.75
2007-06-29,219.55
2007-07-02,217.5
2007-07-03,220.34
2007-07-05,224.29
2007-07-06,220.76
2007-07-09,223.64
2007-07-10,223.3
2007-07-11,216.98
2007-07-12,218.47
2007-07-13,220.06
2007-07-16,221.87
2007-07-17,221.74
2007-07-18,216.03
2007-07-19,217.08
2007-07-20,211.17
2007-07-23,207.16
2007-07-24,205.04
2007-07-25,199.8
2007-07-26,198.0
2007-07-27,194.67
2007-07-30,194.52
2007-07-31,198.55
2007-08-01,187.03
2007-08-02,189.15
2007-08-03,185.41
2007-08-06,179.2
2007-08-07,186.58
2007-08-08,192.04
2007-08-09,186.16
2007-08-10,178.65
2007-08-13,185.01
2007-08-14,178.6
2007-08-15,169.0
2007-08-16,163.1
2007-08-17,178.12
2007-08-20,176.02
2007-08-21,172.76
2007-08-22,177.52
2007-08-23,177.89
2007-08-24,176.77
2007-08-27,179.33
2007-08-28,175.01
2007-08-29,172.38
2007-08-30,169.96
2007-08-31,175.65
2007-09-04,176.18
2007-09-05,179.68
2007-09-06,177.7
2007-09-07,176.6
2007-09-10,180.5
2007-09-11,185.5
2007-09-12,183.14
2007-09-13,183.75
2007-09-14,186.95
2007-09-17,189.0
2007-09-18,189.47
2007-09-19,203.49
2007-09-20,210.95
2007-09-21,205.56
2007-09-24,210.99
2007-09-25,209.0
2007-09-26,212.42
2007-09-27,215.45
2007-09-28,215.76
2007-10-01,215.41
2007-10-02,223.25
2007-10-03,226.25
2007-10-04,227.55
2007-10-05,227.11
2007-10-08,227.51
2007-10-09,227.8
2007-10-10,237.11
2007-10-11,239.02
2007-10-12,230.67
2007-10-15,233.25
2007-10-16,227.76
2007-10-17,228.25
2007-10-18,224.9
2007-10-19,226.15
2007-10-22,216.52
2007-10-23,223.63
2007-10-24,222.76
2007-10-25,224.11
2007-10-26,232.86
2007-10-29,236.22
2007-10-30,241.25
2007-10-31,240.36
2007-11-01,243.55
2007-11-02,241.8
2007-11-05,220.0
2007-11-06,221.74
