time_captured,MMM_Open
2006-01-03,77.76
2006-01-04,79.49
2006-01-05,78.41
2006-01-06,78.64
2006-01-09,78.5
2006-01-10,79.0
2006-01-11,78.44
2006-01-12,78.2
2006-01-13,76.95
2006-01-17,77.1
2006-01-18,77.0
2006-01-19,77.19
2006-01-20,76.91
2006-01-23,75.5
2006-01-24,74.01
2006-01-25,73.25
2006-01-26,73.22
2006-01-27,72.45
2006-01-30,72.9
2006-01-31,72.4
2006-02-01,72.3
2006-02-02,73.16
2006-02-03,71.75
2006-02-06,71.0
2006-02-07,71.16
2006-02-08,70.65
2006-02-09,71.36
2006-02-10,72.29
2006-02-13,72.69
2006-02-14,73.5
2006-02-15,73.71
2006-02-16,73.2
2006-02-17,73.15
2006-02-21,73.67
2006-02-22,73.19
2006-02-23,73.1
2006-02-24,73.94
2006-02-27,74.0
2006-02-28,73.7
2006-03-01,74.19
2006-03-02,73.64
2006-03-03,73.05
2006-03-06,72.46
2006-03-07,71.8
2006-03-08,72.51
2006-03-09,72.53
2006-03-10,71.9
2006-03-13,72.5
2006-03-14,72.18
2006-03-15,73.28
2006-03-16,74.49
2006-03-17,75.3
2006-03-20,74.84
2006-03-21,75.2
2006-03-22,74.76
2006-03-23,76.68
2006-03-24,76.65
2006-03-27,76.7
2006-03-28,76.84
2006-03-29,77.81
2006-03-30,77.57
2006-03-31,76.52
2006-04-03,75.97
2006-04-04,76.52
2006-04-05,77.89
2006-04-06,79.99
2006-04-07,81.25
2006-04-10,80.11
2006-04-11,80.17
2006-04-12,79.98
2006-04-13,80.9
2006-04-17,80.55
2006-04-18,80.36
2006-04-19,81.69
2006-04-20,81.85
2006-04-21,84.0
2006-04-24,84.01
2006-04-25,85.0
2006-04-26,84.84
2006-04-27,85.0
2006-04-28,85.0
2006-05-01,85.51
2006-05-02,85.15
2006-05-03,84.75
2006-05-04,85.9
2006-05-05,86.69
2006-05-08,87.1
2006-05-09,87.61
2006-05-10,87.25
2006-05-11,87.25
2006-05-12,86.9
2006-05-15,86.7
2006-05-16,87.12
2006-05-17,85.9
2006-05-18,83.63
2006-05-19,84.56
2006-05-22,84.31
2006-05-23,83.6
2006-05-24,83.19
2006-05-25,83.95
