time_captured,HD_Open
2006-01-03,40.39
2006-01-04,40.94
2006-01-05,40.1
2006-01-06,40.25
2006-01-09,40.8
2006-01-10,41.04
2006-01-11,42.0
2006-01-12,42.7
2006-01-13,41.91
2006-01-17,41.5
2006-01-18,41.57
2006-01-19,41.3
2006-01-20,41.16
2006-01-23,40.4
2006-01-24,39.99
2006-01-25,40.42
2006-01-26,40.1
2006-01-27,40.22
2006-01-30,39.72
2006-01-31,40.0
2006-02-01,40.45
2006-02-02,39.96
2006-02-03,39.85
2006-02-06,39.77
2006-02-07,39.34
2006-02-08,39.0
2006-02-09,39.22
2006-02-10,38.95
2006-02-13,39.02
2006-02-14,39.95
2006-02-15,41.1
2006-02-16,41.61
2006-02-17,41.85
2006-02-21,43.0
2006-02-22,42.13
2006-02-23,41.94
2006-02-24,41.8
2006-02-27,41.82
2006-02-28,42.18
2006-03-01,42.15
2006-03-02,42.18
2006-03-03,42.0
2006-03-06,42.16
2006-03-07,41.65
2006-03-08,41.1
2006-03-09,41.07
2006-03-10,40.64
2006-03-13,41.08
2006-03-14,41.11
2006-03-15,42.02
2006-03-16,42.47
2006-03-17,42.97
2006-03-20,42.72
2006-03-21,42.84
2006-03-22,42.77
2006-03-23,43.25
2006-03-24,43.72
2006-03-27,42.95
2006-03-28,42.9
2006-03-29,43.05
2006-03-30,42.81
2006-03-31,42.6
2006-04-03,42.38
2006-04-04,42.3
2006-04-05,42.69
2006-04-06,42.6
2006-04-07,42.39
2006-04-10,42.08
2006-04-11,41.9
2006-04-12,41.33
2006-04-13,40.9
2006-04-17,41.03
2006-04-18,40.41
2006-04-19,41.2
2006-04-20,40.85
2006-04-21,41.1
2006-04-24,40.47
2006-04-25,40.08
2006-04-26,40.18
2006-04-27,39.77
2006-04-28,40.25
2006-05-01,40.15
2006-05-02,40.9
2006-05-03,40.2
2006-05-04,40.42
2006-05-05,40.66
2006-05-08,41.15
2006-05-09,41.1
2006-05-10,41.3
2006-05-11,41.05
2006-05-12,40.53
2006-05-15,39.95
2006-05-16,39.6
2006-05-17,38.27
2006-05-18,38.5
2006-05-19,38.59
2006-05-22,38.5
2006-05-23,38.57
2006-05-24,37.8
2006-05-25,38.36
2006-05-26,38.5
2006-05-30,38.26
2006-05-31,37.77
2006-06-01,37.95
2006-06-02,38.41
2006-06-05,37.75
2006-06-06,37.57
2006-06-07,36.95
2006-06-08,36.57
2006-06-09,37.1
2006-06-12,36.9
2006-06-13,36.1
2006-06-14,36.13
2006-06-15,37.03
2006-06-16,37.3
2006-06-19,36.91
2006-06-20,36.71
2006-06-21,36.32
2006-06-22,36.94
2006-06-23,36.35
2006-06-26,36.26
2006-06-27,36.55
2006-06-28,36.27
2006-06-29,36.2
2006-06-30,36.46
2006-07-03,35.86
2006-07-05,35.78
2006-07-06,35.45
2006-07-07,35.51
2006-07-10,35.4
2006-07-11,34.9
2006-07-12,34.26
2006-07-13,33.5
2006-07-14,33.96
2006-07-17,33.93
2006-07-18,33.45
2006-07-19,33.17
2006-07-20,34.52
2006-07-21,34.06
2006-07-24,34.14
2006-07-25,34.44
2006-07-26,35.0
2006-07-27,34.67
2006-07-28,34.34
2006-07-31,34.59
2006-08-01,34.5
2006-08-02,34.15
2006-08-03,33.8
2006-08-04,35.2
2006-08-07,34.71
2006-08-08,34.8
2006-08-09,34.37
2006-08-10,33.3
2006-08-11,33.69
2006-08-14,33.37
2006-08-15,34.45
2006-08-16,34.55
2006-08-17,34.5
2006-08-18,34.76
2006-08-21,34.15
2006-08-22,34.35
2006-08-23,33.75
2006-08-24,33.62
2006-08-25,33.6
2006-08-28,33.5
2006-08-29,33.82
2006-08-30,34.14
2006-08-31,34.11
2006-09-01,34.3
2006-09-05,34.65
2006-09-06,34.37
2006-09-07,33.95
2006-09-08,34.47
2006-09-11,34.28
2006-09-12,35.2
2006-09-13,36.7
2006-09-14,36.8
2006-09-15,37.42
2006-09-18,36.5
2006-09-19,36.7
2006-09-20,36.44
2006-09-21,36.45
2006-09-22,35.87
2006-09-25,35.96
2006-09-26,36.3
2006-09-27,36.59
2006-09-28,36.36
2006-09-29,36.48
2006-10-02,36.18
2006-10-03,36.39
2006-10-04,36.77
2006-10-05,37.42
2006-10-06,37.06
2006-10-09,36.81
2006-10-10,37.75
2006-10-11,37.56
2006-10-12,37.98
2006-10-13,37.44
2006-10-16,36.45
2006-10-17,35.95
2006-10-18,35.95
2006-10-19,35.84
2006-10-20,35.98
2006-10-23,35.81
2006-10-24,36.18
2006-10-25,36.57
2006-10-26,36.84
2006-10-27,37.24
2006-10-30,36.88
2006-10-31,37.25
2006-11-01,37.5
2006-11-02,37.05
2006-11-03,37.33
2006-11-06,36.6
2006-11-07,37.16
2006-11-08,37.0
2006-11-09,37.25
2006-11-10,36.8
2006-11-13,36.75
2006-11-14,35.82
2006-11-15,37.77
2006-11-16,37.8
2006-11-17,37.77
2006-11-20,38.13
2006-11-21,38.41
2006-11-22,37.92
2006-11-24,37.85
2006-11-27,38.1
2006-11-28,37.31
2006-11-29,37.19
2006-11-30,37.51
2006-12-01,39.1
2006-12-04,38.7
2006-12-05,39.39
2006-12-06,39.52
2006-12-07,39.57
2006-12-08,38.97
2006-12-11,38.8
2006-12-12,38.7
2006-12-13,38.95
2006-12-14,39.1
2006-12-15,40.11
2006-12-18,40.07
2006-12-19,39.75
2006-12-20,39.55
2006-12-21,39.25
2006-12-22,38.95
2006-12-26,38.62
2006-12-27,39.19
2006-12-28,39.41
2006-12-29,39.66
2007-01-03,41.3
2007-01-04,41.0
2007-01-05,40.44
2007-01-08,39.94
2007-01-09,39.5
2007-01-10,39.84
2007-01-11,39.65
2007-01-12,39.95
2007-01-16,40.0
2007-01-17,40.19
2007-01-18,40.05
2007-01-19,40.97
2007-01-22,40.66
2007-01-23,40.03
2007-01-24,40.52
2007-01-25,40.53
2007-01-26,40.12
2007-01-29,40.3
2007-01-30,40.11
2007-01-31,39.97
2007-02-01,40.77
2007-02-02,40.9
2007-02-05,40.67
2007-02-06,41.09
2007-02-07,41.22
2007-02-08,41.22
2007-02-09,41.22
2007-02-12,41.62
2007-02-13,41.29
2007-02-14,41.72
2007-02-15,41.57
2007-02-16,41.66
2007-02-20,40.74
2007-02-21,41.34
2007-02-22,41.17
2007-02-23,41.18
2007-02-26,41.0
2007-02-27,40.49
2007-02-28,39.29
2007-03-01,39.6
2007-03-02,39.45
2007-03-05,39.01
2007-03-06,38.44
2007-03-07,38.71
2007-03-08,38.77
2007-03-09,39.15
2007-03-12,38.67
2007-03-13,38.03
2007-03-14,37.28
2007-03-15,37.56
2007-03-16,37.49
2007-03-19,37.65
2007-03-20,37.65
2007-03-21,37.93
2007-03-22,38.74
2007-03-23,38.35
2007-03-26,38.15
2007-03-27,37.73
2007-03-28,37.18
2007-03-29,36.97
2007-03-30,36.77
2007-04-02,36.67
2007-04-03,36.89
2007-04-04,37.63
2007-04-05,38.11
2007-04-09,38.02
2007-04-10,38.09
2007-04-11,38.12
2007-04-12,37.89
2007-04-13,37.96
2007-04-16,38.0
2007-04-17,38.56
2007-04-18,39.39
2007-04-19,38.9
2007-04-20,38.91
2007-04-23,39.19
2007-04-24,39.09
2007-04-25,39.42
2007-04-26,39.5
2007-04-27,38.9
2007-04-30,38.5
2007-05-01,37.87
2007-05-02,38.34
2007-05-03,38.95
2007-05-04,39.12
2007-05-07,38.7
2007-05-08,38.84
2007-05-09,38.46
2007-05-10,38.89
2007-05-11,38.79
2007-05-14,39.04
2007-05-15,37.6
2007-05-16,38.3
2007-05-17,38.17
2007-05-18,38.3
2007-05-21,38.7
2007-05-22,38.6
2007-05-23,38.53
2007-05-24,38.78
2007-05-25,38.92
2007-05-29,38.38
2007-05-30,38.65
2007-05-31,38.75
2007-06-01,38.87
2007-06-04,39.0
2007-06-05,39.47
2007-06-06,38.86
2007-06-07,38.15
2007-06-08,37.66
2007-06-11,37.78
2007-06-12,37.71
2007-06-13,37.61
2007-06-14,37.8
2007-06-15,38.33
2007-06-18,38.0
2007-06-19,38.36
2007-06-20,40.65
2007-06-21,40.03
2007-06-22,39.59
2007-06-25,39.45
2007-06-26,39.18
2007-06-27,38.95
2007-06-28,39.67
2007-06-29,39.54
2007-07-02,39.35
2007-07-03,39.37
2007-07-05,39.33
2007-07-06,39.92
2007-07-09,40.78
2007-07-10,40.74
2007-07-11,40.23
2007-07-12,40.48
2007-07-13,40.85
2007-07-16,40.65
2007-07-17,40.58
2007-07-18,40.15
2007-07-19,40.05
2007-07-20,39.5
2007-07-23,39.49
2007-07-24,38.77
2007-07-25,38.21
2007-07-26,37.47
2007-07-27,37.06
2007-07-30,36.96
2007-07-31,38.16
2007-08-01,36.94
2007-08-02,37.75
2007-08-03,37.84
2007-08-06,36.34
2007-08-07,36.55
2007-08-08,36.5
2007-08-09,35.75
2007-08-10,35.78
2007-08-13,36.02
2007-08-14,35.11
2007-08-15,33.51
2007-08-16,33.06
2007-08-17,33.84
2007-08-20,33.67
2007-08-21,33.8
2007-08-22,34.48
2007-08-23,34.15
2007-08-24,34.02
2007-08-27,34.68
2007-08-28,35.5
2007-08-29,35.05
2007-08-30,36.39
2007-08-31,37.36
2007-09-04,37.21
2007-09-05,36.28
2007-09-06,36.36
2007-09-07,34.81
2007-09-10,34.45
2007-09-11,34.0
2007-09-12,34.52
2007-09-13,35.29
2007-09-14,35.61
2007-09-17,35.35
2007-09-18,35.38
2007-09-19,36.55
2007-09-20,36.18
2007-09-21,35.52
2007-09-24,34.52
2007-09-25,33.18
2007-09-26,33.2
2007-09-27,33.15
2007-09-28,32.81
2007-10-01,32.58
2007-10-02,33.21
2007-10-03,33.27
2007-10-04,34.01
2007-10-05,34.2
2007-10-08,34.27
2007-10-09,33.91
2007-10-10,33.69
2007-10-11,33.7
2007-10-12,33.52
2007-10-15,33.45
2007-10-16,32.95
2007-10-17,32.81
2007-10-18,31.6
2007-10-19,31.72
2007-10-22,30.58
2007-10-23,31.2
2007-10-24,30.99
2007-10-25,31.09
2007-10-26,31.01
2007-10-29,31.55
2007-10-30,31.5
2007-10-31,31.71
2007-11-01,31.4
2007-11-02,30.92
2007-11-05,30.15
2007-11-06,29.5
2007-11-07,29.7
2007-11-08,29.5
2007-11-09,28.69
2007-11-12,28.05
2007-11-13,28.0
2007-11-14,29.29
2007-11-15,29.07
2007-11-16,29.12
2007-11-19,28.83
2007-11-20,28.19
2007-11-21,28.21
2007-11-23,28.18
2007-11-26,28.89
2007-11-27,27.58
2007-11-28,27.3
2007-11-29,28.12
2007-11-30,28.3
2007-12-03,28.62
2007-12-04,28.38
2007-12-05,29.05
2007-12-06,28.84
2007-12-07,29.66
2007-12-10,29.2
2007-12-11,29.58
2007-12-12,29.0
2007-12-13,28.31
2007-12-14,27.31
2007-12-17,26.5
2007-12-18,26.14
2007-12-19,26.43
2007-12-20,26.2
2007-12-21,26.36
2007-12-24,26.61
2007-12-26,27.0
2007-12-27,26.98
2007-12-28,26.74
2007-12-31,26.51
2008-01-02,27.13
2008-01-03,26.24
2008-01-04,25.56
2008-01-07,25.06
2008-01-08,25.55
2008-01-09,24.75
2008-01-10,24.51
2008-01-11,25.1
2008-01-14,25.1
2008-01-15,25.05
2008-01-16,25.3
2008-01-17,26.37
2008-01-18,26.46
2008-01-22,24.96
2008-01-23,27.7
2008-01-24,29.6
2008-01-25,29.61
2008-01-28,28.51
2008-01-29,29.37
2008-01-30,29.05
2008-01-31,28.98
2008-02-01,30.3
2008-02-04,30.45
2008-02-05,28.89
2008-02-06,28.24
2008-02-07,27.55
2008-02-08,28.3
2008-02-11,28.02
2008-02-12,28.81
2008-02-13,28.54
2008-02-14,28.29
2008-02-15,27.67
2008-02-19,27.88
2008-02-20,27.03
2008-02-21,27.76
2008-02-22,27.45
2008-02-25,27.28
2008-02-26,28.22
2008-02-27,28.55
2008-02-28,28.64
2008-02-29,27.52
2008-03-03,26.5
2008-03-04,26.79
2008-03-05,27.0
2008-03-06,26.68
2008-03-07,25.48
2008-03-10,25.95
2008-03-11,25.85
2008-03-12,26.21
2008-03-13,26.05
2008-03-14,26.75
2008-03-17,25.11
2008-03-18,26.19
2008-03-19,27.14
2008-03-20,26.97
2008-03-24,28.13
2008-03-25,29.17
2008-03-26,28.55
2008-03-27,28.17
2008-03-28,27.6
2008-03-31,27.39
2008-04-01,28.2
2008-04-02,29.45
2008-04-03,29.02
2008-04-04,29.01
2008-04-07,28.95
2008-04-08,28.2
2008-04-09,28.15
2008-04-10,27.62
2008-04-11,27.99
2008-04-14,28.11
2008-04-15,28.1
2008-04-16,28.05
2008-04-17,28.0
2008-04-18,28.21
2008-04-21,28.5
2008-04-22,28.9
2008-04-23,28.68
2008-04-24,28.12
2008-04-25,29.01
2008-04-28,29.61
2008-04-29,29.63
2008-04-30,29.36
2008-05-01,29.09
2008-05-02,30.4
2008-05-05,29.89
2008-05-06,29.28
2008-05-07,29.25
2008-05-08,28.61
2008-05-09,27.82
2008-05-12,28.01
2008-05-13,28.66
2008-05-14,28.88
2008-05-15,29.09
2008-05-16,29.85
2008-05-19,28.65
2008-05-20,28.04
2008-05-21,27.32
2008-05-22,26.84
2008-05-23,26.84
2008-05-27,26.9
2008-05-28,27.59
2008-05-29,27.35
2008-05-30,27.75
2008-06-02,27.41
2008-06-03,27.05
2008-06-04,27.07
2008-06-05,27.42
2008-06-06,27.45
2008-06-09,27.22
2008-06-10,26.39
2008-06-11,26.71
2008-06-12,26.04
2008-06-13,26.69
2008-06-16,27.47
2008-06-17,27.55
2008-06-18,26.66
2008-06-19,26.56
2008-06-20,27.03
2008-06-23,26.4
2008-06-24,25.09
2008-06-25,25.41
2008-06-26,25.23
2008-06-27,24.66
2008-06-30,24.02
2008-07-01,23.11
2008-07-02,23.25
2008-07-03,22.67
2008-07-07,22.65
2008-07-08,22.31
2008-07-09,23.11
2008-07-10,22.41
2008-07-11,21.58
2008-07-14,21.9
2008-07-15,21.39
2008-07-16,21.53
2008-07-17,22.79
2008-07-18,23.82
2008-07-21,23.62
2008-07-22,23.0
2008-07-23,23.76
2008-07-24,25.0
2008-07-25,24.11
2008-07-28,23.44
2008-07-29,23.3
2008-07-30,24.7
2008-07-31,23.58
2008-08-01,24.03
2008-08-04,23.82
2008-08-05,24.1
2008-08-06,24.5
2008-08-07,24.7
2008-08-08,24.5
2008-08-11,26.26
2008-08-12,27.35
2008-08-13,27.32
2008-08-14,26.23
2008-08-15,27.2
2008-08-18,27.76
2008-08-19,26.98
2008-08-20,26.01
2008-08-21,25.6
2008-08-22,26.69
2008-08-25,26.98
2008-08-26,26.53
2008-08-27,27.02
2008-08-28,27.41
2008-08-29,27.22
2008-09-02,27.65
2008-09-03,27.94
2008-09-04,28.95
2008-09-05,28.32
2008-09-08,29.8
2008-09-09,30.18
2008-09-10,29.34
2008-09-11,28.55
2008-09-12,29.17
2008-09-15,27.52
2008-09-16,27.89
2008-09-17,26.84
2008-09-18,26.0
2008-09-19,29.11
2008-09-22,27.41
2008-09-23,25.67
2008-09-24,25.52
2008-09-25,25.25
2008-09-26,24.93
2008-09-29,25.99
2008-09-30,25.66
2008-10-01,25.52
2008-10-02,25.71
2008-10-03,25.1
2008-10-06,23.14
2008-10-07,23.12
2008-10-08,21.16
2008-10-09,21.31
2008-10-10,18.7
2008-10-13,20.51
2008-10-14,22.65
2008-10-15,20.87
2008-10-16,19.5
2008-10-17,19.18
2008-10-20,20.47
2008-10-21,20.5
2008-10-22,20.04
2008-10-23,19.46
2008-10-24,17.9
2008-10-27,18.01
2008-10-28,19.17
2008-10-29,21.25
2008-10-30,22.22
2008-10-31,22.7
2008-11-03,23.48
2008-11-04,22.69
2008-11-05,23.0
2008-11-06,21.9
2008-11-07,21.05
2008-11-10,21.53
2008-11-11,20.49
2008-11-12,19.86
2008-11-13,19.89
2008-11-14,21.74
2008-11-17,19.92
2008-11-18,20.66
2008-11-19,20.48
2008-11-20,19.44
2008-11-21,18.82
2008-11-24,19.62
2008-11-25,21.63
2008-11-26,21.55
2008-11-28,23.41
2008-12-01,22.55
2008-12-02,21.52
2008-12-03,21.32
2008-12-04,22.47
2008-12-05,22.83
2008-12-08,24.97
2008-12-09,23.89
2008-12-10,23.39
2008-12-11,23.87
2008-12-12,22.31
2008-12-15,23.62
2008-12-16,23.73
2008-12-17,24.01
2008-12-18,24.8
2008-12-19,24.82
2008-12-22,24.09
2008-12-23,23.59
2008-12-24,23.69
2008-12-26,23.61
2008-12-29,23.54
2008-12-30,23.5
2008-12-31,23.14
2009-01-02,23.07
2009-01-05,24.02
2009-01-06,24.94
2009-01-07,24.87
2009-01-08,24.12
2009-01-09,24.48
2009-01-12,23.85
2009-01-13,22.96
2009-01-14,22.15
2009-01-15,21.92
2009-01-16,23.34
2009-01-20,22.9
2009-01-21,22.29
2009-01-22,21.91
2009-01-23,21.38
2009-01-26,22.1
2009-01-27,22.74
2009-01-28,22.59
2009-01-29,22.5
2009-01-30,22.22
2009-02-02,21.21
2009-02-03,21.97
2009-02-04,21.63
2009-02-05,21.48
2009-02-06,22.39
2009-02-09,23.47
2009-02-10,22.9
2009-02-11,22.36
2009-02-12,21.7
2009-02-13,21.78
2009-02-17,20.7
2009-02-18,20.25
2009-02-19,19.95
2009-02-20,19.68
2009-02-23,19.43
2009-02-24,19.65
2009-02-25,20.35
2009-02-26,20.55
2009-02-27,20.17
2009-03-02,20.35
2009-03-03,19.58
2009-03-04,18.99
2009-03-05,18.51
2009-03-06,18.3
2009-03-09,17.74
2009-03-10,18.34
2009-03-11,19.42
2009-03-12,19.65
2009-03-13,20.44
2009-03-16,20.73
2009-03-17,20.5
2009-03-18,21.3
2009-03-19,22.52
2009-03-20,22.59
2009-03-23,22.43
2009-03-24,23.03
2009-03-25,23.27
2009-03-26,23.81
2009-03-27,23.82
2009-03-30,23.24
2009-03-31,23.52
2009-04-01,23.15
2009-04-02,24.31
2009-04-03,24.69
2009-04-06,24.78
2009-04-07,24.47
2009-04-08,24.69
2009-04-09,25.56
2009-04-13,25.63
2009-04-14,25.59
2009-04-15,25.22
2009-04-16,25.78
2009-04-17,26.16
2009-04-20,25.72
2009-04-21,25.2
2009-04-22,25.63
2009-04-23,25.96
2009-04-24,25.93
2009-04-27,25.9
2009-04-28,25.57
2009-04-29,26.27
2009-04-30,26.55
2009-05-01,26.58
2009-05-04,26.14
2009-05-05,26.18
2009-05-06,26.31
2009-05-07,26.19
2009-05-08,25.78
2009-05-11,24.81
2009-05-12,25.11
2009-05-13,24.95
2009-05-14,25.02
2009-05-15,24.45
2009-05-18,25.66
2009-05-19,25.39
2009-05-20,24.85
2009-05-21,23.49
2009-05-22,23.2
2009-05-26,22.67
2009-05-27,23.9
2009-05-28,23.63
2009-05-29,22.99
2009-06-01,23.59
2009-06-02,23.96
2009-06-03,24.39
2009-06-04,24.39
2009-06-05,24.78
2009-06-08,24.24
2009-06-09,24.34
2009-06-10,25.06
2009-06-11,24.39
2009-06-12,24.19
2009-06-15,23.94
2009-06-16,23.86
2009-06-17,23.24
2009-06-18,23.73
2009-06-19,23.47
2009-06-22,23.37
2009-06-23,23.24
2009-06-24,23.15
2009-06-25,22.67
2009-06-26,23.47
2009-06-29,23.66
2009-06-30,23.92
2009-07-01,23.8
2009-07-02,23.37
2009-07-06,22.76
2009-07-07,22.91
2009-07-08,22.38
2009-07-09,22.85
2009-07-10,22.58
2009-07-13,22.51
2009-07-14,23.09
2009-07-15,23.88
2009-07-16,24.07
2009-07-17,24.6
2009-07-20,24.66
2009-07-21,24.87
2009-07-22,24.37
2009-07-23,24.76
2009-07-24,25.23
2009-07-27,25.25
2009-07-28,25.08
2009-07-29,25.37
2009-07-30,25.7
2009-07-31,25.84
2009-08-03,26.18
2009-08-04,26.16
2009-08-05,26.3
2009-08-06,26.4
2009-08-07,26.73
2009-08-10,27.18
2009-08-11,27.03
2009-08-12,26.8
2009-08-13,27.42
2009-08-14,27.67
2009-08-17,25.92
2009-08-18,26.95
2009-08-19,26.75
2009-08-20,26.79
2009-08-21,26.94
2009-08-24,27.73
2009-08-25,27.22
2009-08-26,27.28
2009-08-27,27.6
2009-08-28,27.68
2009-08-31,27.5
2009-09-01,27.01
2009-09-02,26.62
2009-09-03,26.61
2009-09-04,26.93
2009-09-08,27.23
2009-09-09,27.44
2009-09-10,27.4
2009-09-11,27.5
2009-09-14,27.16
2009-09-15,27.59
2009-09-16,27.64
2009-09-17,28.41
2009-09-18,28.01
2009-09-21,27.96
2009-09-22,28.24
2009-09-23,27.72
2009-09-24,27.52
2009-09-25,26.88
2009-09-28,26.95
2009-09-29,27.32
2009-09-30,26.94
2009-10-01,26.65
2009-10-02,26.15
2009-10-05,26.16
2009-10-06,26.31
2009-10-07,26.27
2009-10-08,26.41
2009-10-09,26.85
2009-10-12,27.1
2009-10-13,27.02
2009-10-14,27.76
2009-10-15,27.28
2009-10-16,27.15
2009-10-19,27.28
2009-10-20,27.33
2009-10-21,26.89
2009-10-22,26.21
2009-10-23,26.64
2009-10-26,26.3
2009-10-27,26.1
2009-10-28,25.99
2009-10-29,25.5
2009-10-30,25.83
2009-11-02,25.14
2009-11-03,24.91
2009-11-04,25.27
2009-11-05,25.18
2009-11-06,25.87
2009-11-09,26.31
2009-11-10,26.81
2009-11-11,27.15
2009-11-12,27.33
2009-11-13,27.26
2009-11-16,27.63
2009-11-17,27.1
2009-11-18,26.86
2009-11-19,27.21
2009-11-20,26.98
2009-11-23,27.37
2009-11-24,27.5
2009-11-25,27.57
2009-11-27,27.16
2009-11-30,27.59
2009-12-01,27.49
2009-12-02,28.03
2009-12-03,28.34
2009-12-04,28.43
2009-12-07,28.04
2009-12-08,28.08
2009-12-09,27.7
2009-12-10,27.78
2009-12-11,28.15
2009-12-14,28.82
2009-12-15,28.61
2009-12-16,29.13
2009-12-17,28.85
2009-12-18,28.98
2009-12-21,28.71
2009-12-22,29.05
2009-12-23,29.34
2009-12-24,29.18
2009-12-28,29.22
2009-12-29,29.16
2009-12-30,29.1
2009-12-31,29.09
2010-01-04,29.15
2010-01-05,28.73
2010-01-06,28.88
2010-01-07,28.86
2010-01-08,29.0
2010-01-11,29.0
2010-01-12,28.15
2010-01-13,28.0
2010-01-14,28.12
2010-01-15,28.31
2010-01-19,28.46
2010-01-20,28.7
2010-01-21,28.63
2010-01-22,28.24
2010-01-25,27.95
2010-01-26,27.5
2010-01-27,27.62
2010-01-28,27.93
2010-01-29,27.57
2010-02-01,28.01
2010-02-02,28.39
2010-02-03,28.94
2010-02-04,28.24
2010-02-05,27.85
2010-02-08,28.53
2010-02-09,28.87
2010-02-10,28.84
2010-02-11,28.71
2010-02-12,28.75
2010-02-16,29.12
2010-02-17,29.76
2010-02-18,30.02
2010-02-19,30.21
2010-02-22,30.4
2010-02-23,30.56
2010-02-24,30.78
2010-02-25,31.07
2010-02-26,31.36
2010-03-01,31.24
2010-03-02,31.39
2010-03-03,31.43
2010-03-04,31.54
2010-03-05,31.55
2010-03-08,31.68
2010-03-09,31.7
2010-03-10,31.59
2010-03-11,31.58
2010-03-12,32.23
2010-03-15,32.49
2010-03-16,32.61
2010-03-17,32.49
2010-03-18,32.45
2010-03-19,32.41
2010-03-22,32.14
2010-03-23,32.59
2010-03-24,32.44
2010-03-25,32.5
2010-03-26,32.67
2010-03-29,32.78
2010-03-30,32.56
2010-03-31,32.54
2010-04-01,32.41
2010-04-05,32.35
2010-04-06,32.62
2010-04-07,32.5
2010-04-08,32.46
2010-04-09,33.03
2010-04-12,33.22
2010-04-13,33.41
2010-04-14,34.32
2010-04-15,34.94
2010-04-16,34.99
2010-04-19,34.92
2010-04-20,35.32
2010-04-21,35.15
2010-04-22,35.15
2010-04-23,35.76
2010-04-26,36.52
2010-04-27,36.38
2010-04-28,35.43
2010-04-29,35.45
2010-04-30,35.7
2010-05-03,35.39
2010-05-04,35.56
2010-05-05,35.23
2010-05-06,34.92
2010-05-07,33.74
2010-05-10,34.64
2010-05-11,35.13
2010-05-12,35.67
2010-05-13,35.85
2010-05-14,35.26
2010-05-17,34.97
2010-05-18,35.81
2010-05-19,34.38
2010-05-20,33.66
2010-05-21,32.26
2010-05-24,32.85
2010-05-25,32.54
2010-05-26,34.55
2010-05-27,34.51
2010-05-28,34.57
2010-06-01,33.42
2010-06-02,33.62
