time_captured,MMM_High
2006-01-03,79.35
2006-01-04,79.49
2006-01-05,78.65
2006-01-06,78.9
2006-01-09,79.83
2006-01-10,79.01
2006-01-11,78.66
2006-01-12,78.23
2006-01-13,78.2
2006-01-17,77.62
2006-01-18,77.28
2006-01-19,77.37
2006-01-20,76.91
2006-01-23,76.23
2006-01-24,75.6
2006-01-25,73.83
2006-01-26,73.43
2006-01-27,73.25
2006-01-30,73.34
2006-01-31,73.25
2006-02-01,73.4
2006-02-02,73.68
2006-02-03,72.09
2006-02-06,71.3
2006-02-07,71.29
2006-02-08,71.28
2006-02-09,72.88
2006-02-10,72.99
2006-02-13,73.42
2006-02-14,74.12
2006-02-15,74.18
2006-02-16,73.35
2006-02-17,74.15
2006-02-21,74.1
2006-02-22,73.74
2006-02-23,74.08
2006-02-24,74.16
2006-02-27,74.66
2006-02-28,74.08
2006-03-01,74.19
2006-03-02,73.8
2006-03-03,73.29
2006-03-06,72.8
2006-03-07,72.34
2006-03-08,73.07
2006-03-09,72.76
2006-03-10,72.8
2006-03-13,72.52
2006-03-14,73.75
2006-03-15,74.24
2006-03-16,75.46
2006-03-17,75.45
2006-03-20,75.19
2006-03-21,75.34
2006-03-22,76.15
2006-03-23,76.96
2006-03-24,77.06
2006-03-27,77.23
2006-03-28,77.2
2006-03-29,78.74
2006-03-30,77.62
2006-03-31,76.88
2006-04-03,77.19
2006-04-04,77.99
2006-04-05,77.9
2006-04-06,82.01
2006-04-07,82.08
2006-04-10,81.37
2006-04-11,81.12
2006-04-12,81.37
2006-04-13,81.54
2006-04-17,80.71
2006-04-18,82.2
2006-04-19,82.39
2006-04-20,82.97
2006-04-21,85.5
2006-04-24,85.9
2006-04-25,85.5
2006-04-26,85.65
2006-04-27,85.68
2006-04-28,85.51
2006-05-01,85.73
2006-05-02,85.31
2006-05-03,85.9
2006-05-04,86.67
2006-05-05,87.3
2006-05-08,88.35
2006-05-09,87.8
2006-05-10,87.76
2006-05-11,87.64
2006-05-12,87.66
2006-05-15,87.21
2006-05-16,87.33
2006-05-17,85.97
2006-05-18,84.83
2006-05-19,84.92
2006-05-22,84.59
2006-05-23,84.02
2006-05-24,84.1
2006-05-25,84.23
2006-05-26,84.0
2006-05-30,83.98
2006-05-31,84.62
2006-06-01,84.67
2006-06-02,85.23
2006-06-05,84.33
2006-06-06,83.91
2006-06-07,82.28
2006-06-08,81.94
2006-06-09,81.87
2006-06-12,81.09
2006-06-13,81.23
2006-06-14,80.47
2006-06-15,81.34
2006-06-16,81.15
2006-06-19,80.7
2006-06-20,80.61
2006-06-21,81.32
2006-06-22,80.8
2006-06-23,80.28
2006-06-26,80.35
2006-06-27,80.93
2006-06-28,79.36
2006-06-29,81.5
2006-06-30,81.75
2006-07-03,81.23
2006-07-05,80.92
2006-07-06,81.6
2006-07-07,76.28
2006-07-10,74.62
2006-07-11,73.72
2006-07-12,73.6
2006-07-13,72.57
2006-07-14,71.97
2006-07-17,71.49
2006-07-18,71.03
2006-07-19,71.38
2006-07-20,71.7
2006-07-21,71.72
2006-07-24,71.69
2006-07-25,71.01
2006-07-26,69.83
2006-07-27,70.7
2006-07-28,70.58
2006-07-31,70.98
2006-08-01,70.11
2006-08-02,70.09
2006-08-03,69.79
2006-08-04,70.29
