time_captured,PG_Open
2006-01-03,58.3
2006-01-04,58.8
2006-01-05,58.7
2006-01-06,58.74
2006-01-09,58.45
2006-01-10,58.89
2006-01-11,58.94
2006-01-12,58.98
2006-01-13,58.41
2006-01-17,58.45
2006-01-18,58.5
2006-01-19,58.0
2006-01-20,58.51
2006-01-23,57.84
2006-01-24,58.0
2006-01-25,58.1
2006-01-26,58.75
2006-01-27,59.4
2006-01-30,59.13
2006-01-31,58.95
2006-02-01,59.1
2006-02-02,59.74
2006-02-03,59.39
2006-02-06,59.58
2006-02-07,59.47
2006-02-08,59.4
2006-02-09,59.46
2006-02-10,59.63
2006-02-13,59.58
2006-02-14,59.55
2006-02-15,59.75
2006-02-16,60.02
2006-02-17,60.59
2006-02-21,60.88
2006-02-22,61.0
2006-02-23,61.85
2006-02-24,61.32
2006-02-27,61.68
2006-02-28,61.0
2006-03-01,60.11
2006-03-02,59.99
2006-03-03,59.3
2006-03-06,59.55
2006-03-07,59.56
2006-03-08,60.25
2006-03-09,61.5
2006-03-10,61.45
2006-03-13,62.11
2006-03-14,60.09
2006-03-15,60.51
2006-03-16,59.8
2006-03-17,59.39
2006-03-20,59.38
2006-03-21,59.21
2006-03-22,58.7
2006-03-23,59.26
2006-03-24,58.56
2006-03-27,58.38
2006-03-28,58.0
2006-03-29,57.44
2006-03-30,57.53
2006-03-31,57.63
2006-04-03,57.69
2006-04-04,57.83
2006-04-05,57.95
2006-04-06,57.57
2006-04-07,57.5
2006-04-10,57.3
2006-04-11,57.27
2006-04-12,56.3
2006-04-13,56.4
2006-04-17,56.2
2006-04-18,55.94
2006-04-19,55.68
2006-04-20,56.16
2006-04-21,56.1
2006-04-24,56.15
2006-04-25,56.9
2006-04-26,57.56
2006-04-27,57.8
2006-04-28,58.3
2006-05-01,58.43
2006-05-02,57.66
2006-05-03,56.25
2006-05-04,56.23
2006-05-05,56.24
2006-05-08,56.01
2006-05-09,56.36
2006-05-10,56.69
2006-05-11,56.65
2006-05-12,55.8
2006-05-15,54.69
2006-05-16,55.6
2006-05-17,55.56
2006-05-18,55.2
2006-05-19,54.99
2006-05-22,53.96
2006-05-23,54.31
2006-05-24,54.56
2006-05-25,55.13
2006-05-26,55.2
2006-05-30,54.78
2006-05-31,54.58
2006-06-01,54.35
2006-06-02,54.37
2006-06-05,53.8
2006-06-06,53.11
2006-06-07,53.6
2006-06-08,53.5
2006-06-09,54.52
2006-06-12,54.57
2006-06-13,54.32
