time_captured,UTX_Close
2006-01-03,56.53
2006-01-04,56.19
2006-01-05,55.98
2006-01-06,56.16
2006-01-09,56.8
2006-01-10,56.84
2006-01-11,55.98
2006-01-12,55.46
2006-01-13,55.66
2006-01-17,55.98
2006-01-18,55.99
2006-01-19,55.98
2006-01-20,55.01
2006-01-23,54.47
2006-01-24,56.45
2006-01-25,57.0
2006-01-26,57.52
2006-01-27,58.75
2006-01-30,58.36
2006-01-31,58.37
2006-02-01,58.0
2006-02-02,57.75
2006-02-03,57.18
2006-02-06,57.09
2006-02-07,56.89
2006-02-08,56.72
2006-02-09,56.71
2006-02-10,57.13
2006-02-13,57.34
2006-02-14,58.13
2006-02-15,58.13
2006-02-16,58.2
2006-02-17,58.0
2006-02-21,58.83
2006-02-22,58.88
2006-02-23,58.55
2006-02-24,58.89
2006-02-27,58.76
2006-02-28,58.5
2006-03-01,58.7
2006-03-02,58.29
2006-03-03,57.86
2006-03-06,57.72
2006-03-07,57.75
2006-03-08,57.84
2006-03-09,57.4
2006-03-10,57.82
2006-03-13,58.0
2006-03-14,58.31
2006-03-15,57.93
2006-03-16,58.23
2006-03-17,58.8
2006-03-20,58.7
2006-03-21,58.44
2006-03-22,59.13
2006-03-23,58.75
2006-03-24,59.28
2006-03-27,59.22
2006-03-28,58.28
2006-03-29,58.31
2006-03-30,58.02
2006-03-31,57.97
2006-04-03,58.18
2006-04-04,58.15
2006-04-05,58.23
2006-04-06,58.23
2006-04-07,57.62
2006-04-10,57.68
2006-04-11,57.41
2006-04-12,57.44
2006-04-13,57.14
2006-04-17,57.5
2006-04-18,58.9
2006-04-19,62.8
2006-04-20,64.21
2006-04-21,64.22
2006-04-24,64.53
2006-04-25,64.15
2006-04-26,64.21
2006-04-27,63.9
2006-04-28,62.81
2006-05-01,62.93
2006-05-02,63.56
2006-05-03,63.36
2006-05-04,63.77
2006-05-05,64.91
2006-05-08,64.89
2006-05-09,65.07
2006-05-10,66.15
2006-05-11,65.82
2006-05-12,64.9
2006-05-15,64.78
2006-05-16,65.19
2006-05-17,63.75
2006-05-18,62.66
2006-05-19,62.7
2006-05-22,62.94
2006-05-23,62.49
2006-05-24,62.06
2006-05-25,62.39
2006-05-26,62.6
2006-05-30,62.44
2006-05-31,62.52
2006-06-01,63.2
2006-06-02,63.03
2006-06-05,61.45
2006-06-06,60.05
2006-06-07,60.02
2006-06-08,60.31
2006-06-09,60.05
2006-06-12,59.62
2006-06-13,59.45
2006-06-14,59.62
2006-06-15,60.81
2006-06-16,61.75
2006-06-19,60.9
2006-06-20,60.98
2006-06-21,61.49
2006-06-22,61.89
2006-06-23,62.28
2006-06-26,62.24
2006-06-27,61.4
2006-06-28,61.33
2006-06-29,63.29
2006-06-30,63.42
2006-07-03,63.99
2006-07-05,63.85
2006-07-06,63.85
2006-07-07,63.1
2006-07-10,62.87
2006-07-11,63.84
2006-07-12,63.24
2006-07-13,61.43
2006-07-14,58.81
2006-07-17,57.96
2006-07-18,58.88
2006-07-19,61.07
2006-07-20,60.25
2006-07-21,59.96
2006-07-24,61.45
2006-07-25,62.03
2006-07-26,61.77
2006-07-27,61.63
2006-07-28,62.15
2006-07-31,62.19
2006-08-01,61.68
2006-08-02,62.29
2006-08-03,62.74
2006-08-04,62.57
2006-08-07,63.09
2006-08-08,61.88
2006-08-09,60.31
2006-08-10,60.45
2006-08-11,60.15
2006-08-14,60.47
2006-08-15,61.03
2006-08-16,62.17
2006-08-17,61.95
2006-08-18,61.84
2006-08-21,61.46
2006-08-22,60.9
2006-08-23,60.77
2006-08-24,60.99
2006-08-25,60.67
2006-08-28,61.53
2006-08-29,62.17
2006-08-30,62.27
2006-08-31,62.71
2006-09-01,63.26
2006-09-05,63.72
2006-09-06,63.33
2006-09-07,62.77
2006-09-08,63.34
2006-09-11,62.91
2006-09-12,63.22
2006-09-13,63.89
2006-09-14,63.0
2006-09-15,64.61
2006-09-18,64.07
2006-09-19,64.15
2006-09-20,63.9
2006-09-21,62.9
2006-09-22,62.3
2006-09-25,63.23
2006-09-26,63.61
2006-09-27,63.14
2006-09-28,63.66
2006-09-29,63.35
2006-10-02,63.9
2006-10-03,64.8
2006-10-04,65.15
2006-10-05,65.84
2006-10-06,65.41
2006-10-09,65.2
2006-10-10,65.3
2006-10-11,65.52
2006-10-12,66.38
2006-10-13,66.5
2006-10-16,66.79
2006-10-17,65.28
2006-10-18,65.57
2006-10-19,65.0
2006-10-20,65.02
2006-10-23,64.98
2006-10-24,65.12
2006-10-25,65.25
2006-10-26,65.24
2006-10-27,64.94
2006-10-30,65.52
2006-10-31,65.72
2006-11-01,64.25
2006-11-02,64.33
2006-11-03,63.97
2006-11-06,65.15
2006-11-07,65.51
2006-11-08,65.56
2006-11-09,64.91
2006-11-10,65.06
2006-11-13,65.32
2006-11-14,65.61
2006-11-15,65.6
2006-11-16,66.76
2006-11-17,66.09
2006-11-20,65.87
2006-11-21,65.83
2006-11-22,65.79
2006-11-24,65.99
2006-11-27,64.84
2006-11-28,64.53
2006-11-29,64.74
2006-11-30,64.53
2006-12-01,63.86
2006-12-04,64.9
2006-12-05,64.72
2006-12-06,64.96
2006-12-07,64.74
2006-12-08,64.72
2006-12-11,65.01
2006-12-12,64.8
2006-12-13,64.21
2006-12-14,62.06
2006-12-15,62.45
2006-12-18,62.26
2006-12-19,62.48
2006-12-20,63.22
2006-12-21,62.76
2006-12-22,62.56
2006-12-26,63.23
2006-12-27,62.94
2006-12-28,62.81
2006-12-29,62.52
2007-01-03,62.81
2007-01-04,62.87
2007-01-05,62.68
2007-01-08,63.19
2007-01-09,62.47
2007-01-10,62.69
2007-01-11,63.7
2007-01-12,64.42
2007-01-16,64.53
2007-01-17,64.82
2007-01-18,64.91
2007-01-19,65.18
2007-01-22,64.09
2007-01-23,66.14
2007-01-24,66.83
2007-01-25,66.21
2007-01-26,66.04
2007-01-29,65.69
2007-01-30,66.95
2007-01-31,68.02
2007-02-01,68.58
2007-02-02,68.0
2007-02-05,67.77
2007-02-06,68.41
2007-02-07,68.51
2007-02-08,68.05
2007-02-09,67.58
2007-02-12,67.04
2007-02-13,67.2
2007-02-14,68.17
2007-02-15,68.93
2007-02-16,68.68
2007-02-20,68.13
2007-02-21,67.58
2007-02-22,67.5
2007-02-23,67.55
2007-02-26,67.23
2007-02-27,65.46
2007-02-28,65.64
2007-03-01,65.12
2007-03-02,64.35
2007-03-05,64.17
2007-03-06,64.18
2007-03-07,64.26
2007-03-08,64.56
2007-03-09,64.5
2007-03-12,65.35
2007-03-13,64.31
2007-03-14,64.75
2007-03-15,64.4
2007-03-16,64.6
2007-03-19,65.07
2007-03-20,65.24
2007-03-21,66.18
2007-03-22,66.08
2007-03-23,66.73
2007-03-26,66.41
2007-03-27,66.11
2007-03-28,65.37
2007-03-29,64.99
2007-03-30,65.0
2007-04-02,64.72
2007-04-03,65.27
2007-04-04,64.93
2007-04-05,64.93
2007-04-09,65.06
2007-04-10,64.45
2007-04-11,64.08
2007-04-12,64.74
2007-04-13,65.05
2007-04-16,65.79
2007-04-17,66.18
2007-04-18,66.92
2007-04-19,67.22
2007-04-20,67.48
2007-04-23,67.78
2007-04-24,67.77
2007-04-25,68.04
2007-04-26,67.65
2007-04-27,67.69
2007-04-30,67.13
2007-05-01,67.73
2007-05-02,68.4
2007-05-03,67.93
2007-05-04,68.0
2007-05-07,69.05
2007-05-08,68.34
2007-05-09,68.77
2007-05-10,68.02
2007-05-11,68.39
2007-05-14,68.25
2007-05-15,68.5
2007-05-16,68.48
2007-05-17,69.37
2007-05-18,69.19
2007-05-21,68.92
2007-05-22,69.21
2007-05-23,68.85
2007-05-24,68.26
2007-05-25,68.62
2007-05-29,68.99
2007-05-30,69.43
2007-05-31,70.55
2007-06-01,70.78
2007-06-04,70.82
2007-06-05,70.75
2007-06-06,69.92
2007-06-07,68.87
2007-06-08,70.23
2007-06-11,70.18
2007-06-12,69.67
2007-06-13,70.73
2007-06-14,71.28
2007-06-15,72.01
2007-06-18,72.19
2007-06-19,71.72
2007-06-20,71.83
2007-06-21,71.95
2007-06-22,71.38
2007-06-25,71.27
2007-06-26,70.57
2007-06-27,71.5
2007-06-28,71.09
2007-06-29,70.93
2007-07-02,72.46
2007-07-03,72.47
2007-07-05,72.12
2007-07-06,72.6
2007-07-09,72.52
2007-07-10,72.07
2007-07-11,73.0
2007-07-12,73.99
2007-07-13,75.0
2007-07-16,76.67
2007-07-17,76.84
2007-07-18,75.56
2007-07-19,77.18
2007-07-20,76.03
2007-07-23,76.22
2007-07-24,74.74
2007-07-25,75.19
2007-07-26,74.45
2007-07-27,73.29
2007-07-30,73.63
2007-07-31,72.97
2007-08-01,74.65
2007-08-02,74.76
2007-08-03,73.93
2007-08-06,74.85
2007-08-07,74.15
2007-08-08,74.05
2007-08-09,72.37
2007-08-10,73.08
2007-08-13,74.01
2007-08-14,72.78
2007-08-15,71.63
2007-08-16,71.08
2007-08-17,73.82
2007-08-20,74.7
2007-08-21,72.94
2007-08-22,73.87
2007-08-23,73.3
2007-08-24,74.33
2007-08-27,73.72
2007-08-28,72.0
2007-08-29,74.35
2007-08-30,73.84
2007-08-31,74.63
2007-09-04,74.43
2007-09-05,73.45
2007-09-06,75.01
2007-09-07,73.79
2007-09-10,74.49
2007-09-11,74.67
2007-09-12,74.84
2007-09-13,75.02
2007-09-14,76.14
2007-09-17,75.83
2007-09-18,78.16
2007-09-19,78.9
2007-09-20,78.73
2007-09-21,79.43
2007-09-24,78.69
2007-09-25,79.93
2007-09-26,80.2
2007-09-27,80.69
2007-09-28,80.48
2007-10-01,82.07
2007-10-02,80.62
2007-10-03,79.67
2007-10-04,80.09
2007-10-05,80.84
2007-10-08,80.36
2007-10-09,81.2
2007-10-10,80.5
2007-10-11,79.25
2007-10-12,80.32
2007-10-15,79.87
2007-10-16,79.65
2007-10-17,76.8
2007-10-18,77.43
2007-10-19,76.0
2007-10-22,75.8
2007-10-23,76.02
2007-10-24,76.49
2007-10-25,75.72
2007-10-26,75.44
2007-10-29,75.78
2007-10-30,75.82
2007-10-31,76.59
2007-11-01,74.72
2007-11-02,75.65
2007-11-05,76.11
2007-11-06,76.62
2007-11-07,74.46
2007-11-08,74.7
2007-11-09,73.51
2007-11-12,73.93
2007-11-13,75.33
2007-11-14,74.92
2007-11-15,73.95
2007-11-16,74.3
2007-11-19,73.53
2007-11-20,74.32
2007-11-21,72.78
2007-11-23,73.46
2007-11-26,72.68
2007-11-27,74.0
2007-11-28,75.85
2007-11-29,75.44
2007-11-30,74.77
2007-12-03,74.93
2007-12-04,74.75
2007-12-05,76.85
2007-12-06,77.99
2007-12-07,78.07
2007-12-10,78.83
2007-12-11,76.42
2007-12-12,76.78
2007-12-13,77.61
2007-12-14,76.69
2007-12-17,75.04
2007-12-18,75.92
2007-12-19,75.8
2007-12-20,76.4
2007-12-21,77.83
2007-12-24,78.18
2007-12-26,77.82
2007-12-27,76.84
2007-12-28,76.87
2007-12-31,76.54
2008-01-02,75.21
2008-01-03,76.28
2008-01-04,75.02
2008-01-07,74.67
2008-01-08,71.79
2008-01-09,71.96
2008-01-10,72.39
2008-01-11,71.68
