time_captured,IBM_Open
2006-01-03,82.45
2006-01-04,82.2
2006-01-05,81.4
2006-01-06,83.95
2006-01-09,84.1
2006-01-10,83.15
2006-01-11,84.37
2006-01-12,83.82
2006-01-13,83.0
2006-01-17,82.8
2006-01-18,84.0
2006-01-19,84.14
2006-01-20,83.04
2006-01-23,81.33
2006-01-24,81.39
2006-01-25,81.05
2006-01-26,81.5
2006-01-27,80.75
2006-01-30,80.21
2006-01-31,81.5
2006-02-01,80.9
2006-02-02,81.45
2006-02-03,80.55
2006-02-06,79.94
2006-02-07,79.5
2006-02-08,80.58
2006-02-09,80.4
2006-02-10,80.4
2006-02-13,81.33
2006-02-14,80.55
2006-02-15,80.86
2006-02-16,80.68
2006-02-17,80.91
2006-02-21,80.1
2006-02-22,80.0
2006-02-23,81.2
2006-02-24,80.65
2006-02-27,79.97
2006-02-28,80.1
2006-03-01,80.2
2006-03-02,79.55
2006-03-03,79.51
2006-03-06,79.91
2006-03-07,80.01
2006-03-08,80.25
2006-03-09,81.26
2006-03-10,81.03
2006-03-13,81.56
2006-03-14,81.51
2006-03-15,82.65
2006-03-16,83.43
2006-03-17,83.35
2006-03-20,83.11
2006-03-21,83.82
2006-03-22,83.35
2006-03-23,84.23
2006-03-24,82.99
2006-03-27,82.98
2006-03-28,82.86
2006-03-29,82.2
2006-03-30,82.88
2006-03-31,82.95
2006-04-03,82.72
2006-04-04,83.05
2006-04-05,83.33
2006-04-06,83.7
2006-04-07,83.6
2006-04-10,82.27
2006-04-11,81.83
2006-04-12,81.1
2006-04-13,81.18
2006-04-17,81.92
2006-04-18,81.89
2006-04-19,83.95
2006-04-20,81.65
2006-04-21,82.49
2006-04-24,81.3
2006-04-25,81.95
2006-04-26,82.84
2006-04-27,82.7
2006-04-28,83.51
2006-05-01,82.59
2006-05-02,82.11
2006-05-03,82.54
2006-05-04,82.87
2006-05-05,82.95
2006-05-08,82.6
2006-05-09,82.49
2006-05-10,82.9
2006-05-11,82.65
2006-05-12,82.47
2006-05-15,81.8
2006-05-16,83.0
2006-05-17,81.75
2006-05-18,80.5
2006-05-19,80.86
2006-05-22,79.83
2006-05-23,80.25
2006-05-24,79.35
2006-05-25,79.89
2006-05-26,80.16
2006-05-30,80.35
2006-05-31,80.15
2006-06-01,79.89
2006-06-02,80.5
2006-06-05,79.1
2006-06-06,79.06
2006-06-07,79.78
2006-06-08,78.55
2006-06-09,77.24
2006-06-12,77.63
2006-06-13,77.14
2006-06-14,76.93
2006-06-15,77.85
2006-06-16,78.44
2006-06-19,77.9
2006-06-20,77.84
2006-06-21,77.99
2006-06-22,78.16
2006-06-23,77.15
2006-06-26,77.04
2006-06-27,77.32
2006-06-28,76.53
2006-06-29,76.89
2006-06-30,77.7
2006-07-03,77.54
2006-07-05,78.0
2006-07-06,77.59
2006-07-07,78.09
2006-07-10,76.18
2006-07-11,76.25
2006-07-12,76.07
2006-07-13,75.01
2006-07-14,74.24
2006-07-17,73.35
2006-07-18,73.7
2006-07-19,76.0
2006-07-20,75.73
2006-07-21,75.49
2006-07-24,74.92
2006-07-25,75.99
2006-07-26,75.48
2006-07-27,75.83
2006-07-28,76.38
2006-07-31,76.44
2006-08-01,76.65
2006-08-02,76.21
2006-08-03,76.0
2006-08-04,76.65
2006-08-07,75.63
2006-08-08,75.63
2006-08-09,75.56
2006-08-10,75.2
2006-08-11,75.34
2006-08-14,76.05
2006-08-15,76.9
2006-08-16,77.48
2006-08-17,78.93
2006-08-18,79.38
2006-08-21,79.51
2006-08-22,79.28
2006-08-23,78.95
2006-08-24,78.9
2006-08-25,79.2
2006-08-28,79.91
2006-08-29,80.06
2006-08-30,81.26
2006-08-31,81.3
2006-09-01,81.13
2006-09-05,81.19
2006-09-06,80.29
2006-09-07,79.9
2006-09-08,79.6
2006-09-11,80.6
2006-09-12,81.14
2006-09-13,82.25
2006-09-14,81.9
2006-09-15,83.21
2006-09-18,82.56
2006-09-19,81.97
2006-09-20,82.37
2006-09-21,82.61
2006-09-22,81.75
2006-09-25,81.65
2006-09-26,81.9
2006-09-27,82.0
2006-09-28,81.85
2006-09-29,81.9
2006-10-02,81.76
2006-10-03,81.88
2006-10-04,81.65
2006-10-05,82.81
2006-10-06,82.93
2006-10-09,83.14
2006-10-10,83.71
2006-10-11,84.15
2006-10-12,84.2
2006-10-13,84.45
2006-10-16,86.08
2006-10-17,86.33
2006-10-18,90.51
2006-10-19,89.8
2006-10-20,90.04
2006-10-23,90.05
2006-10-24,90.91
2006-10-25,91.21
2006-10-26,91.83
2006-10-27,90.91
2006-10-30,89.8
2006-10-31,91.5
2006-11-01,92.5
2006-11-02,91.8
2006-11-03,91.76
2006-11-06,91.5
2006-11-07,92.42
2006-11-08,92.25
2006-11-09,92.59
2006-11-10,92.3
2006-11-13,91.55
2006-11-14,92.0
2006-11-15,93.08
2006-11-16,93.07
2006-11-17,93.42
2006-11-20,93.6
2006-11-21,93.01
2006-11-22,92.9
2006-11-24,93.05
2006-11-27,92.71
2006-11-28,90.65
2006-11-29,91.35
2006-11-30,91.35
2006-12-01,91.9
2006-12-04,92.5
2006-12-05,93.51
2006-12-06,94.48
2006-12-07,94.0
2006-12-08,93.65
2006-12-11,93.72
2006-12-12,93.6
2006-12-13,94.78
2006-12-14,94.97
2006-12-15,95.61
2006-12-18,94.95
2006-12-19,95.1
2006-12-20,96.1
2006-12-21,95.78
2006-12-22,95.75
2006-12-26,95.0
2006-12-27,96.3
2006-12-28,97.11
2006-12-29,97.0
2007-01-03,97.18
2007-01-04,97.25
2007-01-05,97.6
2007-01-08,98.5
2007-01-09,99.08
2007-01-10,98.5
2007-01-11,99.0
2007-01-12,98.99
2007-01-16,99.4
2007-01-17,100.69
2007-01-18,99.8
2007-01-19,95.0
2007-01-22,96.42
2007-01-23,96.91
2007-01-24,97.08
2007-01-25,97.22
2007-01-26,97.52
2007-01-29,97.7
2007-01-30,98.57
2007-01-31,98.8
2007-02-01,98.97
2007-02-02,99.1
2007-02-05,99.17
2007-02-06,100.0
2007-02-07,99.8
2007-02-08,98.9
2007-02-09,99.52
2007-02-12,98.8
2007-02-13,98.6
2007-02-14,98.5
2007-02-15,99.06
2007-02-16,99.12
2007-02-20,98.66
2007-02-21,99.35
2007-02-22,98.8
2007-02-23,98.4
2007-02-26,97.86
2007-02-27,96.0
2007-02-28,93.71
2007-03-01,90.25
2007-03-02,92.0
2007-03-05,90.25
2007-03-06,91.81
2007-03-07,93.8
2007-03-08,94.5
2007-03-09,93.48
2007-03-12,93.68
2007-03-13,93.86
2007-03-14,94.11
2007-03-15,93.4
2007-03-16,94.45
2007-03-19,93.95
2007-03-20,94.0
2007-03-21,94.5
2007-03-22,95.1
2007-03-23,94.82
2007-03-26,95.0
2007-03-27,94.71
2007-03-28,93.9
2007-03-29,94.66
2007-03-30,94.24
2007-04-02,94.26
2007-04-03,95.45
2007-04-04,95.8
2007-04-05,95.98
2007-04-09,96.43
2007-04-10,96.4
2007-04-11,96.51
2007-04-12,95.16
2007-04-13,95.75
2007-04-16,94.99
2007-04-17,96.3
2007-04-18,94.8
2007-04-19,94.5
2007-04-20,95.02
2007-04-23,95.16
2007-04-24,97.23
2007-04-25,98.74
2007-04-26,101.0
2007-04-27,100.3
2007-04-30,101.11
2007-05-01,102.06
2007-05-02,102.8
2007-05-03,101.75
2007-05-04,102.75
2007-05-07,102.76
2007-05-08,102.42
2007-05-09,103.93
2007-05-10,103.82
2007-05-11,104.69
2007-05-14,105.81
2007-05-15,105.4
2007-05-16,105.1
2007-05-17,105.61
2007-05-18,105.84
2007-05-21,107.67
2007-05-22,106.95
2007-05-23,106.8
2007-05-24,105.45
2007-05-25,103.9
2007-05-29,105.57
2007-05-30,105.4
2007-05-31,107.26
2007-06-01,106.6
2007-06-04,106.5
2007-06-05,106.55
2007-06-06,105.84
2007-06-07,102.46
2007-06-08,101.8
2007-06-11,102.87
2007-06-12,103.11
2007-06-13,102.85
2007-06-14,103.1
2007-06-15,104.22
2007-06-18,105.27
2007-06-19,104.93
2007-06-20,106.5
2007-06-21,105.77
2007-06-22,105.96
2007-06-25,104.73
2007-06-26,105.1
2007-06-27,104.75
2007-06-28,105.52
2007-06-29,105.96
2007-07-02,105.39
2007-07-03,105.01
2007-07-05,106.31
2007-07-06,107.79
2007-07-09,108.73
2007-07-10,108.55
2007-07-11,108.3
2007-07-12,109.35
2007-07-13,108.75
2007-07-16,108.57
2007-07-17,109.66
2007-07-18,110.25
2007-07-19,115.0
2007-07-20,114.85
2007-07-23,114.88
2007-07-24,115.32
2007-07-25,116.19
2007-07-26,117.01
2007-07-27,116.62
2007-07-30,115.0
2007-07-31,114.72
2007-08-01,110.39
2007-08-02,112.1
2007-08-03,113.24
2007-08-06,111.97
2007-08-07,113.02
2007-08-08,114.3
2007-08-09,110.77
2007-08-10,109.75
2007-08-13,112.99
2007-08-14,112.83
2007-08-15,111.0
2007-08-16,111.23
2007-08-17,111.87
2007-08-20,110.9
2007-08-21,108.9
2007-08-22,110.09
2007-08-23,110.4
2007-08-24,111.45
2007-08-27,113.0
2007-08-28,112.9
2007-08-29,112.88
2007-08-30,114.57
2007-08-31,115.99
2007-09-04,116.34
2007-09-05,117.48
2007-09-06,117.88
2007-09-07,116.2
2007-09-10,116.15
2007-09-11,116.35
2007-09-12,116.95
2007-09-13,116.3
2007-09-14,115.05
2007-09-17,114.7
2007-09-18,115.0
2007-09-19,116.9
2007-09-20,116.27
2007-09-21,117.89
2007-09-24,116.9
2007-09-25,116.02
2007-09-26,116.94
2007-09-27,117.5
2007-09-28,117.14
2007-10-01,117.61
2007-10-02,119.31
2007-10-03,117.65
2007-10-04,116.2
2007-10-05,116.17
2007-10-08,116.1
2007-10-09,117.85
2007-10-10,118.0
2007-10-11,118.99
2007-10-12,118.5
2007-10-15,117.95
2007-10-16,118.02
2007-10-17,118.01
2007-10-18,114.82
2007-10-19,113.98
2007-10-22,110.97
2007-10-23,113.78
2007-10-24,114.2
2007-10-25,113.32
2007-10-26,113.0
2007-10-29,113.9
2007-10-30,114.5
2007-10-31,114.75
2007-11-01,115.5
2007-11-02,114.42
2007-11-05,115.11
2007-11-06,113.49
2007-11-07,113.56
2007-11-08,110.1
2007-11-09,104.92
2007-11-12,101.89
2007-11-13,102.73
2007-11-14,106.12
2007-11-15,103.24
2007-11-16,104.51
2007-11-19,104.34
2007-11-20,102.59
2007-11-21,101.41
2007-11-23,103.1
2007-11-26,104.26
