time_captured,INTC_High
2006-01-03,25.64
2006-01-04,25.94
2006-01-05,26.47
2006-01-06,26.63
2006-01-09,26.51
2006-01-10,26.41
2006-01-11,26.33
2006-01-12,26.52
2006-01-13,26.18
2006-01-17,25.75
2006-01-18,23.06
2006-01-19,22.87
2006-01-20,22.47
2006-01-23,21.93
2006-01-24,21.59
2006-01-25,21.42
2006-01-26,21.75
2006-01-27,21.9
2006-01-30,21.93
2006-01-31,21.71
2006-02-01,21.59
2006-02-02,21.68
2006-02-03,21.17
2006-02-06,20.85
2006-02-07,20.94
2006-02-08,20.84
2006-02-09,21.25
2006-02-10,21.34
2006-02-13,21.44
2006-02-14,21.47
2006-02-15,21.47
2006-02-16,21.45
2006-02-17,21.04
2006-02-21,20.74
2006-02-22,20.45
2006-02-23,20.49
2006-02-24,20.53
2006-02-27,20.79
2006-02-28,21.01
2006-03-01,21.0
2006-03-02,20.84
2006-03-03,20.48
2006-03-06,20.56
2006-03-07,20.2
2006-03-08,20.19
2006-03-09,20.16
2006-03-10,20.02
2006-03-13,20.5
2006-03-14,19.9
2006-03-15,19.97
2006-03-16,20.08
2006-03-17,19.77
2006-03-20,19.95
2006-03-21,20.32
2006-03-22,20.04
2006-03-23,20.16
2006-03-24,19.82
2006-03-27,19.92
2006-03-28,19.86
2006-03-29,19.96
2006-03-30,20.03
2006-03-31,19.88
2006-04-03,19.7
2006-04-04,19.5
2006-04-05,19.53
2006-04-06,19.6
2006-04-07,19.56
2006-04-10,19.47
2006-04-11,19.46
2006-04-12,19.27
2006-04-13,19.59
2006-04-17,20.0
2006-04-18,19.48
2006-04-19,19.6
2006-04-20,19.94
2006-04-21,20.0
2006-04-24,19.25
2006-04-25,19.2
2006-04-26,19.58
2006-04-27,20.2
2006-04-28,20.27
2006-05-01,20.16
2006-05-02,19.72
2006-05-03,19.87
2006-05-04,19.45
2006-05-05,19.65
2006-05-08,20.22
2006-05-09,21.0
2006-05-10,19.98
2006-05-11,19.6
2006-05-12,19.52
2006-05-15,19.35
2006-05-16,19.35
2006-05-17,19.02
2006-05-18,18.89
2006-05-19,18.48
2006-05-22,18.45
2006-05-23,18.27
2006-05-24,18.06
2006-05-25,18.06
2006-05-26,18.31
2006-05-30,18.22
2006-05-31,18.19
2006-06-01,18.15
2006-06-02,18.31
2006-06-05,18.35
2006-06-06,18.06
2006-06-07,17.79
2006-06-08,17.36
2006-06-09,17.26
2006-06-12,17.35
2006-06-13,17.29
2006-06-14,17.85
2006-06-15,18.17
2006-06-16,18.47
2006-06-19,18.64
2006-06-20,18.41
2006-06-21,18.6
2006-06-22,18.54
2006-06-23,18.29
2006-06-26,18.33
2006-06-27,18.7
2006-06-28,18.71
2006-06-29,19.36
2006-06-30,19.32
2006-07-03,19.39
2006-07-05,19.26
2006-07-06,18.94
2006-07-07,18.95
2006-07-10,18.72
2006-07-11,18.67
2006-07-12,18.58
2006-07-13,18.08
2006-07-14,18.1
2006-07-17,18.12
2006-07-18,18.27
2006-07-19,18.64
2006-07-20,18.0
2006-07-21,17.4
2006-07-24,17.66
2006-07-25,17.77
2006-07-26,17.74
2006-07-27,17.88
2006-07-28,18.26
2006-07-31,18.16
2006-08-01,17.89
2006-08-02,17.79
2006-08-03,17.5
2006-08-04,17.67
2006-08-07,17.49
2006-08-08,17.65
2006-08-09,17.83
2006-08-10,17.82
2006-08-11,17.79
2006-08-14,18.04
2006-08-15,18.18
2006-08-16,18.69
2006-08-17,18.7
2006-08-18,18.53
2006-08-21,18.35
2006-08-22,18.41
2006-08-23,18.56
2006-08-24,18.57
2006-08-25,19.0
2006-08-28,19.45
2006-08-29,19.7
2006-08-30,20.0
2006-08-31,19.84
2006-09-01,19.95
2006-09-05,20.02
2006-09-06,19.82
2006-09-07,19.5
2006-09-08,19.54
2006-09-11,19.56
2006-09-12,19.87
2006-09-13,19.99
2006-09-14,19.82
2006-09-15,19.96
2006-09-18,19.75
2006-09-19,19.7
2006-09-20,19.69
2006-09-21,19.66
2006-09-22,19.36
2006-09-25,19.51
2006-09-26,19.98
2006-09-27,20.75
2006-09-28,20.83
2006-09-29,20.95
2006-10-02,20.75
2006-10-03,20.79
2006-10-04,20.88
2006-10-05,20.98
2006-10-06,20.7
2006-10-09,20.79
2006-10-10,21.02
2006-10-11,21.28
2006-10-12,21.55
2006-10-13,21.85
2006-10-16,22.03
2006-10-17,21.23
2006-10-18,21.63
2006-10-19,21.19
2006-10-20,21.45
2006-10-23,21.6
2006-10-24,21.84
2006-10-25,21.84
2006-10-26,21.83
2006-10-27,21.77
2006-10-30,21.33
2006-10-31,21.43
2006-11-01,21.42
2006-11-02,20.92
2006-11-03,20.69
2006-11-06,20.91
2006-11-07,21.17
2006-11-08,20.9
2006-11-09,20.97
2006-11-10,20.64
2006-11-13,21.07
2006-11-14,21.93
2006-11-15,22.37
2006-11-16,22.41
2006-11-17,22.5
2006-11-20,22.35
2006-11-21,22.27
2006-11-22,21.84
2006-11-24,21.75
2006-11-27,21.49
2006-11-28,21.13
2006-11-29,21.45
2006-11-30,21.49
2006-12-01,21.4
2006-12-04,21.45
2006-12-05,21.4
2006-12-06,21.21
2006-12-07,21.25
2006-12-08,20.85
2006-12-11,20.92
2006-12-12,20.84
2006-12-13,20.89
2006-12-14,21.14
2006-12-15,21.2
2006-12-18,21.3
2006-12-19,20.72
2006-12-20,20.94
2006-12-21,20.67
2006-12-22,20.43
2006-12-26,20.29
2006-12-27,20.5
2006-12-28,20.48
2006-12-29,20.53
2007-01-03,20.88
2007-01-04,21.33
2007-01-05,21.15
2007-01-08,21.34
2007-01-09,21.21
2007-01-10,21.62
2007-01-11,22.05
2007-01-12,22.15
2007-01-16,22.3
2007-01-17,21.5
2007-01-18,20.9
2007-01-19,20.87
2007-01-22,21.02
2007-01-23,20.88
2007-01-24,20.88
2007-01-25,21.04
2007-01-26,20.9
2007-01-29,21.14
2007-01-30,21.13
2007-01-31,21.02
2007-02-01,21.14
2007-02-02,21.25
2007-02-05,21.41
2007-02-06,21.49
2007-02-07,21.67
2007-02-08,21.42
2007-02-09,21.54
2007-02-12,20.98
2007-02-13,20.95
2007-02-14,21.3
2007-02-15,21.35
2007-02-16,21.4
2007-02-20,21.32
2007-02-21,20.99
2007-02-22,21.07
2007-02-23,21.0
2007-02-26,21.0
2007-02-27,20.6
2007-02-28,20.2
2007-03-01,19.8
2007-03-02,19.6
2007-03-05,19.46
2007-03-06,19.4
2007-03-07,19.45
2007-03-08,19.32
2007-03-09,19.42
2007-03-12,19.64
2007-03-13,19.49
2007-03-14,19.24
2007-03-15,19.3
2007-03-16,19.22
2007-03-19,19.28
2007-03-20,19.13
2007-03-21,19.36
2007-03-22,19.31
2007-03-23,19.36
2007-03-26,19.34
2007-03-27,19.27
2007-03-28,19.05
2007-03-29,19.1
2007-03-30,19.18
2007-04-02,19.24
2007-04-03,19.4
2007-04-04,19.44
2007-04-05,19.58
2007-04-09,20.24
2007-04-10,20.74
2007-04-11,20.73
2007-04-12,20.55
2007-04-13,20.48
2007-04-16,20.73
2007-04-17,21.0
2007-04-18,21.48
2007-04-19,21.9
2007-04-20,22.2
2007-04-23,22.13
2007-04-24,22.09
2007-04-25,22.3
2007-04-26,22.22
2007-04-27,22.09
2007-04-30,21.85
2007-05-01,21.83
2007-05-02,22.07
2007-05-03,22.13
2007-05-04,22.02
2007-05-07,22.13
2007-05-08,22.2
2007-05-09,22.51
2007-05-10,22.7
2007-05-11,22.4
2007-05-14,22.44
2007-05-15,22.36
2007-05-16,22.24
2007-05-17,22.46
2007-05-18,22.75
2007-05-21,22.89
2007-05-22,23.08
2007-05-23,23.14
2007-05-24,22.75
2007-05-25,22.3
2007-05-29,22.43
2007-05-30,22.3
2007-05-31,22.19
2007-06-01,22.6
2007-06-04,22.54
2007-06-05,22.24
2007-06-06,21.97
2007-06-07,21.63
2007-06-08,21.88
2007-06-11,22.08
2007-06-12,22.5
2007-06-13,22.88
2007-06-14,23.53
2007-06-15,24.25
2007-06-18,24.31
2007-06-19,24.45
2007-06-20,24.35
2007-06-21,24.38
2007-06-22,24.23
2007-06-25,23.89
2007-06-26,23.72
2007-06-27,23.85
2007-06-28,24.17
2007-06-29,24.22
2007-07-02,24.3
2007-07-03,24.6
2007-07-05,24.69
2007-07-06,24.85
2007-07-09,25.02
2007-07-10,25.18
2007-07-11,24.9
2007-07-12,26.0
2007-07-13,26.0
2007-07-16,26.04
2007-07-17,26.52
2007-07-18,25.34
2007-07-19,25.32
2007-07-20,25.3
2007-07-23,24.97
2007-07-24,24.9
2007-07-25,24.72
2007-07-26,24.44
2007-07-27,24.05
2007-07-30,24.15
2007-07-31,24.18
2007-08-01,23.96
2007-08-02,24.43
2007-08-03,24.49
2007-08-06,24.2
2007-08-07,24.32
2007-08-08,24.77
2007-08-09,24.74
2007-08-10,24.34
2007-08-13,24.32
2007-08-14,24.38
2007-08-15,23.99
2007-08-16,23.59
2007-08-17,24.0
2007-08-20,24.29
2007-08-21,24.05
2007-08-22,24.2
2007-08-23,24.32
2007-08-24,24.88
2007-08-27,24.71
2007-08-28,24.51
2007-08-29,25.2
2007-08-30,25.62
2007-08-31,25.8
2007-09-04,26.43
2007-09-05,26.2
2007-09-06,26.23
2007-09-07,25.74
2007-09-10,26.22
2007-09-11,25.89
2007-09-12,25.85
2007-09-13,25.64
2007-09-14,25.19
2007-09-17,25.08
2007-09-18,25.49
2007-09-19,25.78
2007-09-20,25.96
2007-09-21,26.05
2007-09-24,26.24
2007-09-25,26.17
2007-09-26,26.36
2007-09-27,26.1
2007-09-28,26.02
2007-10-01,26.55
2007-10-02,26.58
2007-10-03,26.05
2007-10-04,25.83
2007-10-05,25.94
2007-10-08,25.76
2007-10-09,25.86
2007-10-10,25.93
2007-10-11,26.18
2007-10-12,25.68
2007-10-15,26.07
2007-10-16,25.98
2007-10-17,26.98
2007-10-18,26.98
2007-10-19,26.85
2007-10-22,26.69
2007-10-23,26.82
2007-10-24,26.39
2007-10-25,26.25
2007-10-26,26.45
2007-10-29,26.35
2007-10-30,26.37
2007-10-31,26.9
2007-11-01,27.08
2007-11-02,26.96
2007-11-05,27.03
2007-11-06,27.52
2007-11-07,27.54
2007-11-08,26.97
2007-11-09,25.65
2007-11-12,25.57
2007-11-13,26.14
2007-11-14,26.52
2007-11-15,26.06
2007-11-16,25.78
2007-11-19,25.6
2007-11-20,25.75
2007-11-21,25.29
2007-11-23,25.1
2007-11-26,25.32
2007-11-27,25.16
2007-11-28,26.31
2007-11-29,26.47
2007-11-30,26.66
2007-12-03,26.78
2007-12-04,26.52
2007-12-05,27.46
2007-12-06,27.99
2007-12-07,27.9
2007-12-10,27.88
2007-12-11,27.82
2007-12-12,27.72
2007-12-13,27.5
2007-12-14,26.84
2007-12-17,26.28
2007-12-18,26.14
2007-12-19,26.25
2007-12-20,26.53
2007-12-21,26.96
2007-12-24,27.37
2007-12-26,27.47
2007-12-27,27.42
2007-12-28,27.27
2007-12-31,27.0
2008-01-02,26.34
2008-01-03,25.4
2008-01-04,23.6
2008-01-07,23.03
2008-01-08,23.13
2008-01-09,22.87
2008-01-10,22.7
2008-01-11,22.36
2008-01-14,23.2
2008-01-15,23.2
2008-01-16,20.39
2008-01-17,20.05
2008-01-18,19.65
2008-01-22,19.0
2008-01-23,20.21
2008-01-24,20.74
2008-01-25,21.28
2008-01-28,20.3
2008-01-29,20.61
2008-01-30,21.22
2008-01-31,21.34
2008-02-01,21.82
2008-02-04,21.75
2008-02-05,20.87
2008-02-06,20.43
2008-02-07,20.36
2008-02-08,20.33
2008-02-11,20.82
2008-02-12,20.99
2008-02-13,21.28
2008-02-14,20.99
2008-02-15,20.54
2008-02-19,20.68
2008-02-20,20.51
2008-02-21,20.99
2008-02-22,20.5
2008-02-25,19.98
2008-02-26,20.87
2008-02-27,20.89
2008-02-28,20.72
2008-02-29,20.39
2008-03-03,20.38
2008-03-04,20.05
2008-03-05,20.23
2008-03-06,20.22
2008-03-07,20.39
2008-03-10,20.5
2008-03-11,21.22
2008-03-12,21.49
