time_captured,GS_Low
2006-01-03,124.23
2006-01-04,126.38
2006-01-05,125.61
2006-01-06,127.29
2006-01-09,128.0
2006-01-10,130.02
2006-01-11,131.42
2006-01-12,131.38
2006-01-13,131.9
2006-01-17,130.59
2006-01-18,131.01
2006-01-19,132.71
2006-01-20,131.25
2006-01-23,131.64
2006-01-24,132.34
2006-01-25,132.46
2006-01-26,133.01
2006-01-27,137.1
2006-01-30,138.71
2006-01-31,138.45
2006-02-01,140.43
2006-02-02,141.4
2006-02-03,140.7
2006-02-06,141.6
2006-02-07,139.48
2006-02-08,139.32
2006-02-09,140.49
2006-02-10,137.8
2006-02-13,139.15
2006-02-14,138.77
2006-02-15,141.4
2006-02-16,144.21
2006-02-17,144.06
2006-02-21,143.01
2006-02-22,143.23
2006-02-23,143.79
2006-02-24,143.05
2006-02-27,143.34
2006-02-28,141.11
2006-03-01,141.56
2006-03-02,142.24
2006-03-03,143.1
2006-03-06,144.31
2006-03-07,143.17
2006-03-08,141.26
2006-03-09,141.2
2006-03-10,140.15
2006-03-13,139.18
2006-03-14,145.62
2006-03-15,147.59
2006-03-16,147.45
2006-03-17,148.03
2006-03-20,149.8
2006-03-21,149.01
2006-03-22,148.3
2006-03-23,150.45
2006-03-24,150.88
2006-03-27,152.13
2006-03-28,154.16
2006-03-29,154.84
2006-03-30,155.71
2006-03-31,156.25
2006-04-03,156.92
2006-04-04,158.12
2006-04-05,160.0
2006-04-06,160.07
2006-04-07,159.89
2006-04-10,161.45
2006-04-11,158.51
2006-04-12,158.4
2006-04-13,158.2
2006-04-17,160.0
2006-04-18,161.32
2006-04-19,163.6
2006-04-20,166.06
2006-04-21,165.32
2006-04-24,163.5
2006-04-25,161.76
2006-04-26,162.2
2006-04-27,162.1
2006-04-28,158.65
2006-05-01,156.08
2006-05-02,157.12
2006-05-03,157.75
2006-05-04,158.0
2006-05-05,159.69
2006-05-08,162.2
2006-05-09,163.7
2006-05-10,162.05
2006-05-11,158.6
2006-05-12,156.07
2006-05-15,151.11
2006-05-16,150.62
2006-05-17,147.0
2006-05-18,146.25
2006-05-19,146.75
2006-05-22,143.34
2006-05-23,143.7
2006-05-24,140.42
2006-05-25,144.68
2006-05-26,149.47
2006-05-30,149.25
2006-05-31,149.15
2006-06-01,150.19
2006-06-02,153.6
2006-06-05,149.85
2006-06-06,147.5
2006-06-07,148.3
2006-06-08,144.5
2006-06-09,148.99
2006-06-12,145.0
2006-06-13,138.01
2006-06-14,136.79
2006-06-15,140.07
2006-06-16,142.61
2006-06-19,142.95
2006-06-20,143.59
2006-06-21,145.5
2006-06-22,146.95
2006-06-23,147.21
2006-06-26,148.1
2006-06-27,147.16
2006-06-28,145.07
2006-06-29,146.35
2006-06-30,149.5
2006-07-03,151.34
2006-07-05,150.0
2006-07-06,150.2
2006-07-07,148.44
2006-07-10,148.16
2006-07-11,146.55
2006-07-12,145.07
2006-07-13,142.1
2006-07-14,138.97
2006-07-17,139.2
2006-07-18,139.9
2006-07-19,142.7
2006-07-20,145.0
2006-07-21,141.8
2006-07-24,143.06
2006-07-25,145.34
2006-07-26,146.69
2006-07-27,147.59
2006-07-28,149.33
2006-07-31,150.66
2006-08-01,149.59
2006-08-02,147.54
2006-08-03,148.47
2006-08-04,152.17
2006-08-07,151.76
2006-08-08,150.49
2006-08-09,149.6
2006-08-10,148.5
2006-08-11,149.99
2006-08-14,149.43
2006-08-15,151.21
2006-08-16,152.72
2006-08-17,153.85
2006-08-18,153.0
2006-08-21,151.64
2006-08-22,153.05
2006-08-23,152.15
2006-08-24,150.75
2006-08-25,149.75
2006-08-28,147.88
2006-08-29,145.66
2006-08-30,146.42
2006-08-31,147.07
2006-09-01,147.13
2006-09-05,149.05
2006-09-06,149.92
2006-09-07,148.35
2006-09-08,147.52
2006-09-11,149.15
2006-09-12,154.71
2006-09-13,156.81
2006-09-14,159.52
2006-09-15,161.52
2006-09-18,162.0
2006-09-19,162.31
2006-09-20,164.23
2006-09-21,165.86
2006-09-22,165.76
2006-09-25,167.0
2006-09-26,167.02
2006-09-27,167.25
2006-09-28,167.8
2006-09-29,169.1
2006-10-02,168.51
2006-10-03,170.1
2006-10-04,173.31
2006-10-05,174.69
2006-10-06,173.8
2006-10-09,175.32
2006-10-10,176.79
2006-10-11,176.75
2006-10-12,178.61
2006-10-13,180.65
2006-10-16,183.09
2006-10-17,182.14
2006-10-18,181.85
2006-10-19,179.9
2006-10-20,178.85
2006-10-23,180.21
2006-10-24,184.4
2006-10-25,187.16
2006-10-26,188.29
2006-10-27,188.39
2006-10-30,186.7
2006-10-31,188.88
2006-11-01,184.75
2006-11-02,182.7
2006-11-03,185.3
2006-11-06,187.68
2006-11-07,188.56
2006-11-08,186.5
2006-11-09,184.78
2006-11-10,184.6
2006-11-13,187.23
2006-11-14,185.4
2006-11-15,189.84
2006-11-16,194.0
2006-11-17,194.88
2006-11-20,195.03
2006-11-21,198.29
2006-11-22,199.99
2006-11-24,199.15
2006-11-27,193.11
2006-11-28,191.5
2006-11-29,193.06
2006-11-30,193.18
2006-12-01,191.52
2006-12-04,195.39
2006-12-05,198.21
2006-12-06,201.0
2006-12-07,200.0
2006-12-08,200.0
2006-12-11,201.84
2006-12-12,198.44
2006-12-13,198.0
2006-12-14,197.63
2006-12-15,199.8
2006-12-18,199.64
2006-12-19,200.43
2006-12-20,201.24
2006-12-21,197.7
2006-12-22,195.66
2006-12-26,198.29
