time_captured,GOOGL_Low
2006-01-03,209.32
2006-01-04,220.09
2006-01-05,220.97
2006-01-06,226.85
2006-01-09,230.7
2006-01-10,231.25
2006-01-11,234.82
2006-01-12,230.98
2006-01-13,231.04
2006-01-17,231.5
2006-01-18,221.85
2006-01-19,216.72
2006-01-20,197.57
2006-01-23,203.07
2006-01-24,217.46
2006-01-25,214.82
2006-01-26,211.99
2006-01-27,214.7
2006-01-30,212.71
2006-01-31,212.2
2006-02-01,193.95
2006-02-02,198.19
2006-02-03,186.47
2006-02-06,189.97
2006-02-07,181.85
2006-02-08,177.51
2006-02-09,178.23
2006-02-10,176.75
2006-02-13,171.12
2006-02-14,171.37
2006-02-15,169.08
2006-02-16,172.42
2006-02-17,181.99
2006-02-21,182.74
2006-02-22,182.11
2006-02-23,182.88
2006-02-24,186.93
2006-02-27,190.33
2006-02-28,169.42
2006-03-01,180.83
2006-03-02,181.28
2006-03-03,188.07
2006-03-06,183.75
2006-03-07,179.25
2006-03-08,175.45
2006-03-09,170.92
2006-03-10,165.94
2006-03-13,167.89
2006-03-14,166.48
2006-03-15,170.44
2006-03-16,169.12
2006-03-17,167.63
2006-03-20,170.94
2006-03-21,169.71
2006-03-22,168.92
2006-03-23,170.27
2006-03-24,181.44
2006-03-27,182.68
2006-03-28,185.77
2006-03-29,189.94
2006-03-30,192.0
2006-03-31,192.21
2006-04-03,194.16
2006-04-04,194.26
2006-04-05,201.61
2006-04-06,202.92
2006-04-07,202.21
2006-04-10,202.83
2006-04-11,203.31
2006-04-12,202.8
2006-04-13,200.45
2006-04-17,200.62
2006-04-18,200.95
2006-04-19,203.57
2006-04-20,204.3
2006-04-21,218.3
2006-04-24,218.48
2006-04-25,213.21
2006-04-26,211.98
2006-04-27,209.9
2006-04-28,208.36
2006-05-01,199.47
2006-05-02,194.39
2006-05-03,195.64
2006-05-04,196.3
2006-05-05,196.09
2006-05-08,195.22
2006-05-09,197.07
2006-05-10,201.13
2006-05-11,192.68
2006-05-12,186.96
2006-05-15,184.31
2006-05-16,185.13
2006-05-17,185.3
2006-05-18,185.54
2006-05-19,180.47
2006-05-22,182.81
2006-05-23,186.97
2006-05-24,185.99
2006-05-25,186.34
2006-05-26,190.21
2006-05-30,185.91
2006-05-31,183.57
2006-06-01,185.99
2006-06-02,188.91
2006-06-05,187.26
2006-06-06,188.34
2006-06-07,193.44
