time_captured,PG_High
2006-01-03,58.86
2006-01-04,59.12
2006-01-05,59.07
2006-01-06,58.8
2006-01-09,59.09
2006-01-10,58.9
2006-01-11,59.07
2006-01-12,59.0
2006-01-13,58.92
2006-01-17,58.86
2006-01-18,58.75
2006-01-19,58.88
2006-01-20,58.56
2006-01-23,58.26
2006-01-24,58.16
2006-01-25,58.47
2006-01-26,59.0
2006-01-27,59.8
2006-01-30,59.7
2006-01-31,59.35
2006-02-01,60.02
2006-02-02,60.15
2006-02-03,60.05
2006-02-06,59.9
2006-02-07,59.81
2006-02-08,59.8
2006-02-09,59.85
2006-02-10,59.79
2006-02-13,59.67
2006-02-14,60.0
2006-02-15,60.25
2006-02-16,60.83
2006-02-17,61.03
2006-02-21,61.0
2006-02-22,62.0
2006-02-23,62.09
2006-02-24,61.73
2006-02-27,61.89
2006-02-28,61.21
2006-03-01,60.46
2006-03-02,60.02
2006-03-03,60.16
2006-03-06,59.96
2006-03-07,60.56
2006-03-08,61.33
2006-03-09,62.0
2006-03-10,62.44
2006-03-13,62.5
2006-03-14,60.68
2006-03-15,60.51
2006-03-16,59.86
2006-03-17,59.4
2006-03-20,59.38
2006-03-21,59.72
2006-03-22,59.6
2006-03-23,59.4
2006-03-24,58.95
2006-03-27,58.62
2006-03-28,58.28
2006-03-29,57.98
2006-03-30,58.1
2006-03-31,58.3
2006-04-03,58.36
2006-04-04,58.48
2006-04-05,58.1
2006-04-06,57.92
2006-04-07,57.94
2006-04-10,57.4
2006-04-11,57.3
2006-04-12,56.5
2006-04-13,56.67
2006-04-17,56.47
2006-04-18,56.37
2006-04-19,56.08
2006-04-20,56.8
2006-04-21,56.76
2006-04-24,57.0
2006-04-25,57.52
2006-04-26,58.06
2006-04-27,58.73
2006-04-28,58.47
2006-05-01,58.67
2006-05-02,58.34
2006-05-03,56.49
2006-05-04,56.69
2006-05-05,56.24
2006-05-08,56.6
2006-05-09,56.67
2006-05-10,56.74
2006-05-11,56.65
2006-05-12,55.83
2006-05-15,55.7
2006-05-16,56.26
2006-05-17,55.92
2006-05-18,55.53
2006-05-19,55.0
2006-05-22,54.49
2006-05-23,54.99
2006-05-24,55.14
2006-05-25,55.28
2006-05-26,55.3
2006-05-30,55.02
2006-05-31,54.69
2006-06-01,54.51
2006-06-02,54.55
2006-06-05,54.04
2006-06-06,53.5
2006-06-07,54.13
2006-06-08,55.1
2006-06-09,55.0
2006-06-12,54.92
2006-06-13,55.25
2006-06-14,54.93
2006-06-15,55.09
2006-06-16,55.2
2006-06-19,56.0
2006-06-20,55.84
2006-06-21,56.19
2006-06-22,55.92
2006-06-23,56.16
2006-06-26,56.0
2006-06-27,56.0
2006-06-28,56.02
2006-06-29,57.0
2006-06-30,57.19
2006-07-03,56.41
2006-07-05,56.14
2006-07-06,56.75
2006-07-07,56.75
2006-07-10,57.13
2006-07-11,57.34
2006-07-12,57.33
2006-07-13,56.79
2006-07-14,56.36
2006-07-17,56.17
2006-07-18,55.92
2006-07-19,56.85
2006-07-20,56.99
2006-07-21,56.98
2006-07-24,56.99
2006-07-25,57.25
2006-07-26,56.77
2006-07-27,56.99
2006-07-28,57.23
2006-07-31,56.66
2006-08-01,56.07
2006-08-02,58.9
2006-08-03,59.69
2006-08-04,59.76
2006-08-07,59.47
2006-08-08,60.0
2006-08-09,59.98
2006-08-10,60.29
2006-08-11,60.45
2006-08-14,60.75
2006-08-15,60.62
2006-08-16,60.56
2006-08-17,60.64
2006-08-18,60.42
2006-08-21,60.93
2006-08-22,61.18
2006-08-23,61.45
2006-08-24,61.38
2006-08-25,61.17
2006-08-28,61.22
2006-08-29,61.39
2006-08-30,62.03
2006-08-31,62.03
2006-09-01,62.09
2006-09-05,61.69
2006-09-06,61.67
2006-09-07,62.03
2006-09-08,62.34
2006-09-11,62.1
2006-09-12,62.18
2006-09-13,61.85
2006-09-14,60.97
2006-09-15,61.75
2006-09-18,60.98
2006-09-19,60.93
2006-09-20,61.78
2006-09-21,62.02
2006-09-22,62.0
2006-09-25,62.5
2006-09-26,62.65
2006-09-27,62.85
2006-09-28,62.55
2006-09-29,62.69
2006-10-02,62.31
2006-10-03,62.5
2006-10-04,63.53
2006-10-05,63.74
2006-10-06,63.31
2006-10-09,63.04
2006-10-10,62.72
2006-10-11,62.67
2006-10-12,62.87
2006-10-13,62.19
2006-10-16,62.23
2006-10-17,62.48
2006-10-18,62.83
2006-10-19,62.56
2006-10-20,62.88
2006-10-23,63.47
2006-10-24,63.17
2006-10-25,63.4
2006-10-26,63.67
2006-10-27,63.84
2006-10-30,64.02
2006-10-31,63.53
2006-11-01,63.63
2006-11-02,63.39
2006-11-03,63.49
2006-11-06,63.75
2006-11-07,64.38
2006-11-08,64.35
2006-11-09,64.0
2006-11-10,64.0
2006-11-13,63.79
2006-11-14,63.39
2006-11-15,63.47
2006-11-16,63.81
2006-11-17,63.87
2006-11-20,63.97
2006-11-21,63.71
2006-11-22,63.64
2006-11-24,63.74
2006-11-27,63.35
2006-11-28,63.36
2006-11-29,63.24
2006-11-30,63.24
2006-12-01,63.1
2006-12-04,63.55
2006-12-05,63.96
2006-12-06,63.81
2006-12-07,64.04
2006-12-08,64.18
2006-12-11,64.03
2006-12-12,64.06
2006-12-13,63.95
2006-12-14,63.78
2006-12-15,64.24
2006-12-18,64.27
2006-12-19,64.45
2006-12-20,64.48
2006-12-21,64.5
2006-12-22,64.25
2006-12-26,64.27
2006-12-27,64.58
2006-12-28,64.62
2006-12-29,64.73
2007-01-03,64.66
2007-01-04,64.5
2007-01-05,64.0
2007-01-08,63.78
2007-01-09,63.8
2007-01-10,64.33
2007-01-11,64.8
2007-01-12,65.0
2007-01-16,65.0
2007-01-17,65.73
2007-01-18,65.65
2007-01-19,66.3
2007-01-22,66.03
2007-01-23,66.0
2007-01-24,65.74
2007-01-25,65.49
2007-01-26,65.14
2007-01-29,65.55
2007-01-30,64.79
2007-01-31,65.16
2007-02-01,65.49
2007-02-02,65.64
2007-02-05,65.42
2007-02-06,65.26
2007-02-07,64.95
2007-02-08,64.75
2007-02-09,64.82
2007-02-12,64.59
2007-02-13,64.74
2007-02-14,65.07
2007-02-15,65.4
2007-02-16,65.5
2007-02-20,65.07
2007-02-21,64.99
2007-02-22,64.73
2007-02-23,64.93
2007-02-26,64.99
2007-02-27,64.73
2007-02-28,63.77
2007-03-01,64.12
2007-03-02,63.71
2007-03-05,63.6
2007-03-06,63.07
2007-03-07,63.05
2007-03-08,62.48
2007-03-09,62.7
2007-03-12,62.4
2007-03-13,62.12
2007-03-14,61.59
2007-03-15,62.05
2007-03-16,62.16
2007-03-19,62.15
2007-03-20,62.34
2007-03-21,63.0
2007-03-22,63.9
2007-03-23,63.98
2007-03-26,63.92
2007-03-27,63.76
2007-03-28,63.48
2007-03-29,63.5
2007-03-30,63.4
2007-04-02,63.35
2007-04-03,63.44
2007-04-04,63.25
2007-04-05,63.18
2007-04-09,63.4
2007-04-10,63.54
2007-04-11,63.22
2007-04-12,63.59
2007-04-13,63.52
2007-04-16,63.8
2007-04-17,64.08
2007-04-18,63.9
2007-04-19,64.19
2007-04-20,64.0
2007-04-23,64.0
2007-04-24,63.74
2007-04-25,63.75
2007-04-26,63.48
2007-04-27,63.21
2007-04-30,64.75
2007-05-01,63.25
2007-05-02,63.21
2007-05-03,62.7
2007-05-04,62.47
2007-05-07,62.79
2007-05-08,61.97
2007-05-09,62.27
