time_captured,UNH_Open
2006-01-03,62.6
2006-01-04,61.89
2006-01-05,62.23
2006-01-06,62.75
2006-01-09,62.9
2006-01-10,61.45
2006-01-11,62.6
2006-01-12,61.9
2006-01-13,61.34
2006-01-17,60.2
2006-01-18,61.0
2006-01-19,61.31
2006-01-20,61.4
2006-01-23,59.51
2006-01-24,58.05
2006-01-25,58.73
2006-01-26,57.99
2006-01-27,58.24
2006-01-30,58.4
2006-01-31,58.17
2006-02-01,59.3
2006-02-02,59.73
2006-02-03,59.36
2006-02-06,59.34
2006-02-07,58.5
2006-02-08,57.52
2006-02-09,58.5
2006-02-10,58.15
2006-02-13,58.5
2006-02-14,58.5
2006-02-15,59.4
2006-02-16,59.24
2006-02-17,58.25
2006-02-21,58.8
2006-02-22,58.34
2006-02-23,59.88
2006-02-24,59.1
2006-02-27,59.0
2006-02-28,58.93
2006-03-01,58.05
2006-03-02,58.0
2006-03-03,57.35
2006-03-06,56.3
2006-03-07,56.22
2006-03-08,56.43
2006-03-09,57.5
2006-03-10,56.39
2006-03-13,56.06
2006-03-14,55.45
2006-03-15,56.9
2006-03-16,57.29
2006-03-17,56.9
2006-03-20,56.58
2006-03-21,56.74
2006-03-22,55.0
2006-03-23,56.25
2006-03-24,56.18
2006-03-27,55.46
2006-03-28,54.56
2006-03-29,55.63
2006-03-30,55.75
2006-03-31,56.26
2006-04-03,56.6
2006-04-04,55.4
2006-04-05,55.17
2006-04-06,55.35
2006-04-07,54.65
2006-04-10,53.6
2006-04-11,52.65
2006-04-12,51.55
2006-04-13,53.46
2006-04-17,53.03
2006-04-18,52.7
2006-04-19,49.67
2006-04-20,49.35
2006-04-21,50.51
2006-04-24,49.48
2006-04-25,50.2
2006-04-26,49.59
2006-04-27,48.49
2006-04-28,48.0
2006-05-01,49.3
2006-05-02,49.3
2006-05-03,48.31
2006-05-04,46.6
2006-05-05,46.69
2006-05-08,46.15
2006-05-09,44.68
2006-05-10,44.79
2006-05-11,45.1
2006-05-12,43.93
2006-05-15,45.85
2006-05-16,47.07
2006-05-17,46.78
2006-05-18,46.1
2006-05-19,45.3
2006-05-22,44.43
2006-05-23,44.0
2006-05-24,42.77
2006-05-25,42.1
2006-05-26,42.5
2006-05-30,42.81
2006-05-31,43.75
2006-06-01,44.14
2006-06-02,46.28
2006-06-05,46.7
2006-06-06,46.3
2006-06-07,46.49
2006-06-08,46.72
2006-06-09,46.0
2006-06-12,45.77
2006-06-13,44.82
2006-06-14,44.76
2006-06-15,45.0
2006-06-16,44.9
2006-06-19,44.49
2006-06-20,43.85
2006-06-21,43.5
2006-06-22,44.2
2006-06-23,44.14
2006-06-26,45.11
2006-06-27,44.72
2006-06-28,44.49
2006-06-29,44.43
2006-06-30,45.02
2006-07-03,44.85
2006-07-05,45.0
2006-07-06,44.83
2006-07-07,45.02
2006-07-10,45.45
2006-07-11,46.94
2006-07-12,48.39
2006-07-13,48.07
2006-07-14,47.86
2006-07-17,47.32
2006-07-18,47.64
2006-07-19,49.91
2006-07-20,51.15
2006-07-21,50.4
2006-07-24,50.1
2006-07-25,50.81
2006-07-26,51.25
