time_captured,JPM_High
2006-01-03,40.36
2006-01-04,40.14
2006-01-05,39.81
2006-01-06,40.24
2006-01-09,40.72
2006-01-10,40.75
2006-01-11,40.87
2006-01-12,40.42
2006-01-13,40.03
2006-01-17,39.82
2006-01-18,39.71
2006-01-19,39.47
2006-01-20,38.82
2006-01-23,38.7
2006-01-24,38.53
2006-01-25,38.68
2006-01-26,39.81
2006-01-27,40.04
2006-01-30,39.97
2006-01-31,40.19
2006-02-01,40.22
2006-02-02,40.16
2006-02-03,40.1
2006-02-06,39.6
2006-02-07,39.6
2006-02-08,39.62
2006-02-09,40.03
2006-02-10,39.98
2006-02-13,40.31
2006-02-14,40.33
2006-02-15,40.5
2006-02-16,40.82
2006-02-17,40.82
2006-02-21,40.95
2006-02-22,41.55
2006-02-23,41.57
2006-02-24,41.83
2006-02-27,41.95
2006-02-28,41.6
2006-03-01,41.94
2006-03-02,41.84
2006-03-03,42.09
2006-03-06,41.81
2006-03-07,41.66
2006-03-08,41.74
2006-03-09,41.74
2006-03-10,41.4
2006-03-13,41.48
2006-03-14,41.5
2006-03-15,41.34
2006-03-16,41.53
2006-03-17,41.5
2006-03-20,41.55
2006-03-21,41.71
2006-03-22,42.2
2006-03-23,42.2
2006-03-24,42.43
2006-03-27,42.2
2006-03-28,42.21
2006-03-29,42.08
2006-03-30,42.04
2006-03-31,41.94
2006-04-03,42.46
2006-04-04,42.46
2006-04-05,42.66
2006-04-06,42.47
2006-04-07,42.44
2006-04-10,42.26
2006-04-11,42.35
2006-04-12,41.98
2006-04-13,42.42
2006-04-17,42.38
2006-04-18,42.75
2006-04-19,42.99
2006-04-20,42.95
2006-04-21,42.88
2006-04-24,42.78
2006-04-25,42.82
2006-04-26,42.74
2006-04-27,44.06
2006-04-28,45.9
2006-05-01,45.59
2006-05-02,45.51
2006-05-03,45.7
2006-05-04,45.81
2006-05-05,46.8
2006-05-08,46.65
2006-05-09,46.35
2006-05-10,46.12
2006-05-11,45.96
2006-05-12,44.96
2006-05-15,44.75
2006-05-16,44.8
2006-05-17,44.05
2006-05-18,43.41
2006-05-19,43.05
2006-05-22,42.95
2006-05-23,42.89
2006-05-24,42.48
2006-05-25,42.9
2006-05-26,43.38
2006-05-30,42.99
2006-05-31,42.97
2006-06-01,43.68
2006-06-02,44.2
2006-06-05,43.93
2006-06-06,43.18
2006-06-07,42.77
2006-06-08,42.5
2006-06-09,42.59
2006-06-12,42.23
2006-06-13,41.88
2006-06-14,40.85
2006-06-15,40.82
2006-06-16,40.7
2006-06-19,40.46
2006-06-20,40.78
2006-06-21,41.46
2006-06-22,41.67
2006-06-23,41.3
2006-06-26,41.5
2006-06-27,41.57
2006-06-28,41.31
2006-06-29,42.86
2006-06-30,42.99
2006-07-03,42.87
2006-07-05,42.87
2006-07-06,42.67
2006-07-07,42.75
2006-07-10,42.69
2006-07-11,42.99
2006-07-12,43.23
2006-07-13,41.96
2006-07-14,41.51
2006-07-17,40.94
2006-07-18,41.11
2006-07-19,43.06
2006-07-20,43.37
2006-07-21,43.47
2006-07-24,44.35
2006-07-25,44.86
2006-07-26,44.84
2006-07-27,44.97
2006-07-28,45.54
2006-07-31,45.71
2006-08-01,45.79
2006-08-02,45.91
2006-08-03,45.8
2006-08-04,46.1
2006-08-07,45.33
2006-08-08,45.72
2006-08-09,45.38
2006-08-10,44.35
2006-08-11,44.15
2006-08-14,44.5
2006-08-15,45.11
2006-08-16,45.65
2006-08-17,45.68
2006-08-18,45.71
2006-08-21,45.6
2006-08-22,45.59
2006-08-23,45.64
2006-08-24,45.97
2006-08-25,45.69
2006-08-28,46.04
2006-08-29,46.02
2006-08-30,46.07
2006-08-31,45.87
2006-09-01,45.9
2006-09-05,45.94
2006-09-06,46.05
2006-09-07,45.91
2006-09-08,45.44
2006-09-11,45.59
2006-09-12,46.02
2006-09-13,46.73
2006-09-14,46.56
2006-09-15,47.35
2006-09-18,46.95
2006-09-19,46.85
2006-09-20,47.49
2006-09-21,47.35
2006-09-22,46.94
2006-09-25,47.3
2006-09-26,46.95
2006-09-27,47.21
2006-09-28,47.32
2006-09-29,47.46
2006-10-02,47.33
2006-10-03,47.92
