time_captured,UNH_High
2006-01-03,62.6
2006-01-04,62.2
2006-01-05,62.88
2006-01-06,62.93
2006-01-09,62.9
2006-01-10,62.77
2006-01-11,62.7
2006-01-12,62.91
2006-01-13,61.34
2006-01-17,61.0
2006-01-18,61.76
2006-01-19,62.1
2006-01-20,61.4
2006-01-23,59.83
2006-01-24,58.7
2006-01-25,58.88
2006-01-26,58.52
2006-01-27,58.78
2006-01-30,58.7
2006-01-31,59.95
2006-02-01,59.75
2006-02-02,59.74
2006-02-03,59.89
2006-02-06,59.6
2006-02-07,59.08
2006-02-08,58.08
2006-02-09,59.19
2006-02-10,58.78
2006-02-13,58.78
2006-02-14,59.47
2006-02-15,59.75
2006-02-16,59.26
2006-02-17,58.4
2006-02-21,59.04
2006-02-22,59.8
2006-02-23,59.88
2006-02-24,59.46
2006-02-27,59.16
2006-02-28,59.02
2006-03-01,58.46
2006-03-02,58.22
2006-03-03,57.67
2006-03-06,56.78
2006-03-07,57.32
2006-03-08,57.35
2006-03-09,57.86
2006-03-10,56.79
2006-03-13,56.1
2006-03-14,56.94
2006-03-15,57.52
2006-03-16,57.34
2006-03-17,56.91
2006-03-20,56.91
2006-03-21,56.91
2006-03-22,56.91
2006-03-23,56.55
2006-03-24,56.78
2006-03-27,55.75
2006-03-28,54.84
2006-03-29,56.55
2006-03-30,56.97
2006-03-31,56.65
2006-04-03,56.6
2006-04-04,55.7
2006-04-05,55.73
2006-04-06,55.37
2006-04-07,55.23
2006-04-10,53.63
2006-04-11,52.81
2006-04-12,53.57
2006-04-13,53.8
2006-04-17,53.03
2006-04-18,52.93
2006-04-19,50.0
2006-04-20,50.78
2006-04-21,50.75
2006-04-24,50.43
2006-04-25,50.55
2006-04-26,50.0
2006-04-27,48.49
2006-04-28,49.9
2006-05-01,50.22
2006-05-02,50.0
2006-05-03,48.32
2006-05-04,47.15
2006-05-05,46.88
2006-05-08,46.65
2006-05-09,44.8
2006-05-10,46.43
2006-05-11,45.34
2006-05-12,46.17
2006-05-15,46.99
2006-05-16,47.9
2006-05-17,47.68
2006-05-18,46.2
2006-05-19,45.4
2006-05-22,44.57
2006-05-23,44.14
2006-05-24,42.77
2006-05-25,42.68
2006-05-26,43.41
2006-05-30,43.81
2006-05-31,44.15
2006-06-01,45.9
2006-06-02,47.37
2006-06-05,47.11
2006-06-06,46.72
2006-06-07,46.88
2006-06-08,46.95
2006-06-09,46.3
2006-06-12,46.15
2006-06-13,45.65
2006-06-14,45.27
2006-06-15,45.15
2006-06-16,44.99
2006-06-19,44.5
2006-06-20,44.17
2006-06-21,44.6
2006-06-22,45.2
2006-06-23,45.68
2006-06-26,45.7
2006-06-27,44.97
2006-06-28,44.6
2006-06-29,45.82
2006-06-30,45.3
2006-07-03,45.07
2006-07-05,45.24
2006-07-06,45.63
2006-07-07,45.59
2006-07-10,46.95
2006-07-11,48.95
2006-07-12,48.94
2006-07-13,48.74
2006-07-14,47.91
2006-07-17,48.4
2006-07-18,48.81
2006-07-19,51.14
2006-07-20,51.94
2006-07-21,50.4
2006-07-24,50.88
2006-07-25,51.67
2006-07-26,51.42
2006-07-27,49.55
2006-07-28,50.54
2006-07-31,48.65
2006-08-01,48.0
2006-08-02,49.6
2006-08-03,48.77
2006-08-04,49.1
2006-08-07,48.94
2006-08-08,49.71
2006-08-09,49.97
2006-08-10,47.85
2006-08-11,47.74
2006-08-14,48.14
2006-08-15,48.29
2006-08-16,48.5
2006-08-17,49.38
2006-08-18,49.54
2006-08-21,49.93
2006-08-22,50.18
2006-08-23,49.95
2006-08-24,51.3
2006-08-25,51.07
2006-08-28,51.75
2006-08-29,51.59
2006-08-30,52.08
2006-08-31,52.03
2006-09-01,52.02
2006-09-05,51.98
2006-09-06,51.1
2006-09-07,50.82
2006-09-08,51.13
2006-09-11,51.75
2006-09-12,52.67
2006-09-13,52.78
2006-09-14,52.2
2006-09-15,52.38
2006-09-18,52.84
2006-09-19,52.15
2006-09-20,51.99
2006-09-21,51.9
2006-09-22,50.3
2006-09-25,49.53
2006-09-26,49.46
2006-09-27,49.32
2006-09-28,49.51
2006-09-29,49.75
2006-10-02,49.58
2006-10-03,49.78
2006-10-04,49.7
2006-10-05,50.73
2006-10-06,52.61
2006-10-09,51.5
2006-10-10,50.98
2006-10-11,50.37
2006-10-12,50.0
2006-10-13,49.4
2006-10-16,50.36
2006-10-17,47.66
2006-10-18,48.03
2006-10-19,51.03
2006-10-20,51.45
2006-10-23,51.18
2006-10-24,50.79
2006-10-25,49.9
2006-10-26,49.65
2006-10-27,49.91
2006-10-30,49.79
2006-10-31,49.29
2006-11-01,49.54
2006-11-02,49.2
2006-11-03,48.75
2006-11-06,48.72
2006-11-07,50.0
2006-11-08,48.68
2006-11-09,48.0
2006-11-10,46.5
2006-11-13,46.86
2006-11-14,47.52
2006-11-15,48.08
2006-11-16,48.29
2006-11-17,47.68
2006-11-20,47.87
2006-11-21,47.0
2006-11-22,46.68
2006-11-24,47.0
2006-11-27,46.89
2006-11-28,48.0
2006-11-29,47.61
2006-11-30,49.48
2006-12-01,49.84
2006-12-04,49.53
2006-12-05,49.17
2006-12-06,49.14
2006-12-07,50.25
2006-12-08,49.95
2006-12-11,50.31
2006-12-12,50.37
2006-12-13,50.56
2006-12-14,50.21
2006-12-15,50.15
2006-12-18,50.53
2006-12-19,52.53
2006-12-20,53.7
2006-12-21,54.46
2006-12-22,53.91
2006-12-26,53.83
2006-12-27,53.6
2006-12-28,53.75
2006-12-29,54.04
2007-01-03,54.34
2007-01-04,53.0
2007-01-05,53.05
