time_captured,GS_High
2006-01-03,129.44
2006-01-04,128.91
2006-01-05,127.32
2006-01-06,129.25
2006-01-09,130.62
2006-01-10,132.95
2006-01-11,133.8
2006-01-12,133.21
2006-01-13,133.66
2006-01-17,133.13
2006-01-18,132.68
2006-01-19,134.82
2006-01-20,134.06
2006-01-23,134.18
2006-01-24,134.09
2006-01-25,134.04
2006-01-26,138.36
2006-01-27,139.75
2006-01-30,140.64
2006-01-31,141.86
2006-02-01,142.95
2006-02-02,143.77
2006-02-03,143.12
2006-02-06,144.1
2006-02-07,143.31
2006-02-08,141.93
2006-02-09,142.85
2006-02-10,141.85
2006-02-13,141.8
2006-02-14,142.32
2006-02-15,145.5
2006-02-16,146.35
2006-02-17,146.22
2006-02-21,145.75
2006-02-22,145.53
2006-02-23,145.61
2006-02-24,145.4
2006-02-27,145.25
2006-02-28,144.16
2006-03-01,143.74
2006-03-02,144.86
2006-03-03,147.48
2006-03-06,147.08
2006-03-07,144.46
2006-03-08,144.67
2006-03-09,143.4
2006-03-10,142.45
2006-03-13,142.95
2006-03-14,149.5
2006-03-15,149.64
2006-03-16,149.69
2006-03-17,151.54
2006-03-20,152.66
2006-03-21,152.0
2006-03-22,152.36
2006-03-23,151.96
2006-03-24,152.57
2006-03-27,155.36
2006-03-28,157.82
2006-03-29,157.57
2006-03-30,159.63
2006-03-31,158.38
2006-04-03,159.88
2006-04-04,161.36
2006-04-05,161.92
2006-04-06,162.07
2006-04-07,163.16
2006-04-10,164.05
2006-04-11,163.3
2006-04-12,160.3
2006-04-13,159.69
2006-04-17,163.21
2006-04-18,166.18
2006-04-19,167.57
2006-04-20,169.31
2006-04-21,168.66
2006-04-24,166.27
2006-04-25,165.6
2006-04-26,164.65
2006-04-27,165.79
2006-04-28,164.89
2006-05-01,161.67
2006-05-02,160.0
2006-05-03,159.85
2006-05-04,160.33
2006-05-05,164.6
2006-05-08,166.55
2006-05-09,166.26
2006-05-10,165.41
2006-05-11,164.49
2006-05-12,159.7
2006-05-15,157.0
2006-05-16,155.11
2006-05-17,151.15
2006-05-18,150.25
2006-05-19,150.45
2006-05-22,148.51
2006-05-23,148.88
2006-05-24,145.59
2006-05-25,147.32
2006-05-26,152.94
2006-05-30,151.95
2006-05-31,152.39
2006-06-01,153.59
2006-06-02,157.0
2006-06-05,156.29
2006-06-06,152.06
2006-06-07,152.53
2006-06-08,150.67
2006-06-09,152.1
2006-06-12,150.72
2006-06-13,145.5
2006-06-14,141.76
2006-06-15,145.19
2006-06-16,144.59
2006-06-19,145.75
2006-06-20,145.99
2006-06-21,150.32
2006-06-22,150.5
2006-06-23,149.4
2006-06-26,149.95
2006-06-27,150.89
2006-06-28,148.5
2006-06-29,152.2
2006-06-30,152.72
2006-07-03,152.79
2006-07-05,151.7
2006-07-06,152.3
2006-07-07,150.5
2006-07-10,150.41
2006-07-11,149.0
2006-07-12,149.23
2006-07-13,145.2
2006-07-14,143.5
2006-07-17,142.27
2006-07-18,142.48
2006-07-19,147.85
2006-07-20,147.8
2006-07-21,145.06
2006-07-24,147.5
2006-07-25,149.67
2006-07-26,148.82
2006-07-27,149.63
2006-07-28,152.35
2006-07-31,153.73
2006-08-01,151.74
2006-08-02,150.5
2006-08-03,153.15
2006-08-04,156.29
2006-08-07,154.85
2006-08-08,155.4
2006-08-09,153.75
2006-08-10,152.12
2006-08-11,152.87
2006-08-14,153.01
2006-08-15,153.99
2006-08-16,155.05
2006-08-17,156.87
2006-08-18,154.75
2006-08-21,154.25
2006-08-22,155.01
2006-08-23,154.75
2006-08-24,153.6
2006-08-25,151.42
2006-08-28,150.54
2006-08-29,149.79
2006-08-30,147.76
2006-08-31,148.75
2006-09-01,149.43
2006-09-05,151.51
2006-09-06,151.44
2006-09-07,150.68
2006-09-08,151.0
2006-09-11,151.23
2006-09-12,159.75
2006-09-13,162.26
2006-09-14,163.18
2006-09-15,163.75
2006-09-18,164.8
2006-09-19,164.22
2006-09-20,167.16
2006-09-21,169.69
2006-09-22,168.33
2006-09-25,169.42
2006-09-26,169.92
2006-09-27,169.9
2006-09-28,170.0
2006-09-29,171.15
2006-10-02,171.45
2006-10-03,174.4
2006-10-04,176.66
2006-10-05,176.52
2006-10-06,176.0
2006-10-09,177.49
2006-10-10,179.85
2006-10-11,178.97
2006-10-12,181.92
2006-10-13,183.96
2006-10-16,185.48
2006-10-17,184.71
2006-10-18,184.65
2006-10-19,182.63
2006-10-20,180.69
2006-10-23,184.87
2006-10-24,188.25
2006-10-25,189.69
2006-10-26,193.6
2006-10-27,193.23
2006-10-30,190.55
2006-10-31,191.02
2006-11-01,192.21
2006-11-02,187.79
2006-11-03,188.95
2006-11-06,191.7
2006-11-07,191.42
2006-11-08,189.92
2006-11-09,189.0
2006-11-10,187.07
2006-11-13,189.8
2006-11-14,190.94
2006-11-15,194.32
2006-11-16,196.8
2006-11-17,197.0
2006-11-20,198.11
2006-11-21,199.89
2006-11-22,202.47
2006-11-24,203.35
2006-11-27,202.1
2006-11-28,197.49
2006-11-29,199.45
2006-11-30,196.45
2006-12-01,196.43
2006-12-04,200.08
2006-12-05,202.25
2006-12-06,205.05
2006-12-07,206.7
2006-12-08,205.26
2006-12-11,205.5
2006-12-12,203.85
2006-12-13,201.78
2006-12-14,200.8
2006-12-15,201.95
