time_captured,XOM_Open
2006-01-03,56.42
2006-01-04,58.6
2006-01-05,58.57
2006-01-06,58.76
2006-01-09,59.8
2006-01-10,59.2
2006-01-11,59.68
2006-01-12,60.5
2006-01-13,59.51
2006-01-17,61.26
2006-01-18,61.72
2006-01-19,60.68
2006-01-20,61.81
2006-01-23,60.53
2006-01-24,60.9
2006-01-25,61.34
2006-01-26,60.79
2006-01-27,60.36
2006-01-30,62.88
2006-01-31,62.75
2006-02-01,62.77
2006-02-02,61.9
2006-02-03,61.65
2006-02-06,61.7
2006-02-07,61.59
2006-02-08,60.0
2006-02-09,60.55
2006-02-10,60.05
2006-02-13,59.43
2006-02-14,59.26
2006-02-15,59.81
2006-02-16,59.9
2006-02-17,60.37
2006-02-21,61.0
2006-02-22,60.6
2006-02-23,60.01
2006-02-24,60.34
2006-02-27,60.2
2006-02-28,59.52
2006-03-01,59.59
2006-03-02,60.04
2006-03-03,60.83
2006-03-06,60.95
2006-03-07,59.9
2006-03-08,59.45
2006-03-09,59.94
2006-03-10,58.92
2006-03-13,59.68
2006-03-14,59.55
2006-03-15,60.67
2006-03-16,60.97
2006-03-17,61.8
2006-03-20,60.77
2006-03-21,60.66
2006-03-22,59.9
2006-03-23,61.11
2006-03-24,61.15
2006-03-27,61.11
2006-03-28,61.45
2006-03-29,60.95
2006-03-30,61.25
2006-03-31,60.9
2006-04-03,61.36
2006-04-04,60.65
2006-04-05,61.63
2006-04-06,61.6
2006-04-07,61.77
2006-04-10,61.9
2006-04-11,62.2
2006-04-12,62.05
2006-04-13,61.29
2006-04-17,61.94
2006-04-18,62.49
2006-04-19,63.1
2006-04-20,64.0
2006-04-21,64.2
2006-04-24,64.76
2006-04-25,64.85
2006-04-26,63.98
2006-04-27,61.5
2006-04-28,62.57
2006-05-01,63.4
2006-05-02,63.82
2006-05-03,64.6
2006-05-04,63.77
2006-05-05,63.9
2006-05-08,63.6
2006-05-09,63.6
2006-05-10,63.5
2006-05-11,64.1
2006-05-12,63.46
2006-05-15,61.51
2006-05-16,62.11
2006-05-17,61.45
2006-05-18,60.25
2006-05-19,59.9
2006-05-22,59.95
2006-05-23,61.3
2006-05-24,60.0
2006-05-25,60.78
2006-05-26,61.53
2006-05-30,61.7
2006-05-31,60.21
2006-06-01,60.4
2006-06-02,61.5
2006-06-05,62.1
2006-06-06,60.0
2006-06-07,60.3
2006-06-08,58.38
2006-06-09,59.89
2006-06-12,59.05
2006-06-13,57.75
2006-06-14,56.65
2006-06-15,58.06
2006-06-16,58.95
2006-06-19,58.77
2006-06-20,57.66
2006-06-21,57.35
2006-06-22,57.72
2006-06-23,58.15
2006-06-26,58.1
2006-06-27,58.97
2006-06-28,59.8
2006-06-29,61.22
2006-06-30,62.65
2006-07-03,61.8
2006-07-05,61.9
2006-07-06,62.75
2006-07-07,63.7
2006-07-10,63.0
2006-07-11,63.2
2006-07-12,64.0
2006-07-13,64.15
2006-07-14,64.57
