time_captured,AAPL_High
2006-01-03,10.68
2006-01-04,10.85
2006-01-05,10.7
2006-01-06,10.96
2006-01-09,11.03
2006-01-10,11.7
2006-01-11,12.11
2006-01-12,12.34
2006-01-13,12.29
2006-01-17,12.34
2006-01-18,12.01
2006-01-19,11.67
2006-01-20,11.43
2006-01-23,11.37
2006-01-24,11.35
2006-01-25,11.07
2006-01-26,10.78
2006-01-27,10.51
2006-01-30,10.94
2006-01-31,10.91
2006-02-01,10.92
2006-02-02,10.77
2006-02-03,10.4
2006-02-06,10.36
2006-02-07,9.93
2006-02-08,9.87
2006-02-09,9.89
2006-02-10,9.67
2006-02-13,9.54
2006-02-14,9.73
2006-02-15,9.95
2006-02-16,10.14
2006-02-17,10.13
2006-02-21,10.11
2006-02-22,10.24
2006-02-23,10.43
2006-02-24,10.41
2006-02-27,10.3
2006-02-28,10.34
2006-03-01,9.93
2006-03-02,10.0
2006-03-03,9.99
2006-03-06,9.67
2006-03-07,9.56
2006-03-08,9.6
2006-03-09,9.5
2006-03-10,9.21
2006-03-13,9.47
2006-03-14,9.62
2006-03-15,9.72
2006-03-16,9.56
2006-03-17,9.36
2006-03-20,9.35
2006-03-21,9.19
2006-03-22,9.04
2006-03-23,8.84
2006-03-24,8.71
2006-03-27,8.77
2006-03-28,8.59
2006-03-29,8.93
2006-03-30,9.04
2006-03-31,9.09
2006-04-03,9.16
2006-04-04,8.89
2006-04-05,9.6
2006-04-06,10.29
2006-04-07,10.17
2006-04-10,10.13
2006-04-11,9.9
2006-04-12,9.74
2006-04-13,9.63
2006-04-17,9.55
2006-04-18,9.5
2006-04-19,9.57
2006-04-20,10.0
2006-04-21,9.81
2006-04-24,9.56
2006-04-25,9.51
2006-04-26,9.75
2006-04-27,9.98
2006-04-28,10.19
2006-05-01,10.22
2006-05-02,10.28
2006-05-03,10.28
2006-05-04,10.41
2006-05-05,10.32
2006-05-08,10.54
2006-05-09,10.37
2006-05-10,10.19
2006-05-11,10.12
2006-05-12,9.81
2006-05-15,9.77
2006-05-16,9.75
2006-05-17,9.39
2006-05-18,9.47
2006-05-19,9.27
2006-05-22,9.14
2006-05-23,9.31
2006-05-24,9.09
2006-05-25,9.21
2006-05-26,9.22
2006-05-30,9.04
2006-05-31,8.83
2006-06-01,8.9
2006-06-02,9.01
2006-06-05,8.74
2006-06-06,8.66
2006-06-07,8.63
2006-06-08,8.7
2006-06-09,8.79
2006-06-12,8.53
2006-06-13,8.44
2006-06-14,8.4
2006-06-15,8.53
2006-06-16,8.46
2006-06-19,8.31
2006-06-20,8.34
2006-06-21,8.39
2006-06-22,8.54
2006-06-23,8.6
2006-06-26,8.46
2006-06-27,8.46
2006-06-28,8.19
2006-06-29,8.44
2006-06-30,8.25
2006-07-03,8.31
2006-07-05,8.23
2006-07-06,8.2
2006-07-07,8.08
2006-07-10,8.07
2006-07-11,8.0
2006-07-12,7.89
2006-07-13,7.73
2006-07-14,7.56
2006-07-17,7.59
2006-07-18,7.69
2006-07-19,7.87
2006-07-20,8.8
2006-07-21,8.74
2006-07-24,8.87
2006-07-25,8.87
2006-07-26,9.23
2006-07-27,9.29
2006-07-28,9.38
2006-07-31,9.8
2006-08-01,9.7
2006-08-02,9.81
2006-08-03,10.0
2006-08-04,9.8
2006-08-07,9.94
2006-08-08,9.59
2006-08-09,9.37
2006-08-10,9.26
2006-08-11,9.16
2006-08-14,9.32
2006-08-15,9.5
2006-08-16,9.72
2006-08-17,9.81
2006-08-18,9.77
2006-08-21,9.62
2006-08-22,9.76
2006-08-23,9.81
2006-08-24,9.74
2006-08-25,9.86
2006-08-28,9.8
2006-08-29,9.61
2006-08-30,9.69
2006-08-31,9.76
2006-09-01,9.81
2006-09-05,10.21
2006-09-06,10.24
2006-09-07,10.5
2006-09-08,10.51
2006-09-11,10.53
2006-09-12,10.49
2006-09-13,10.62
2006-09-14,10.67
2006-09-15,10.71
2006-09-18,10.69
2006-09-19,10.62
2006-09-20,10.81
2006-09-21,10.87
2006-09-22,10.62
2006-09-25,10.84
2006-09-26,11.11
2006-09-27,11.07
2006-09-28,11.07
2006-09-29,11.07
2006-10-02,10.84
2006-10-03,10.71
2006-10-04,10.78
2006-10-05,10.88
2006-10-06,10.72
2006-10-09,10.73
2006-10-10,10.65
2006-10-11,10.57
2006-10-12,10.77
2006-10-13,10.98
2006-10-16,10.84
2006-10-17,10.75
2006-10-18,11.23
2006-10-19,11.42
2006-10-20,11.43
2006-10-23,11.7
2006-10-24,11.67
2006-10-25,11.71
2006-10-26,11.8
2006-10-27,11.78
2006-10-30,11.56
2006-10-31,11.67
2006-11-01,11.63
2006-11-02,11.33
2006-11-03,11.36
2006-11-06,11.44
2006-11-07,11.57
2006-11-08,11.81
2006-11-09,12.1
2006-11-10,11.94
2006-11-13,12.06
2006-11-14,12.1
2006-11-15,12.27
2006-11-16,12.33
2006-11-17,12.28
2006-11-20,12.43
2006-11-21,12.66
2006-11-22,12.96
2006-11-24,13.3
2006-11-27,13.31
2006-11-28,13.14
2006-11-29,13.31
2006-11-30,13.24
2006-12-01,13.19
2006-12-04,13.15
2006-12-05,13.19
2006-12-06,13.06
2006-12-07,12.93
2006-12-08,12.77
2006-12-11,12.76
2006-12-12,12.69
2006-12-13,12.72
2006-12-14,12.86
2006-12-15,12.75
2006-12-18,12.57
2006-12-19,12.38
2006-12-20,12.38
2006-12-21,12.21
2006-12-22,12.01
2006-12-26,11.8
2006-12-27,11.71
2006-12-28,11.61
