time_captured,DIS_Volume
2006-01-03,9657400
2006-01-04,13165300
2006-01-05,8698200
2006-01-06,6412800
2006-01-09,6590300
2006-01-10,11798200
2006-01-11,12197600
2006-01-12,9897000
2006-01-13,8073600
2006-01-17,9326800
2006-01-18,7939500
2006-01-19,26537500
2006-01-20,18981000
2006-01-23,11311500
2006-01-24,22929000
2006-01-25,33056200
2006-01-26,32512800
2006-01-27,11728900
2006-01-30,20554000
2006-01-31,15992000
2006-02-01,11972900
2006-02-02,10637100
2006-02-03,12023300
2006-02-06,12377100
2006-02-07,48028600
2006-02-08,25301000
2006-02-09,13862500
2006-02-10,10225600
2006-02-13,9627500
2006-02-14,11966700
2006-02-15,12094100
2006-02-16,10968200
2006-02-17,8101800
2006-02-21,10655100
2006-02-22,10957400
2006-02-23,12931900
2006-02-24,11812900
2006-02-27,14670400
2006-02-28,10858500
2006-03-01,9110200
2006-03-02,9579600
2006-03-03,7872400
2006-03-06,7378700
2006-03-07,7741900
2006-03-08,7260700
2006-03-09,7005500
2006-03-10,8083700
2006-03-13,10409300
2006-03-14,5620500
2006-03-15,6644900
2006-03-16,6014800
2006-03-17,7977100
2006-03-20,6268700
2006-03-21,7682500
2006-03-22,13030400
2006-03-23,12481900
2006-03-24,6916900
2006-03-27,8328300
2006-03-28,12831800
2006-03-29,12855400
2006-03-30,7344900
2006-03-31,7905800
2006-04-03,7027900
2006-04-04,7457600
2006-04-05,7588000
2006-04-06,6492000
2006-04-07,5988200
2006-04-10,6659100
2006-04-11,5876700
2006-04-12,4912600
2006-04-13,3617500
2006-04-17,5845900
2006-04-18,7256200
2006-04-19,7626400
2006-04-20,7903900
2006-04-21,7633300
2006-04-24,6813600
2006-04-25,8047500
2006-04-26,6531100
2006-04-27,9581700
2006-04-28,11570700
2006-05-01,8275200
2006-05-02,6806100
2006-05-03,8444100
2006-05-04,7803700
2006-05-05,52024400
2006-05-08,27585700
2006-05-09,18208600
2006-05-10,21113500
2006-05-11,14468200
2006-05-12,12792400
2006-05-15,10999400
2006-05-16,13800600
2006-05-17,15245300
2006-05-18,13637600
2006-05-19,13920900
2006-05-22,11974500
2006-05-23,10380300
2006-05-24,12481000
2006-05-25,8319100
2006-05-26,7493900
2006-05-30,8196800
2006-05-31,14287800
2006-06-01,10074600
2006-06-02,8661600
2006-06-05,10021100
2006-06-06,16301400
2006-06-07,13496100
2006-06-08,20619600
2006-06-09,15045300
2006-06-12,18754900
2006-06-13,13600600
2006-06-14,14872200
2006-06-15,11799100
2006-06-16,12550500
2006-06-19,12251500
2006-06-20,13625600
2006-06-21,11568500
2006-06-22,9461800
2006-06-23,8631900
2006-06-26,9399800
2006-06-27,8894400
2006-06-28,8285100
2006-06-29,11089700
2006-06-30,12438800
2006-07-03,5795900
2006-07-05,11189300
2006-07-06,10770600
2006-07-07,9349400
2006-07-10,11718900
2006-07-11,10012200
2006-07-12,8415000
2006-07-13,17643000
2006-07-14,10540900
2006-07-17,10445800
2006-07-18,10826800
2006-07-19,11554000
2006-07-20,9221600
2006-07-21,10859800
2006-07-24,9214300
2006-07-25,7972100
2006-07-26,8169900
2006-07-27,10486500
2006-07-28,14653300
2006-07-31,9304300
2006-08-01,9883000
2006-08-02,8476200
2006-08-03,8142100
2006-08-04,9907500
2006-08-07,10501000
2006-08-08,12411700
2006-08-09,18687300
2006-08-10,17026600
2006-08-11,6822100
2006-08-14,8675100
2006-08-15,7508300
2006-08-16,9780400
2006-08-17,6107200
2006-08-18,6730200
2006-08-21,6718000
2006-08-22,14744100
2006-08-23,9075000
2006-08-24,10348100
2006-08-25,5863800
2006-08-28,5115200
2006-08-29,8975900
2006-08-30,7821000
2006-08-31,5240700
2006-09-01,5929800
2006-09-05,5903400
2006-09-06,4890900
2006-09-07,6629000
2006-09-08,7422700
2006-09-11,6544500
2006-09-12,12609800
2006-09-13,10786100
2006-09-14,5784000
2006-09-15,16958500
2006-09-18,6584900
2006-09-19,7598400
2006-09-20,11259500
2006-09-21,9189900
2006-09-22,11227100
2006-09-25,8356200
2006-09-26,13794900
2006-09-27,12973800
2006-09-28,9581900
2006-09-29,8216000
2006-10-02,6603100
2006-10-03,7906900
2006-10-04,9934500
2006-10-05,5003700
2006-10-06,7349100
2006-10-09,5224200
2006-10-10,6288400
2006-10-11,4458300
2006-10-12,5848600
2006-10-13,5390700
2006-10-16,4462200
2006-10-17,6659700
2006-10-18,12821900
2006-10-19,6193200
2006-10-20,8135300
2006-10-23,8295000
2006-10-24,6903100
2006-10-25,7486500
2006-10-26,10250500
2006-10-27,6744700
2006-10-30,4580100
2006-10-31,7437600
2006-11-01,8433700
2006-11-02,5155300
2006-11-03,8533900
2006-11-06,11228700
2006-11-07,11772800
2006-11-08,7028300
2006-11-09,19690900
2006-11-10,25028400
2006-11-13,11777700
2006-11-14,12598400
2006-11-15,10576500
2006-11-16,8561800
2006-11-17,10179700
2006-11-20,11051100
2006-11-21,5725100
2006-11-22,8308100
2006-11-24,2643300
2006-11-27,9987800
2006-11-28,10412100
2006-11-29,9444200
2006-11-30,8954600
2006-12-01,8374800
2006-12-04,7813000
2006-12-05,13529500
2006-12-06,8112300
2006-12-07,6502100
2006-12-08,6222400
2006-12-11,7062000
2006-12-12,9400100
2006-12-13,8457100
2006-12-14,8587800
2006-12-15,13930200
2006-12-18,7885500
2006-12-19,8672100
2006-12-20,5671000
2006-12-21,6291400
2006-12-22,6716000
2006-12-26,6564300
2006-12-27,7524300
2006-12-28,7108100
2006-12-29,9695400
2007-01-03,13379700
2007-01-04,9677200
2007-01-05,10409000
2007-01-08,9352000
2007-01-09,11432300
2007-01-10,7206900
2007-01-11,12194500
2007-01-12,11860000
2007-01-16,10997400
2007-01-17,9811900
2007-01-18,16498300
2007-01-19,12450800
2007-01-22,8722300
2007-01-23,11126800
2007-01-24,10616400
2007-01-25,9455300
2007-01-26,10391400
2007-01-29,11039300
2007-01-30,6550100
2007-01-31,8976200
2007-02-01,8048100
2007-02-02,7670300
2007-02-05,8871400
2007-02-06,7800200
2007-02-07,12033100
2007-02-08,20464000
2007-02-09,18988100
2007-02-12,17772802
2007-02-13,12848592
2007-02-14,11835125
2007-02-15,11047500
2007-02-16,9505300
2007-02-20,8699200
2007-02-21,8234100
2007-02-22,7657700
2007-02-23,7147300
2007-02-26,8103418
2007-02-27,15049700
2007-02-28,15605800
2007-03-01,13715411
2007-03-02,9921000
2007-03-05,10523000
2007-03-06,11371700
2007-03-07,9392300
2007-03-08,8180100
2007-03-09,11403100
2007-03-12,11666500
2007-03-13,13706200
2007-03-14,10188100
2007-03-15,9912400
2007-03-16,13630600
2007-03-19,7802500
2007-03-20,8080400
