time_captured,TRV_Close
2006-01-03,45.99
2006-01-04,46.5
2006-01-05,46.95
2006-01-06,47.21
2006-01-09,47.23
2006-01-10,46.89
2006-01-11,47.65
2006-01-12,47.37
2006-01-13,47.25
2006-01-17,46.43
2006-01-18,46.53
2006-01-19,45.94
2006-01-20,45.01
2006-01-23,45.54
2006-01-24,45.32
2006-01-25,44.71
2006-01-26,46.2
2006-01-27,46.54
2006-01-30,46.25
2006-01-31,45.38
2006-02-01,45.61
2006-02-02,45.3
2006-02-03,44.79
2006-02-06,44.13
2006-02-07,43.77
2006-02-08,43.68
2006-02-09,43.46
2006-02-10,43.63
2006-02-13,43.28
2006-02-14,44.34
2006-02-15,43.91
2006-02-16,43.4
2006-02-17,43.03
2006-02-21,42.77
2006-02-22,43.05
2006-02-23,42.5
2006-02-24,42.55
2006-02-27,43.06
2006-02-28,42.98
2006-03-01,42.81
2006-03-02,42.59
2006-03-03,42.87
2006-03-06,42.46
2006-03-07,42.63
2006-03-08,42.54
2006-03-09,42.13
2006-03-10,42.32
2006-03-13,42.66
2006-03-14,42.8
2006-03-15,42.93
2006-03-16,42.96
2006-03-17,41.55
2006-03-20,41.9
2006-03-21,41.47
2006-03-22,41.58
2006-03-23,41.36
2006-03-24,41.46
2006-03-27,41.24
2006-03-28,40.75
2006-03-29,41.96
2006-03-30,42.18
2006-03-31,41.79
2006-04-03,42.13
2006-04-04,42.35
2006-04-05,42.26
2006-04-06,42.14
2006-04-07,41.29
2006-04-10,41.4
2006-04-11,41.1
2006-04-12,41.25
2006-04-13,41.02
2006-04-17,41.11
2006-04-18,41.8
2006-04-19,43.0
2006-04-20,43.27
2006-04-21,42.71
2006-04-24,42.95
2006-04-25,42.88
2006-04-26,43.78
2006-04-27,43.72
2006-04-28,44.03
2006-05-01,43.4
2006-05-02,45.6
2006-05-03,45.85
2006-05-04,45.86
2006-05-05,45.76
2006-05-08,45.59
2006-05-09,45.29
2006-05-10,45.5
2006-05-11,45.08
