time_captured,AAPL_Low
2006-01-03,10.32
2006-01-04,10.64
2006-01-05,10.54
2006-01-06,10.65
2006-01-09,10.82
2006-01-10,10.83
2006-01-11,11.8
2006-01-12,11.95
2006-01-13,12.09
2006-01-17,11.98
2006-01-18,11.69
2006-01-19,11.25
2006-01-20,10.83
2006-01-23,10.86
2006-01-24,10.82
2006-01-25,10.46
2006-01-26,10.28
2006-01-27,10.16
2006-01-30,10.12
2006-01-31,10.54
2006-02-01,10.66
2006-02-02,10.29
2006-02-03,10.15
2006-02-06,9.53
2006-02-07,9.53
2006-02-08,9.43
2006-02-09,9.22
2006-02-10,8.99
2006-02-13,9.23
2006-02-14,9.29
2006-02-15,9.54
2006-02-16,9.93
2006-02-17,9.94
2006-02-21,9.81
2006-02-22,9.71
2006-02-23,10.2
2006-02-24,10.17
2006-02-27,10.09
2006-02-28,9.73
2006-03-01,9.72
2006-03-02,9.81
2006-03-03,9.65
2006-03-06,9.28
2006-03-07,9.3
2006-03-08,9.34
2006-03-09,9.12
2006-03-10,8.92
2006-03-13,9.26
2006-03-14,9.36
2006-03-15,9.36
2006-03-16,9.19
2006-03-17,9.16
2006-03-20,9.12
2006-03-21,8.77
2006-03-22,8.75
2006-03-23,8.52
2006-03-24,8.43
2006-03-27,8.49
2006-03-28,8.32
2006-03-29,8.24
2006-03-30,8.79
2006-03-31,8.89
2006-04-03,8.94
2006-04-04,8.72
2006-04-05,9.16
2006-04-06,9.74
2006-04-07,9.78
2006-04-10,9.78
2006-04-11,9.58
2006-04-12,9.47
2006-04-13,9.4
2006-04-17,9.19
2006-04-18,9.26
2006-04-19,9.35
2006-04-20,9.46
2006-04-21,9.5
2006-04-24,9.36
2006-04-25,9.37
2006-04-26,9.49
2006-04-27,9.62
2006-04-28,9.89
2006-05-01,9.88
2006-05-02,10.02
2006-05-03,10.03
2006-05-04,10.07
2006-05-05,10.16
2006-05-08,10.25
2006-05-09,10.09
2006-05-10,9.94
2006-05-11,9.65
2006-05-12,9.55
2006-05-15,9.59
2006-05-16,9.25
2006-05-17,9.15
2006-05-18,9.02
2006-05-19,8.97
2006-05-22,8.97
2006-05-23,9.0
2006-05-24,8.79
2006-05-25,9.04
2006-05-26,9.02
2006-05-30,8.75
2006-05-31,8.38
2006-06-01,8.5
2006-06-02,8.7
2006-06-05,8.57
2006-06-06,8.42
2006-06-07,8.34
2006-06-08,8.16
2006-06-09,8.44
2006-06-12,8.14
2006-06-13,8.19
2006-06-14,8.1
2006-06-15,8.11
2006-06-16,8.22
2006-06-19,8.14
2006-06-20,8.18
2006-06-21,8.19
2006-06-22,8.3
2006-06-23,8.39
2006-06-26,8.34
2006-06-27,8.2
2006-06-28,7.92
2006-06-29,8.06
2006-06-30,8.07
2006-07-03,8.19
2006-07-05,8.08
2006-07-06,7.94
2006-07-07,7.81
2006-07-10,7.79
2006-07-11,7.79
2006-07-12,7.56
2006-07-13,7.34
2006-07-14,7.17
2006-07-17,7.38
2006-07-18,7.41
2006-07-19,7.48
2006-07-20,8.53
2006-07-21,8.52
2006-07-24,8.63
2006-07-25,8.68
2006-07-26,8.81
2006-07-27,8.98
2006-07-28,9.07
2006-07-31,9.47
2006-08-01,9.42
2006-08-02,9.64
2006-08-03,9.69
2006-08-04,9.28
2006-08-07,9.47
2006-08-08,9.22
2006-08-09,9.06
2006-08-10,8.96
2006-08-11,8.94
2006-08-14,9.09
2006-08-15,9.26
2006-08-16,9.48
2006-08-17,9.6
2006-08-18,9.61
2006-08-21,9.45
2006-08-22,9.5
2006-08-23,9.56
2006-08-24,9.47
2006-08-25,9.62
2006-08-28,9.53
2006-08-29,9.3
2006-08-30,9.53
2006-08-31,9.52
2006-09-01,9.69
2006-09-05,9.79
2006-09-06,9.96
2006-09-07,10.04
2006-09-08,10.27
2006-09-11,10.2
2006-09-12,10.21
2006-09-13,10.33
2006-09-14,10.49
2006-09-15,10.47
2006-09-18,10.47
2006-09-19,10.4
2006-09-20,10.6
2006-09-21,10.57
2006-09-22,10.37
2006-09-25,10.53
2006-09-26,10.87
2006-09-27,10.83
2006-09-28,10.85
2006-09-29,10.95
2006-10-02,10.61
2006-10-03,10.46
2006-10-04,10.45
2006-10-05,10.59
2006-10-06,10.54
2006-10-09,10.5
2006-10-10,10.44
2006-10-11,10.37
2006-10-12,10.51
2006-10-13,10.68
2006-10-16,10.68
2006-10-17,10.58
2006-10-18,10.56
2006-10-19,11.17
2006-10-20,11.24
2006-10-23,11.39
2006-10-24,11.46
2006-10-25,11.57
2006-10-26,11.59
2006-10-27,11.43
2006-10-30,11.36
2006-10-31,11.46
2006-11-01,11.19
2006-11-02,11.21
2006-11-03,11.11
2006-11-06,11.2
2006-11-07,11.45
2006-11-08,11.41
2006-11-09,11.73
2006-11-10,11.79
2006-11-13,11.81
2006-11-14,12.0
2006-11-15,12.0
2006-11-16,12.09
2006-11-17,12.14
2006-11-20,12.17
2006-11-21,12.44
2006-11-22,12.55
2006-11-24,12.79
2006-11-27,12.79
2006-11-28,12.84
2006-11-29,12.89
2006-11-30,13.01
2006-12-01,12.87
2006-12-04,12.93
2006-12-05,12.98
2006-12-06,12.81
2006-12-07,12.41
2006-12-08,12.43
2006-12-11,12.58
2006-12-12,12.22
2006-12-13,12.45
2006-12-14,12.61
2006-12-15,12.48
2006-12-18,12.08
2006-12-19,11.95
2006-12-20,12.11
2006-12-21,11.74
2006-12-22,11.66
2006-12-26,11.56
2006-12-27,10.97
2006-12-28,11.38
2006-12-29,11.91
2007-01-03,11.7
2007-01-04,11.97
2007-01-05,12.06
2007-01-08,12.18
2007-01-09,12.16
2007-01-10,13.35
2007-01-11,13.59
2007-01-12,13.32
2007-01-16,13.64
2007-01-17,13.55
2007-01-18,12.72
2007-01-19,12.59
2007-01-22,12.24
2007-01-23,12.22
2007-01-24,12.3
2007-01-25,12.29
2007-01-26,12.14
2007-01-29,12.22
2007-01-30,12.18
2007-01-31,12.05
2007-02-01,12.11
2007-02-02,11.96
2007-02-05,11.99
2007-02-06,11.84
2007-02-07,11.94
2007-02-08,12.2
2007-02-09,11.89
2007-02-12,11.95
2007-02-13,12.04
2007-02-14,12.08
2007-02-15,12.11
2007-02-16,12.09
2007-02-20,12.02
2007-02-21,12.28
2007-02-22,12.65
2007-02-23,12.69
2007-02-26,12.52
2007-02-27,11.92
2007-02-28,11.86
2007-03-01,11.96
2007-03-02,12.17
2007-03-05,12.25
2007-03-06,12.49
2007-03-07,12.49
2007-03-08,12.49
2007-03-09,12.49
2007-03-12,12.57
2007-03-13,12.63
2007-03-14,12.56
2007-03-15,12.76
2007-03-16,12.76
2007-03-19,12.8
2007-03-20,13.01
2007-03-21,13.09
2007-03-22,13.29
2007-03-23,13.33
2007-03-26,13.33
2007-03-27,13.57
2007-03-28,13.31
2007-03-29,13.18
2007-03-30,13.25
2007-04-02,13.29
2007-04-03,13.39
2007-04-04,13.45
2007-04-05,13.36
2007-04-09,13.29
2007-04-10,13.34
2007-04-11,13.19
2007-04-12,12.96
2007-04-13,12.87
2007-04-16,12.89
2007-04-17,12.81
2007-04-18,12.8
2007-04-19,12.83
2007-04-20,12.94
2007-04-23,13.06
2007-04-24,13.04
2007-04-25,13.4
2007-04-26,14.04
2007-04-27,13.96
2007-04-30,14.24
2007-05-01,14.08
2007-05-02,14.21
2007-05-03,14.29
2007-05-04,14.36
2007-05-07,14.43
2007-05-08,14.77
2007-05-09,14.98
2007-05-10,15.13
2007-05-11,15.25
2007-05-14,15.46
2007-05-15,15.21
2007-05-16,14.77
2007-05-17,15.31
2007-05-18,15.68
2007-05-21,15.72
2007-05-22,16.0
2007-05-23,16.08
2007-05-24,15.77
2007-05-25,15.93
2007-05-29,16.1
2007-05-30,16.22
2007-05-31,17.08
2007-06-01,16.9
2007-06-04,16.84
2007-06-05,17.21
2007-06-06,17.42
2007-06-07,17.6
2007-06-08,17.47
2007-06-11,17.08
2007-06-12,16.9
2007-06-13,16.49
2007-06-14,16.63
2007-06-15,17.12
2007-06-18,17.51
2007-06-19,17.56
2007-06-20,17.36
2007-06-21,17.25
2007-06-22,17.48
2007-06-25,17.29
2007-06-26,16.96
2007-06-27,17.04
2007-06-28,17.14
2007-06-29,17.3
2007-07-02,17.04
2007-07-03,17.36
2007-07-05,18.38
2007-07-06,18.63
2007-07-09,18.45
2007-07-10,18.4
2007-07-11,18.76
2007-07-12,18.91
2007-07-13,19.22
2007-07-16,19.64
2007-07-17,19.64
2007-07-18,19.43
2007-07-19,19.95
2007-07-20,20.0
2007-07-23,20.13
2007-07-24,19.16
2007-07-25,19.29
2007-07-26,19.57
2007-07-27,20.54
2007-07-30,19.94
2007-07-31,18.79
2007-08-01,18.25
2007-08-02,19.16
2007-08-03,18.79
2007-08-06,18.33
2007-08-07,18.95
2007-08-08,18.86
2007-08-09,17.87
2007-08-10,17.19
2007-08-13,18.07
2007-08-14,17.67
2007-08-15,17.09
2007-08-16,15.95
2007-08-17,17.12
2007-08-20,17.21
2007-08-21,17.29
2007-08-22,18.62
2007-08-23,18.54
2007-08-24,18.54
2007-08-27,18.87
2007-08-28,18.09
2007-08-29,18.51
2007-08-30,18.9
2007-08-31,19.63
2007-09-04,19.98
2007-09-05,19.44
2007-09-06,18.96
2007-09-07,18.57
2007-09-10,19.14
2007-09-11,19.11
2007-09-12,19.39
2007-09-13,19.52
2007-09-14,19.46
2007-09-17,19.66
2007-09-18,19.69
2007-09-19,19.91
2007-09-20,19.9
2007-09-21,20.04
2007-09-24,20.95
2007-09-25,20.97
2007-09-26,21.61
2007-09-27,21.76
2007-09-28,21.82
2007-10-01,21.85
2007-10-02,22.27
2007-10-03,22.43
2007-10-04,21.93
2007-10-05,22.53
2007-10-08,23.28
2007-10-09,23.81
2007-10-10,23.66
2007-10-11,21.89
2007-10-12,23.11
2007-10-15,23.36
2007-10-16,23.59
2007-10-17,24.17
2007-10-18,24.44
2007-10-19,24.29
2007-10-22,24.28
2007-10-23,26.11
2007-10-24,25.61
2007-10-25,25.95
2007-10-26,26.13
2007-10-29,26.39
2007-10-30,26.39
2007-10-31,26.42
2007-11-01,25.71
2007-11-02,26.21
2007-11-05,26.32
2007-11-06,26.47
2007-11-07,26.59
2007-11-08,23.97
2007-11-09,23.6
2007-11-12,21.52
2007-11-13,21.97
2007-11-14,23.39
2007-11-15,22.9
2007-11-16,22.76
2007-11-19,23.16
2007-11-20,23.36
2007-11-21,23.52
2007-11-23,24.25
2007-11-26,24.62
2007-11-27,24.29
2007-11-28,25.05
2007-11-29,25.59
2007-11-30,25.67
2007-12-03,25.39
2007-12-04,25.28
2007-12-05,26.06
2007-12-06,26.59
2007-12-07,26.86
2007-12-10,27.53
2007-12-11,26.77
2007-12-12,26.54
2007-12-13,26.83
2007-12-14,27.08
2007-12-17,26.14
2007-12-18,25.51
2007-12-19,25.84
2007-12-20,26.19
2007-12-21,27.13
2007-12-24,27.83
2007-12-26,28.12
2007-12-27,28.26
2007-12-28,28.13
2007-12-31,28.25
2008-01-02,27.51
2008-01-03,27.53
2008-01-04,25.56
2008-01-07,24.32
2008-01-08,24.4
2008-01-09,24.0
2008-01-10,25.06
2008-01-11,24.29
2008-01-14,25.02
2008-01-15,23.52
2008-01-16,22.39
2008-01-17,22.63
2008-01-18,22.8
2008-01-22,20.86
2008-01-23,18.02
2008-01-24,18.86
2008-01-25,18.52
2008-01-28,18.06
2008-01-29,18.44
2008-01-30,18.57
2008-01-31,18.49
2008-02-01,18.88
2008-02-04,18.77
2008-02-05,18.41
2008-02-06,17.4
2008-02-07,16.75
2008-02-08,17.37
2008-02-11,18.17
2008-02-12,17.66
2008-02-13,17.95
