time_captured,AABA_High
2006-01-03,41.22
2006-01-04,41.9
2006-01-05,41.73
2006-01-06,43.57
2006-01-09,43.66
2006-01-10,43.34
2006-01-11,42.31
2006-01-12,41.99
2006-01-13,41.08
2006-01-17,40.39
2006-01-18,36.16
2006-01-19,35.84
2006-01-20,34.66
2006-01-23,34.4
2006-01-24,35.2
2006-01-25,35.48
2006-01-26,35.25
2006-01-27,35.27
2006-01-30,35.23
2006-01-31,35.2
2006-02-01,35.0
2006-02-02,35.1
2006-02-03,34.05
2006-02-06,33.95
2006-02-07,33.1
2006-02-08,33.4
2006-02-09,33.36
2006-02-10,32.6
2006-02-13,32.44
2006-02-14,32.83
2006-02-15,33.33
2006-02-16,33.4
2006-02-17,33.14
2006-02-21,33.07
2006-02-22,33.34
2006-02-23,33.66
2006-02-24,33.34
2006-02-27,33.21
2006-02-28,32.98
2006-03-01,32.42
2006-03-02,32.11
2006-03-03,32.07
2006-03-06,31.94
2006-03-07,32.2
2006-03-08,31.55
2006-03-09,31.32
2006-03-10,31.1
2006-03-13,30.97
2006-03-14,31.0
2006-03-15,31.28
2006-03-16,30.88
2006-03-17,30.36
2006-03-20,30.93
2006-03-21,30.78
2006-03-22,30.91
2006-03-23,31.95
2006-03-24,32.31
2006-03-27,32.08
2006-03-28,32.5
2006-03-29,32.91
2006-03-30,32.83
2006-03-31,32.63
2006-04-03,32.53
2006-04-04,32.25
2006-04-05,32.5
2006-04-06,33.14
2006-04-07,32.97
2006-04-10,32.63
2006-04-11,32.6
2006-04-12,31.5
2006-04-13,31.4
2006-04-17,31.79
2006-04-18,31.38
2006-04-19,33.98
2006-04-20,33.7
2006-04-21,34.09
2006-04-24,33.45
2006-04-25,33.06
2006-04-26,33.09
2006-04-27,33.5
2006-04-28,33.45
2006-05-01,33.1
2006-05-02,32.91
2006-05-03,33.0
2006-05-04,32.56
2006-05-05,32.75
2006-05-08,33.43
2006-05-09,34.0
2006-05-10,32.56
2006-05-11,32.17
2006-05-12,31.18
2006-05-15,31.25
2006-05-16,31.22
2006-05-17,31.26
2006-05-18,30.36
2006-05-19,29.75
2006-05-22,30.98
2006-05-23,31.63
