time_captured,AABA_Open
2006-01-03,39.69
2006-01-04,41.22
2006-01-05,40.93
2006-01-06,42.88
2006-01-09,43.1
2006-01-10,42.96
2006-01-11,42.19
2006-01-12,41.92
2006-01-13,41.0
2006-01-17,39.09
2006-01-18,35.01
2006-01-19,35.82
2006-01-20,34.44
2006-01-23,34.22
2006-01-24,34.55
2006-01-25,35.43
2006-01-26,34.94
2006-01-27,35.26
2006-01-30,35.06
2006-01-31,35.2
2006-02-01,34.45
2006-02-02,35.01
2006-02-03,34.0
2006-02-06,33.9
2006-02-07,33.01
2006-02-08,33.24
2006-02-09,33.01
2006-02-10,32.58
2006-02-13,32.21
2006-02-14,32.14
2006-02-15,32.62
2006-02-16,33.3
2006-02-17,32.88
2006-02-21,32.9
2006-02-22,32.49
2006-02-23,33.01
2006-02-24,33.2
2006-02-27,33.11
2006-02-28,32.63
2006-03-01,32.21
2006-03-02,32.01
2006-03-03,31.7
2006-03-06,31.53
2006-03-07,31.42
2006-03-08,31.31
2006-03-09,31.05
2006-03-10,30.4
2006-03-13,30.72
2006-03-14,30.1
2006-03-15,31.25
2006-03-16,30.77
2006-03-17,30.34
2006-03-20,30.38
2006-03-21,30.42
2006-03-22,30.33
2006-03-23,31.52
2006-03-24,32.28
2006-03-27,31.84
2006-03-28,31.45
2006-03-29,32.44
2006-03-30,32.75
2006-03-31,32.45
2006-04-03,32.41
2006-04-04,31.69
2006-04-05,32.3
2006-04-06,32.12
2006-04-07,32.85
2006-04-10,32.28
2006-04-11,32.45
2006-04-12,31.44
2006-04-13,31.14
2006-04-17,31.16
2006-04-18,31.17
2006-04-19,33.47
2006-04-20,33.48
2006-04-21,33.36
2006-04-24,33.01
2006-04-25,32.99
2006-04-26,32.3
2006-04-27,32.79
2006-04-28,32.88
2006-05-01,32.99
2006-05-02,32.2
2006-05-03,32.4
2006-05-04,32.4
2006-05-05,32.63
2006-05-08,33.09
2006-05-09,32.68
2006-05-10,32.48
2006-05-11,31.96
2006-05-12,30.71
2006-05-15,30.85
2006-05-16,31.1
2006-05-17,30.61
2006-05-18,30.1
2006-05-19,29.05
2006-05-22,30.42
2006-05-23,31.04
2006-05-24,30.95
2006-05-25,32.94
2006-05-26,32.86
2006-05-30,32.73
2006-05-31,32.19
2006-06-01,31.83
2006-06-02,31.77
2006-06-05,31.19
2006-06-06,30.83
2006-06-07,30.8
2006-06-08,30.43
2006-06-09,30.7
2006-06-12,30.36
2006-06-13,29.77
2006-06-14,29.81
2006-06-15,29.98
2006-06-16,30.7
2006-06-19,30.51
2006-06-20,30.42
2006-06-21,30.77
2006-06-22,30.85
2006-06-23,31.08
2006-06-26,31.45
2006-06-27,31.85
2006-06-28,31.75
2006-06-29,32.26
2006-06-30,33.01
2006-07-03,32.9
2006-07-05,32.85
2006-07-06,32.77
2006-07-07,32.94
2006-07-10,32.91
2006-07-11,32.79
2006-07-12,33.03
2006-07-13,32.85
2006-07-14,32.34
2006-07-17,31.98
2006-07-18,32.08
2006-07-19,26.41
