time_captured,MCD_Volume
2006-01-03,9250100
2006-01-04,5990300
2006-01-05,6245200
2006-01-06,5877100
2006-01-09,4659900
2006-01-10,7021800
2006-01-11,8209000
2006-01-12,11593600
2006-01-13,4807700
2006-01-17,5499200
2006-01-18,10552500
2006-01-19,9093800
2006-01-20,11437300
2006-01-23,6994800
2006-01-24,9685600
2006-01-25,21016500
2006-01-26,12358300
2006-01-27,7355400
2006-01-30,8004200
2006-01-31,6988200
2006-02-01,7184900
2006-02-02,5409500
2006-02-03,6853000
2006-02-06,7163500
2006-02-07,4869300
2006-02-08,6444300
2006-02-09,4889600
2006-02-10,5741200
2006-02-13,3421100
2006-02-14,5392300
2006-02-15,7669400
2006-02-16,3963500
2006-02-17,4802300
2006-02-21,5250300
2006-02-22,4623400
2006-02-23,3751800
2006-02-24,4802800
2006-02-27,4262200
2006-02-28,5522700
2006-03-01,5945500
2006-03-02,4566200
2006-03-03,5433800
2006-03-06,4145100
2006-03-07,7942300
2006-03-08,6588600
2006-03-09,5009600
2006-03-10,3991100
2006-03-13,6117300
2006-03-14,5661700
2006-03-15,5235600
2006-03-16,5637800
2006-03-17,5983900
2006-03-20,3983900
2006-03-21,5700400
2006-03-22,4218100
2006-03-23,4701300
2006-03-24,3242800
2006-03-27,3338600
2006-03-28,4430800
2006-03-29,2583800
2006-03-30,4039100
2006-03-31,4020100
2006-04-03,5750000
2006-04-04,4283300
2006-04-05,5667500
2006-04-06,4033800
2006-04-07,4716800
2006-04-10,6109800
2006-04-11,5525900
2006-04-12,6314200
2006-04-13,10711400
2006-04-17,6301700
2006-04-18,5441300
2006-04-19,3408600
2006-04-20,5006100
2006-04-21,6320500
2006-04-24,5687200
2006-04-25,7113900
2006-04-26,4218300
2006-04-27,4864300
2006-04-28,4714000
2006-05-01,4054700
2006-05-02,3975400
2006-05-03,4472600
2006-05-04,4646200
2006-05-05,6408400
2006-05-08,4039200
2006-05-09,5933100
2006-05-10,4813600
2006-05-11,4927600
2006-05-12,5397100
2006-05-15,4067000
2006-05-16,3323800
2006-05-17,6572400
2006-05-18,5374800
2006-05-19,6252800
2006-05-22,7387900
2006-05-23,5219800
2006-05-24,9722100
2006-05-25,7128000
2006-05-26,6168700
2006-05-30,4502700
2006-05-31,6087800
2006-06-01,6745800
2006-06-02,4423400
2006-06-05,4387300
2006-06-06,5780300
2006-06-07,5070600
2006-06-08,8470300
2006-06-09,4131600
2006-06-12,5335000
2006-06-13,7657900
2006-06-14,7856300
2006-06-15,6635500
2006-06-16,6044900
2006-06-19,4130400
2006-06-20,5103300
2006-06-21,6911000
2006-06-22,5239700
2006-06-23,3769400
2006-06-26,3812300
2006-06-27,4593800
2006-06-28,8569900
2006-06-29,9137500
2006-06-30,7912800
2006-07-03,1764400
2006-07-05,4384900
2006-07-06,3668100
2006-07-07,4125300
2006-07-10,3813600
2006-07-11,5715000
2006-07-12,5317000
2006-07-13,4478800
2006-07-14,5022400
2006-07-17,12845300
2006-07-18,8332100
2006-07-19,6201000
2006-07-20,4997000
2006-07-21,5696300
2006-07-24,4145700
2006-07-25,8185500
2006-07-26,6801400
2006-07-27,5281300
2006-07-28,5034200
2006-07-31,4108200
2006-08-01,3937900
2006-08-02,5352000
2006-08-03,5452300
2006-08-04,5142900
2006-08-07,2866000
2006-08-08,8325100
2006-08-09,8927200
2006-08-10,4501900
2006-08-11,2507100
2006-08-14,3550700
2006-08-15,4611900
2006-08-16,4428800
2006-08-17,4143900
2006-08-18,3287100
2006-08-21,3379700
2006-08-22,3346300
2006-08-23,3896000
2006-08-24,4326000
2006-08-25,3064800
2006-08-28,3714000
2006-08-29,2968300
2006-08-30,2957000
2006-08-31,2544900
2006-09-01,6926700
2006-09-05,3903900
2006-09-06,5244800
2006-09-07,4125400
2006-09-08,8452700
2006-09-11,11204400
2006-09-12,19393300
2006-09-13,12759300
2006-09-14,9699600
2006-09-15,13112200
2006-09-18,4902800
2006-09-19,5353200
