time_captured,GE_Volume
2006-01-03,33221400
2006-01-04,24017300
2006-01-05,18860400
2006-01-06,22085300
2006-01-09,20716900
2006-01-10,21044000
2006-01-11,22394700
2006-01-12,22159800
2006-01-13,17221300
2006-01-17,16069600
2006-01-18,20206900
2006-01-19,29324700
2006-01-20,88194300
2006-01-23,38814400
2006-01-24,46481000
2006-01-25,51389200
2006-01-26,48855800
2006-01-27,43319000
2006-01-30,35387500
2006-01-31,39702000
2006-02-01,38067400
2006-02-02,30469400
2006-02-03,25828100
2006-02-06,23163900
2006-02-07,36799700
2006-02-08,26757200
2006-02-09,26324200
2006-02-10,26560500
2006-02-13,20007900
2006-02-14,29266400
2006-02-15,18832800
2006-02-16,23893100
2006-02-17,25349200
2006-02-21,19914100
2006-02-22,25724600
2006-02-23,22148500
2006-02-24,18275300
2006-02-27,19328500
2006-02-28,27701000
2006-03-01,24534600
2006-03-02,25139800
2006-03-03,25579500
2006-03-06,21410700
2006-03-07,21748800
2006-03-08,25081600
2006-03-09,24211600
2006-03-10,25770300
2006-03-13,19519300
2006-03-14,19758000
2006-03-15,36577200
2006-03-16,31356500
2006-03-17,40595800
2006-03-20,16126300
2006-03-21,20038900
2006-03-22,16153000
2006-03-23,20583900
2006-03-24,14482600
2006-03-27,15118000
2006-03-28,22907700
2006-03-29,25736600
2006-03-30,43659900
2006-03-31,37386800
2006-04-03,22345200
2006-04-04,21563800
2006-04-05,19544900
2006-04-06,20222500
2006-04-07,23691900
2006-04-10,22954500
2006-04-11,22965700
2006-04-12,26222000
2006-04-13,37669700
2006-04-17,35390600
2006-04-18,33345400
2006-04-19,24626400
2006-04-20,25390900
2006-04-21,29243100
2006-04-24,16405300
2006-04-25,22714700
2006-04-26,23057700
2006-04-27,25278900
2006-04-28,24830300
2006-05-01,17807700
2006-05-02,16449500
2006-05-03,22187400
2006-05-04,21850000
2006-05-05,26062100
2006-05-08,16377400
2006-05-09,16750500
2006-05-10,21285200
2006-05-11,22788700
2006-05-12,22758400
2006-05-15,23050000
2006-05-16,23395100
2006-05-17,25529100
2006-05-18,24158800
2006-05-19,30013000
2006-05-22,26809600
2006-05-23,22094900
2006-05-24,29146300
2006-05-25,20140800
2006-05-26,21190100
2006-05-30,22157000
2006-05-31,30276800
2006-06-01,19625400
2006-06-02,21166600
2006-06-05,18284800
2006-06-06,28871500
2006-06-07,27927100
2006-06-08,37314000
2006-06-09,25694300
2006-06-12,18250600
2006-06-13,31741500
2006-06-14,24080700
2006-06-15,31632100
2006-06-16,33853100
2006-06-19,20461600
2006-06-20,27594800
2006-06-21,30970200
2006-06-22,25779600
2006-06-23,20503000
2006-06-26,19404200
2006-06-27,23560500
2006-06-28,20324800
2006-06-29,28410600
2006-06-30,38886400
2006-07-03,11967000
2006-07-05,25646300
2006-07-06,20029200
2006-07-07,20321200
2006-07-10,15835100
2006-07-11,22385200
2006-07-12,21533500
2006-07-13,31440400
2006-07-14,49234500
2006-07-17,23569200
2006-07-18,26260100
2006-07-19,25494000
2006-07-20,20584900
2006-07-21,29394500
2006-07-24,22863200
2006-07-25,22118200
2006-07-26,21299100
2006-07-27,21630300
2006-07-28,20939000
2006-07-31,22844900
2006-08-01,16692500
2006-08-02,16642500
2006-08-03,19370900
2006-08-04,16006100
2006-08-07,15692700
2006-08-08,23748200
2006-08-09,18217000
2006-08-10,23894200
2006-08-11,15347300
2006-08-14,24949800
2006-08-15,20290300
2006-08-16,23881100
2006-08-17,17563500
2006-08-18,17113100
2006-08-21,12792200
2006-08-22,15866100
2006-08-23,18169500
2006-08-24,14552100
2006-08-25,11658600
2006-08-28,13317500
2006-08-29,18403700
2006-08-30,14385800
2006-08-31,18456500
