time_captured,UNH_Volume
2006-01-03,8070600
2006-01-04,5587100
2006-01-05,5626000
2006-01-06,5577800
2006-01-09,8831000
2006-01-10,6238100
2006-01-11,5519600
2006-01-12,5374100
2006-01-13,11005800
2006-01-17,6333200
2006-01-18,7132400
2006-01-19,13390900
2006-01-20,10091900
2006-01-23,9611600
2006-01-24,8251000
2006-01-25,6530200
2006-01-26,9954400
2006-01-27,6419500
2006-01-30,6739700
2006-01-31,10655300
2006-02-01,7522900
2006-02-02,6235200
2006-02-03,5392600
2006-02-06,4891700
2006-02-07,5175800
2006-02-08,7320600
2006-02-09,5747900
2006-02-10,4224000
2006-02-13,3357500
2006-02-14,4771900
2006-02-15,4335400
2006-02-16,5087600
2006-02-17,7065300
2006-02-21,4689100
2006-02-22,5297100
2006-02-23,4772500
2006-02-24,5348000
2006-02-27,3247000
2006-02-28,5301200
2006-03-01,5303500
2006-03-02,5964400
2006-03-03,6531200
2006-03-06,5801500
2006-03-07,6308900
2006-03-08,6063300
2006-03-09,5283300
2006-03-10,6984200
2006-03-13,12402500
2006-03-14,7643900
2006-03-15,6608100
2006-03-16,6071400
2006-03-17,6645800
2006-03-20,4382800
2006-03-21,5928200
2006-03-22,4434600
2006-03-23,5577700
2006-03-24,4957300
2006-03-27,11124900
2006-03-28,12204700
2006-03-29,9508000
2006-03-30,8091500
2006-03-31,9772100
2006-04-03,7603600
2006-04-04,6942200
2006-04-05,5679500
2006-04-06,12067200
2006-04-07,8075300
2006-04-10,19082200
2006-04-11,14552700
2006-04-12,12100500
2006-04-13,7685500
2006-04-17,10399800
2006-04-18,41603500
2006-04-19,41951200
2006-04-20,19329200
2006-04-21,8944200
2006-04-24,11713700
2006-04-25,8586100
2006-04-26,12378400
2006-04-27,29902900
2006-04-28,15282300
2006-05-01,10991600
2006-05-02,11589600
2006-05-03,23876900
2006-05-04,11609300
2006-05-05,13243800
2006-05-08,19360600
2006-05-09,30917000
2006-05-10,29522100
2006-05-11,30198100
2006-05-12,17056600
2006-05-15,11641600
