time_captured,MRK_High
2006-01-03,32.87
2006-01-04,33.2
2006-01-05,33.39
2006-01-06,33.36
2006-01-09,33.66
2006-01-10,33.45
2006-01-11,33.59
2006-01-12,33.58
2006-01-13,33.72
2006-01-17,33.65
2006-01-18,33.42
2006-01-19,33.63
2006-01-20,33.43
2006-01-23,33.21
2006-01-24,33.01
2006-01-25,33.24
2006-01-26,34.05
2006-01-27,34.85
2006-01-30,34.65
2006-01-31,34.88
2006-02-01,34.74
2006-02-02,34.73
2006-02-03,34.64
2006-02-06,34.29
2006-02-07,34.4
2006-02-08,34.48
2006-02-09,34.7
2006-02-10,34.4
2006-02-13,34.69
2006-02-14,34.72
2006-02-15,35.3
2006-02-16,36.08
2006-02-17,36.06
2006-02-21,36.65
2006-02-22,36.25
2006-02-23,35.7
2006-02-24,35.54
2006-02-27,35.59
2006-02-28,35.29
2006-03-01,35.36
2006-03-02,35.26
2006-03-03,35.42
2006-03-06,35.35
2006-03-07,35.0
2006-03-08,34.85
2006-03-09,34.65
2006-03-10,34.96
2006-03-13,35.35
2006-03-14,36.26
2006-03-15,35.27
2006-03-16,35.51
2006-03-17,35.69
2006-03-20,35.93
2006-03-21,36.18
2006-03-22,36.32
2006-03-23,36.5
2006-03-24,36.32
2006-03-27,36.25
2006-03-28,36.15
2006-03-29,36.08
2006-03-30,36.14
2006-03-31,35.92
2006-04-03,35.61
2006-04-04,35.9
2006-04-05,36.09
2006-04-06,35.04
2006-04-07,34.79
2006-04-10,34.79
2006-04-11,35.1
2006-04-12,34.03
2006-04-13,34.0
2006-04-17,33.94
2006-04-18,34.49
2006-04-19,34.78
2006-04-20,35.26
2006-04-21,35.19
2006-04-24,34.74
2006-04-25,34.39
2006-04-26,34.8
2006-04-27,34.94
2006-04-28,34.7
2006-05-01,34.85
2006-05-02,34.56
2006-05-03,34.68
2006-05-04,34.4
2006-05-05,34.55
2006-05-08,34.79
2006-05-09,34.94
2006-05-10,35.4
2006-05-11,34.89
2006-05-12,34.83
