time_captured,MRK_Volume
2006-01-03,11430600
2006-01-04,12530200
2006-01-05,15349900
2006-01-06,9302700
2006-01-09,14958400
2006-01-10,8887000
2006-01-11,9515100
2006-01-12,7083500
2006-01-13,7044200
2006-01-17,9875800
2006-01-18,9117200
2006-01-19,9303300
2006-01-20,10102400
2006-01-23,7718800
2006-01-24,7707400
2006-01-25,7950700
2006-01-26,11073900
2006-01-27,10444500
2006-01-30,9371500
2006-01-31,14794700
2006-02-01,8207200
2006-02-02,10456300
2006-02-03,9983100
2006-02-06,6068700
2006-02-07,6698900
2006-02-08,9172500
2006-02-09,8485100
2006-02-10,7224200
2006-02-13,5723100
2006-02-14,6618900
2006-02-15,12413400
2006-02-16,12009400
2006-02-17,11708000
2006-02-21,9763800
2006-02-22,11962300
2006-02-23,10198700
2006-02-24,6467300
2006-02-27,7767900
2006-02-28,8451200
2006-03-01,7628900
2006-03-02,9047400
2006-03-03,6103700
2006-03-06,7984600
2006-03-07,5513700
2006-03-08,5175000
2006-03-09,5105000
2006-03-10,5911600
2006-03-13,8146800
2006-03-14,5218800
2006-03-15,4618200
2006-03-16,6125800
2006-03-17,8742300
2006-03-20,5625100
2006-03-21,7385800
2006-03-22,6084700
2006-03-23,5502100
2006-03-24,5073700
2006-03-27,5821900
2006-03-28,6371900
2006-03-29,5308900
2006-03-30,6848900
2006-03-31,8554700
2006-04-03,10013100
2006-04-04,8769300
2006-04-05,8348100
2006-04-06,20453500
2006-04-07,11038500
2006-04-10,7546400
2006-04-11,13395300
2006-04-12,7732700
2006-04-13,5426800
2006-04-17,5328400
2006-04-18,9051200
2006-04-19,6288500
2006-04-20,8274200
2006-04-21,11371500
2006-04-24,6544700
2006-04-25,5493300
2006-04-26,6556200
2006-04-27,6131600
2006-04-28,7011900
2006-05-01,6954100
2006-05-02,6214000
2006-05-03,7613900
2006-05-04,6209100
2006-05-05,6940800
2006-05-08,6341800
2006-05-09,8464600
2006-05-10,7690400
2006-05-11,7251000
2006-05-12,8280600
2006-05-15,10281800
2006-05-16,8910200
2006-05-17,13284300
2006-05-18,15465000
2006-05-19,14138300
2006-05-22,9899700
2006-05-23,11451300
2006-05-24,11005300
2006-05-25,7099800
2006-05-26,9399400
2006-05-30,16681700
2006-05-31,12087400
2006-06-01,12489500
2006-06-02,6646000
2006-06-05,5184900
