time_captured,HD_Close
2006-01-03,41.24
2006-01-04,40.48
2006-01-05,40.08
2006-01-06,40.38
2006-01-09,40.82
2006-01-10,41.8
2006-01-11,42.95
2006-01-12,42.55
2006-01-13,41.91
2006-01-17,41.57
2006-01-18,41.69
2006-01-19,41.28
2006-01-20,40.17
2006-01-23,39.69
2006-01-24,40.45
2006-01-25,39.98
2006-01-26,40.4
2006-01-27,40.0
2006-01-30,40.0
2006-01-31,40.55
2006-02-01,40.23
2006-02-02,39.96
2006-02-03,39.82
2006-02-06,39.49
2006-02-07,38.73
2006-02-08,39.27
2006-02-09,39.05
2006-02-10,39.22
2006-02-13,39.7
2006-02-14,41.13
2006-02-15,41.53
2006-02-16,41.86
2006-02-17,41.86
2006-02-21,41.87
2006-02-22,41.88
2006-02-23,41.58
2006-02-24,41.63
2006-02-27,42.45
2006-02-28,42.15
2006-03-01,42.59
2006-03-02,42.29
2006-03-03,42.2
2006-03-06,41.8
2006-03-07,41.37
2006-03-08,41.16
2006-03-09,40.64
2006-03-10,41.25
2006-03-13,41.25
2006-03-14,42.14
2006-03-15,42.26
2006-03-16,42.75
2006-03-17,42.9
2006-03-20,42.85
2006-03-21,43.0
2006-03-22,43.37
2006-03-23,43.81
2006-03-24,43.12
2006-03-27,42.99
2006-03-28,42.99
2006-03-29,42.91
2006-03-30,42.38
2006-03-31,42.3
2006-04-03,42.38
2006-04-04,42.55
2006-04-05,42.65
2006-04-06,42.14
2006-04-07,42.1
2006-04-10,41.8
2006-04-11,41.43
2006-04-12,40.99
2006-04-13,41.12
2006-04-17,40.38
2006-04-18,41.32
2006-04-19,40.74
2006-04-20,40.81
2006-04-21,40.28
2006-04-24,40.08
2006-04-25,39.96
2006-04-26,40.07
2006-04-27,40.22
2006-04-28,39.93
2006-05-01,40.54
2006-05-02,40.2
2006-05-03,40.37
2006-05-04,40.26
2006-05-05,41.29
2006-05-08,41.01
2006-05-09,41.36
2006-05-10,41.21
2006-05-11,40.72
2006-05-12,40.0
2006-05-15,40.5
2006-05-16,38.45
2006-05-17,38.01
2006-05-18,38.41
2006-05-19,38.94
2006-05-22,38.49
2006-05-23,37.84
2006-05-24,38.01
2006-05-25,38.4
2006-05-26,38.67
2006-05-30,37.7
2006-05-31,38.12
2006-06-01,38.55
2006-06-02,38.0
2006-06-05,37.46
2006-06-06,37.06
2006-06-07,36.71
2006-06-08,37.25
2006-06-09,36.95
2006-06-12,36.26
2006-06-13,36.29
2006-06-14,36.75
2006-06-15,37.37
2006-06-16,36.91
2006-06-19,36.86
2006-06-20,36.42
2006-06-21,36.66
2006-06-22,36.48
2006-06-23,36.41
2006-06-26,36.64
2006-06-27,36.37
2006-06-28,36.16
2006-06-29,36.46
2006-06-30,35.79
2006-07-03,35.77
2006-07-05,35.53
2006-07-06,35.47
2006-07-07,35.37
2006-07-10,35.0
2006-07-11,34.38
2006-07-12,33.61
2006-07-13,34.07
2006-07-14,33.84
2006-07-17,33.6
2006-07-18,33.13
2006-07-19,34.35
2006-07-20,33.98
2006-07-21,33.85
2006-07-24,34.61
2006-07-25,35.24
2006-07-26,34.7
2006-07-27,34.02
2006-07-28,34.59
2006-07-31,34.71
2006-08-01,34.14
2006-08-02,34.11
2006-08-03,34.57
2006-08-04,34.71
2006-08-07,34.69
2006-08-08,34.33
2006-08-09,33.4
2006-08-10,33.61
2006-08-11,33.27
2006-08-14,33.26
2006-08-15,34.44
2006-08-16,34.5
2006-08-17,34.72
2006-08-18,34.77
2006-08-21,34.3
2006-08-22,34.06
2006-08-23,33.65
2006-08-24,33.41
2006-08-25,33.48
2006-08-28,33.69
2006-08-29,34.09
2006-08-30,34.12
2006-08-31,34.29
2006-09-01,34.64
2006-09-05,34.77
2006-09-06,34.17
2006-09-07,34.34
2006-09-08,34.28
2006-09-11,35.06
2006-09-12,36.66
2006-09-13,37.17
2006-09-14,37.22
2006-09-15,37.22
2006-09-18,36.58
2006-09-19,36.28
2006-09-20,36.38
2006-09-21,35.85
2006-09-22,35.96
2006-09-25,36.58
2006-09-26,36.62
2006-09-27,36.46
2006-09-28,36.7
2006-09-29,36.27
2006-10-02,36.34
2006-10-03,36.83
2006-10-04,37.49
2006-10-05,37.26
2006-10-06,37.14
2006-10-09,37.7
2006-10-10,37.76
