time_captured,AXP_Volume
2006-01-03,7825700
2006-01-04,5729400
2006-01-05,3926000
2006-01-06,4137800
2006-01-09,6093300
2006-01-10,4894100
2006-01-11,4611800
2006-01-12,2995000
2006-01-13,7639300
2006-01-17,4915200
2006-01-18,5606100
2006-01-19,4638700
2006-01-20,11886200
2006-01-23,10460600
2006-01-24,8565200
2006-01-25,7591100
2006-01-26,5302200
2006-01-27,6928900
2006-01-30,6335800
2006-01-31,5701300
2006-02-01,3847400
2006-02-02,5521200
2006-02-03,4008900
2006-02-06,2948400
2006-02-07,3506400
2006-02-08,5284600
2006-02-09,4959000
2006-02-10,3741400
2006-02-13,3812100
2006-02-14,4900700
2006-02-15,4576100
2006-02-16,4240600
2006-02-17,4385800
2006-02-21,3990900
2006-02-22,6256200
2006-02-23,4328300
2006-02-24,2890200
2006-02-27,2582500
2006-02-28,8026700
2006-03-01,2956800
2006-03-02,4595300
2006-03-03,3756200
2006-03-06,3676400
2006-03-07,4394200
2006-03-08,5726400
2006-03-09,5611500
2006-03-10,4243400
2006-03-13,4301900
2006-03-14,4237100
2006-03-15,2821700
2006-03-16,3365000
2006-03-17,5720300
2006-03-20,2893000
2006-03-21,5350200
2006-03-22,3542700
2006-03-23,4385800
2006-03-24,2686400
2006-03-27,3811900
2006-03-28,4858300
2006-03-29,5282100
2006-03-30,6197400
2006-03-31,5182300
2006-04-03,4105800
2006-04-04,2896500
2006-04-05,4224200
2006-04-06,4898900
2006-04-07,4555000
2006-04-10,2273600
2006-04-11,3458200
2006-04-12,2333700
2006-04-13,2534700
2006-04-17,4037300
2006-04-18,5551200
2006-04-19,3198000
2006-04-20,3651300
2006-04-21,7002500
2006-04-24,6387700
2006-04-25,4538500
2006-04-26,5061100
2006-04-27,9230100
2006-04-28,6648500
2006-05-01,6330100
2006-05-02,4540500
2006-05-03,4844900
2006-05-04,4708000
2006-05-05,5817900
2006-05-08,3875500
2006-05-09,3794700
2006-05-10,3788300
2006-05-11,5587900
2006-05-12,6944600
2006-05-15,5496500
2006-05-16,2821000
2006-05-17,8041400
2006-05-18,5911200
2006-05-19,6901200
2006-05-22,7965500
2006-05-23,6307400
2006-05-24,10394600
2006-05-25,6457200
2006-05-26,5528300
2006-05-30,5608900
2006-05-31,5184700
2006-06-01,4275500
2006-06-02,4667400
2006-06-05,5099500
2006-06-06,5753300
2006-06-07,4898000
2006-06-08,6428100
2006-06-09,3600900
2006-06-12,4075900
2006-06-13,6325700
2006-06-14,7001100
2006-06-15,5592600
2006-06-16,7422600
2006-06-19,4987100
2006-06-20,5069000
2006-06-21,4931300
2006-06-22,3205600
2006-06-23,2674300
2006-06-26,2430600
2006-06-27,2730300
2006-06-28,3676800
2006-06-29,4487700
2006-06-30,4178300
2006-07-03,1806000
2006-07-05,5450800
2006-07-06,2505200
2006-07-07,3861400
2006-07-10,2356900
2006-07-11,3274500
2006-07-12,2811200
2006-07-13,5819900
2006-07-14,5789200
2006-07-17,4016800
2006-07-18,3882800
2006-07-19,4795900
2006-07-20,4676300
2006-07-21,7237800
2006-07-24,13633300
2006-07-25,7248500
