time_captured,WMT_Volume
2006-01-03,23413900
2006-01-04,14090700
2006-01-05,20759200
2006-01-06,21135000
2006-01-09,14890700
2006-01-10,13422500
2006-01-11,14179400
2006-01-12,11425700
2006-01-13,10260500
2006-01-17,17118300
2006-01-18,13217700
2006-01-19,18141900
2006-01-20,19354600
2006-01-23,15824700
2006-01-24,18189800
2006-01-25,18986800
2006-01-26,16798600
2006-01-27,13386000
2006-01-30,15269600
2006-01-31,12926900
2006-02-01,15189400
2006-02-02,18513100
2006-02-03,11329700
2006-02-06,12185300
2006-02-07,16191300
2006-02-08,12347600
2006-02-09,13131800
2006-02-10,8037800
2006-02-13,7161400
2006-02-14,14872500
2006-02-15,11835300
2006-02-16,9074400
2006-02-17,15355200
2006-02-21,15376000
2006-02-22,9911800
2006-02-23,14826400
2006-02-24,9652200
2006-02-27,9051700
2006-02-28,12302300
2006-03-01,12046100
2006-03-02,12518600
2006-03-03,9508600
2006-03-06,9749500
2006-03-07,11246500
2006-03-08,14478100
2006-03-09,7233700
2006-03-10,9322100
2006-03-13,8838700
2006-03-14,13740500
2006-03-15,13992300
2006-03-16,18556100
2006-03-17,12439100
2006-03-20,19702100
2006-03-21,13890400
2006-03-22,9027400
2006-03-23,14733200
2006-03-24,9733500
2006-03-27,8663800
2006-03-28,10044300
2006-03-29,8681900
2006-03-30,9793600
2006-03-31,10092000
2006-04-03,14109000
2006-04-04,8716100
2006-04-05,7763700
2006-04-06,8763900
2006-04-07,12458500
2006-04-10,9585100
2006-04-11,9653700
2006-04-12,9285300
2006-04-13,7199000
2006-04-17,9225100
2006-04-18,10545900
2006-04-19,10743300
2006-04-20,9125500
2006-04-21,10118100
2006-04-24,12143600
2006-04-25,9205900
2006-04-26,10583100
2006-04-27,12791700
2006-04-28,15376900
2006-05-01,18547300
2006-05-02,9598300
2006-05-03,11794600
2006-05-04,10585300
2006-05-05,9080900
2006-05-08,9878300
2006-05-09,14506900
2006-05-10,9449800
2006-05-11,11204500
2006-05-12,11409700
2006-05-15,17054400
2006-05-16,17686300
2006-05-17,15514900
2006-05-18,10941200
2006-05-19,13027900
2006-05-22,9915300
2006-05-23,11022600
2006-05-24,16235700
2006-05-25,25807000
2006-05-26,17474400
2006-05-30,19274100
2006-05-31,12049600
2006-06-01,13468300
2006-06-02,13777200
2006-06-05,12446300
2006-06-06,16464300
2006-06-07,9688200
2006-06-08,16265500
2006-06-09,7469900
2006-06-12,7468900
2006-06-13,14181500
2006-06-14,10429800
2006-06-15,15733400
2006-06-16,16742300
2006-06-19,11618700
2006-06-20,8701000
2006-06-21,12334300
2006-06-22,8466500
2006-06-23,8247000
2006-06-26,6776400
2006-06-27,8423100
2006-06-28,7287900
2006-06-29,10967400
2006-06-30,11126700
2006-07-03,9097300
2006-07-05,11523700
2006-07-06,10174000
2006-07-07,10526400
2006-07-10,7308800
2006-07-11,13206100
2006-07-12,13258500
2006-07-13,26307100
2006-07-14,20072300
2006-07-17,17697300
2006-07-18,20375600
2006-07-19,17886000
2006-07-20,10256600
2006-07-21,12978700
2006-07-24,11650300
2006-07-25,10678900
2006-07-26,12347700
2006-07-27,8706800
2006-07-28,12360300
2006-07-31,13481700
2006-08-01,9645100
2006-08-02,7990700
2006-08-03,11035800
2006-08-04,9733000
2006-08-07,7341500
2006-08-08,7690500
2006-08-09,10279700
2006-08-10,12140900
2006-08-11,8244500
2006-08-14,10971000
2006-08-15,18589800
2006-08-16,16454100
2006-08-17,12368200
2006-08-18,9083600
2006-08-21,9482300
2006-08-22,8267400
2006-08-23,10584100
2006-08-24,7480100
2006-08-25,7720700
2006-08-28,11202300
2006-08-29,9858600
2006-08-30,12154600
2006-08-31,8785400
2006-09-01,11383200
2006-09-05,10560600
2006-09-06,10110000
2006-09-07,16008700
2006-09-08,14054400
2006-09-11,17150400
2006-09-12,18437100
2006-09-13,11169300
2006-09-14,10160700
2006-09-15,17222300
2006-09-18,10830900
2006-09-19,11422800
2006-09-20,13711900
2006-09-21,13052700
2006-09-22,11771800
2006-09-25,12197700
2006-09-26,15309000
2006-09-27,15717800
2006-09-28,12773800
2006-09-29,12582400
2006-10-02,18006100
2006-10-03,14986500
2006-10-04,24777900
2006-10-05,25072000
2006-10-06,15445600
2006-10-09,9645400
2006-10-10,9663000
2006-10-11,10006100
2006-10-12,12425800
2006-10-13,8802500
2006-10-16,6619800
2006-10-17,11116000
2006-10-18,10282600
2006-10-19,10102100
2006-10-20,18955600
2006-10-23,53101700
2006-10-24,18782600
2006-10-25,17283400
2006-10-26,14230000
2006-10-27,12533200
2006-10-30,26089000
2006-10-31,17583400
2006-11-01,16788800
2006-11-02,24382500
2006-11-03,18018200
2006-11-06,17431300
2006-11-07,17884700
2006-11-08,30113000
2006-11-09,27230900
2006-11-10,13199500
2006-11-13,24182100
2006-11-14,28622400
2006-11-15,16478700
2006-11-16,11076400
2006-11-17,15821200
2006-11-20,12336700
2006-11-21,8744200
2006-11-22,10822200
2006-11-24,5086400
2006-11-27,23503700
2006-11-28,13365400
2006-11-29,12673400
2006-11-30,24244400
2006-12-01,25024700
2006-12-04,14500800
2006-12-05,10470900
2006-12-06,9845200
2006-12-07,14216700
2006-12-08,10541800
2006-12-11,16515400
2006-12-12,18034100
2006-12-13,17372300
2006-12-14,18438700
2006-12-15,16090700
2006-12-18,12871200
2006-12-19,17349900
