time_captured,MSFT_Open
2006-01-03,26.25
2006-01-04,26.77
2006-01-05,26.96
2006-01-06,26.89
2006-01-09,26.93
2006-01-10,26.65
2006-01-11,27.01
2006-01-12,27.25
2006-01-13,27.03
2006-01-17,26.9
2006-01-18,26.74
2006-01-19,26.87
2006-01-20,27.01
2006-01-23,26.41
2006-01-24,26.34
2006-01-25,26.41
2006-01-26,26.56
2006-01-27,27.23
2006-01-30,27.82
2006-01-31,27.91
2006-02-01,27.96
2006-02-02,27.97
2006-02-03,27.48
2006-02-06,27.51
2006-02-07,26.95
2006-02-08,27.01
2006-02-09,26.96
2006-02-10,26.62
2006-02-13,26.63
2006-02-14,26.41
2006-02-15,26.6
2006-02-16,26.85
2006-02-17,26.67
2006-02-21,26.72
2006-02-22,26.53
2006-02-23,26.73
2006-02-24,26.59
2006-02-27,26.75
2006-02-28,26.95
2006-03-01,26.98
2006-03-02,27.02
2006-03-03,26.81
2006-03-06,26.92
2006-03-07,26.9
2006-03-08,26.99
2006-03-09,27.27
2006-03-10,27.06
2006-03-13,27.18
2006-03-14,27.04
2006-03-15,27.2
2006-03-16,27.34
2006-03-17,27.35
2006-03-20,27.7
2006-03-21,27.96
2006-03-22,27.08
2006-03-23,27.08
2006-03-24,26.71
2006-03-27,27.01
2006-03-28,27.01
2006-03-29,26.95
2006-03-30,27.03
2006-03-31,27.3
2006-04-03,27.67
2006-04-04,27.6
2006-04-05,27.88
2006-04-06,27.66
2006-04-07,27.61
2006-04-10,27.23
2006-04-11,27.29
2006-04-12,27.1
2006-04-13,27.08
2006-04-17,27.03
2006-04-18,26.94
2006-04-19,27.11
2006-04-20,27.05
2006-04-21,27.05
2006-04-24,27.07
2006-04-25,27.09
2006-04-26,27.08
2006-04-27,26.97
2006-04-28,24.23
2006-05-01,24.32
2006-05-02,24.49
2006-05-03,23.99
2006-05-04,23.35
2006-05-05,23.66
2006-05-08,23.85
2006-05-09,23.75
2006-05-10,23.67
2006-05-11,23.71
2006-05-12,23.14
2006-05-15,23.1
2006-05-16,23.16
2006-05-17,22.89
2006-05-18,22.84
2006-05-19,22.79
2006-05-22,22.48
2006-05-23,23.1
2006-05-24,22.99
2006-05-25,23.57
2006-05-26,23.77
2006-05-30,23.55
2006-05-31,23.26
2006-06-01,22.74
2006-06-02,22.85
2006-06-05,22.72
2006-06-06,22.55
2006-06-07,22.15
2006-06-08,22.03
2006-06-09,22.15
2006-06-12,21.96
2006-06-13,21.73
2006-06-14,21.59
2006-06-15,22.01
2006-06-16,21.97
2006-06-19,22.14
2006-06-20,22.54
2006-06-21,22.61
2006-06-22,23.06
2006-06-23,22.85
2006-06-26,22.65
2006-06-27,22.89
2006-06-28,22.96
2006-06-29,23.32
2006-06-30,23.54
2006-07-03,23.53
2006-07-05,23.48
2006-07-06,23.45
2006-07-07,23.39
2006-07-10,23.43
2006-07-11,23.37
2006-07-12,22.79
2006-07-13,22.37
2006-07-14,22.28
2006-07-17,22.29
2006-07-18,22.59
2006-07-19,22.82
2006-07-20,23.44
2006-07-21,24.08
2006-07-24,24.01
2006-07-25,24.0
2006-07-26,24.12
2006-07-27,24.58
2006-07-28,24.08
2006-07-31,24.07
2006-08-01,24.02
2006-08-02,24.12
2006-08-03,24.18
2006-08-04,24.4
2006-08-07,24.28
2006-08-08,24.39
2006-08-09,24.49
2006-08-10,24.37
2006-08-11,24.43
2006-08-14,24.52
2006-08-15,24.55
2006-08-16,24.61
2006-08-17,24.7
2006-08-18,25.05
2006-08-21,25.66
2006-08-22,26.01
2006-08-23,25.64
2006-08-24,25.82
2006-08-25,25.71
2006-08-28,25.84
2006-08-29,25.92
2006-08-30,25.85
2006-08-31,25.87
2006-09-01,25.89
2006-09-05,25.69
2006-09-06,25.51
2006-09-07,25.48
2006-09-08,25.53
2006-09-11,25.43
2006-09-12,25.9
2006-09-13,25.82
2006-09-14,25.99
2006-09-15,26.58
2006-09-18,26.74
2006-09-19,26.74
2006-09-20,27.01
2006-09-21,27.24
2006-09-22,26.83
2006-09-25,26.81
2006-09-26,26.91
2006-09-27,27.18
2006-09-28,27.47
2006-09-29,27.35
2006-10-02,27.32
2006-10-03,27.37
2006-10-04,27.39
2006-10-05,27.92
2006-10-06,27.76
2006-10-09,27.8
2006-10-10,27.69
2006-10-11,27.46
2006-10-12,27.58
2006-10-13,28.34
2006-10-16,28.48
2006-10-17,28.24
2006-10-18,28.5
2006-10-19,28.35
2006-10-20,28.48
2006-10-23,28.3
2006-10-24,28.43
2006-10-25,28.28
2006-10-26,28.33
2006-10-27,28.49
2006-10-30,28.35
2006-10-31,28.66
2006-11-01,28.78
2006-11-02,28.71
2006-11-03,28.85
2006-11-06,28.77
2006-11-07,28.86
2006-11-08,28.78
2006-11-09,29.11
2006-11-10,29.17
2006-11-13,29.19
2006-11-14,29.28
2006-11-15,29.12
2006-11-16,29.14
2006-11-17,29.31
2006-11-20,29.52
2006-11-21,29.91
2006-11-22,29.97
2006-11-24,29.66
2006-11-27,29.69
2006-11-28,29.34
2006-11-29,29.44
2006-11-30,29.42
2006-12-01,29.23
2006-12-04,29.23
2006-12-05,29.36
2006-12-06,29.1
2006-12-07,28.96
2006-12-08,28.82
2006-12-11,29.19
2006-12-12,29.56
2006-12-13,29.6
2006-12-14,29.54
2006-12-15,30.14
2006-12-18,30.19
2006-12-19,29.71
2006-12-20,29.99
2006-12-21,30.13
2006-12-22,29.82
2006-12-26,29.53
2006-12-27,29.99
2006-12-28,29.86
2006-12-29,29.86
2007-01-03,29.91
2007-01-04,29.7
2007-01-05,29.63
2007-01-08,29.65
2007-01-09,30.0
2007-01-10,29.8
2007-01-11,29.76
2007-01-12,30.65
2007-01-16,31.26
2007-01-17,31.26
2007-01-18,31.15
2007-01-19,30.73
2007-01-22,31.06
2007-01-23,30.63
2007-01-24,30.78
2007-01-25,31.08
2007-01-26,31.22
2007-01-29,30.65
2007-01-30,30.57
2007-01-31,30.41
2007-02-01,30.84
2007-02-02,30.82
2007-02-05,29.97
2007-02-06,29.59
2007-02-07,29.64
2007-02-08,29.24
2007-02-09,29.35
2007-02-12,28.89
2007-02-13,29.04
2007-02-14,29.17
2007-02-15,29.58
2007-02-16,28.9
2007-02-20,28.63
2007-02-21,28.75
2007-02-22,29.3
2007-02-23,29.22
2007-02-26,28.96
2007-02-27,28.71
2007-02-28,27.95
2007-03-01,27.82
2007-03-02,28.02
2007-03-05,27.49
2007-03-06,27.8
2007-03-07,27.76
2007-03-08,27.72
2007-03-09,27.42
2007-03-12,27.18
2007-03-13,27.25
2007-03-14,26.82
2007-03-15,27.32
2007-03-16,27.35
2007-03-19,27.34
2007-03-20,27.93
2007-03-21,27.9
2007-03-22,28.52
2007-03-23,28.22
2007-03-26,27.94
2007-03-27,28.04
2007-03-28,27.58
2007-03-29,27.84
2007-03-30,27.75
2007-04-02,27.89
2007-04-03,27.86
2007-04-04,28.01
2007-04-05,28.32
2007-04-09,28.58
2007-04-10,28.5
2007-04-11,28.3
2007-04-12,28.06
2007-04-13,28.43
2007-04-16,28.6
2007-04-17,28.63
2007-04-18,28.61
2007-04-19,28.34
2007-04-20,28.98
2007-04-23,28.96
2007-04-24,28.79
2007-04-25,28.86
2007-04-26,29.09
2007-04-27,30.17
2007-04-30,30.13
2007-05-01,29.94
2007-05-02,30.39
2007-05-03,30.6
2007-05-04,30.68
2007-05-07,30.52
2007-05-08,30.68
2007-05-09,30.7
2007-05-10,30.68
2007-05-11,30.57
2007-05-14,30.84
2007-05-15,30.9
2007-05-16,31.0
2007-05-17,31.03
2007-05-18,30.97
2007-05-21,30.73
2007-05-22,30.9
2007-05-23,30.84
2007-05-24,30.54
2007-05-25,30.28
2007-05-29,30.49
2007-05-30,30.55
2007-05-31,31.12
2007-06-01,30.79
2007-06-04,30.42
2007-06-05,30.62
2007-06-06,30.37
2007-06-07,30.02
2007-06-08,29.58
2007-06-11,29.94
2007-06-12,29.96
2007-06-13,29.97
2007-06-14,30.35
2007-06-15,30.86
2007-06-18,30.69
2007-06-19,30.48
2007-06-20,30.44
2007-06-21,29.98
2007-06-22,30.0
2007-06-25,29.47
2007-06-26,29.55
2007-06-27,29.36
2007-06-28,29.86
2007-06-29,29.87
2007-07-02,29.67
2007-07-03,29.78
2007-07-05,30.05
2007-07-06,29.91
2007-07-09,29.86
2007-07-10,29.7
2007-07-11,29.24
2007-07-12,29.56
2007-07-13,29.94
2007-07-16,29.76
2007-07-17,30.02
2007-07-18,30.51
2007-07-19,31.05
2007-07-20,31.15
2007-07-23,31.36
2007-07-24,31.01
2007-07-25,30.99
2007-07-26,30.24
2007-07-27,29.93
2007-07-30,29.4
2007-07-31,29.71
2007-08-01,28.95
2007-08-02,29.19
2007-08-03,29.45
2007-08-06,29.05
2007-08-07,29.33
2007-08-08,29.72
2007-08-09,29.64
2007-08-10,28.9
2007-08-13,28.94
2007-08-14,28.77
2007-08-15,28.24
2007-08-16,27.88
2007-08-17,28.09
2007-08-20,28.18
2007-08-21,28.1
2007-08-22,28.27
2007-08-23,28.28
2007-08-24,28.21
2007-08-27,28.61
2007-08-28,28.3
2007-08-29,28.13
2007-08-30,28.42
2007-08-31,28.7
2007-09-04,28.5
2007-09-05,28.65
2007-09-06,28.56
2007-09-07,28.62
2007-09-10,28.67
2007-09-11,28.63
2007-09-12,28.81
2007-09-13,29.12
2007-09-14,28.98
2007-09-17,28.79
2007-09-18,28.7
2007-09-19,28.87
2007-09-20,28.48
2007-09-21,28.69
2007-09-24,28.81
2007-09-25,29.14
2007-09-26,29.68
2007-09-27,29.7
2007-09-28,29.49
2007-10-01,29.46
2007-10-02,29.7
2007-10-03,29.71
2007-10-04,29.56
2007-10-05,29.89
2007-10-08,29.66
2007-10-09,30.03
2007-10-10,30.04
2007-10-11,30.3
2007-10-12,30.03
2007-10-15,30.1
2007-10-16,30.24
2007-10-17,30.75
2007-10-18,31.22
2007-10-19,31.09
2007-10-22,30.12
2007-10-23,30.71
2007-10-24,30.85
2007-10-25,31.57
2007-10-26,36.01
2007-10-29,34.85
2007-10-30,34.37
2007-10-31,35.52
2007-11-01,36.53
2007-11-02,37.22
2007-11-05,36.76
2007-11-06,36.59
