time_captured,UTX_High
2006-01-03,56.66
2006-01-04,56.8
2006-01-05,56.49
2006-01-06,56.67
2006-01-09,56.9
2006-01-10,57.02
2006-01-11,56.77
2006-01-12,55.92
2006-01-13,55.95
2006-01-17,56.48
2006-01-18,56.53
2006-01-19,56.31
2006-01-20,56.06
2006-01-23,55.08
2006-01-24,56.73
2006-01-25,57.0
2006-01-26,57.55
2006-01-27,59.34
2006-01-30,58.8
2006-01-31,58.98
2006-02-01,58.84
2006-02-02,58.4
2006-02-03,57.98
2006-02-06,57.36
2006-02-07,57.22
2006-02-08,57.01
2006-02-09,57.09
2006-02-10,57.46
2006-02-13,57.46
2006-02-14,58.35
2006-02-15,58.39
2006-02-16,58.33
2006-02-17,58.42
2006-02-21,58.94
2006-02-22,58.99
2006-02-23,58.95
2006-02-24,59.15
2006-02-27,59.3
2006-02-28,59.15
2006-03-01,59.09
2006-03-02,58.82
2006-03-03,58.67
2006-03-06,57.95
2006-03-07,58.44
2006-03-08,58.08
2006-03-09,57.7
2006-03-10,58.22
2006-03-13,58.29
2006-03-14,58.46
2006-03-15,58.25
2006-03-16,58.66
2006-03-17,59.17
2006-03-20,58.9
2006-03-21,58.9
2006-03-22,59.31
2006-03-23,59.24
2006-03-24,59.94
2006-03-27,59.42
2006-03-28,59.75
2006-03-29,59.15
2006-03-30,58.64
2006-03-31,58.31
2006-04-03,58.88
2006-04-04,58.58
2006-04-05,58.58
2006-04-06,58.41
2006-04-07,58.77
2006-04-10,58.2
2006-04-11,58.2
2006-04-12,57.7
2006-04-13,57.4
2006-04-17,57.71
2006-04-18,59.05
2006-04-19,63.08
2006-04-20,64.27
2006-04-21,64.95
2006-04-24,64.8
2006-04-25,64.66
2006-04-26,64.42
2006-04-27,64.28
2006-04-28,64.25
2006-05-01,63.05
2006-05-02,63.57
2006-05-03,63.85
2006-05-04,64.0
2006-05-05,65.0
2006-05-08,65.4
2006-05-09,65.45
2006-05-10,66.35
2006-05-11,66.39
2006-05-12,65.49
2006-05-15,65.41
2006-05-16,65.43
2006-05-17,64.93
2006-05-18,64.11
2006-05-19,63.1
2006-05-22,63.38
2006-05-23,63.35
2006-05-24,63.0
2006-05-25,62.7
2006-05-26,62.95
2006-05-30,63.1
2006-05-31,63.06
2006-06-01,63.49
2006-06-02,63.44
2006-06-05,63.0
2006-06-06,61.8
2006-06-07,61.14
2006-06-08,60.49
2006-06-09,60.67
2006-06-12,60.66
2006-06-13,60.25
2006-06-14,59.87
2006-06-15,60.99
2006-06-16,62.11
2006-06-19,61.77
2006-06-20,61.25
2006-06-21,62.03
2006-06-22,62.16
2006-06-23,62.71
2006-06-26,62.5
2006-06-27,62.41
2006-06-28,61.6
2006-06-29,63.54
2006-06-30,63.58
2006-07-03,64.02
2006-07-05,64.08
2006-07-06,64.68
2006-07-07,63.85
2006-07-10,63.47
2006-07-11,64.1
2006-07-12,64.38
2006-07-13,63.33
2006-07-14,61.47
2006-07-17,59.65
2006-07-18,59.79
2006-07-19,61.45
2006-07-20,62.07
2006-07-21,60.31
2006-07-24,61.62
2006-07-25,62.24
2006-07-26,62.2
2006-07-27,62.5
2006-07-28,62.47
2006-07-31,62.33
2006-08-01,62.5
2006-08-02,62.52
2006-08-03,63.21
2006-08-04,63.4
2006-08-07,63.24
2006-08-08,63.17
2006-08-09,62.55
2006-08-10,60.68
2006-08-11,60.46
2006-08-14,61.36
2006-08-15,61.55
2006-08-16,62.49
2006-08-17,62.29
2006-08-18,62.4
2006-08-21,61.59
2006-08-22,61.69
2006-08-23,61.26
2006-08-24,61.26
2006-08-25,60.99
2006-08-28,61.8
2006-08-29,62.42
2006-08-30,62.75
2006-08-31,62.97
2006-09-01,63.48
2006-09-05,63.89
2006-09-06,63.71
2006-09-07,63.27
2006-09-08,63.44
2006-09-11,63.49
2006-09-12,63.34
2006-09-13,64.16
2006-09-14,63.88
2006-09-15,64.74
2006-09-18,64.53
2006-09-19,64.22
2006-09-20,64.49
2006-09-21,64.04
2006-09-22,62.77
2006-09-25,63.43
2006-09-26,63.85
2006-09-27,63.8
2006-09-28,63.73
2006-09-29,63.85
2006-10-02,64.5
2006-10-03,65.0
2006-10-04,65.3
2006-10-05,66.0
2006-10-06,65.95
2006-10-09,65.77
2006-10-10,65.81
2006-10-11,65.64
2006-10-12,66.56
2006-10-13,66.89
2006-10-16,67.47
2006-10-17,67.46
2006-10-18,65.6
2006-10-19,65.5
2006-10-20,65.49
2006-10-23,65.33
2006-10-24,65.15
2006-10-25,65.49
2006-10-26,65.38
2006-10-27,65.25
2006-10-30,65.66
2006-10-31,66.11
2006-11-01,65.87
2006-11-02,64.48
2006-11-03,64.98
2006-11-06,65.46
2006-11-07,65.89
2006-11-08,65.76
2006-11-09,65.65
2006-11-10,65.4
2006-11-13,65.85
2006-11-14,65.95
2006-11-15,65.8
2006-11-16,66.93
2006-11-17,66.8
2006-11-20,66.39
2006-11-21,65.98
2006-11-22,66.11
2006-11-24,66.01
2006-11-27,66.08
2006-11-28,64.74
2006-11-29,65.09
2006-11-30,65.09
2006-12-01,64.73
2006-12-04,65.49
2006-12-05,65.17
2006-12-06,64.98
2006-12-07,65.46
2006-12-08,65.24
2006-12-11,65.07
2006-12-12,65.23
2006-12-13,65.25
2006-12-14,63.31
2006-12-15,62.49
2006-12-18,62.57
2006-12-19,62.7
2006-12-20,63.54
2006-12-21,63.59
2006-12-22,62.81
2006-12-26,63.32
2006-12-27,64.21
2006-12-28,63.14
2006-12-29,63.01
2007-01-03,63.59
2007-01-04,63.0
2007-01-05,62.99
2007-01-08,63.59
2007-01-09,63.1
2007-01-10,62.87
2007-01-11,63.95
2007-01-12,64.72
2007-01-16,65.0
2007-01-17,65.07
2007-01-18,65.13
2007-01-19,65.44
2007-01-22,64.95
2007-01-23,66.73
2007-01-24,66.96
2007-01-25,67.1
2007-01-26,66.55
2007-01-29,66.24
2007-01-30,67.28
2007-01-31,68.24
2007-02-01,68.73
2007-02-02,68.75
2007-02-05,68.64
2007-02-06,68.6
2007-02-07,68.75
2007-02-08,68.73
2007-02-09,68.45
2007-02-12,67.59
2007-02-13,67.45
2007-02-14,68.44
2007-02-15,69.35
2007-02-16,69.49
2007-02-20,69.0
2007-02-21,68.03
2007-02-22,68.06
2007-02-23,67.59
2007-02-26,68.2
2007-02-27,66.8
2007-02-28,66.32
2007-03-01,65.33
2007-03-02,65.01
2007-03-05,64.45
2007-03-06,64.27
2007-03-07,64.55
2007-03-08,64.89
2007-03-09,65.0
2007-03-12,65.47
2007-03-13,65.2
2007-03-14,64.89
2007-03-15,64.85
2007-03-16,64.79
2007-03-19,65.65
2007-03-20,65.34
2007-03-21,66.48
2007-03-22,66.5
2007-03-23,66.9
2007-03-26,67.3
2007-03-27,66.4
2007-03-28,66.03
2007-03-29,65.81
2007-03-30,65.2
2007-04-02,65.4
2007-04-03,65.5
2007-04-04,65.54
2007-04-05,65.03
2007-04-09,65.17
2007-04-10,65.1
2007-04-11,64.5
2007-04-12,64.82
2007-04-13,65.08
2007-04-16,65.85
2007-04-17,66.19
2007-04-18,67.33
2007-04-19,67.3
2007-04-20,68.49
2007-04-23,68.04
2007-04-24,68.25
2007-04-25,68.05
2007-04-26,68.18
2007-04-27,67.77
2007-04-30,67.95
2007-05-01,67.88
2007-05-02,68.63
2007-05-03,68.4
2007-05-04,68.72
2007-05-07,69.08
2007-05-08,68.75
2007-05-09,68.8
2007-05-10,68.79
2007-05-11,68.5
2007-05-14,68.6
2007-05-15,69.44
2007-05-16,68.98
2007-05-17,69.56
2007-05-18,69.85
2007-05-21,69.1
2007-05-22,69.3
2007-05-23,69.3
2007-05-24,69.5
2007-05-25,68.95
2007-05-29,69.28
2007-05-30,69.43
2007-05-31,70.68
2007-06-01,71.62
2007-06-04,71.17
2007-06-05,70.99
2007-06-06,70.64
2007-06-07,69.98
2007-06-08,70.29
2007-06-11,70.3
2007-06-12,70.4
2007-06-13,70.73
2007-06-14,71.38
2007-06-15,72.3
2007-06-18,72.5
2007-06-19,72.3
2007-06-20,72.64
2007-06-21,72.29
2007-06-22,72.17
2007-06-25,71.88
2007-06-26,71.52
2007-06-27,71.56
2007-06-28,71.51
2007-06-29,71.71
2007-07-02,72.5
2007-07-03,72.86
2007-07-05,72.72
2007-07-06,72.88
2007-07-09,72.7
2007-07-10,72.45
2007-07-11,73.0
2007-07-12,74.0
2007-07-13,75.21
2007-07-16,76.98
2007-07-17,77.82
2007-07-18,76.2
2007-07-19,77.4
2007-07-20,77.23
2007-07-23,76.84
2007-07-24,76.31
2007-07-25,75.74
2007-07-26,76.43
2007-07-27,74.85
2007-07-30,74.13
2007-07-31,75.0
2007-08-01,74.74
2007-08-02,74.97
2007-08-03,75.41
2007-08-06,76.71
2007-08-07,74.85
2007-08-08,75.23
2007-08-09,74.92
2007-08-10,73.68
2007-08-13,74.39
2007-08-14,74.25
2007-08-15,72.81
2007-08-16,71.4
2007-08-17,74.22
2007-08-20,75.02
2007-08-21,74.7
2007-08-22,74.22
2007-08-23,74.0
2007-08-24,74.46
2007-08-27,74.22
2007-08-28,73.71
2007-08-29,74.48
2007-08-30,74.55
2007-08-31,75.5
2007-09-04,74.83
2007-09-05,74.45
2007-09-06,75.11
2007-09-07,74.45
2007-09-10,74.95
2007-09-11,74.98
2007-09-12,75.5
2007-09-13,75.4
2007-09-14,76.37
2007-09-17,76.24
2007-09-18,78.3
2007-09-19,78.99
2007-09-20,79.04
2007-09-21,79.95
2007-09-24,79.75
2007-09-25,80.0
2007-09-26,80.75
2007-09-27,80.78
2007-09-28,80.98
2007-10-01,82.37
2007-10-02,82.5
2007-10-03,80.7
2007-10-04,80.7
2007-10-05,81.15
2007-10-08,81.28
2007-10-09,81.46
2007-10-10,81.5
2007-10-11,81.2
2007-10-12,80.62
2007-10-15,81.17
2007-10-16,80.73
2007-10-17,80.49
2007-10-18,78.24
2007-10-19,77.6
2007-10-22,76.55
2007-10-23,76.6
2007-10-24,76.65
2007-10-25,76.95
2007-10-26,76.32
2007-10-29,76.04
2007-10-30,76.49
2007-10-31,76.71
2007-11-01,76.03
2007-11-02,75.9
2007-11-05,76.51
2007-11-06,76.75
2007-11-07,76.47
2007-11-08,75.14
2007-11-09,74.47
2007-11-12,74.82
2007-11-13,75.37
2007-11-14,75.83
2007-11-15,74.85
2007-11-16,74.76
2007-11-19,74.08
2007-11-20,75.0
2007-11-21,74.13
2007-11-23,73.53
2007-11-26,74.22
2007-11-27,74.26
2007-11-28,76.26
2007-11-29,75.92
2007-11-30,76.56
2007-12-03,75.3
2007-12-04,75.39
2007-12-05,76.93
2007-12-06,78.04
2007-12-07,78.4
2007-12-10,78.95
2007-12-11,79.3
2007-12-12,78.26
2007-12-13,77.81
2007-12-14,77.97
2007-12-17,76.65
2007-12-18,76.18
2007-12-19,76.6
2007-12-20,76.48
2007-12-21,78.0
2007-12-24,78.85
2007-12-26,78.33
2007-12-27,78.2
2007-12-28,77.53
2007-12-31,77.14
2008-01-02,77.14
2008-01-03,76.69
2008-01-04,76.19
2008-01-07,75.7
2008-01-08,75.19
2008-01-09,73.07
2008-01-10,72.77
2008-01-11,72.47
2008-01-14,72.5
2008-01-15,72.28
2008-01-16,72.25
2008-01-17,71.21
2008-01-18,70.0
2008-01-22,68.04
2008-01-23,71.39
2008-01-24,72.87
2008-01-25,74.22
2008-01-28,73.95
2008-01-29,74.32
2008-01-30,74.41
