time_captured,TRV_Open
2006-01-03,44.85
2006-01-04,45.99
2006-01-05,46.79
2006-01-06,47.0
2006-01-09,46.71
2006-01-10,47.05
2006-01-11,47.18
2006-01-12,47.68
2006-01-13,47.38
2006-01-17,47.1
2006-01-18,46.44
2006-01-19,46.4
2006-01-20,46.0
2006-01-23,45.15
2006-01-24,44.73
2006-01-25,45.25
2006-01-26,45.45
2006-01-27,46.0
2006-01-30,46.89
2006-01-31,45.95
2006-02-01,45.36
2006-02-02,45.4
2006-02-03,44.9
2006-02-06,44.63
2006-02-07,43.93
2006-02-08,43.75
2006-02-09,43.59
2006-02-10,43.46
2006-02-13,43.53
2006-02-14,43.56
2006-02-15,44.24
2006-02-16,44.1
2006-02-17,43.4
2006-02-21,42.4
2006-02-22,43.0
2006-02-23,42.68
2006-02-24,42.24
2006-02-27,42.7
2006-02-28,42.8
2006-03-01,43.1
2006-03-02,42.62
2006-03-03,42.34
2006-03-06,42.74
2006-03-07,42.25
2006-03-08,42.41
2006-03-09,42.6
2006-03-10,42.23
2006-03-13,42.52
2006-03-14,42.69
2006-03-15,42.93
2006-03-16,43.04
2006-03-17,42.88
2006-03-20,42.11
2006-03-21,41.11
2006-03-22,41.67
2006-03-23,41.41
2006-03-24,41.34
2006-03-27,41.32
2006-03-28,41.15
2006-03-29,40.9
2006-03-30,41.96
2006-03-31,41.98
2006-04-03,42.04
2006-04-04,42.23
2006-04-05,42.5
2006-04-06,43.16
2006-04-07,42.15
2006-04-10,41.24
2006-04-11,42.11
2006-04-12,41.15
2006-04-13,41.15
2006-04-17,40.23
2006-04-18,41.0
2006-04-19,42.0
2006-04-20,43.05
2006-04-21,43.47
2006-04-24,42.72
2006-04-25,43.11
2006-04-26,43.15
2006-04-27,43.73
2006-04-28,43.85
2006-05-01,44.0
2006-05-02,45.0
2006-05-03,45.78
2006-05-04,45.99
2006-05-05,46.0
2006-05-08,45.5
2006-05-09,45.55
2006-05-10,45.21
2006-05-11,46.37
2006-05-12,45.09
2006-05-15,44.6
2006-05-16,45.0
2006-05-17,44.7
2006-05-18,44.56
2006-05-19,44.3
2006-05-22,44.53
2006-05-23,44.06
2006-05-24,43.77
2006-05-25,43.95
2006-05-26,43.95
2006-05-30,43.75
2006-05-31,43.25
2006-06-01,43.85
2006-06-02,44.33
2006-06-05,43.7
2006-06-06,41.84
2006-06-07,42.52
2006-06-08,42.73
2006-06-09,43.32
2006-06-12,43.23
2006-06-13,42.74
2006-06-14,42.15
2006-06-15,42.64
2006-06-16,43.68
2006-06-19,44.0
2006-06-20,44.3
2006-06-21,43.87
2006-06-22,44.22
2006-06-23,44.0
2006-06-26,44.16
2006-06-27,44.49
2006-06-28,43.98
2006-06-29,44.2
2006-06-30,44.85
2006-07-03,44.83
2006-07-05,45.0
2006-07-06,44.64
2006-07-07,44.62
2006-07-10,44.53
2006-07-11,44.14
2006-07-12,44.55
2006-07-13,44.21
2006-07-14,43.68
2006-07-17,43.65
2006-07-18,43.47
2006-07-19,43.36
2006-07-20,44.13
2006-07-21,44.32
2006-07-24,44.47
2006-07-25,45.49
2006-07-26,45.1
2006-07-27,45.7
2006-07-28,45.47
2006-07-31,45.89
2006-08-01,45.0
2006-08-02,45.24
2006-08-03,45.05
2006-08-04,45.08
2006-08-07,44.5
2006-08-08,44.72
2006-08-09,44.15
2006-08-10,42.84
2006-08-11,42.94
2006-08-14,43.54
2006-08-15,47.83
2006-08-16,44.6
2006-08-17,44.14
2006-08-18,44.75
2006-08-21,44.14
2006-08-22,44.25
2006-08-23,43.8
2006-08-24,44.19
2006-08-25,43.42
2006-08-28,43.66
2006-08-29,43.97
2006-08-30,43.8
2006-08-31,43.82
2006-09-01,44.15
2006-09-05,44.34
2006-09-06,43.7
2006-09-07,44.25
2006-09-08,44.5
2006-09-11,45.87
2006-09-12,45.74
2006-09-13,45.74
2006-09-14,46.43
2006-09-15,46.34
2006-09-18,46.0
2006-09-19,46.24
2006-09-20,46.45
2006-09-21,46.3
2006-09-22,46.4
2006-09-25,46.35
2006-09-26,47.04
2006-09-27,47.16
2006-09-28,46.74
2006-09-29,47.01
2006-10-02,46.95
2006-10-03,46.44
2006-10-04,47.35
2006-10-05,48.1
2006-10-06,47.85
2006-10-09,47.66
2006-10-10,48.35
2006-10-11,47.99
2006-10-12,48.2
2006-10-13,48.07
2006-10-16,48.9
2006-10-17,48.85
2006-10-18,48.76
2006-10-19,48.66
2006-10-20,48.79
2006-10-23,48.26
2006-10-24,48.98
2006-10-25,48.82
2006-10-26,49.45
2006-10-27,50.66
2006-10-30,49.96
2006-10-31,50.4
2006-11-01,51.11
2006-11-02,50.9
2006-11-03,51.28
2006-11-06,51.23
2006-11-07,51.49
2006-11-08,52.4
2006-11-09,52.65
2006-11-10,52.68
2006-11-13,52.92
2006-11-14,52.38
2006-11-15,52.3
2006-11-16,52.15
2006-11-17,51.65
2006-11-20,51.45
2006-11-21,52.12
2006-11-22,51.87
2006-11-24,50.9
2006-11-27,51.14
2006-11-28,51.17
2006-11-29,51.8
2006-11-30,51.93
2006-12-01,51.75
2006-12-04,51.2
2006-12-05,51.25
2006-12-06,51.66
2006-12-07,52.0
2006-12-08,51.7
2006-12-11,52.32
2006-12-12,52.45
2006-12-13,52.62
2006-12-14,52.15
2006-12-15,52.94
2006-12-18,53.8
2006-12-19,53.97
2006-12-20,53.89
2006-12-21,54.01
2006-12-22,54.18
2006-12-26,53.58
2006-12-27,54.47
2006-12-28,54.9
2006-12-29,54.03
2007-01-03,53.69
2007-01-04,53.55
2007-01-05,53.16
2007-01-08,52.35
2007-01-09,52.17
2007-01-10,51.78
2007-01-11,51.79
2007-01-12,51.25
2007-01-16,51.17
2007-01-17,51.05
2007-01-18,51.1
2007-01-19,51.42
2007-01-22,51.37
2007-01-23,51.74
2007-01-24,51.81
2007-01-25,51.19
2007-01-26,50.65
2007-01-29,50.81
2007-01-30,51.08
2007-01-31,51.68
2007-02-01,51.5
2007-02-02,52.18
2007-02-05,52.27
2007-02-06,52.95
2007-02-07,52.76
2007-02-08,52.87
2007-02-09,53.16
2007-02-12,52.46
2007-02-13,52.8
2007-02-14,52.97
2007-02-15,52.85
2007-02-16,52.42
2007-02-20,52.83
2007-02-21,53.0
2007-02-22,53.58
2007-02-23,53.74
2007-02-26,53.05
2007-02-27,53.15
2007-02-28,51.24
2007-03-01,50.77
2007-03-02,51.23
2007-03-05,50.3
2007-03-06,51.08
2007-03-07,51.45
2007-03-08,51.2
2007-03-09,51.75
2007-03-12,51.69
2007-03-13,50.8
2007-03-14,51.2
2007-03-15,49.74
2007-03-16,50.14
2007-03-19,50.6
2007-03-20,51.42
2007-03-21,51.91
2007-03-22,54.0
2007-03-23,51.25
2007-03-26,52.6
2007-03-27,51.7
2007-03-28,52.0
2007-03-29,52.33
2007-03-30,51.91
2007-04-02,51.27
2007-04-03,51.86
2007-04-04,51.96
2007-04-05,52.67
2007-04-09,53.04
2007-04-10,52.84
2007-04-11,52.97
2007-04-12,53.18
2007-04-13,53.2
2007-04-16,54.25
2007-04-17,53.67
2007-04-18,53.55
2007-04-19,53.25
2007-04-20,56.99
2007-04-23,54.1
2007-04-24,54.25
2007-04-25,54.51
2007-04-26,55.0
2007-04-27,53.92
2007-04-30,53.8
2007-05-01,52.97
2007-05-02,54.8
2007-05-03,54.95
2007-05-04,55.3
2007-05-07,55.3
2007-05-08,55.91
2007-05-09,56.23
2007-05-10,56.36
2007-05-11,56.2
2007-05-14,56.64
2007-05-15,55.91
2007-05-16,56.15
2007-05-17,56.27
2007-05-18,56.09
2007-05-21,56.48
2007-05-22,55.64
2007-05-23,55.85
2007-05-24,55.37
2007-05-25,54.71
2007-05-29,54.44
2007-05-30,54.08
2007-05-31,54.77
2007-06-01,54.17
2007-06-04,54.35
2007-06-05,54.8
2007-06-06,54.95
2007-06-07,54.41
2007-06-08,53.87
2007-06-11,54.45
2007-06-12,54.33
2007-06-13,53.94
2007-06-14,54.72
2007-06-15,54.43
2007-06-18,54.04
2007-06-19,52.3
2007-06-20,53.3
2007-06-21,52.5
2007-06-22,52.75
2007-06-25,52.38
2007-06-26,52.53
2007-06-27,52.48
2007-06-28,52.95
2007-06-29,53.81
2007-07-02,53.73
2007-07-03,54.81
2007-07-05,54.86
2007-07-06,54.29
2007-07-09,54.7
2007-07-10,54.5
2007-07-11,52.92
2007-07-12,53.37
2007-07-13,53.86
2007-07-16,53.41
2007-07-17,53.18
2007-07-18,52.93
2007-07-19,53.26
2007-07-20,53.35
2007-07-23,52.1
2007-07-24,51.69
2007-07-25,51.25
2007-07-26,51.44
2007-07-27,51.1
2007-07-30,50.65
2007-07-31,52.3
2007-08-01,50.58
2007-08-02,51.79
2007-08-03,51.7
2007-08-06,50.84
2007-08-07,49.96
2007-08-08,51.2
2007-08-09,51.77
2007-08-10,48.26
2007-08-13,50.63
2007-08-14,50.85
2007-08-15,50.53
2007-08-16,50.13
2007-08-17,54.98
2007-08-20,52.96
2007-08-21,52.11
2007-08-22,52.45
2007-08-23,52.61
2007-08-24,51.8
2007-08-27,52.62
2007-08-28,51.01
2007-08-29,50.11
2007-08-30,51.43
2007-08-31,50.75
2007-09-04,50.61
2007-09-05,50.21
2007-09-06,50.47
2007-09-07,49.73
2007-09-10,50.24
2007-09-11,49.94
2007-09-12,49.92
2007-09-13,50.74
2007-09-14,50.05
2007-09-17,49.53
2007-09-18,49.65
2007-09-19,52.05
2007-09-20,52.2
2007-09-21,52.21
2007-09-24,50.72
2007-09-25,49.32
2007-09-26,50.35
2007-09-27,49.88
2007-09-28,50.0
2007-10-01,50.51
2007-10-02,52.05
2007-10-03,52.3
2007-10-04,52.52
2007-10-05,53.73
2007-10-08,54.0
2007-10-09,53.42
2007-10-10,53.43
2007-10-11,54.01
2007-10-12,53.95
2007-10-15,54.17
2007-10-16,53.27
2007-10-17,53.04
2007-10-18,51.9
2007-10-19,51.6
2007-10-22,50.39
2007-10-23,52.46
2007-10-24,51.4
2007-10-25,52.28
2007-10-26,52.86
2007-10-29,53.26
2007-10-30,52.45
2007-10-31,52.84
2007-11-01,50.35
2007-11-02,51.8
2007-11-05,50.94
2007-11-06,52.34
2007-11-07,51.89
2007-11-08,50.39
2007-11-09,50.5
2007-11-12,51.21
2007-11-13,51.71
2007-11-14,52.53
2007-11-15,52.63
2007-11-16,53.42
2007-11-19,52.49
2007-11-20,51.4
2007-11-21,50.67
2007-11-23,50.83
2007-11-26,51.51
2007-11-27,50.32
2007-11-28,51.46
2007-11-29,51.18
2007-11-30,52.81
2007-12-03,52.58
2007-12-04,52.92
2007-12-05,53.45
2007-12-06,54.15
2007-12-07,54.84
2007-12-10,54.2
2007-12-11,55.15
2007-12-12,53.85
2007-12-13,54.0
2007-12-14,53.46
2007-12-17,52.36
2007-12-18,52.88
2007-12-19,52.56
2007-12-20,53.19
2007-12-21,52.27
2007-12-24,53.5
2007-12-26,55.0
2007-12-27,53.97
2007-12-28,54.36
2007-12-31,53.85
2008-01-02,53.66
2008-01-03,52.36
2008-01-04,52.62
2008-01-07,51.79
2008-01-08,52.2
2008-01-09,50.51
2008-01-10,50.67
2008-01-11,51.0
2008-01-14,51.33
2008-01-15,50.15
2008-01-16,49.36
2008-01-17,49.43
2008-01-18,47.85
2008-01-22,43.87
2008-01-23,44.73
2008-01-24,46.48
2008-01-25,46.95
2008-01-28,45.58
2008-01-29,48.21
2008-01-30,47.52
2008-01-31,47.23
2008-02-01,48.34
2008-02-04,49.63
2008-02-05,47.13
2008-02-06,47.43
2008-02-07,47.13
2008-02-08,46.66
2008-02-11,46.46
2008-02-12,46.31
2008-02-13,48.44
2008-02-14,47.92
2008-02-15,46.82
2008-02-19,48.6
2008-02-20,47.36
2008-02-21,48.15
2008-02-22,47.42
2008-02-25,47.83
2008-02-26,48.98
2008-02-27,49.5
2008-02-28,48.68
2008-02-29,47.66
2008-03-03,46.26
2008-03-04,45.54
2008-03-05,46.63
2008-03-06,47.08
2008-03-07,46.04
2008-03-10,46.6
2008-03-11,46.95
2008-03-12,48.75
2008-03-13,45.45
2008-03-14,46.88
2008-03-17,44.0
2008-03-18,47.26
2008-03-19,47.89
2008-03-20,46.47
2008-03-24,48.08
2008-03-25,47.47
2008-03-26,47.61
2008-03-27,47.47
2008-03-28,47.73
2008-03-31,47.75
2008-04-01,48.99
2008-04-02,50.6
2008-04-03,49.54
2008-04-04,49.27
2008-04-07,49.78
2008-04-08,49.93
2008-04-09,48.77
2008-04-10,49.12
2008-04-11,48.67
2008-04-14,49.37
2008-04-15,49.22
2008-04-16,49.03
2008-04-17,49.35
2008-04-18,50.0
2008-04-21,49.94
2008-04-22,49.07
2008-04-23,49.26
2008-04-24,50.28
2008-04-25,51.0
2008-04-28,50.04
2008-04-29,50.6
2008-04-30,49.67
2008-05-01,50.51
2008-05-02,52.31
2008-05-05,51.72
2008-05-06,51.25
2008-05-07,51.35
2008-05-08,50.6
2008-05-09,49.83
2008-05-12,50.21
2008-05-13,51.55
2008-05-14,50.49
2008-05-15,50.99
2008-05-16,51.83
2008-05-19,50.64
2008-05-20,50.37
2008-05-21,49.75
2008-05-22,49.17
2008-05-23,49.0
2008-05-27,48.42
2008-05-28,49.48
2008-05-29,48.36
2008-05-30,49.64
2008-06-02,49.52
2008-06-03,49.64
2008-06-04,48.97
2008-06-05,49.46
2008-06-06,49.71
2008-06-09,47.46
2008-06-10,47.59
2008-06-11,48.43
2008-06-12,47.07
