time_captured,GS_Volume
2006-01-03,6188700
2006-01-04,4862000
2006-01-05,3717600
2006-01-06,4319600
2006-01-09,4723500
2006-01-10,5539800
2006-01-11,4671400
2006-01-12,3725500
2006-01-13,2894900
2006-01-17,3624600
2006-01-18,4305400
2006-01-19,5020700
2006-01-20,5680100
2006-01-23,3849400
2006-01-24,3758000
2006-01-25,3740500
2006-01-26,4808300
2006-01-27,3687900
2006-01-30,3167900
2006-01-31,4908100
2006-02-01,3640600
2006-02-02,3711000
2006-02-03,4213900
2006-02-06,3849300
2006-02-07,5208000
2006-02-08,4481400
2006-02-09,3059500
2006-02-10,4433100
2006-02-13,2155200
2006-02-14,3003200
2006-02-15,4330700
2006-02-16,2847500
2006-02-17,2407300
2006-02-21,2539800
2006-02-22,2674200
2006-02-23,2512500
2006-02-24,2314700
2006-02-27,2282200
2006-02-28,3911700
2006-03-01,2994900
2006-03-02,2902300
2006-03-03,4042700
2006-03-06,2900600
2006-03-07,2820600
2006-03-08,3633100
2006-03-09,2262100
2006-03-10,3247100
2006-03-13,4946200
2006-03-14,11364100
2006-03-15,7557200
2006-03-16,6025900
2006-03-17,6670900
2006-03-20,4896800
2006-03-21,4460800
2006-03-22,3770800
2006-03-23,3852700
2006-03-24,2651700
2006-03-27,4314600
2006-03-28,6481600
2006-03-29,4458100
2006-03-30,4771000
2006-03-31,3298500
2006-04-03,3979900
2006-04-04,5088900
2006-04-05,4193600
2006-04-06,4180900
2006-04-07,4964600
2006-04-10,4471400
2006-04-11,4963300
2006-04-12,3434000
2006-04-13,2217100
2006-04-17,3381700
2006-04-18,4829800
2006-04-19,4466200
2006-04-20,4894400
2006-04-21,3591500
2006-04-24,3432400
2006-04-25,3361400
2006-04-26,3032600
2006-04-27,4063900
2006-04-28,5349000
2006-05-01,5652300
2006-05-02,3710800
2006-05-03,2521200
2006-05-04,2554600
2006-05-05,3751400
2006-05-08,2395700
2006-05-09,2628300
2006-05-10,3215900
2006-05-11,3640200
2006-05-12,4579700
2006-05-15,6119200
2006-05-16,4091000
2006-05-17,7477600
2006-05-18,6246300
2006-05-19,6502500
2006-05-22,8492900
2006-05-23,5607800
2006-05-24,8788600
2006-05-25,5614100
2006-05-26,5749800
2006-05-30,5217200
2006-05-31,5262300
2006-06-01,4208500
2006-06-02,4253400
2006-06-05,5525200
2006-06-06,6562600
2006-06-07,4319900
2006-06-08,7885500
2006-06-09,4407700
2006-06-12,5866800
2006-06-13,15680800
2006-06-14,10541300
2006-06-15,10970400
2006-06-16,6368800
2006-06-19,6537400
2006-06-20,5809700
2006-06-21,7648400
2006-06-22,4430000
2006-06-23,3488000
2006-06-26,3799600
2006-06-27,3667000
2006-06-28,4907100
2006-06-29,6711800
2006-06-30,5973300
2006-07-03,3250500
2006-07-05,4483600
2006-07-06,3441000
2006-07-07,3618800
2006-07-10,2966100
2006-07-11,3817200
2006-07-12,4300100
2006-07-13,6116800
2006-07-14,5659400
2006-07-17,4528700
2006-07-18,5874500
2006-07-19,6079400
2006-07-20,4264500
2006-07-21,4682400
2006-07-24,4610700
2006-07-25,4984200
2006-07-26,3326300
2006-07-27,4085900
2006-07-28,4752200
2006-07-31,4374000
2006-08-01,3500600
2006-08-02,6139300
2006-08-03,3861000
2006-08-04,4892300
2006-08-07,3031100
2006-08-08,6200100
2006-08-09,4234600
2006-08-10,3782100
2006-08-11,2576500
2006-08-14,3110900
2006-08-15,4907000
2006-08-16,3563900
2006-08-17,3365700
2006-08-18,2742100
2006-08-21,3731200
2006-08-22,3696600
2006-08-23,2821200
2006-08-24,3100000
2006-08-25,2476200
2006-08-28,4151000
2006-08-29,4939600
2006-08-30,2938200
2006-08-31,2834600
2006-09-01,3453100
2006-09-05,3576200
2006-09-06,2962200
2006-09-07,3577600
2006-09-08,3317500
2006-09-11,3134200
2006-09-12,10644800
2006-09-13,7620900
2006-09-14,5498000
2006-09-15,6846200
2006-09-18,5733300
2006-09-19,4851500
2006-09-20,6407400
2006-09-21,8052600
2006-09-22,5104700
2006-09-25,4780100
2006-09-26,6109300
2006-09-27,5185300
2006-09-28,4413800
2006-09-29,4394700
2006-10-02,4143700
2006-10-03,5823600
2006-10-04,8089400
2006-10-05,5749700
2006-10-06,4898200
2006-10-09,3985700
2006-10-10,6560900
2006-10-11,5615900
2006-10-12,5754400
2006-10-13,5163300
2006-10-16,4699100
2006-10-17,5867200
2006-10-18,6127000
2006-10-19,5562500
2006-10-20,4206600
2006-10-23,4696000
2006-10-24,5516500
2006-10-25,5224400
2006-10-26,5732500
2006-10-27,5703200
2006-10-30,5355000
2006-10-31,4548500
2006-11-01,7732000
2006-11-02,6191100
2006-11-03,4154000
2006-11-06,4639000
2006-11-07,3697900
2006-11-08,3989900
2006-11-09,4488600
2006-11-10,3319800
2006-11-13,3382700
2006-11-14,4702800
2006-11-15,5091000
2006-11-16,4784000
2006-11-17,3397800
2006-11-20,3344900
2006-11-21,3448100
2006-11-22,3062200
2006-11-24,1978900
2006-11-27,6330900
2006-11-28,5865000
2006-11-29,5915200
2006-11-30,4082600
2006-12-01,4821200
2006-12-04,4261300
2006-12-05,3733000
2006-12-06,4135600
2006-12-07,5238400
2006-12-08,4971100
2006-12-11,5926500
2006-12-12,8950600
2006-12-13,5823000
2006-12-14,5081500
2006-12-15,5451800
2006-12-18,6019300
2006-12-19,4865700
2006-12-20,4338200
2006-12-21,4661800
2006-12-22,3500800
2006-12-26,2575600
2006-12-27,2887300
2006-12-28,2396400
2006-12-29,2762500
2007-01-03,6515000
2007-01-04,6478800
2007-01-05,6037100
2007-01-08,7851000
2007-01-09,7177300
2007-01-10,8022400
2007-01-11,9044600
2007-01-12,6619000
2007-01-16,5848800
2007-01-17,5360500
2007-01-18,6541600
2007-01-19,5340300
2007-01-22,4980700
2007-01-23,6293500
2007-01-24,6387500
2007-01-25,7855400
2007-01-26,7458200
2007-01-29,5891100
2007-01-30,6002200
2007-01-31,7236100
2007-02-01,5961200
2007-02-02,3527000
2007-02-05,3003700
2007-02-06,3803200
2007-02-07,3622600
2007-02-08,5413500
2007-02-09,9113800
2007-02-12,5384589
2007-02-13,4022951
2007-02-14,7697325
2007-02-15,3627700
2007-02-16,3119200
2007-02-20,6225700
2007-02-21,5225500
2007-02-22,4273400
2007-02-23,5508300
2007-02-26,5552985
2007-02-27,18854200
2007-02-28,15947900
2007-03-01,14143801
2007-03-02,9843700
2007-03-05,13412125
2007-03-06,10798973
2007-03-07,8459800
2007-03-08,10790300
2007-03-09,7681600
2007-03-12,9632300
2007-03-13,31973100
2007-03-14,20394212
2007-03-15,9743900
2007-03-16,10883900
2007-03-19,8186284
2007-03-20,6643700
2007-03-21,10937130
2007-03-22,8016025
2007-03-23,5244833
2007-03-26,6525287
2007-03-27,4807600
2007-03-28,7991533
2007-03-29,6381658
2007-03-30,5177415
2007-04-02,5797400
2007-04-03,5015350
2007-04-04,4149803
2007-04-05,3011038
2007-04-09,3610733
2007-04-10,3003200
2007-04-11,5579934
2007-04-12,3957297
2007-04-13,4321013
2007-04-16,10011400
2007-04-17,6088939
2007-04-18,6082270
2007-04-19,8883909
2007-04-20,7395077
2007-04-23,5816982
2007-04-24,6753176
2007-04-25,7627877
2007-04-26,4730964
2007-04-27,3598082
2007-04-30,5485684
2007-05-01,6358798
2007-05-02,4886132
2007-05-03,4440627
2007-05-04,5634720
2007-05-07,4637524
2007-05-08,4880100
2007-05-09,5195450
2007-05-10,4968490
2007-05-11,4958273
2007-05-14,4800050
2007-05-15,5773100
2007-05-16,5174913
2007-05-17,4185300
2007-05-18,6727495
2007-05-21,7784745
2007-05-22,3568702
2007-05-23,4278172
2007-05-24,6211680
