time_captured,MRK_Low
2006-01-03,31.81
2006-01-04,32.75
2006-01-05,32.5
2006-01-06,32.87
2006-01-09,32.75
2006-01-10,33.13
2006-01-11,33.31
2006-01-12,33.35
2006-01-13,33.35
2006-01-17,33.01
2006-01-18,32.95
2006-01-19,33.22
2006-01-20,33.01
2006-01-23,32.76
2006-01-24,32.61
2006-01-25,32.55
2006-01-26,33.32
2006-01-27,33.71
2006-01-30,34.06
2006-01-31,34.39
2006-02-01,34.2
2006-02-02,33.7
2006-02-03,33.82
2006-02-06,33.74
2006-02-07,33.56
2006-02-08,33.64
2006-02-09,34.3
2006-02-10,33.66
2006-02-13,34.13
2006-02-14,34.35
2006-02-15,34.58
2006-02-16,34.98
2006-02-17,34.85
2006-02-21,35.47
2006-02-22,35.5
2006-02-23,35.29
2006-02-24,35.0
2006-02-27,35.02
2006-02-28,34.84
2006-03-01,34.71
2006-03-02,34.71
2006-03-03,34.75
2006-03-06,34.8
2006-03-07,34.68
2006-03-08,34.34
2006-03-09,34.35
2006-03-10,34.5
2006-03-13,34.75
2006-03-14,34.95
2006-03-15,34.88
2006-03-16,34.96
2006-03-17,35.35
2006-03-20,35.42
2006-03-21,35.64
2006-03-22,35.55
2006-03-23,35.91
2006-03-24,36.0
2006-03-27,35.8
2006-03-28,35.51
2006-03-29,35.56
2006-03-30,35.22
2006-03-31,35.03
2006-04-03,35.31
2006-04-04,35.41
2006-04-05,35.36
2006-04-06,34.26
2006-04-07,34.3
2006-04-10,34.35
2006-04-11,33.79
2006-04-12,33.62
2006-04-13,33.65
2006-04-17,33.55
2006-04-18,33.72
2006-04-19,34.22
2006-04-20,34.52
2006-04-21,34.25
2006-04-24,34.12
2006-04-25,33.9
2006-04-26,34.21
2006-04-27,34.0
2006-04-28,34.18
2006-05-01,34.05
2006-05-02,33.99
2006-05-03,34.06
2006-05-04,34.08
2006-05-05,34.04
2006-05-08,34.25
2006-05-09,34.33
2006-05-10,34.3
2006-05-11,34.41
2006-05-12,34.18
2006-05-15,34.29
2006-05-16,34.8
2006-05-17,34.18
2006-05-18,34.38
2006-05-19,34.13
2006-05-22,34.3
2006-05-23,34.01
2006-05-24,33.89
2006-05-25,34.0
2006-05-26,34.47
2006-05-30,33.1
2006-05-31,32.75
2006-06-01,33.36
2006-06-02,33.5
2006-06-05,33.41
2006-06-06,33.4
2006-06-07,33.94
2006-06-08,33.46
2006-06-09,33.76
2006-06-12,33.36
2006-06-13,33.16
2006-06-14,33.12
2006-06-15,33.46
2006-06-16,34.09
2006-06-19,34.4
2006-06-20,34.5
2006-06-21,34.89
2006-06-22,35.05
2006-06-23,34.33
2006-06-26,34.7
2006-06-27,34.61
2006-06-28,34.92
2006-06-29,35.15
2006-06-30,36.01
2006-07-03,36.46
2006-07-05,36.51
2006-07-06,36.5
2006-07-07,36.34
2006-07-10,36.82
2006-07-11,36.54
2006-07-12,36.47
2006-07-13,35.0
2006-07-14,35.76
2006-07-17,35.89
2006-07-18,36.27
2006-07-19,36.55
2006-07-20,37.05
2006-07-21,37.19
2006-07-24,38.0
2006-07-25,38.97
2006-07-26,39.15
2006-07-27,40.05
2006-07-28,40.75
2006-07-31,40.16
2006-08-01,40.18
2006-08-02,40.67
2006-08-03,40.77
2006-08-04,40.97
2006-08-07,40.16
2006-08-08,40.7
2006-08-09,40.99
2006-08-10,40.86
2006-08-11,40.42
2006-08-14,40.71
2006-08-15,40.88
2006-08-16,40.97
2006-08-17,38.0
2006-08-18,38.35
2006-08-21,39.43
2006-08-22,39.55
2006-08-23,39.78
2006-08-24,39.95
2006-08-25,39.8
2006-08-28,40.21
2006-08-29,40.74
2006-08-30,40.7
2006-08-31,40.35
2006-09-01,40.36
2006-09-05,40.6
2006-09-06,40.72
2006-09-07,40.5
2006-09-08,39.9
2006-09-11,40.7
2006-09-12,41.46
2006-09-13,40.81
2006-09-14,40.9
2006-09-15,40.96
2006-09-18,40.58
2006-09-19,40.72
2006-09-20,41.15
2006-09-21,41.57
2006-09-22,41.84
2006-09-25,41.9
2006-09-26,41.36
2006-09-27,41.81
2006-09-28,41.91
2006-09-29,41.68
2006-10-02,41.67
2006-10-03,41.75
2006-10-04,41.8
2006-10-05,41.29
2006-10-06,41.24
2006-10-09,41.61
2006-10-10,41.64
2006-10-11,41.61
2006-10-12,42.19
2006-10-13,42.62
2006-10-16,43.33
2006-10-17,43.32
2006-10-18,43.88
2006-10-19,44.22
2006-10-20,44.85
2006-10-23,45.31
2006-10-24,45.25
2006-10-25,45.79
2006-10-26,45.81
2006-10-27,45.74
2006-10-30,45.52
2006-10-31,45.13
2006-11-01,45.56
2006-11-02,45.15
2006-11-03,44.3
2006-11-06,44.89
2006-11-07,45.67
2006-11-08,43.65
2006-11-09,42.7
2006-11-10,42.29
2006-11-13,43.13
2006-11-14,43.39
2006-11-15,43.64
2006-11-16,44.3
2006-11-17,44.6
2006-11-20,44.4
2006-11-21,44.1
2006-11-22,43.91
2006-11-24,44.0
2006-11-27,43.58
2006-11-28,43.37
2006-11-29,43.97
2006-11-30,44.16
2006-12-01,44.45
2006-12-04,44.3
2006-12-05,44.55
2006-12-06,44.13
2006-12-07,43.84
2006-12-08,42.96
2006-12-11,43.86
2006-12-12,43.4
2006-12-13,43.06
2006-12-14,43.3
2006-12-15,43.42
2006-12-18,43.67
2006-12-19,43.29
2006-12-20,43.25
2006-12-21,43.17
2006-12-22,42.78
2006-12-26,42.63
2006-12-27,43.0
2006-12-28,43.12
2006-12-29,43.21
2007-01-03,43.97
2007-01-04,43.62
2007-01-05,44.18
2007-01-08,43.16
2007-01-09,43.83
2007-01-10,43.63
2007-01-11,43.92
2007-01-12,44.32
2007-01-16,44.71
2007-01-17,44.7
2007-01-18,45.05
2007-01-19,45.43
2007-01-22,45.03
2007-01-23,45.31
2007-01-24,45.68
2007-01-25,45.72
2007-01-26,45.42
2007-01-29,45.31
2007-01-30,44.6
2007-01-31,44.5
2007-02-01,44.69
2007-02-02,43.91
2007-02-05,44.25
2007-02-06,44.21
2007-02-07,43.97
2007-02-08,43.81
2007-02-09,43.66
2007-02-12,43.7
2007-02-13,43.69
2007-02-14,43.9
2007-02-15,43.66
2007-02-16,43.91
2007-02-20,44.21
2007-02-21,43.81
2007-02-22,43.13
2007-02-23,42.8
2007-02-26,43.87
2007-02-27,42.35
2007-02-28,43.67
2007-03-01,43.51
2007-03-02,43.56
2007-03-05,43.68
2007-03-06,44.2
2007-03-07,43.82
2007-03-08,43.98
2007-03-09,44.3
2007-03-12,44.11
2007-03-13,43.25
2007-03-14,42.76
2007-03-15,42.87
2007-03-16,42.98
2007-03-19,43.11
2007-03-20,43.14
2007-03-21,43.44
2007-03-22,43.76
2007-03-23,44.23
2007-03-26,43.75
2007-03-27,43.59
2007-03-28,43.22
2007-03-29,43.52
2007-03-30,43.33
2007-04-02,44.52
2007-04-03,45.03
2007-04-04,45.04
2007-04-05,45.11
2007-04-09,45.24
2007-04-10,45.52
2007-04-11,45.34
2007-04-12,45.45
2007-04-13,49.25
2007-04-16,50.0
2007-04-17,49.82
2007-04-18,49.25
2007-04-19,49.5
2007-04-20,50.35
2007-04-23,51.0
2007-04-24,51.01
2007-04-25,51.36
2007-04-26,52.08
2007-04-27,51.54
2007-04-30,51.15
2007-05-01,50.54
2007-05-02,51.11
2007-05-03,51.08
2007-05-04,51.55
2007-05-07,51.8
2007-05-08,51.64
2007-05-09,51.79
2007-05-10,51.0
2007-05-11,51.1
2007-05-14,51.87
2007-05-15,51.98
2007-05-16,52.15
2007-05-17,52.33
2007-05-18,52.25
2007-05-21,53.0
2007-05-22,54.0
2007-05-23,54.1
2007-05-24,53.23
2007-05-25,53.48
2007-05-29,53.0
2007-05-30,51.96
2007-05-31,52.45
2007-06-01,51.88
2007-06-04,51.39
2007-06-05,50.73
2007-06-06,50.64
2007-06-07,50.23
2007-06-08,49.63
2007-06-11,50.04
2007-06-12,50.21
2007-06-13,49.71
2007-06-14,50.1
2007-06-15,50.45
2007-06-18,50.29
2007-06-19,50.18
2007-06-20,49.21
2007-06-21,48.46
2007-06-22,48.26
2007-06-25,48.0
2007-06-26,48.4
2007-06-27,48.77
2007-06-28,50.28
2007-06-29,49.47
2007-07-02,49.22
2007-07-03,49.58
2007-07-05,49.36
2007-07-06,48.87
2007-07-09,49.04
2007-07-10,48.6
2007-07-11,48.43
2007-07-12,48.9
2007-07-13,50.47
2007-07-16,50.19
2007-07-17,50.13
2007-07-18,49.33
2007-07-19,49.12
2007-07-20,48.81
2007-07-23,51.18
2007-07-24,51.53
2007-07-25,52.2
2007-07-26,51.49
2007-07-27,50.07
2007-07-30,49.45
2007-07-31,49.5
2007-08-01,49.57
2007-08-02,50.82
2007-08-03,50.24
2007-08-06,50.46
2007-08-07,50.8
2007-08-08,50.92
2007-08-09,50.25
2007-08-10,50.05
2007-08-13,50.41
2007-08-14,49.85
2007-08-15,49.39
2007-08-16,48.11
2007-08-17,48.6
2007-08-20,49.38
2007-08-21,48.74
2007-08-22,49.62
2007-08-23,49.96
2007-08-24,50.09
2007-08-27,50.0
2007-08-28,49.11
2007-08-29,48.73
2007-08-30,49.26
2007-08-31,49.89
2007-09-04,49.63
2007-09-05,49.03
2007-09-06,49.3
2007-09-07,49.45
2007-09-10,49.34
2007-09-11,49.51
2007-09-12,49.18
2007-09-13,49.61
2007-09-14,49.17
2007-09-17,48.97
2007-09-18,48.8
2007-09-19,50.12
2007-09-20,51.21
2007-09-21,51.38
2007-09-24,51.55
2007-09-25,51.53
2007-09-26,52.26
2007-09-27,51.92
2007-09-28,51.25
2007-10-01,51.8
2007-10-02,51.51
2007-10-03,51.44
2007-10-04,51.61
2007-10-05,53.17
2007-10-08,52.8
2007-10-09,53.08
2007-10-10,53.15
2007-10-11,52.78
2007-10-12,52.8
2007-10-15,53.09
2007-10-16,52.68
2007-10-17,52.77
2007-10-18,52.99
2007-10-19,52.95
2007-10-22,52.79
2007-10-23,54.0
2007-10-24,55.74
2007-10-25,55.97
2007-10-26,57.0
2007-10-29,57.31
2007-10-30,57.59
2007-10-31,57.25
2007-11-01,57.19
2007-11-02,55.57
2007-11-05,55.0
2007-11-06,55.68
2007-11-07,54.13
2007-11-08,54.06
2007-11-09,55.52
2007-11-12,55.33
2007-11-13,55.99
2007-11-14,56.5
2007-11-15,56.84
2007-11-16,57.12
2007-11-19,57.79
2007-11-20,57.34
2007-11-21,55.53
2007-11-23,56.78
2007-11-26,56.82
2007-11-27,57.37
2007-11-28,58.83
2007-11-29,59.37
2007-11-30,58.95
2007-12-03,58.64
2007-12-04,56.56
2007-12-05,57.89
2007-12-06,59.01
2007-12-07,59.25
2007-12-10,59.92
2007-12-11,60.13
2007-12-12,59.08
2007-12-13,58.73
2007-12-14,59.13
2007-12-17,59.42
2007-12-18,59.32
2007-12-19,59.03
2007-12-20,58.32
2007-12-21,57.73
2007-12-24,59.06
2007-12-26,59.01
2007-12-27,58.46
2007-12-28,58.02
2007-12-31,58.1
2008-01-02,57.1
2008-01-03,57.1
2008-01-04,56.75
2008-01-07,56.95
2008-01-08,58.02
2008-01-09,59.15
2008-01-10,59.75
2008-01-11,60.0
2008-01-14,58.66
2008-01-15,58.06
2008-01-16,57.75
2008-01-17,54.47
2008-01-18,52.45
2008-01-22,49.1
2008-01-23,48.72
2008-01-24,47.45
2008-01-25,42.32
2008-01-28,47.12
2008-01-29,46.85
2008-01-30,45.32
2008-01-31,45.07
2008-02-01,45.06
2008-02-04,45.82
2008-02-05,45.86
2008-02-06,44.81
2008-02-07,45.05
2008-02-08,44.27
2008-02-11,44.2
2008-02-12,45.49
2008-02-13,46.91
2008-02-14,46.75
2008-02-15,46.74
2008-02-19,46.95
2008-02-20,46.18
2008-02-21,46.02
2008-02-22,45.36
2008-02-25,46.12
2008-02-26,46.17
2008-02-27,45.29
2008-02-28,44.83
2008-02-29,44.13
2008-03-03,43.85
2008-03-04,43.28
2008-03-05,42.72
2008-03-06,42.31
2008-03-07,41.52
2008-03-10,41.03
2008-03-11,41.1
2008-03-12,42.18
2008-03-13,41.54
2008-03-14,40.59
2008-03-17,40.12
2008-03-18,41.76
2008-03-19,42.91
2008-03-20,42.0
2008-03-24,43.26
2008-03-25,44.25
2008-03-26,44.2
2008-03-27,44.2
2008-03-28,44.38
2008-03-31,36.82
2008-04-01,38.05
2008-04-02,36.96
2008-04-03,37.0
2008-04-04,38.08
2008-04-07,40.46
2008-04-08,40.32
2008-04-09,39.7
2008-04-10,41.38
2008-04-11,41.0
2008-04-14,40.79
2008-04-15,40.76
2008-04-16,39.72
2008-04-17,39.08
2008-04-18,39.0
2008-04-21,38.74
2008-04-22,38.36
2008-04-23,38.0
2008-04-24,38.67
2008-04-25,40.0
2008-04-28,40.75
2008-04-29,36.97
2008-04-30,36.8
2008-05-01,37.8
2008-05-02,38.78
2008-05-05,38.9
2008-05-06,38.51
2008-05-07,38.85
2008-05-08,38.63
2008-05-09,38.5
2008-05-12,38.98
2008-05-13,38.94
2008-05-14,39.17
2008-05-15,39.47
2008-05-16,39.63
2008-05-19,39.77
2008-05-20,39.6
2008-05-21,39.0
2008-05-22,38.65
2008-05-23,38.72
2008-05-27,38.35
2008-05-28,38.23
2008-05-29,38.52
2008-05-30,38.53
2008-06-02,37.9
2008-06-03,38.04
2008-06-04,38.08
2008-06-05,38.09
2008-06-06,37.43
2008-06-09,36.71
2008-06-10,36.12
2008-06-11,35.43
2008-06-12,34.93
2008-06-13,34.92
2008-06-16,34.49
2008-06-17,34.64
2008-06-18,34.65
2008-06-19,34.78
2008-06-20,35.0
2008-06-23,35.12
2008-06-24,35.63
2008-06-25,36.33
2008-06-26,36.12
2008-06-27,36.25
2008-06-30,36.98
2008-07-01,37.34
2008-07-02,37.95
2008-07-03,38.28
2008-07-07,36.21
2008-07-08,36.74
2008-07-09,36.96
2008-07-10,36.32
2008-07-11,36.09
2008-07-14,36.67
2008-07-15,36.34
2008-07-16,36.2
2008-07-17,36.04
2008-07-18,36.6
2008-07-21,34.77
2008-07-22,31.15
2008-07-23,31.21
2008-07-24,31.61
2008-07-25,32.36
2008-07-28,31.95
2008-07-29,31.56
2008-07-30,32.4
2008-07-31,32.8
2008-08-01,32.74
2008-08-04,32.95
2008-08-05,33.49
2008-08-06,34.5
2008-08-07,34.75
2008-08-08,34.61
2008-08-11,35.62
2008-08-12,35.6
2008-08-13,35.69
2008-08-14,35.26
2008-08-15,36.06
2008-08-18,35.5
2008-08-19,35.0
2008-08-20,34.7
2008-08-21,34.15
2008-08-22,34.75
2008-08-25,34.56
2008-08-26,34.85
2008-08-27,35.01
2008-08-28,35.89
2008-08-29,35.51
2008-09-02,34.42
2008-09-03,34.06
2008-09-04,34.08
2008-09-05,33.59
2008-09-08,34.52
2008-09-09,34.31
2008-09-10,33.27
2008-09-11,33.12
2008-09-12,33.54
2008-09-15,32.71
2008-09-16,31.51
2008-09-17,30.99
2008-09-18,30.63
2008-09-19,30.52
2008-09-22,31.35
2008-09-23,30.69
2008-09-24,30.7
2008-09-25,31.52
2008-09-26,31.8
2008-09-29,30.34
2008-09-30,30.77
2008-10-01,31.4
2008-10-02,31.06
2008-10-03,31.25
2008-10-06,29.04
2008-10-07,28.82
2008-10-08,28.01
2008-10-09,25.53
2008-10-10,23.64
2008-10-13,27.12
2008-10-14,28.16
2008-10-15,26.41
2008-10-16,25.6
2008-10-17,27.33
2008-10-20,28.63
2008-10-21,29.84
2008-10-22,27.5
2008-10-23,26.86
2008-10-24,26.46
2008-10-27,25.8
2008-10-28,26.1
2008-10-29,28.53
2008-10-30,29.34
2008-10-31,29.13
2008-11-03,29.56
2008-11-04,30.16
2008-11-05,28.55
2008-11-06,27.62
2008-11-07,28.0
2008-11-10,27.51
2008-11-11,27.02
2008-11-12,26.52
2008-11-13,26.08
2008-11-14,27.25
2008-11-17,25.91
2008-11-18,25.07
2008-11-19,25.2
2008-11-20,23.18
2008-11-21,22.82
2008-11-24,24.38
2008-11-25,25.15
2008-11-26,25.0
2008-11-28,25.64
2008-12-01,24.76
2008-12-02,25.36
2008-12-03,25.43
2008-12-04,24.62
2008-12-05,24.13
2008-12-08,26.75
2008-12-09,26.16
2008-12-10,26.41
2008-12-11,26.2
2008-12-12,25.82
2008-12-15,26.2
2008-12-16,26.48
2008-12-17,26.93
2008-12-18,27.06
2008-12-19,27.65
2008-12-22,28.29
2008-12-23,29.19
2008-12-24,29.1
2008-12-26,28.75
2008-12-29,27.94
2008-12-30,28.66
2008-12-31,29.69
2009-01-02,30.31
2009-01-05,30.29
2009-01-06,29.55
2009-01-07,29.16
2009-01-08,29.04
2009-01-09,28.45
2009-01-12,28.3
2009-01-13,28.23
2009-01-14,27.4
2009-01-15,27.37
2009-01-16,27.41
2009-01-20,27.83
2009-01-21,26.89
2009-01-22,26.87
2009-01-23,27.53
2009-01-26,27.52
2009-01-27,27.85
2009-01-28,28.38
2009-01-29,28.38
2009-01-30,28.34
2009-02-02,28.0
2009-02-03,28.93
2009-02-04,29.6
2009-02-05,28.6
2009-02-06,30.01
2009-02-09,30.17
2009-02-10,28.86
2009-02-11,29.01
2009-02-12,28.53
2009-02-13,28.52
2009-02-17,27.88
2009-02-18,28.0
2009-02-19,28.46
2009-02-20,27.79
2009-02-23,27.62
2009-02-24,27.54
2009-02-25,27.72
2009-02-26,26.03
2009-02-27,24.17
2009-03-02,23.42
2009-03-03,22.86
2009-03-04,22.44
2009-03-05,21.93
2009-03-06,22.04
2009-03-09,20.05
2009-03-10,21.39
2009-03-11,21.8
2009-03-12,21.66
2009-03-13,24.26
2009-03-16,26.12
2009-03-17,25.8
2009-03-18,26.13
2009-03-19,25.68
2009-03-20,26.31
2009-03-23,26.77
2009-03-24,27.51
2009-03-25,26.81
2009-03-26,27.08
2009-03-27,26.8
2009-03-30,26.14
2009-03-31,26.52
2009-04-01,25.75
2009-04-02,26.44
2009-04-03,26.09
2009-04-06,26.28
2009-04-07,26.01
2009-04-08,26.21
2009-04-09,26.08
2009-04-13,25.87
2009-04-14,25.57
2009-04-15,25.53
2009-04-16,25.36
2009-04-17,25.64
2009-04-20,25.19
2009-04-21,22.93
2009-04-22,22.33
2009-04-23,22.64
2009-04-24,23.05
2009-04-27,23.21
2009-04-28,23.0
2009-04-29,23.15
2009-04-30,24.0
2009-05-01,23.81
2009-05-04,24.33
2009-05-05,24.36
2009-05-06,24.24
2009-05-07,24.45
2009-05-08,24.65
2009-05-11,24.33
2009-05-12,24.28
2009-05-13,24.85
2009-05-14,25.65
2009-05-15,25.34
2009-05-18,25.22
2009-05-19,25.3
2009-05-20,25.79
2009-05-21,25.41
2009-05-22,25.97
2009-05-26,25.66
2009-05-27,26.47
2009-05-28,26.35
2009-05-29,26.85
2009-06-01,27.13
2009-06-02,27.2
2009-06-03,27.06
2009-06-04,26.47
2009-06-05,25.62
2009-06-08,25.48
2009-06-09,25.54
2009-06-10,25.41
2009-06-11,25.69
2009-06-12,25.68
2009-06-15,24.79
2009-06-16,24.37
2009-06-17,24.43
2009-06-18,24.88
2009-06-19,25.81
2009-06-22,25.15
2009-06-23,25.0
2009-06-24,25.05
2009-06-25,25.19
2009-06-26,26.34
2009-06-29,26.87
2009-06-30,27.29
2009-07-01,27.77
2009-07-02,26.98
2009-07-06,26.76
2009-07-07,27.52
2009-07-08,27.73
2009-07-09,26.58
2009-07-10,26.26
2009-07-13,26.13
2009-07-14,25.05
2009-07-15,26.82
2009-07-16,27.55
2009-07-17,27.41
2009-07-20,27.44
2009-07-21,28.58
2009-07-22,29.27
2009-07-23,29.47
2009-07-24,29.94
2009-07-27,30.42
2009-07-28,29.77
2009-07-29,29.51
2009-07-30,29.88
2009-07-31,29.91
2009-08-03,29.72
2009-08-04,29.48
2009-08-05,29.34
2009-08-06,29.25
2009-08-07,29.45
2009-08-10,30.11
2009-08-12,30.0
2009-08-13,28.69
2009-08-14,30.52
2009-08-17,30.54
2009-08-18,30.3
2009-08-19,30.45
2009-08-20,30.98
2009-08-21,31.45
2009-08-24,32.31
2009-08-25,32.5
2009-08-26,32.47
2009-08-27,32.21
2009-08-28,32.12
2009-08-31,32.16
2009-09-01,31.66
2009-09-02,30.75
2009-09-03,29.94
2009-09-04,30.21
2009-09-08,30.3
2009-09-09,30.89
2009-09-10,31.27
2009-09-11,31.92
2009-09-14,32.3
2009-09-15,32.6
2009-09-16,31.86
2009-09-17,31.71
2009-09-18,31.78
2009-09-21,31.6
2009-09-22,31.29
2009-09-23,31.16
2009-09-24,30.8
2009-09-25,30.91
2009-09-28,31.02
2009-09-29,31.68
2009-09-30,31.15
2009-10-01,31.03
2009-10-02,31.09
2009-10-05,31.18
2009-10-06,31.67
2009-10-07,31.94
2009-10-08,32.23
2009-10-09,32.33
2009-10-12,32.5
2009-10-13,32.34
2009-10-14,32.32
2009-10-15,32.62
2009-10-16,32.95
2009-10-19,33.11
2009-10-20,33.63
2009-10-21,32.61
2009-10-22,31.26
2009-10-23,32.18
2009-10-26,31.87
2009-10-27,32.17
2009-10-28,32.0
2009-10-29,30.9
2009-10-30,30.83
2009-11-02,30.96
2009-11-03,30.29
2009-11-04,31.25
2009-11-05,32.49
2009-11-06,32.22
2009-11-09,32.7
2009-11-10,33.33
2009-11-11,33.12
2009-11-12,32.86
2009-11-13,33.0
2009-11-16,33.52
2009-11-17,33.35
2009-11-18,34.08
2009-11-19,34.76
2009-11-20,35.33
2009-11-23,36.19
2009-11-24,35.86
2009-11-25,35.96
2009-11-27,35.62
2009-11-30,35.87
2009-12-01,36.29
2009-12-02,36.45
2009-12-03,36.55
2009-12-04,36.64
2009-12-07,36.48
2009-12-08,36.26
2009-12-09,36.1
2009-12-10,37.39
2009-12-11,36.87
2009-12-14,37.27
2009-12-15,37.27
2009-12-16,37.52
2009-12-17,37.26
2009-12-18,37.2
2009-12-21,37.47
2009-12-22,37.55
2009-12-23,37.14
2009-12-24,36.76
2009-12-28,36.8
2009-12-29,37.07
2009-12-30,36.81
2009-12-31,36.5
2010-01-04,36.55
2010-01-05,36.93
2010-01-06,36.9
2010-01-07,37.4
2010-01-08,37.43
2010-01-11,37.5
2010-01-12,37.32
2010-01-13,38.1
2010-01-14,39.1
2010-01-15,39.01
2010-01-19,39.44
2010-01-20,39.97
2010-01-21,40.05
2010-01-22,38.77
2010-01-25,38.72
2010-01-26,38.16
2010-01-27,37.96
2010-01-28,37.94
2010-01-29,37.66
2010-02-01,38.07
2010-02-02,38.1
2010-02-03,38.47
2010-02-04,36.82
2010-02-05,35.82
2010-02-08,36.22
2010-02-09,36.32
2010-02-10,35.76
2010-02-11,35.87
2010-02-12,36.09
2010-02-16,37.26
2010-02-17,37.16
2010-02-18,37.03
2010-02-19,37.15
2010-02-22,36.6
2010-02-23,36.4
2010-02-24,36.27
2010-02-25,36.05
2010-02-26,36.44
2010-03-01,37.03
2010-03-02,37.32
2010-03-03,37.1
2010-03-04,36.88
2010-03-05,36.93
2010-03-08,37.11
2010-03-09,36.83
2010-03-10,36.5
2010-03-11,36.1
2010-03-12,36.73
2010-03-15,37.0
2010-03-16,37.4
2010-03-17,37.57
2010-03-18,37.88
2010-03-19,37.85
2010-03-22,38.03
2010-03-23,38.25
2010-03-24,37.98
2010-03-25,37.76
2010-03-26,37.35
2010-03-29,37.58
2010-03-30,37.51
2010-03-31,37.06
2010-04-01,37.5
2010-04-05,37.32
2010-04-06,37.17
2010-04-07,36.56
2010-04-08,36.62
2010-04-09,36.78
2010-04-12,36.8
2010-04-13,36.58
2010-04-14,36.01
2010-04-15,35.96
2010-04-16,35.37
2010-04-19,35.29
2010-04-20,35.87
2010-04-21,34.7
2010-04-22,33.76
2010-04-23,33.54
2010-04-26,34.9
2010-04-27,34.41
2010-04-28,34.2
2010-04-29,34.98
2010-04-30,35.03
2010-05-03,35.04
2010-05-04,35.6
2010-05-05,34.9
2010-05-06,30.7
2010-05-07,32.95
2010-05-10,33.89
2010-05-11,33.03
2010-05-12,33.43
2010-05-13,33.11
2010-05-14,32.68
2010-05-17,32.18
2010-05-18,32.3
2010-05-19,32.07
2010-05-20,31.75
2010-05-21,31.04
2010-05-24,31.61
2010-05-25,31.1
2010-05-26,31.84
2010-05-27,32.78
2010-05-28,33.5
2010-06-01,33.31
2010-06-02,33.52
2010-06-03,33.99
2010-06-04,32.99
2010-06-07,33.1
2010-06-08,33.1
2010-06-09,33.48
2010-06-10,33.99
2010-06-11,34.23
2010-06-14,34.95
2010-06-15,35.03
2010-06-16,35.7
2010-06-17,35.3
2010-06-18,35.48
2010-06-21,34.91
2010-06-22,35.07
2010-06-23,34.93
2010-06-24,35.17
2010-06-25,35.28
2010-06-28,35.57
2010-06-29,35.0
2010-06-30,34.75
2010-07-01,33.65
2010-07-02,33.65
2010-07-06,34.05
2010-07-07,34.42
2010-07-08,35.33
2010-07-09,35.72
2010-07-12,35.84
2010-07-13,36.03
2010-07-14,35.83
2010-07-15,35.9
2010-07-16,35.88
2010-07-19,35.69
2010-07-20,35.2
2010-07-21,34.98
2010-07-22,35.0
2010-07-23,34.41
2010-07-26,34.81
2010-07-27,35.0
2010-07-28,34.62
2010-07-29,34.6
2010-07-30,33.82
2010-08-02,34.55
2010-08-03,34.48
2010-08-04,34.55
2010-08-05,34.7
2010-08-06,34.5
2010-08-09,35.06
2010-08-10,34.82
2010-08-11,34.82
2010-08-12,34.6
2010-08-13,34.65
2010-08-16,34.59
2010-08-17,34.94
2010-08-18,35.03
2010-08-19,34.5
2010-08-20,34.25
2010-08-23,34.56
2010-08-24,34.17
2010-08-25,34.02
2010-08-26,34.28
2010-08-27,34.32
2010-08-30,34.72
2010-08-31,34.51
2010-09-01,35.27
2010-09-02,34.52
2010-09-03,35.28
2010-09-07,35.41
2010-09-08,35.34
2010-09-09,35.78
2010-09-10,36.12
2010-09-13,36.0
2010-09-14,36.06
2010-09-15,36.24
2010-09-16,36.2
2010-09-17,36.16
2010-09-20,36.23
2010-09-21,36.36
2010-09-22,36.63
2010-09-23,36.52
2010-09-24,36.73
2010-09-27,37.13
2010-09-28,37.02
2010-09-29,36.86
2010-09-30,36.64
2010-10-01,36.35
2010-10-04,36.29
2010-10-05,36.7
2010-10-06,36.82
2010-10-07,36.64
2010-10-08,36.61
2010-10-11,36.67
2010-10-12,36.32
2010-10-13,36.78
2010-10-14,36.84
2010-10-15,36.76
2010-10-18,36.91
2010-10-19,36.32
2010-10-20,36.57
2010-10-21,36.58
2010-10-22,36.95
2010-10-25,37.29
2010-10-26,36.89
2010-10-27,36.13
2010-10-28,36.66
2010-10-29,36.02
2010-11-01,35.98
2010-11-02,36.51
2010-11-03,36.04
2010-11-04,36.44
2010-11-05,35.42
2010-11-08,35.57
2010-11-09,34.98
2010-11-10,34.78
2010-11-11,34.85
2010-11-12,34.39
2010-11-15,34.52
2010-11-16,33.94
2010-11-17,34.45
2010-11-18,34.85
2010-11-19,34.92
2010-11-22,35.18
2010-11-23,34.71
2010-11-24,34.81
2010-11-26,34.5
2010-11-29,34.29
2010-11-30,34.32
2010-12-01,34.67
2010-12-02,35.01
2010-12-03,35.02
2010-12-06,35.05
2010-12-07,35.25
2010-12-08,35.2
