time_captured,MMM_Volume
2006-01-03,3117200
2006-01-04,2558000
2006-01-05,2529500
2006-01-06,2479500
2006-01-09,1845600
2006-01-10,1919900
2006-01-11,1911900
2006-01-12,2121100
2006-01-13,1925300
2006-01-17,2073400
2006-01-18,1838400
2006-01-19,1807100
2006-01-20,3286900
2006-01-23,2953500
2006-01-24,5511200
2006-01-25,7475200
2006-01-26,5027500
2006-01-27,3813100
2006-01-30,3463600
2006-01-31,5317900
2006-02-01,3828100
2006-02-02,3207100
2006-02-03,3258300
2006-02-06,2551500
2006-02-07,3133200
2006-02-08,2846100
2006-02-09,3798100
2006-02-10,2932400
2006-02-13,2320300
2006-02-14,3859400
2006-02-15,2672900
2006-02-16,2923000
2006-02-17,2338600
2006-02-21,3706300
2006-02-22,2674100
2006-02-23,2694800
2006-02-24,1931100
2006-02-27,2774300
2006-02-28,2695300
2006-03-01,2036800
2006-03-02,2657200
2006-03-03,3171200
2006-03-06,3587200
2006-03-07,2954800
2006-03-08,2494700
2006-03-09,2148800
2006-03-10,1832700
2006-03-13,1997600
2006-03-14,2629000
2006-03-15,2863700
2006-03-16,4338200
2006-03-17,4049500
2006-03-20,1748700
2006-03-21,3197700
2006-03-22,2954700
2006-03-23,3468700
2006-03-24,3419400
2006-03-27,2792500
2006-03-28,3511000
2006-03-29,5308200
2006-03-30,3362600
2006-03-31,3125800
2006-04-03,3603000
2006-04-04,3634600
2006-04-05,2784300
2006-04-06,10471100
2006-04-07,4108100
2006-04-10,2567100
2006-04-11,2791600
2006-04-12,2456800
2006-04-13,1793900
2006-04-17,3122500
2006-04-18,4374600
2006-04-19,2922500
2006-04-20,4281500
2006-04-21,9268300
2006-04-24,4363700
2006-04-25,3955800
2006-04-26,2704600
2006-04-27,2991300
2006-04-28,2531000
2006-05-01,2848100
2006-05-02,3807300
2006-05-03,3317600
2006-05-04,3324700
2006-05-05,3632000
2006-05-08,3523600
2006-05-09,4039700
2006-05-10,2818300
2006-05-11,2558100
2006-05-12,2526500
2006-05-15,2598100
2006-05-16,3198700
2006-05-17,4156000
2006-05-18,2690600
2006-05-19,2796400
2006-05-22,3006500
2006-05-23,2783600
2006-05-24,2906600
2006-05-25,2821900
2006-05-26,1838000
2006-05-30,2334600
2006-05-31,3364300
2006-06-01,1721800
2006-06-02,2318900
2006-06-05,2601000
2006-06-06,4300100
2006-06-07,3797900
2006-06-08,4435400
2006-06-09,2561200
2006-06-12,2535100
2006-06-13,3444200
2006-06-14,2488900
2006-06-15,3190100
2006-06-16,3519500
2006-06-19,2448900
2006-06-20,2139500
2006-06-21,2351800
2006-06-22,1795700
2006-06-23,2398400
2006-06-26,1626900
2006-06-27,2527400
2006-06-28,1787900
2006-06-29,2780400
2006-06-30,3275800
2006-07-03,654600
2006-07-05,2158100
2006-07-06,2280500
2006-07-07,24360500
2006-07-10,9216000
2006-07-11,5431100
2006-07-12,4320700
2006-07-13,4816000
2006-07-14,4350900
2006-07-17,5183900
2006-07-18,5283100
2006-07-19,5367700
2006-07-20,3414300
2006-07-21,5618300
2006-07-24,3472600
2006-07-25,18860300
2006-07-26,9168600
2006-07-27,6141000
2006-07-28,4011600
2006-07-31,3075400
2006-08-01,3403400
2006-08-02,4835300
2006-08-03,4595900
2006-08-04,4134800
2006-08-07,3613700
2006-08-08,4072500
2006-08-09,3581000
2006-08-10,3124500
2006-08-11,3368600
2006-08-14,4531200
2006-08-15,4650600
2006-08-16,5245000
2006-08-17,3167700
2006-08-18,2485700
2006-08-21,2436900
2006-08-22,2092800
2006-08-23,2785000
2006-08-24,2485000
2006-08-25,3085100
2006-08-28,2653700
2006-08-29,3208000
2006-08-30,2572100
2006-08-31,1780800
2006-09-01,2487300
2006-09-05,2913000
2006-09-06,2503700
2006-09-07,3277100
2006-09-08,2316400
2006-09-11,2191200
2006-09-12,3867600
2006-09-13,3556400
2006-09-14,2624700
2006-09-15,5656700
2006-09-18,2478700
2006-09-19,2620900
2006-09-20,3855000
2006-09-21,3337700
2006-09-22,2408800
2006-09-25,4234600
2006-09-26,4889500
2006-09-27,3400800
2006-09-28,2737300
2006-09-29,2592200
2006-10-02,2943000
2006-10-03,2974100
2006-10-04,3025200
2006-10-05,2616500
2006-10-06,2595100
2006-10-09,1817900
2006-10-10,1898500
2006-10-11,2665400
2006-10-12,2110700
2006-10-13,1753200
2006-10-16,1933100
2006-10-17,2517000
2006-10-18,2566500
2006-10-19,2785900
2006-10-20,8004800
2006-10-23,5275400
2006-10-24,3196500
2006-10-25,2297600
2006-10-26,2392200
2006-10-27,2329100
2006-10-30,1193400
2006-10-31,2677300
2006-11-01,2910500
2006-11-02,2899900
2006-11-03,1815000
2006-11-06,2134000
2006-11-07,2122200
2006-11-08,1731500
2006-11-09,3261600
2006-11-10,2088900
2006-11-13,2574900
2006-11-14,2937900
2006-11-15,3439100
2006-11-16,1937200
2006-11-17,3049100
2006-11-20,1875700
2006-11-21,2842300
2006-11-22,1885100
2006-11-24,694500
2006-11-27,2833900
2006-11-28,2150900
2006-11-29,1779600
2006-11-30,2355200
2006-12-01,5475200
2006-12-04,2898100
2006-12-05,2734700
2006-12-06,2385400
2006-12-07,2516200
2006-12-08,5472500
2006-12-11,2811500
2006-12-12,4007500
2006-12-13,2561800
2006-12-14,3220100
2006-12-15,6215900
2006-12-18,2328100
2006-12-19,2844800
2006-12-20,2334600
2006-12-21,2368300
2006-12-22,1660800
2006-12-26,1963600
2006-12-27,1750400
2006-12-28,1686600
2006-12-29,1826600
2007-01-03,3781700
2007-01-04,2969600
2007-01-05,2765200
2007-01-08,2434500
2007-01-09,1896900
2007-01-10,1787500
2007-01-11,2372500
2007-01-12,2582200
2007-01-16,2526600
2007-01-17,2711300
2007-01-18,1963000
2007-01-19,2912100
2007-01-22,2139300
2007-01-23,1949500
2007-01-24,1772800
2007-01-25,2888700
2007-01-26,1996300
2007-01-29,3420300
2007-01-30,15662700
2007-01-31,9287000
2007-02-01,6503300
2007-02-02,5584600
2007-02-05,6350000
2007-02-06,4872900
2007-02-07,4051900
2007-02-08,3840200
2007-02-09,4022300
2007-02-12,2973299
2007-02-13,7193331
2007-02-14,3888558
2007-02-15,3627500
2007-02-16,3795100
2007-02-20,3962200
2007-02-21,2820400
2007-02-22,2795600
2007-02-23,1988000
2007-02-26,2593983
2007-02-27,5900900
2007-02-28,5290200
2007-03-01,4470986
2007-03-02,5008800
2007-03-05,4913000
2007-03-06,4308500
2007-03-07,3775600
2007-03-08,3815900
2007-03-09,3346200
2007-03-12,3220200
2007-03-13,4431700
2007-03-14,4613200
2007-03-15,3930100
2007-03-16,5056000
2007-03-19,3200500
2007-03-20,2379600
2007-03-21,3086297
2007-03-22,4205325
2007-03-23,2780900
2007-03-26,3542100
2007-03-27,2692200
2007-03-28,3186300
2007-03-29,4233215
2007-03-30,3400500
2007-04-02,2414400
2007-04-03,3094800
2007-04-04,2596800
2007-04-05,2484700
2007-04-09,2127725
2007-04-10,2149787
2007-04-11,2798620
2007-04-12,2288057
2007-04-13,2453645
2007-04-16,2483600
2007-04-17,2381300
2007-04-18,2094781
2007-04-19,3557711
2007-04-20,4741265
2007-04-23,3573754
2007-04-24,3757100
2007-04-25,4650800
2007-04-26,14209051
2007-04-27,6776407
2007-04-30,6321736
2007-05-01,5559306
2007-05-02,5272109
2007-05-03,4869241
2007-05-04,2936074
2007-05-07,3646879
2007-05-08,3406748
2007-05-09,4050441
2007-05-10,3181300
2007-05-11,4106200
2007-05-14,3498200
2007-05-15,6580200
2007-05-16,4045220
2007-05-17,4202972
2007-05-18,3953500
2007-05-21,3591306
2007-05-22,3567414
2007-05-23,3463016
2007-05-24,4452575
2007-05-25,2793800
2007-05-29,3293965
2007-05-30,3607575
2007-05-31,3562177
2007-06-01,2852832
2007-06-04,2319999
2007-06-05,2529262
2007-06-06,3009400
2007-06-07,4791320
2007-06-08,3602500
2007-06-11,2923700
2007-06-12,3425761
2007-06-13,4541400
2007-06-14,2881148
2007-06-15,4520800
2007-06-18,2789900
2007-06-19,2348100
2007-06-20,2891072
2007-06-21,2723400
2007-06-22,4802382
2007-06-25,2879300
2007-06-26,3034402
2007-06-27,3255900
2007-06-28,2342400
2007-06-29,3322050
2007-07-02,2407300
2007-07-03,1053200
2007-07-05,1886000
2007-07-06,2009300
2007-07-09,2323589
2007-07-10,3430700
2007-07-11,2567600
2007-07-12,4196200
2007-07-13,3609800
2007-07-16,4584100
2007-07-17,2550100
2007-07-18,4352500
2007-07-19,2788500
2007-07-20,5109454
2007-07-23,2767932
2007-07-24,3644302
2007-07-25,5098140
2007-07-26,7607330
2007-07-27,6251401
2007-07-30,4845749
2007-07-31,5724563
2007-08-01,5677274
2007-08-02,3857329
2007-08-03,5021361
2007-08-06,5717746
2007-08-07,4512152
2007-08-08,4757572
2007-08-09,5069600
2007-08-10,5881888
2007-08-13,3204900
2007-08-14,3468496
2007-08-15,3913342
2007-08-16,6718500
2007-08-17,6135500
2007-08-20,3214900
2007-08-21,3081600
2007-08-22,3059800
2007-08-23,2714500
2007-08-24,2987400
2007-08-27,2182400
2007-08-28,3175100
2007-08-29,2763300
2007-08-30,3543900
2007-08-31,4938100
2007-09-04,3052100
2007-09-05,3231400
2007-09-06,2639600
2007-09-07,3581200
2007-09-10,5238027
2007-09-11,3369000
2007-09-12,3176162
2007-09-13,3090900
2007-09-14,2345100
2007-09-17,1894488
2007-09-18,4353281
2007-09-19,4796268
2007-09-20,3315738
2007-09-21,4976500
2007-09-24,3198200
2007-09-25,2409600
2007-09-26,3407300
2007-09-27,3255000
2007-09-28,3845600
2007-10-01,4186574
2007-10-02,3500300
2007-10-03,2833461
2007-10-04,2409400
2007-10-05,3760200
2007-10-08,2216800
2007-10-09,3459100
2007-10-10,2931536
2007-10-11,3679395
2007-10-12,2621146
2007-10-15,3028800
2007-10-16,2798700
2007-10-17,3415500
2007-10-18,2496100
2007-10-19,15249089
2007-10-22,8993891
2007-10-23,7482788
2007-10-24,5005700
2007-10-25,4088585
2007-10-26,2863100
2007-10-29,3650200
2007-10-30,2792400
2007-10-31,4638600
2007-11-01,4342426
2007-11-02,4917581
2007-11-05,3743738
2007-11-06,3327996
2007-11-07,4485443
2007-11-08,7582984
2007-11-09,9138457
2007-11-12,4726671
2007-11-13,5014578
2007-11-14,3663140
2007-11-15,4203993
2007-11-16,6464724
2007-11-19,5022854
2007-11-20,4429494
2007-11-21,4703255
2007-11-23,1726009
2007-11-26,4067530
2007-11-27,4319078
2007-11-28,4377398
2007-11-29,3226388
2007-11-30,5738672
2007-12-03,4272099
2007-12-04,3188959
2007-12-05,3255846
2007-12-06,2937409
2007-12-07,3709399
2007-12-10,3291869
2007-12-11,4310842
2007-12-12,7253825
2007-12-13,4293993
2007-12-14,3373155
2007-12-17,3731443
2007-12-18,3080403
2007-12-19,3734387
2007-12-20,3398584
2007-12-21,7042796
2007-12-24,889429
2007-12-26,2142253
2007-12-27,2279469
2007-12-28,2167963
2007-12-31,1740724
2008-01-02,4453627
2008-01-03,2724254
2008-01-04,3620279
2008-01-07,4223722
2008-01-08,5711164
2008-01-09,6422264
2008-01-10,6835761
2008-01-11,8414480
2008-01-14,2927555
2008-01-15,4206443
2008-01-16,4467441
2008-01-17,7093002
2008-01-18,7053128
2008-01-22,6578043
2008-01-23,7000324
2008-01-24,4805803
2008-01-25,3910132
2008-01-28,4611788
2008-01-29,5062450
2008-01-30,4583911
2008-01-31,5432882
2008-02-01,4739733
2008-02-04,3377338
2008-02-05,4802375
2008-02-06,3871055
2008-02-07,3484329
2008-02-08,2821911
2008-02-11,2097234
2008-02-12,3663737
2008-02-13,3780875
2008-02-14,2485610
2008-02-15,3632565
2008-02-19,3493585
2008-02-20,3242373
2008-02-21,4083960
2008-02-22,3490828
2008-02-25,2936537
2008-02-26,3177637
2008-02-27,2804787
2008-02-28,2701396
2008-02-29,3091245
2008-03-03,2425471
2008-03-04,4390001
2008-03-05,3866487
2008-03-06,4713833
2008-03-07,5199090
2008-03-10,4207228
2008-03-11,4377717
2008-03-12,3962060
2008-03-13,4292237
2008-03-14,4882776
2008-03-17,5050602
2008-03-18,4569214
2008-03-19,4450614
2008-03-20,6934247
2008-03-24,4342159
2008-03-25,3888658
2008-03-26,3700273
2008-03-27,3600184
2008-03-28,2006402
2008-03-31,3505519
2008-04-01,4814726
2008-04-02,2871638
2008-04-03,3280528
2008-04-04,2800613
2008-04-07,3081554
2008-04-08,3469359
2008-04-09,2967083
2008-04-10,3747215
2008-04-11,5613152
2008-04-14,4447797
2008-04-15,2672541
2008-04-16,5284751
2008-04-17,3207100
2008-04-18,4716566
2008-04-21,2907838
2008-04-22,2724346
2008-04-23,3623827
2008-04-24,6323327
2008-04-25,5551328
2008-04-28,5155099
2008-04-29,3603095
2008-04-30,4691334
2008-05-01,3783676
2008-05-02,3756579
2008-05-05,3845824
2008-05-06,2891307
2008-05-07,4089132
2008-05-08,3795991
2008-05-09,3871552
2008-05-12,3552081
2008-05-13,3407333
2008-05-14,2922650
2008-05-15,3473952
2008-05-16,4147599
2008-05-19,3141900
2008-05-20,5215310
2008-05-21,4429747
2008-05-22,3843123
2008-05-23,2879027
2008-05-27,2788985
2008-05-28,3681532
2008-05-29,3433045
2008-05-30,3486653
2008-06-02,3942619
2008-06-03,4847907
2008-06-04,4667782
2008-06-05,3805774
2008-06-06,5984479
2008-06-09,4402372
2008-06-10,2995564
2008-06-11,4905486
2008-06-12,3791563
2008-06-13,3915084
2008-06-16,4156421
2008-06-17,3561633
2008-06-18,3561342
2008-06-19,3544082
2008-06-20,7367730
2008-06-23,3004379
2008-06-24,4535327
2008-06-25,4846211
2008-06-26,7371756
2008-06-27,7481628
2008-06-30,5333736
2008-07-01,6353017
2008-07-02,4661189
2008-07-03,3083525
2008-07-07,4913263
2008-07-08,5163744
2008-07-09,6226846
2008-07-10,5286174
2008-07-11,6262328
2008-07-14,5117899
2008-07-15,8229925
2008-07-16,4636454
2008-07-17,5856251
2008-07-18,4473820
2008-07-21,3354586
2008-07-22,5804789
2008-07-23,4189664
2008-07-24,6514938
2008-07-25,4947487
2008-07-28,4832600
2008-07-29,3599573
2008-07-30,3860115
2008-07-31,4254180
2008-08-01,3026321
2008-08-04,2279603
2008-08-05,4878568
2008-08-06,3928941
2008-08-07,4324180
2008-08-08,5424857
2008-08-11,5461496
2008-08-12,4091085
2008-08-13,3847540
2008-08-14,2992086
2008-08-15,4407788
2008-08-18,4294566
2008-08-19,3688192
2008-08-20,2930760
2008-08-21,2978037
2008-08-22,3062316
2008-08-25,3733178
2008-08-26,2761040
2008-08-27,3481270
2008-08-28,3889515
2008-08-29,3440090
2008-09-02,4766759
2008-09-03,5710989
2008-09-04,6032159
2008-09-05,5452539
2008-09-08,6063314
2008-09-09,6627818
2008-09-10,5741351
2008-09-11,5187058
2008-09-12,5702000
2008-09-15,6903869
2008-09-16,8716642
2008-09-17,8901613
2008-09-18,10870303
2008-09-19,10178232
2008-09-22,5715846
2008-09-23,5786427
2008-09-24,5756684
2008-09-25,5291234
2008-09-26,4302464
2008-09-29,8246871
2008-09-30,7094007
2008-10-01,4615730
2008-10-02,7880045
2008-10-03,6587951
2008-10-06,10948933
2008-10-07,8798055
2008-10-08,13349166
2008-10-09,11647874
2008-10-10,16317253
2008-10-13,10512267
2008-10-14,10623545
2008-10-15,9648739
2008-10-16,10485636
2008-10-17,7288009
2008-10-20,6670069
2008-10-21,10744097
2008-10-22,11002279
2008-10-23,15119245
2008-10-24,10095043
2008-10-27,9272185
2008-10-28,9359697
2008-10-29,11277941
2008-10-30,7141128
2008-10-31,7259335
2008-11-03,3677620
2008-11-04,5900067
2008-11-05,8213284
2008-11-06,7842865
2008-11-07,6133987
2008-11-10,5839588
2008-11-11,6573462
2008-11-12,8203819
2008-11-13,11086603
2008-11-14,6996673
2008-11-17,6577559
2008-11-18,9224045
2008-11-19,8330055
2008-11-20,11517116
2008-11-21,14803687
2008-11-24,10617321
2008-11-25,8689722
2008-11-26,6395958
2008-11-28,3205489
2008-12-01,9715660
2008-12-02,11934376
2008-12-03,8972762
2008-12-04,9290767
2008-12-05,10272131
2008-12-08,14082854
2008-12-09,8788584
2008-12-10,5391708
2008-12-11,7405268
2008-12-12,4723349
2008-12-15,5557041
2008-12-16,9335090
2008-12-17,5920090
2008-12-18,5574872
2008-12-19,7537197
2008-12-22,4210569
2008-12-23,3286003
2008-12-24,1340809
2008-12-26,1634242
2008-12-29,3037661
2008-12-30,3774960
2008-12-31,4005773
2009-01-02,5313866
2009-01-05,3768714
2009-01-06,4967877
2009-01-07,4598339
2009-01-08,3944824
2009-01-09,3660989
2009-01-12,4182466
2009-01-13,4430021
2009-01-14,4521244
2009-01-15,4777310
2009-01-16,5621816
2009-01-20,5684092
2009-01-21,5892860
2009-01-22,4788901
2009-01-23,5684711
2009-01-26,5185599
2009-01-27,4723046
2009-01-28,6105737
2009-01-29,8154748
2009-01-30,7620209
2009-02-02,9053016
2009-02-03,7716852
2009-02-04,4722330
2009-02-05,5290994
2009-02-06,5306148
2009-02-09,7147200
2009-02-10,6909780
2009-02-11,5847601
2009-02-12,8495508
2009-02-13,4810569
2009-02-17,8654115
2009-02-18,4963773
2009-02-19,5554780
2009-02-20,8729783
2009-02-23,6776744
2009-02-24,8260439
2009-02-25,8567365
2009-02-26,6426492
2009-02-27,6912618
2009-03-02,8116692
2009-03-03,9082312
2009-03-04,9040498
2009-03-05,8219772
2009-03-06,9174759
2009-03-09,7150185
2009-03-10,10699858
2009-03-11,8235345
2009-03-12,6201452
2009-03-13,5058252
2009-03-16,5167217
2009-03-17,4977561
2009-03-18,6244338
2009-03-19,6993624
2009-03-20,8475501
2009-03-23,7438611
2009-03-24,4968115
2009-03-25,7846788
2009-03-26,7299220
2009-03-27,4684219
2009-03-30,4797731
2009-03-31,7183659
2009-04-01,5773056
2009-04-02,6960929
2009-04-03,4931056
2009-04-06,3885262
