time_captured,WMT_Low
2006-01-03,45.57
2006-01-04,46.1
2006-01-05,45.29
2006-01-06,45.1
2006-01-09,45.56
2006-01-10,45.46
2006-01-11,45.76
2006-01-12,45.67
2006-01-13,45.31
2006-01-17,44.7
2006-01-18,44.61
2006-01-19,45.06
2006-01-20,44.81
2006-01-23,44.54
2006-01-24,45.5
2006-01-25,45.66
2006-01-26,45.83
2006-01-27,44.88
2006-01-30,46.21
2006-01-31,46.03
2006-02-01,45.57
2006-02-02,45.47
2006-02-03,45.44
2006-02-06,45.05
2006-02-07,44.68
2006-02-08,44.52
2006-02-09,45.33
2006-02-10,45.31
2006-02-13,45.47
2006-02-14,45.28
2006-02-15,45.89
2006-02-16,46.35
2006-02-17,45.8
2006-02-21,45.47
2006-02-22,45.44
2006-02-23,45.34
2006-02-24,45.26
2006-02-27,45.55
2006-02-28,45.22
2006-03-01,45.03
2006-03-02,44.93
2006-03-03,44.86
2006-03-06,44.97
2006-03-07,45.05
2006-03-08,45.16
2006-03-09,45.11
2006-03-10,45.21
2006-03-13,45.22
2006-03-14,45.16
2006-03-15,45.22
2006-03-16,45.42
2006-03-17,46.29
2006-03-20,46.99
2006-03-21,47.72
2006-03-22,47.74
2006-03-23,48.05
2006-03-24,48.02
2006-03-27,47.9
2006-03-28,47.66
2006-03-29,47.5
2006-03-30,47.31
2006-03-31,47.2
2006-04-03,46.53
2006-04-04,46.35
2006-04-05,46.5
2006-04-06,46.35
2006-04-07,45.81
2006-04-10,45.51
2006-04-11,45.27
2006-04-12,45.65
2006-04-13,45.62
2006-04-17,45.63
2006-04-18,46.07
2006-04-19,46.25
2006-04-20,46.26
2006-04-21,45.68
2006-04-24,45.4
2006-04-25,45.5
2006-04-26,45.67
2006-04-27,45.62
2006-04-28,44.99
2006-05-01,45.54
2006-05-02,45.9
2006-05-03,46.29
2006-05-04,46.12
2006-05-05,46.52
2006-05-08,47.1
2006-05-09,47.58
2006-05-10,47.58
2006-05-11,47.03
2006-05-12,46.53
2006-05-15,46.08
2006-05-16,47.69
2006-05-17,46.83
2006-05-18,46.65
2006-05-19,46.89
2006-05-22,47.1
2006-05-23,47.5
2006-05-24,47.37
2006-05-25,48.65
2006-05-26,49.45
2006-05-30,48.23
2006-05-31,48.1
2006-06-01,47.92
2006-06-02,47.32
2006-06-05,47.1
2006-06-06,46.55
2006-06-07,46.92
2006-06-08,46.84
2006-06-09,47.0
2006-06-12,46.92
2006-06-13,47.03
2006-06-14,47.37
2006-06-15,47.31
2006-06-16,48.2
2006-06-19,48.0
2006-06-20,48.21
2006-06-21,48.3
2006-06-22,48.27
2006-06-23,47.76
2006-06-26,47.8
2006-06-27,47.57
2006-06-28,47.36
2006-06-29,47.91
2006-06-30,48.16
2006-07-03,47.1
2006-07-05,46.76
2006-07-06,46.51
2006-07-07,45.88
2006-07-10,46.05
2006-07-11,45.41
2006-07-12,45.11
2006-07-13,43.71
2006-07-14,42.81
2006-07-17,42.72
2006-07-18,42.31
2006-07-19,43.23
2006-07-20,44.15
2006-07-21,43.56
2006-07-24,44.03
2006-07-25,43.94
2006-07-26,43.63
2006-07-27,43.47
2006-07-28,43.77
2006-07-31,44.33
2006-08-01,43.79
2006-08-02,44.0
2006-08-03,44.17
2006-08-04,44.65
2006-08-07,44.5
2006-08-08,44.37
2006-08-09,43.86
2006-08-10,43.75
2006-08-11,44.3
2006-08-14,44.73
2006-08-15,44.05
2006-08-16,44.05
2006-08-17,44.33
2006-08-18,44.3
2006-08-21,44.02
2006-08-22,43.98
2006-08-23,43.48
2006-08-24,43.66
2006-08-25,43.52
2006-08-28,44.16
2006-08-29,44.06
2006-08-30,44.2
2006-08-31,44.52
2006-09-01,44.02
2006-09-05,45.36
2006-09-06,45.15
2006-09-07,45.3
2006-09-08,45.55
2006-09-11,46.3
2006-09-12,47.47
2006-09-13,47.55
2006-09-14,47.58
2006-09-15,48.15
2006-09-18,47.66
2006-09-19,48.0
2006-09-20,48.42
2006-09-21,48.21
2006-09-22,47.6
2006-09-25,48.03
2006-09-26,48.8
2006-09-27,49.04
2006-09-28,49.03
2006-09-29,49.31
2006-10-02,48.03
2006-10-03,48.06
2006-10-04,48.13
2006-10-05,48.1
2006-10-06,48.24
2006-10-09,47.97
2006-10-10,47.88
2006-10-11,47.87
2006-10-12,48.08
2006-10-13,48.12
2006-10-16,48.11
2006-10-17,47.64
2006-10-18,48.16
2006-10-19,48.39
2006-10-20,48.65
2006-10-23,49.03
2006-10-24,51.05
2006-10-25,50.55
2006-10-26,50.65
2006-10-27,50.63
2006-10-30,49.1
2006-10-31,49.12
2006-11-01,48.65
2006-11-02,47.66
2006-11-03,47.2
2006-11-06,47.2
2006-11-07,47.41
2006-11-08,47.03
2006-11-09,46.31
2006-11-10,46.31
2006-11-13,45.97
2006-11-14,47.19
2006-11-15,47.58
2006-11-16,47.5
2006-11-17,47.41
2006-11-20,47.42
2006-11-21,47.6
2006-11-22,47.76
2006-11-24,47.55
2006-11-27,46.55
2006-11-28,46.48
2006-11-29,46.63
2006-11-30,46.02
2006-12-01,45.42
2006-12-04,45.87
2006-12-05,46.07
2006-12-06,46.36
2006-12-07,46.36
2006-12-08,46.25
2006-12-11,45.92
2006-12-12,45.58
2006-12-13,45.8
2006-12-14,45.91
2006-12-15,46.39
2006-12-18,46.28
2006-12-19,45.5
2006-12-20,45.87
2006-12-21,45.61
2006-12-22,45.0
2006-12-26,44.8
2006-12-27,45.75
2006-12-28,45.81
2006-12-29,46.03
2007-01-03,47.06
2007-01-04,47.32
2007-01-05,47.15
2007-01-08,46.9
2007-01-09,47.0
2007-01-10,46.51
2007-01-11,47.21
2007-01-12,47.21
2007-01-16,47.79
2007-01-17,48.09
2007-01-18,48.08
2007-01-19,48.19
2007-01-22,47.6
2007-01-23,47.46
2007-01-24,47.99
2007-01-25,48.09
