time_captured,CSCO_Volume
2006-01-03,55432166
2006-01-04,80409776
2006-01-05,118588943
2006-01-06,122450979
2006-01-09,78604868
2006-01-10,73839465
2006-01-11,73964864
2006-01-12,59581203
2006-01-13,52389265
2006-01-17,53133127
2006-01-18,69496410
2006-01-19,54525205
2006-01-20,77920352
2006-01-23,54554500
2006-01-24,50575291
2006-01-25,51621583
2006-01-26,64902693
2006-01-27,48721418
2006-01-30,43844262
2006-01-31,64726297
2006-02-01,53735450
2006-02-02,40285246
2006-02-03,71697239
2006-02-06,51813504
2006-02-07,79062409
2006-02-08,200897311
2006-02-09,119727309
2006-02-10,73782485
2006-02-13,58623290
2006-02-14,55794058
2006-02-15,65072426
2006-02-16,47370983
2006-02-17,35965898
2006-02-21,47669568
2006-02-22,57721243
2006-02-23,48177258
2006-02-24,37446288
2006-02-27,55855826
2006-02-28,137102013
2006-03-01,160379953
2006-03-02,69236901
2006-03-03,76434649
2006-03-06,85159302
2006-03-07,47525722
2006-03-08,54439388
2006-03-09,45642900
2006-03-10,48471016
2006-03-13,46528916
2006-03-14,55412595
2006-03-15,48519486
2006-03-16,55454141
2006-03-17,62109155
2006-03-20,34526730
2006-03-21,49443318
2006-03-22,35799677
2006-03-23,37039278
2006-03-24,34070436
2006-03-27,53095362
2006-03-28,54354834
2006-03-29,58306138
2006-03-30,54953862
2006-03-31,54840311
2006-04-03,46696146
2006-04-04,43118580
2006-04-05,38753107
2006-04-06,71011604
2006-04-07,44278213
2006-04-10,31159183
2006-04-11,45604049
2006-04-12,30589297
2006-04-13,38600938
2006-04-17,34077838
2006-04-18,50520498
2006-04-19,29185497
2006-04-20,36849556
2006-04-21,43420470
2006-04-24,48507051
2006-04-25,46111249
2006-04-26,47199770
2006-04-27,46861031
2006-04-28,42943151
2006-05-01,45707258
2006-05-02,46478844
2006-05-03,34848983
2006-05-04,49847112
2006-05-05,50528791
2006-05-08,47327723
2006-05-09,79610058
2006-05-10,92992317
2006-05-11,84844588
2006-05-12,71810182
2006-05-15,53759436
2006-05-16,55091467
2006-05-17,60262069
2006-05-18,63571709
2006-05-19,77040998
2006-05-22,55277204
2006-05-23,51076842
2006-05-24,55182431
2006-05-25,41845817
2006-05-26,37766999
2006-05-30,45867420
2006-05-31,56982237
2006-06-01,53319477
2006-06-02,43053307
2006-06-05,36229764
2006-06-06,53469313
2006-06-07,40725057
2006-06-08,71683814
2006-06-09,39833928
2006-06-12,30475405
2006-06-13,47899875
2006-06-14,40554353
2006-06-15,44788665
2006-06-16,41171580
2006-06-19,32760859
2006-06-20,28933309
2006-06-21,48814808
2006-06-22,41660125
2006-06-23,27524329
2006-06-26,21107105
2006-06-27,36313145
2006-06-28,35238816
2006-06-29,43747928
2006-06-30,52881185
2006-07-03,21909149
2006-07-05,30724278
2006-07-06,33579638
2006-07-07,33783814
2006-07-10,39286239
2006-07-11,74699553
2006-07-12,37847552
2006-07-13,50040002
2006-07-14,39858211
2006-07-17,42147925
2006-07-18,48082498
2006-07-19,69143196
2006-07-20,61537779
2006-07-21,55748286
2006-07-24,44068629
2006-07-25,33636807
2006-07-26,33598860
2006-07-27,33205110
2006-07-28,37834204
2006-07-31,49212730
2006-08-01,41104838
2006-08-02,57825177
2006-08-03,58679619
2006-08-04,66839279
2006-08-07,34431092
2006-08-08,88583470
2006-08-09,221613148
2006-08-10,52254477
2006-08-11,42210672
2006-08-14,63896441
2006-08-15,72490339
2006-08-16,65322703
2006-08-17,43866460
2006-08-18,35122051
2006-08-21,29109755
2006-08-22,52521213
2006-08-23,36781952
2006-08-24,36286267
2006-08-25,29006826
2006-08-28,35103378
2006-08-29,43577696
2006-08-30,36126055
2006-08-31,85464611
2006-09-01,67310978
2006-09-05,65446383
2006-09-06,65591864
2006-09-07,56158558
2006-09-08,33304477
2006-09-11,42629388
2006-09-12,66068787
2006-09-13,43517012
2006-09-14,40388322
2006-09-15,62805038
2006-09-18,47057788
2006-09-19,55691988
2006-09-20,76493331
2006-09-21,56257852
2006-09-22,45429058
2006-09-25,40263620
2006-09-26,56996185
2006-09-27,38438873
2006-09-28,40107999
2006-09-29,38182191
2006-10-02,33250585
2006-10-03,38231911
2006-10-04,56164165
2006-10-05,51197663
2006-10-06,48921389
2006-10-09,37621343
2006-10-10,40805031
2006-10-11,40335200
2006-10-12,41543122
2006-10-13,35915944
2006-10-16,39471435
2006-10-17,41024824
2006-10-18,36313557
2006-10-19,48363552
2006-10-20,48075675
2006-10-23,48564745
2006-10-24,29855893
2006-10-25,38945753
2006-10-26,34283921
2006-10-27,43013659
2006-10-30,43635042
2006-10-31,45231652
2006-11-01,50212061
2006-11-02,38779294
2006-11-03,39373700
2006-11-06,74562118
2006-11-07,76113133
2006-11-08,125507450
2006-11-09,199589182
2006-11-10,59184096
2006-11-13,49381601
2006-11-14,48242853
2006-11-15,47338394
2006-11-16,65712526
2006-11-17,44489868
2006-11-20,42399548
2006-11-21,45044858
2006-11-22,27149170
2006-11-24,13489155
2006-11-27,63834826
2006-11-28,108758457
2006-11-29,68147587
2006-11-30,45972396
2006-12-01,47018882
2006-12-04,68516245
2006-12-05,43089040
2006-12-06,34111990
2006-12-07,31421233
2006-12-08,29499660
2006-12-11,43098753
2006-12-12,43371156
2006-12-13,43193488
2006-12-14,39515211
2006-12-15,66989972
2006-12-18,46261059
2006-12-19,38617792
2006-12-20,31902862
2006-12-21,32555872
2006-12-22,27400550
