time_captured,HD_Volume
2006-01-03,8960100
2006-01-04,9452300
2006-01-05,9492700
2006-01-06,9170200
2006-01-09,8256300
2006-01-10,15088100
2006-01-11,12113900
2006-01-12,8515200
2006-01-13,8372600
2006-01-17,6372700
2006-01-18,7079500
2006-01-19,12264400
2006-01-20,15041700
2006-01-23,9305100
2006-01-24,10890900
2006-01-25,8096700
2006-01-26,7279800
2006-01-27,8192700
2006-01-30,5657800
2006-01-31,10812200
2006-02-01,6937400
2006-02-02,7343300
2006-02-03,7560400
2006-02-06,7603800
2006-02-07,11151500
2006-02-08,7242800
2006-02-09,6989600
2006-02-10,6237300
2006-02-13,6469300
2006-02-14,12911900
2006-02-15,10143400
2006-02-16,7780200
2006-02-17,8572700
2006-02-21,15237200
2006-02-22,10013900
2006-02-23,8315900
2006-02-24,7274800
2006-02-27,9704600
2006-02-28,12243900
2006-03-01,9638300
2006-03-02,11570100
2006-03-03,6157100
2006-03-06,8198600
2006-03-07,5710600
2006-03-08,8533800
2006-03-09,9795600
2006-03-10,6776000
2006-03-13,5190900
2006-03-14,9265800
2006-03-15,6063900
2006-03-16,8699300
2006-03-17,13093300
2006-03-20,7354600
2006-03-21,10821900
2006-03-22,9507200
2006-03-23,10267800
2006-03-24,7884800
2006-03-27,6646600
2006-03-28,7215400
2006-03-29,7367700
2006-03-30,7493200
2006-03-31,9198200
2006-04-03,6977700
2006-04-04,6306000
2006-04-05,6680000
2006-04-06,7130000
2006-04-07,8844700
2006-04-10,6964600
2006-04-11,7065300
2006-04-12,7047400
2006-04-13,5386000
2006-04-17,6777600
2006-04-18,9382700
2006-04-19,6692800
2006-04-20,5348100
2006-04-21,9110400
2006-04-24,6571700
2006-04-25,10603100
2006-04-26,7965800
2006-04-27,8777900
2006-04-28,9010200
2006-05-01,10232800
2006-05-02,8125600
2006-05-03,6072600
2006-05-04,9261600
2006-05-05,11264100
2006-05-08,7029300
2006-05-09,8358400
2006-05-10,7472100
2006-05-11,9089800
2006-05-12,11666700
2006-05-15,9655700
2006-05-16,30902900
2006-05-17,29145200
2006-05-18,16002800
2006-05-19,11992600
2006-05-22,10882000
2006-05-23,10803800
2006-05-24,14849400
2006-05-25,9405800
2006-05-26,9236100
2006-05-30,11519200
2006-05-31,12052700
2006-06-01,11641400
2006-06-02,12508800
2006-06-05,11632400
2006-06-06,17697600
2006-06-07,11670600
2006-06-08,13226800
2006-06-09,10768900
2006-06-12,11109100
2006-06-13,12582000
2006-06-14,11092000
2006-06-15,20367300
2006-06-16,15064900
2006-06-19,9870000
2006-06-20,13114000
2006-06-21,8614100
2006-06-22,10054400
2006-06-23,8122000
2006-06-26,7495100
2006-06-27,10033000
2006-06-28,26954300
2006-06-29,20207000
2006-06-30,24065100
2006-07-03,7944800
2006-07-05,14001000
2006-07-06,10734600
2006-07-07,14576100
2006-07-10,12949100
2006-07-11,21509800
2006-07-12,25645100
2006-07-13,20904600
2006-07-14,16324500
2006-07-17,14150100
2006-07-18,24947300
2006-07-19,19622700
2006-07-20,17558600
2006-07-21,14074800
2006-07-24,9545700
2006-07-25,10973100
2006-07-26,9331200
2006-07-27,11596200
2006-07-28,9564300
2006-07-31,8581700
2006-08-01,9422000
2006-08-02,12543400
2006-08-03,11433700
2006-08-04,10587900
2006-08-07,6775400
2006-08-08,8972300
2006-08-09,16718600
2006-08-10,9824100
2006-08-11,11925000
2006-08-14,19562400
2006-08-15,21028600
2006-08-16,12539600
2006-08-17,13203400
2006-08-18,10542100
2006-08-21,12770600
2006-08-22,11680100
2006-08-23,14507800
2006-08-24,16194400
2006-08-25,10316100
2006-08-28,11072700
2006-08-29,10127200
2006-08-30,12323900
2006-08-31,10639700
2006-09-01,9145000
2006-09-05,8752900
2006-09-06,11691700
2006-09-07,11571100
2006-09-08,7430100
2006-09-11,13313100
2006-09-12,24432500
2006-09-13,20486100
2006-09-14,14856600
2006-09-15,14878400
2006-09-18,13968500
2006-09-19,11884500
2006-09-20,12795400
2006-09-21,11414500
2006-09-22,7813800
2006-09-25,10885500
2006-09-26,13853000
2006-09-27,8965700
2006-09-28,9842800
2006-09-29,8488000
2006-10-02,8620600
2006-10-03,10101700
2006-10-04,12286200
2006-10-05,10960200
2006-10-06,10853500
2006-10-09,9489900
2006-10-10,9159800
2006-10-11,11529400
2006-10-12,13224500
2006-10-13,19331500
2006-10-16,13145500
2006-10-17,15175100
2006-10-18,12403400
2006-10-19,9852500
2006-10-20,11183400
2006-10-23,11491400
2006-10-24,12234900
2006-10-25,12371800
2006-10-26,15365100
2006-10-27,14936800
2006-10-30,10240900
2006-10-31,14471300
2006-11-01,14397500
2006-11-02,16633900
2006-11-03,13998400
2006-11-06,16866800
2006-11-07,17391100
2006-11-08,13936900
2006-11-09,18646500
2006-11-10,14182500
2006-11-13,20611500
2006-11-14,49455900
2006-11-15,28458400
2006-11-16,19622700
2006-11-17,16744900
2006-11-20,15707800
2006-11-21,9018400
2006-11-22,14130400
2006-11-24,3064200
2006-11-27,12478200
2006-11-28,11906700
2006-11-29,12007000
2006-11-30,17409300
2006-12-01,47280100
2006-12-04,14561200
2006-12-05,11901900
2006-12-06,17952100
2006-12-07,16365400
2006-12-08,11267400
2006-12-11,15658100
2006-12-12,17792900
2006-12-13,18604500
2006-12-14,24304500
2006-12-15,25977200
2006-12-18,14082200
2006-12-19,14938400
2006-12-20,13686100
2006-12-21,14785100
2006-12-22,7911700
2006-12-26,7255600
2006-12-27,8737100
2006-12-28,8890400
2006-12-29,11611400
2007-01-03,50856900
2007-01-04,22323200
2007-01-05,21676600
2007-01-08,17465500
2007-01-09,20341400
2007-01-10,15324600
2007-01-11,12149300
2007-01-12,11218600
2007-01-16,12639900
2007-01-17,12729000
2007-01-18,18815200
2007-01-19,12125900
2007-01-22,14165800
2007-01-23,11381400
2007-01-24,9837000
2007-01-25,11086200
2007-01-26,9797400
2007-01-29,12173800
2007-01-30,8671700
2007-01-31,11631500
2007-02-01,12544200
2007-02-02,9928300
2007-02-05,9017400
2007-02-06,8096800
2007-02-07,8347100
2007-02-08,11976900
2007-02-09,9320200
2007-02-12,18480885
2007-02-13,13175273
2007-02-14,20514780
2007-02-15,10829300
2007-02-16,11037700
2007-02-20,17904200
2007-02-21,11917000
2007-02-22,9484800
2007-02-23,13731200
2007-02-26,12198939
2007-02-27,23576900
2007-02-28,26123700
2007-03-01,21139621
2007-03-02,19521700
2007-03-05,22892800
2007-03-06,17473000
2007-03-07,12320700
2007-03-08,11707100
2007-03-09,11988600
2007-03-12,14195400
2007-03-13,21392500
2007-03-14,24242366
2007-03-15,10152445
2007-03-16,16890950
2007-03-19,9396175
2007-03-20,11080754
2007-03-21,15305313
2007-03-22,9880940
2007-03-23,11566757
2007-03-26,11825300
2007-03-27,12841374
2007-03-28,13983680
2007-03-29,14383400
2007-03-30,12672200
2007-04-02,9918389
2007-04-03,15862540
2007-04-04,19170200
2007-04-05,10734897
2007-04-09,7312359
2007-04-10,10978613
2007-04-11,15915869
2007-04-12,11378071
2007-04-13,10763389
2007-04-16,11514286
2007-04-17,15722098
2007-04-18,11181928
2007-04-19,11034514
2007-04-20,13711842
2007-04-23,7912107
2007-04-24,13283056
2007-04-25,11327994
2007-04-26,11421267
2007-04-27,11310027
2007-04-30,20383489
2007-05-01,13064757
2007-05-02,14130517
2007-05-03,10874558
2007-05-04,8889818
2007-05-07,7785420
2007-05-08,12568867
2007-05-09,10012591
2007-05-10,13333706
2007-05-11,11997200
2007-05-14,15891336
2007-05-15,31391589
2007-05-16,14083557
2007-05-17,9091912
2007-05-18,13864075
2007-05-21,12683251
2007-05-22,9359355
2007-05-23,10900084
2007-05-24,19187425
2007-05-25,9629212
2007-05-29,8878950
2007-05-30,9268872
2007-05-31,9943933
2007-06-01,12959301
2007-06-04,12809076
2007-06-05,15367149
2007-06-06,11722446
2007-06-07,17332230
2007-06-08,10146712
2007-06-11,13278519
2007-06-12,17317393
2007-06-13,14036700
2007-06-14,9949870
2007-06-15,21092843
2007-06-18,8644408
2007-06-19,14530274
2007-06-20,66790465
2007-06-21,27042647
2007-06-22,19327628
2007-06-25,13096024
2007-06-26,16999192
2007-06-27,15476251
2007-06-28,19649550
2007-06-29,13714235
2007-07-02,8845108
2007-07-03,6266410
2007-07-05,14665175
2007-07-06,16810958
2007-07-09,17337058
2007-07-10,34920904
2007-07-11,20798493
2007-07-12,20013817
2007-07-13,12027967
2007-07-16,11226496
2007-07-17,13875025
2007-07-18,17388700
2007-07-19,15693600
2007-07-20,17881000
2007-07-23,19650912
2007-07-24,26185100
2007-07-25,24185600
2007-07-26,35252667
2007-07-27,25522900
2007-07-30,29638800
2007-07-31,29755200
2007-08-01,30751482
2007-08-02,26487100
2007-08-03,45338102
2007-08-06,33499100
2007-08-07,28361200
2007-08-08,35795600
2007-08-09,37138300
2007-08-10,22034500
2007-08-13,21048500
2007-08-14,42255700
2007-08-15,26864164
2007-08-16,37742000
