time_captured,KO_High
2006-01-03,20.5
2006-01-04,20.54
2006-01-05,20.56
2006-01-06,20.78
2006-01-09,20.84
2006-01-10,20.86
2006-01-11,20.9
2006-01-12,20.82
2006-01-13,20.78
2006-01-17,20.64
2006-01-18,20.5
2006-01-19,20.57
2006-01-20,20.44
2006-01-23,20.33
2006-01-24,20.6
2006-01-25,20.6
2006-01-26,20.79
2006-01-27,21.0
2006-01-30,20.98
2006-01-31,20.87
2006-02-01,20.77
2006-02-02,20.76
2006-02-03,20.62
2006-02-06,20.5
2006-02-07,20.74
2006-02-08,20.64
2006-02-09,20.71
2006-02-10,20.71
2006-02-13,20.69
2006-02-14,20.72
2006-02-15,20.72
2006-02-16,20.81
2006-02-17,20.95
2006-02-21,21.02
2006-02-22,21.08
2006-02-23,21.16
2006-02-24,21.17
2006-02-27,21.26
2006-02-28,21.29
2006-03-01,21.19
2006-03-02,21.08
2006-03-03,21.02
2006-03-06,21.1
2006-03-07,21.02
2006-03-08,21.26
2006-03-09,21.3
2006-03-10,21.46
2006-03-13,21.4
2006-03-14,21.44
2006-03-15,21.41
2006-03-16,21.38
2006-03-17,21.42
2006-03-20,21.5
2006-03-21,21.43
2006-03-22,21.48
2006-03-23,21.42
2006-03-24,21.38
2006-03-27,21.32
2006-03-28,21.24
2006-03-29,21.18
2006-03-30,21.13
2006-03-31,21.1
2006-04-03,21.12
2006-04-04,21.06
2006-04-05,21.04
2006-04-06,21.0
2006-04-07,20.94
2006-04-10,20.75
2006-04-11,21.0
2006-04-12,20.67
2006-04-13,20.72
2006-04-17,20.7
2006-04-18,20.74
2006-04-19,21.06
2006-04-20,21.12
2006-04-21,21.01
2006-04-24,20.95
2006-04-25,20.81
2006-04-26,20.89
2006-04-27,21.07
2006-04-28,21.04
2006-05-01,21.1
2006-05-02,21.15
2006-05-03,21.12
2006-05-04,21.06
2006-05-05,21.44
2006-05-08,21.87
2006-05-09,21.84
2006-05-10,21.88
2006-05-11,21.8
2006-05-12,21.7
2006-05-15,22.0
