time_captured,UNH_Close
2006-01-03,61.73
2006-01-04,61.88
2006-01-05,61.69
2006-01-06,62.9
2006-01-09,61.4
2006-01-10,62.61
2006-01-11,61.85
2006-01-12,62.53
2006-01-13,60.94
2006-01-17,61.0
2006-01-18,61.22
2006-01-19,61.47
2006-01-20,59.48
2006-01-23,57.99
2006-01-24,58.31
2006-01-25,57.98
2006-01-26,57.89
2006-01-27,58.54
2006-01-30,57.77
2006-01-31,59.42
2006-02-01,59.5
2006-02-02,59.36
2006-02-03,59.62
2006-02-06,58.54
2006-02-07,57.73
2006-02-08,57.59
2006-02-09,58.08
2006-02-10,58.6
2006-02-13,58.59
2006-02-14,59.45
2006-02-15,59.0
2006-02-16,58.5
2006-02-17,58.0
2006-02-21,58.17
2006-02-22,59.54
2006-02-23,59.45
2006-02-24,58.89
2006-02-27,58.94
2006-02-28,58.23
2006-03-01,58.43
2006-03-02,57.58
2006-03-03,56.6
2006-03-06,56.7
2006-03-07,56.42
2006-03-08,57.2
2006-03-09,56.34
2006-03-10,56.17
2006-03-13,55.73
2006-03-14,56.89
2006-03-15,57.34
2006-03-16,56.57
2006-03-17,56.69
2006-03-20,56.53
2006-03-21,56.21
2006-03-22,56.64
2006-03-23,56.37
2006-03-24,55.78
2006-03-27,54.93
2006-03-28,54.32
2006-03-29,55.98
2006-03-30,56.26
2006-03-31,55.86
2006-04-03,55.47
2006-04-04,55.3
2006-04-05,55.3
2006-04-06,54.51
2006-04-07,53.69
2006-04-10,52.43
2006-04-11,51.55
2006-04-12,53.46
2006-04-13,53.5
2006-04-17,51.67
2006-04-18,49.67
2006-04-19,49.18
2006-04-20,50.12
2006-04-21,49.57
2006-04-24,50.16
2006-04-25,49.36
2006-04-26,48.97
2006-04-27,47.75
2006-04-28,49.74
2006-05-01,49.8
2006-05-02,48.58
2006-05-03,46.61
2006-05-04,46.53
2006-05-05,46.39
2006-05-08,45.08
2006-05-09,43.8
2006-05-10,46.17
2006-05-11,44.37
2006-05-12,45.84
2006-05-15,46.7
2006-05-16,47.01
