time_captured,CVX_Open
2006-01-03,57.25
2006-01-04,59.08
2006-01-05,58.68
2006-01-06,58.95
2006-01-09,59.49
2006-01-10,58.76
2006-01-11,59.22
2006-01-12,60.0
2006-01-13,59.89
2006-01-17,60.9
2006-01-18,61.98
2006-01-19,60.4
2006-01-20,62.0
2006-01-23,61.09
2006-01-24,62.05
2006-01-25,62.3
2006-01-26,61.5
2006-01-27,60.1
2006-01-30,60.85
2006-01-31,60.41
2006-02-01,59.38
2006-02-02,58.71
2006-02-03,58.12
2006-02-06,58.0
2006-02-07,58.54
2006-02-08,57.74
2006-02-09,58.12
2006-02-10,57.32
2006-02-13,56.63
2006-02-14,55.85
2006-02-15,55.85
2006-02-16,56.1
2006-02-17,56.78
2006-02-21,57.99
2006-02-22,57.9
2006-02-23,57.1
2006-02-24,57.56
2006-02-27,57.65
2006-02-28,56.69
2006-03-01,56.72
2006-03-02,57.24
2006-03-03,56.82
2006-03-06,56.75
2006-03-07,55.85
2006-03-08,55.32
2006-03-09,55.47
2006-03-10,54.15
2006-03-13,54.53
2006-03-14,55.2
2006-03-15,56.5
2006-03-16,56.51
2006-03-17,57.98
2006-03-20,57.0
2006-03-21,56.6
2006-03-22,56.42
2006-03-23,56.66
2006-03-24,56.7
2006-03-27,57.85
2006-03-28,58.41
2006-03-29,57.54
2006-03-30,58.75
2006-03-31,58.26
2006-04-03,58.35
2006-04-04,58.35
2006-04-05,58.91
2006-04-06,59.65
2006-04-07,59.68
2006-04-10,59.14
2006-04-11,59.9
2006-04-12,59.21
2006-04-13,58.4
2006-04-17,59.18
2006-04-18,59.85
2006-04-19,60.49
2006-04-20,60.7
2006-04-21,60.47
2006-04-24,61.57
2006-04-25,61.39
2006-04-26,60.43
2006-04-27,59.65
2006-04-28,60.5
2006-05-01,61.62
2006-05-02,61.57
2006-05-03,62.74
2006-05-04,61.6
2006-05-05,62.48
2006-05-08,62.0
2006-05-09,61.96
2006-05-10,62.81
2006-05-11,63.19
2006-05-12,62.75
2006-05-15,60.41
2006-05-16,60.8
2006-05-17,60.02
2006-05-18,58.94
2006-05-19,58.71
2006-05-22,58.0
2006-05-23,58.97
2006-05-24,57.84
2006-05-25,58.45
2006-05-26,59.6
2006-05-30,60.0
2006-05-31,58.47
2006-06-01,59.67
2006-06-02,60.41
2006-06-05,61.26
2006-06-06,59.36
2006-06-07,58.71
2006-06-08,56.77
2006-06-09,57.96
2006-06-12,57.88
2006-06-13,57.59
2006-06-14,57.15
2006-06-15,58.3
2006-06-16,59.1
2006-06-19,58.72
2006-06-20,57.76
