time_captured,IBM_Volume
2006-01-03,11715200
2006-01-04,9840600
2006-01-05,7213500
2006-01-06,8197400
2006-01-09,6858200
2006-01-10,5701000
2006-01-11,5776500
2006-01-12,4926500
2006-01-13,6921700
2006-01-17,8761700
2006-01-18,11032800
2006-01-19,6484000
2006-01-20,8614500
2006-01-23,6114100
2006-01-24,6069000
2006-01-25,6374300
2006-01-26,7810200
2006-01-27,6103400
2006-01-30,5325100
2006-01-31,6771600
2006-02-01,5417100
2006-02-02,6198000
2006-02-03,9852700
2006-02-06,9568600
2006-02-07,5253600
2006-02-08,5030500
2006-02-09,7609200
2006-02-10,5371900
2006-02-13,5257400
2006-02-14,6075500
2006-02-15,5052000
2006-02-16,5310500
2006-02-17,5298900
2006-02-21,5839100
2006-02-22,5294300
2006-02-23,4979900
2006-02-24,3904100
2006-02-27,3787200
2006-02-28,5960700
2006-03-01,5211600
2006-03-02,4418800
2006-03-03,4354400
2006-03-06,4709500
2006-03-07,4330800
2006-03-08,5570000
2006-03-09,4310700
2006-03-10,4787200
2006-03-13,4571400
2006-03-14,4532700
2006-03-15,5370400
2006-03-16,4299500
2006-03-17,6414500
2006-03-20,3870300
2006-03-21,7404300
2006-03-22,4968600
2006-03-23,5105800
2006-03-24,4198800
2006-03-27,3910100
2006-03-28,4508800
2006-03-29,4633800
2006-03-30,4467000
2006-03-31,5862000
2006-04-03,4121600
2006-04-04,3856200
2006-04-05,5523900
2006-04-06,4944100
2006-04-07,5338300
2006-04-10,3631300
2006-04-11,5959700
2006-04-12,3905700
2006-04-13,4799700
2006-04-17,4634200
2006-04-18,7919700
2006-04-19,10555200
2006-04-20,6237200
2006-04-21,6117400
2006-04-24,6604100
2006-04-25,6857400
2006-04-26,6649000
2006-04-27,8174300
2006-04-28,8201800
2006-05-01,6011400
2006-05-02,4337000
2006-05-03,5721100
2006-05-04,3966900
2006-05-05,4504700
2006-05-08,3913300
2006-05-09,4072800
2006-05-10,3430700
2006-05-11,5274500
2006-05-12,5685700
2006-05-15,5778500
2006-05-16,4456300
2006-05-17,5936400
2006-05-18,5443600
2006-05-19,7019100
2006-05-22,6275900
2006-05-23,5010300
2006-05-24,7389600
2006-05-25,3995200
2006-05-26,3580800
2006-05-30,5049100
2006-05-31,6385200
2006-06-01,4866500
2006-06-02,7233300
2006-06-05,5556000
2006-06-06,7250900
2006-06-07,7925300
2006-06-08,13476600
2006-06-09,6135400
2006-06-12,4925000
2006-06-13,7374200
2006-06-14,6038600
2006-06-15,6679800
2006-06-16,8133500
2006-06-19,5303100
2006-06-20,6124500
2006-06-21,5615900
2006-06-22,5569100
2006-06-23,4520600
2006-06-26,3448100
2006-06-27,5597000
2006-06-28,4392200
2006-06-29,5449200
2006-06-30,7918800
2006-07-03,3177300
2006-07-05,4048200
2006-07-06,4333100
2006-07-07,6642600
2006-07-10,7154700
2006-07-11,6086500
2006-07-12,8372100
2006-07-13,8754900
2006-07-14,6957800
2006-07-17,6823100
2006-07-18,8730600
2006-07-19,14536900
2006-07-20,12216500
2006-07-21,8372500
2006-07-24,5611200
2006-07-25,5580300
2006-07-26,3870100
2006-07-27,6439100
2006-07-28,4165700
2006-07-31,5393000
2006-08-01,4406800
2006-08-02,3283800
2006-08-03,2765800
2006-08-04,5062400
2006-08-07,4034200
2006-08-08,3794700
2006-08-09,4480800
2006-08-10,3213600
2006-08-11,3696100
2006-08-14,4997400
2006-08-15,5985400
2006-08-16,7387200
2006-08-17,5602300
2006-08-18,5399700
2006-08-21,3676500
2006-08-22,4057200
2006-08-23,3428500
2006-08-24,3473300
2006-08-25,3428100
2006-08-28,5259400
2006-08-29,5208500
2006-08-30,4439000
2006-08-31,3786200
2006-09-01,3294000
2006-09-05,3968500
2006-09-06,3727600
2006-09-07,3913600
2006-09-08,4498600
2006-09-11,4316200
2006-09-12,5722200
2006-09-13,4980200
2006-09-14,4265300
2006-09-15,8203800
2006-09-18,4417600
2006-09-19,5088700
2006-09-20,7524600
2006-09-21,8909000
2006-09-22,4350200
2006-09-25,5685100
2006-09-26,4918000
2006-09-27,5881600
2006-09-28,4593200
2006-09-29,4770700
2006-10-02,4483300
2006-10-03,4838500
2006-10-04,6231900
2006-10-05,4956700
2006-10-06,5340900
2006-10-09,4490200
2006-10-10,4713500
2006-10-11,5210600
2006-10-12,4661700
2006-10-13,7788600
2006-10-16,8633700
2006-10-17,13338000
2006-10-18,27876400
2006-10-19,10676400
2006-10-20,7391600
2006-10-23,8862300
2006-10-24,9222500
2006-10-25,6122100
2006-10-26,4990300
2006-10-27,5840300
2006-10-30,5594100
2006-10-31,9267600
2006-11-01,5846200
2006-11-02,4895200
2006-11-03,4509200
2006-11-06,6240900
2006-11-07,7305200
2006-11-08,6022200
2006-11-09,4518900
2006-11-10,5369600
2006-11-13,4359400
2006-11-14,5873000
2006-11-15,4172800
2006-11-16,4171500
2006-11-17,5251000
2006-11-20,5010600
2006-11-21,3068900
2006-11-22,3351700
2006-11-24,2130600
2006-11-27,6284000
2006-11-28,4962500
2006-11-29,4623000
2006-11-30,6470700
2006-12-01,5446700
2006-12-04,7511500
2006-12-05,6886200
2006-12-06,5949700
2006-12-07,4310800
2006-12-08,4140700
2006-12-11,3459200
2006-12-12,7799300
2006-12-13,6441300
2006-12-14,4644200
2006-12-15,8086700
2006-12-18,7984900
2006-12-19,4933400
2006-12-20,3713200
2006-12-21,4406200
2006-12-22,3031500
2006-12-26,2278700
2006-12-27,4571800
2006-12-28,4501900
2006-12-29,4455900
2007-01-03,9199500
2007-01-04,10557200
2007-01-05,7222900
2007-01-08,10340100
2007-01-09,11108900
2007-01-10,8744900
2007-01-11,8000800
2007-01-12,6636600
2007-01-16,9602200
2007-01-17,8202100
2007-01-18,14725000
2007-01-19,26036800
2007-01-22,13540700
2007-01-23,10337400
2007-01-24,5700000
2007-01-25,6231300
2007-01-26,5771200
2007-01-29,7295000
2007-01-30,7178000
2007-01-31,6447300
2007-02-01,6612400
2007-02-02,6657000
2007-02-05,8309900
2007-02-06,6532800
2007-02-07,7698200
2007-02-08,6152300
2007-02-09,6101300
2007-02-12,5331043
2007-02-13,5703015
2007-02-14,5644733
2007-02-15,5568600
2007-02-16,4800700
2007-02-20,4124200
2007-02-21,4302400
2007-02-22,5902500
2007-02-23,6357000
2007-02-26,5923691
2007-02-27,12071500
2007-02-28,12191600
2007-03-01,12865732
2007-03-02,9451500
2007-03-05,10334713
2007-03-06,9184500
2007-03-07,10269300
2007-03-08,7404500
2007-03-09,6333100
2007-03-12,5531300
2007-03-13,7539100
2007-03-14,8714065
2007-03-15,5910149
2007-03-16,8733050
2007-03-19,4568062
2007-03-20,4560000
2007-03-21,7665695
2007-03-22,5993550
2007-03-23,4412483
2007-03-26,6729345
2007-03-27,4695800
2007-03-28,8128557
2007-03-29,6851600
2007-03-30,7638050
2007-04-02,5883700
2007-04-03,5730800
2007-04-04,4277725
2007-04-05,3307100
2007-04-09,4850581
2007-04-10,3596400
2007-04-11,5940774
2007-04-12,7085294
2007-04-13,6027883
2007-04-16,6865100
2007-04-17,10271833
2007-04-18,15871734
2007-04-19,9446948
2007-04-20,9340296
2007-04-23,7247500
2007-04-24,21494578
2007-04-25,14827675
2007-04-26,8615188
2007-04-27,6141359
2007-04-30,10050699
2007-05-01,8672146
2007-05-02,7045178
2007-05-03,7318750
2007-05-04,5469734
2007-05-07,5620878
2007-05-08,5972400
2007-05-09,8408086
2007-05-10,8959800
2007-05-11,6026250
2007-05-14,5732600
2007-05-15,6104300
2007-05-16,5613508
2007-05-17,7720700
2007-05-18,9857500
2007-05-21,7534802
2007-05-22,5314320
2007-05-23,4396825
2007-05-24,6927000
2007-05-25,6123000
2007-05-29,5420700
2007-05-30,7401100
2007-05-31,5106300
2007-06-01,5289190
2007-06-04,4573470
2007-06-05,5247000
2007-06-06,30774276
2007-06-07,14389421
2007-06-08,8223300
2007-06-11,7903004
2007-06-12,5578530
2007-06-13,6438338
2007-06-14,5166300
2007-06-15,9432708
2007-06-18,6373424
2007-06-19,5768300
2007-06-20,6542010
2007-06-21,5587800
2007-06-22,10822600
2007-06-25,8477800
2007-06-26,5229600
2007-06-27,5403900
2007-06-28,5430900
2007-06-29,7018355
2007-07-02,4702454
2007-07-03,4220100
2007-07-05,6671400
2007-07-06,8977138
2007-07-09,6046268
2007-07-10,6209300
2007-07-11,5889600
2007-07-12,9544093
2007-07-13,7124067
2007-07-16,8866296
2007-07-17,7619829
2007-07-18,10154029
2007-07-19,17284009
2007-07-20,11706300
2007-07-23,8043200
2007-07-24,10499791
2007-07-25,11342618
2007-07-26,16880753
2007-07-27,18138635
2007-07-30,15096604
2007-07-31,17816454
2007-08-01,12390245
2007-08-02,11322857
2007-08-03,9571245
2007-08-06,7245595
2007-08-07,8022621
2007-08-08,7681519
2007-08-09,9086785
2007-08-10,9592142
2007-08-13,6135600
2007-08-14,5615443
2007-08-15,11640523
2007-08-16,16723398
2007-08-17,15277058
2007-08-20,9840612
2007-08-21,8458500
2007-08-22,6330400
2007-08-23,8271000
2007-08-24,7058700
2007-08-27,4921802
2007-08-28,6006667
2007-08-29,7050800
2007-08-30,7756100
2007-08-31,6884700
2007-09-04,8071653
2007-09-05,6555500
2007-09-06,6778614
2007-09-07,7511650
2007-09-10,6120700
2007-09-11,8098700
2007-09-12,6289315
2007-09-13,4802729
2007-09-14,6904373
2007-09-17,5022334
2007-09-18,7839600
2007-09-19,10311134
2007-09-20,5807863
2007-09-21,9097300
2007-09-24,5734283
2007-09-25,7045116
2007-09-26,6695800
2007-09-27,5836800
2007-09-28,7720200
2007-10-01,6778700
2007-10-02,6912187
2007-10-03,7916471
2007-10-04,6178181
2007-10-05,5749327
2007-10-08,4823300
2007-10-09,5670591
2007-10-10,5913800
2007-10-11,13018900
2007-10-12,5657396
2007-10-15,6271899
2007-10-16,11527300
2007-10-17,18100500
2007-10-18,7737110
2007-10-19,10327810
2007-10-22,7576895
2007-10-23,5563200
2007-10-24,8072700
2007-10-25,6519830
2007-10-26,5030300
2007-10-29,5103300
2007-10-30,4016300
2007-10-31,7217155
2007-11-01,7594402
2007-11-02,6114900
2007-11-05,7159407
2007-11-06,7299701
2007-11-07,7088284
2007-11-08,23092568
2007-11-09,18084552
2007-11-12,13554259
2007-11-13,10777961
2007-11-14,8479078
2007-11-15,8380171
2007-11-16,9294034
2007-11-19,9504656
2007-11-20,8393339
2007-11-21,7097131
2007-11-23,2827667
2007-11-26,7339966
2007-11-27,9117409
2007-11-28,9397627
2007-11-29,7813802
2007-11-30,12900375
2007-12-03,7929711
2007-12-04,6361726
2007-12-05,6090340
2007-12-06,5315645
2007-12-07,5985432
2007-12-10,4442167
2007-12-11,8441444
2007-12-12,7879853
2007-12-13,6252789
2007-12-14,9711145
2007-12-17,7131214
2007-12-18,8042727
2007-12-19,7032962
2007-12-20,8031009
2007-12-21,13265799
2007-12-24,2342363
2007-12-26,3849396
2007-12-27,4514761
2007-12-28,5834434
2007-12-31,5732866
2008-01-02,9503410
2008-01-03,7529206
2008-01-04,11034849
2008-01-07,12650525
2008-01-08,9434330
2008-01-09,10922994
2008-01-10,10634722
2008-01-11,8959860
2008-01-14,18009609
2008-01-15,11636336
2008-01-16,13031715
2008-01-17,11649716
2008-01-18,23871652
2008-01-22,15133331
2008-01-23,19588039
2008-01-24,13026801
2008-01-25,10102004
2008-01-28,7858457
2008-01-29,6616236
2008-01-30,7432496
2008-01-31,9057402
2008-02-01,8047060
2008-02-04,5985430
2008-02-05,9048942
2008-02-06,8270491
2008-02-07,11255881
2008-02-08,6085594
2008-02-11,6098285
2008-02-12,7650154
2008-02-13,6608578
2008-02-14,7340533
2008-02-15,6235628
2008-02-19,7377013
2008-02-20,7672837
2008-02-21,8328127
2008-02-22,7917196
2008-02-25,8158154
2008-02-26,18651706
2008-02-27,11855097
2008-02-28,7227169
2008-02-29,8475527
2008-03-03,6335786
2008-03-04,8593688
2008-03-05,8434891
2008-03-06,8018329
2008-03-07,8124883
2008-03-10,9895785
2008-03-11,10992406
2008-03-12,9083711
2008-03-13,9548828
2008-03-14,9734628
2008-03-17,9281092
2008-03-18,9967661
2008-03-19,9314339
2008-03-20,11417866
2008-03-24,8398344
2008-03-25,8443863
2008-03-26,9617148
2008-03-27,8437345
2008-03-28,6600901
2008-03-31,9714674
2008-04-01,11877038
2008-04-02,8044183
2008-04-03,7052875
2008-04-04,5733145
2008-04-07,6181189
2008-04-08,7283457
2008-04-09,6819018
2008-04-10,9149394
2008-04-11,9561275
2008-04-14,7750847
2008-04-15,8643796
2008-04-16,19317687
2008-04-17,19002761
2008-04-18,12492853
2008-04-21,6953989
2008-04-22,5417499
2008-04-23,7593274
2008-04-24,5996805
2008-04-25,6316517
2008-04-28,5608477
2008-04-29,7226458
2008-04-30,8130102
2008-05-01,8230753
2008-05-02,6916601
2008-05-05,6360332
2008-05-06,5910368
2008-05-07,11406753
2008-05-08,9793931
2008-05-09,5502095
2008-05-12,8670419
2008-05-13,9693364
2008-05-14,8889067
2008-05-15,7227965
2008-05-16,6372012
2008-05-19,6385449
2008-05-20,7017688
2008-05-21,8334760
2008-05-22,5031339
2008-05-23,4701489
2008-05-27,6989563
2008-05-28,9875570
2008-05-29,7561600
2008-05-30,8652886
2008-06-02,7599265
2008-06-03,7238549
2008-06-04,6432440
2008-06-05,6153767
2008-06-06,7886166
2008-06-09,5584925
2008-06-10,5384115
2008-06-11,7207672
2008-06-12,6748543
2008-06-13,6379729
2008-06-16,6280951
2008-06-17,5278080
2008-06-18,6614626
2008-06-19,7570333
2008-06-20,9624839
2008-06-23,5862919
2008-06-24,7553093
2008-06-25,7134982
2008-06-26,9710506
2008-06-27,11660356
2008-06-30,8444030
2008-07-01,10070580
2008-07-02,8094084
2008-07-03,6117601
2008-07-07,9131139
2008-07-08,9813737
2008-07-09,9506613
2008-07-10,10053506
2008-07-11,8843936
2008-07-14,8317305
2008-07-15,10713953
2008-07-16,9899553
2008-07-17,12304108
2008-07-18,18317944
2008-07-21,7780118
2008-07-22,11428578
2008-07-23,10230584
2008-07-24,8946618
2008-07-25,7565625
2008-07-28,6096738
2008-07-29,5980858
2008-07-30,5826411
2008-07-31,5857259
2008-08-01,4939828
2008-08-04,5994860
2008-08-05,6969898
2008-08-06,6254097
2008-08-07,6633491
2008-08-08,8561734
2008-08-11,7490435
2008-08-12,7000919
2008-08-13,5857792
2008-08-14,6813232
2008-08-15,5566474
2008-08-18,5969928
2008-08-19,9313594
2008-08-20,6871751
2008-08-21,6314975
2008-08-22,5989190
2008-08-25,5827382
2008-08-26,6218163
2008-08-27,5845404
2008-08-28,5448139
2008-08-29,7156221
2008-09-02,11764494
2008-09-03,11317003
2008-09-04,10134093
2008-09-05,8813693
2008-09-08,10454241
