time_captured,AMZN_Volume
2006-01-03,7582127
2006-01-04,7440914
2006-01-05,5417258
2006-01-06,6154285
2006-01-09,8945056
2006-01-10,9686957
2006-01-11,8497383
2006-01-12,5818301
2006-01-13,4432237
2006-01-17,5635225
2006-01-18,8744464
2006-01-19,5156990
2006-01-20,8344332
2006-01-23,5752811
2006-01-24,4342401
2006-01-25,4287595
2006-01-26,4890969
2006-01-27,4174089
2006-01-30,4099826
2006-01-31,4056024
2006-02-01,7501585
2006-02-02,23739052
2006-02-03,33532893
2006-02-06,8503296
2006-02-07,7404668
2006-02-08,7544646
2006-02-09,6932766
2006-02-10,5011791
2006-02-13,4750381
2006-02-14,4514262
2006-02-15,6902712
2006-02-16,5685345
2006-02-17,4581764
2006-02-21,5056134
2006-02-22,7357544
2006-02-23,9287561
2006-02-24,3720719
2006-02-27,4449169
2006-02-28,9151537
2006-03-01,6982125
2006-03-02,11584724
2006-03-03,6044967
2006-03-06,4258307
2006-03-07,4722841
2006-03-08,6237141
2006-03-09,7200162
2006-03-10,4973080
2006-03-13,3278041
2006-03-14,4185116
2006-03-15,2801857
2006-03-16,4822824
2006-03-17,6887708
2006-03-20,6170820
2006-03-21,6671525
2006-03-22,4301878
2006-03-23,4044958
2006-03-24,3682196
2006-03-27,3709692
2006-03-28,5727286
2006-03-29,7199118
2006-03-30,4049201
2006-03-31,2658059
2006-04-03,5053955
2006-04-04,3717817
2006-04-05,5560520
2006-04-06,9294509
2006-04-07,5720387
2006-04-10,4748570
2006-04-11,6605605
2006-04-12,2855821
2006-04-13,3715110
2006-04-17,4442242
2006-04-18,4595703
2006-04-19,4281987
2006-04-20,5387529
2006-04-21,4423517
2006-04-24,3088138
2006-04-25,12818222
2006-04-26,11072021
2006-04-27,5935143
2006-04-28,3493328
2006-05-01,7073876
2006-05-02,5857603
2006-05-03,7586980
2006-05-04,5997905
2006-05-05,5741843
2006-05-08,4237741
2006-05-09,5485645
2006-05-10,3301663
2006-05-11,7695946
2006-05-12,4875410
2006-05-15,4310774
2006-05-16,3883938
2006-05-17,6831048
2006-05-18,12027138
2006-05-19,9818199
2006-05-22,11125574
2006-05-23,8824837
2006-05-24,9543080
2006-05-25,5845651
2006-05-26,4524371
2006-05-30,5920714
2006-05-31,5196652
2006-06-01,5932199
2006-06-02,5443181
2006-06-05,5049455
2006-06-06,4276635
2006-06-07,5304990
2006-06-08,8311012
2006-06-09,5232819
2006-06-12,4196651
2006-06-13,5403036
2006-06-14,4869169
2006-06-15,6206578
2006-06-16,5135807
2006-06-19,4211672
2006-06-20,4465573
2006-06-21,7871031
2006-06-22,4750201
2006-06-23,3923367
2006-06-26,3605748
2006-06-27,5640976
2006-06-28,3753209
2006-06-29,6372610
2006-06-30,5197000
2006-07-03,1436347
2006-07-05,5735161
2006-07-06,4372714
2006-07-07,5004119
2006-07-10,3876738
2006-07-11,6089673
2006-07-12,4894660
2006-07-13,6455417
2006-07-14,8094789
2006-07-17,7233541
2006-07-18,5219272
2006-07-19,8866617
2006-07-20,5836931
2006-07-21,7136581
2006-07-24,7386482
2006-07-25,17997789
2006-07-26,76989454
2006-07-27,26393831
2006-07-28,12422847
2006-07-31,8076258
2006-08-01,13562592
2006-08-02,7813074
2006-08-03,6943928
2006-08-04,10252675
2006-08-07,5476963
2006-08-08,7266790
2006-08-09,6911202
2006-08-10,6405609
2006-08-11,5115908
2006-08-14,5128017
2006-08-15,8201687
2006-08-16,7636692
2006-08-17,9577536
2006-08-18,5998658
2006-08-21,5335129
2006-08-22,4587382
2006-08-23,4727021
2006-08-24,4517284
2006-08-25,3542541
2006-08-28,6067435
2006-08-29,7398633
2006-08-30,11306220
2006-08-31,5966833
2006-09-01,6563739
2006-09-05,7468441
2006-09-06,9115301
2006-09-07,8903002
2006-09-08,5227146
2006-09-11,7403880
2006-09-12,6533399
2006-09-13,4373204
2006-09-14,3705760
2006-09-15,10309521
2006-09-18,5123102
2006-09-19,8572558
2006-09-20,8548900
2006-09-21,15555067
2006-09-22,7249225
2006-09-25,6623616
2006-09-26,6602109
2006-09-27,5479812
2006-09-28,7499585
2006-09-29,5227352
2006-10-02,6817083
2006-10-03,8034079
2006-10-04,7066222
2006-10-05,8458629
2006-10-06,4219177
2006-10-09,5289313
2006-10-10,6346487
2006-10-11,6730040
2006-10-12,5991778
2006-10-13,4068324
2006-10-16,6770064
2006-10-17,6635707
2006-10-18,5349351
2006-10-19,4049219
2006-10-20,5839387
2006-10-23,8059332
2006-10-24,23433147
2006-10-25,46687033
2006-10-26,17085937
2006-10-27,9953364
2006-10-30,6882817
2006-10-31,6216172
2006-11-01,7066215
2006-11-02,5447319
2006-11-03,5124276
2006-11-06,4550217
2006-11-07,7747525
2006-11-08,8168793
2006-11-09,5810388
2006-11-10,4511140
2006-11-13,6948508
2006-11-14,10953592
2006-11-15,13559897
2006-11-16,10686985
2006-11-17,6539118
2006-11-20,5796486
2006-11-21,6984509
2006-11-22,4535758
2006-11-24,2244326
2006-11-27,8974367
2006-11-28,7106025
2006-11-29,7854837
2006-11-30,6346303
2006-12-01,8307165
2006-12-04,9724662
2006-12-05,5738721
2006-12-06,5779600
