time_captured,KO_Volume
2006-01-03,13640800
2006-01-04,19993200
2006-01-05,16613400
2006-01-06,17122800
2006-01-09,13819800
2006-01-10,13849800
2006-01-11,10591600
2006-01-12,17086000
2006-01-13,10548400
2006-01-17,11574000
2006-01-18,12945200
2006-01-19,10907600
2006-01-20,18972400
2006-01-23,13234200
2006-01-24,15888400
2006-01-25,13699000
2006-01-26,14573200
2006-01-27,13646400
2006-01-30,12143400
2006-01-31,13115000
2006-02-01,12963400
2006-02-02,12468400
2006-02-03,12538000
2006-02-06,13500600
2006-02-07,20575400
2006-02-08,18186000
2006-02-09,15045200
2006-02-10,12782000
2006-02-13,11791600
2006-02-14,14049800
2006-02-15,13561600
2006-02-16,14381400
2006-02-17,14525200
2006-02-21,20793200
2006-02-22,11821200
2006-02-23,9523400
2006-02-24,10691400
2006-02-27,13200000
2006-02-28,16189400
2006-03-01,11066800
2006-03-02,11537800
2006-03-03,10586800
2006-03-06,10945800
2006-03-07,11242600
2006-03-08,13843800
2006-03-09,13296600
2006-03-10,15399000
2006-03-13,13502200
2006-03-14,11418800
2006-03-15,12805400
2006-03-16,14209000
2006-03-17,16509200
2006-03-20,11851600
2006-03-21,14625800
2006-03-22,16481600
2006-03-23,12053200
2006-03-24,9725200
2006-03-27,9339200
2006-03-28,10910400
2006-03-29,8702200
2006-03-30,13586200
2006-03-31,14535800
2006-04-03,11291600
2006-04-04,9258000
2006-04-05,13148800
2006-04-06,10988400
2006-04-07,11897200
2006-04-10,7730600
2006-04-11,11085200
2006-04-12,10011800
2006-04-13,9029000
2006-04-17,9270800
2006-04-18,11528400
2006-04-19,16677600
2006-04-20,12246600
2006-04-21,13110600
2006-04-24,12466400
2006-04-25,12600800
2006-04-26,12248600
2006-04-27,13386000
2006-04-28,11529400
2006-05-01,13265600
2006-05-02,10551400
2006-05-03,14313200
2006-05-04,13301800
2006-05-05,18958000
2006-05-08,27358400
2006-05-09,13989600
2006-05-10,14902400
2006-05-11,16969400
2006-05-12,14767800
2006-05-15,18626600
2006-05-16,16980000
2006-05-17,19864600
2006-05-18,15375800
2006-05-19,16014600
2006-05-22,15714200
2006-05-23,13723000
2006-05-24,20534800
2006-05-25,14125400
2006-05-26,12337000
2006-05-30,16652400
2006-05-31,14599800
2006-06-01,9973400
2006-06-02,12120400
2006-06-05,11428600
2006-06-06,16578600
2006-06-07,11579400
2006-06-08,23080400
2006-06-09,13947800
2006-06-12,13990800
2006-06-13,18118600
2006-06-14,12402600
2006-06-15,14639400
2006-06-16,16754800
2006-06-19,11684600
2006-06-20,11306000
2006-06-21,9266400
2006-06-22,8048600
2006-06-23,7681400
2006-06-26,9625600
2006-06-27,12008800
2006-06-28,10224600
2006-06-29,14379800
2006-06-30,22582200
2006-07-03,5875600
2006-07-05,11838800
2006-07-06,10246000
2006-07-07,5874000
2006-07-10,9588800
2006-07-11,15525400
2006-07-12,8300400
2006-07-13,12870400
2006-07-14,13775200
2006-07-17,11196200
2006-07-18,23952200
2006-07-19,16157400
2006-07-20,10663000
2006-07-21,18400200
2006-07-24,11459200
2006-07-25,10983800
2006-07-26,16632800
2006-07-27,12820000
2006-07-28,12831000
2006-07-31,12866200
2006-08-01,9094400
2006-08-02,9120600
2006-08-03,11378000
2006-08-04,9781800
2006-08-07,10029400
2006-08-08,8162800
2006-08-09,7720200
2006-08-10,8430600
2006-08-11,5677400
2006-08-14,8528800
2006-08-15,9501200
2006-08-16,9839400
2006-08-17,9517200
2006-08-18,9963200
2006-08-21,8328400
2006-08-22,8017800
2006-08-23,7568600
2006-08-24,10326200
2006-08-25,5025800
2006-08-28,8918600
2006-08-29,14100000
2006-08-30,12119200
2006-08-31,7306800
2006-09-01,7852000
2006-09-05,8145000
2006-09-06,9858000
2006-09-07,14780600
2006-09-08,8646200
2006-09-11,8998400
2006-09-12,10300800
2006-09-13,10795800
2006-09-14,8046600
2006-09-15,15846400
2006-09-18,8969000
2006-09-19,8292600
2006-09-20,8288200
2006-09-21,12089600
2006-09-22,9691600
2006-09-25,12607800
2006-09-26,10612600
2006-09-27,11340200
2006-09-28,9709000
2006-09-29,9214800
2006-10-02,9450600
2006-10-03,10755000
2006-10-04,10243000
2006-10-05,8950200
2006-10-06,10106200
2006-10-09,15335800
2006-10-10,25847200
2006-10-11,10413000
2006-10-12,11043000
2006-10-13,16628600
2006-10-16,14571000
2006-10-17,16209800
2006-10-18,20174200
2006-10-19,35325000
2006-10-20,53629000
2006-10-23,30265600
2006-10-24,20932200
2006-10-25,14119400
2006-10-26,18013600
2006-10-27,13495800
2006-10-30,10974000
2006-10-31,12162200
2006-11-01,10464600
2006-11-02,15476800
2006-11-03,11944600
2006-11-06,18737400
2006-11-07,16346000
2006-11-08,14765000
2006-11-09,16079600
2006-11-10,9880800
2006-11-13,13673200
