time_captured,NKE_Volume
2006-01-03,18468800
2006-01-04,15832000
2006-01-05,9256000
2006-01-06,7573600
2006-01-09,10441600
2006-01-10,11837600
2006-01-11,10372800
2006-01-12,11159200
2006-01-13,9612000
2006-01-17,11075200
2006-01-18,9202400
2006-01-19,8888800
2006-01-20,16132000
2006-01-23,38273600
2006-01-24,16800000
2006-01-25,10268800
2006-01-26,15965600
2006-01-27,17025600
2006-01-30,78979200
2006-01-31,20348000
2006-02-01,35525600
2006-02-02,20464800
2006-02-03,15826400
2006-02-06,19246400
2006-02-07,10368800
2006-02-08,18636800
2006-02-09,9232800
2006-02-10,10339200
2006-02-13,9512800
2006-02-14,11758400
2006-02-15,9453600
2006-02-16,6254400
2006-02-17,8001600
2006-02-21,8744000
2006-02-22,12035200
2006-02-23,10108000
2006-02-24,11014400
2006-02-27,7179200
2006-02-28,18676000
2006-03-01,10713600
2006-03-02,13876000
2006-03-03,8387200
2006-03-06,14712800
2006-03-07,24400000
2006-03-08,19901600
2006-03-09,11776000
2006-03-10,9075200
2006-03-13,9057600
2006-03-14,8360000
2006-03-15,11728000
2006-03-16,12339200
2006-03-17,11220800
2006-03-20,15207200
2006-03-21,19258400
2006-03-22,38750400
2006-03-23,23581600
2006-03-24,12403200
2006-03-27,8194400
2006-03-28,8464000
2006-03-29,6694400
2006-03-30,11872000
2006-03-31,8536800
2006-04-03,11781600
2006-04-04,7724000
2006-04-05,7793600
2006-04-06,11317600
2006-04-07,10429600
2006-04-10,10723200
2006-04-11,10032000
2006-04-12,11932800
2006-04-13,13517600
2006-04-17,16674400
2006-04-18,17185600
2006-04-19,9879200
2006-04-20,7444800
2006-04-21,9226400
2006-04-24,11511200
2006-04-25,9820000
2006-04-26,12480000
2006-04-27,10345600
2006-04-28,6699200
2006-05-01,9552800
2006-05-02,7672800
2006-05-03,11987200
2006-05-04,8754400
2006-05-05,6836000
2006-05-08,7833600
2006-05-09,6925600
2006-05-10,7316000
2006-05-11,8680000
2006-05-12,10314400
2006-05-15,9813600
2006-05-16,12880000
2006-05-17,15206400
2006-05-18,11856800
2006-05-19,31140800
2006-05-22,23106400
2006-05-23,26717600
2006-05-24,13388000
2006-05-25,6053600
2006-05-26,12584800
2006-05-30,7715200
2006-05-31,10692000
2006-06-01,11068000
2006-06-02,10720800
2006-06-05,14556800
2006-06-06,9316800
2006-06-07,18972000
2006-06-08,13960800
2006-06-09,6504800
2006-06-12,11844000
2006-06-13,11980000
2006-06-14,13356000
2006-06-15,13504800
2006-06-16,8332800
2006-06-19,10402400
2006-06-20,13354400
2006-06-21,11139200
2006-06-22,13156800
2006-06-23,11575200
2006-06-26,8483200
2006-06-27,14756800
2006-06-28,68290400
2006-06-29,20777600
2006-06-30,10331200
2006-07-03,4727200
2006-07-05,18497600
2006-07-06,15312000
2006-07-07,15615200
2006-07-10,9697600
2006-07-11,11295200
2006-07-12,18676800
2006-07-13,14193600
2006-07-14,19474400
2006-07-17,18280000
2006-07-18,26272800
2006-07-19,23887200
2006-07-20,19197600
2006-07-21,19664800
2006-07-24,14479200
2006-07-25,14226400
2006-07-26,12033600
2006-07-27,11748800
2006-07-28,13740800
2006-07-31,14180800
2006-08-01,17888800
2006-08-02,26112800
2006-08-03,31386400
2006-08-04,17887200
2006-08-07,19957600
2006-08-08,16034400
2006-08-09,14115200
2006-08-10,21132800
2006-08-11,21436800
2006-08-14,13384000
2006-08-15,20831200
2006-08-16,25273600
2006-08-17,20446400
2006-08-18,17783200
2006-08-21,9718400
2006-08-22,11890400
2006-08-23,11848800
2006-08-24,12147200
2006-08-25,12555200
2006-08-28,13697600
2006-08-29,24609600
2006-08-30,25898400
2006-08-31,15069600
2006-09-01,14891200
2006-09-05,14392800
2006-09-06,11811200
2006-09-07,13287200
2006-09-08,16472000
2006-09-11,13384800
2006-09-12,22070400
2006-09-13,30132800
2006-09-14,19131200
2006-09-15,18136800
2006-09-18,19940800
2006-09-19,24771200
2006-09-20,27616800
2006-09-21,28671200
2006-09-22,61566400
2006-09-25,28031200
2006-09-26,33953600
2006-09-27,30388000
2006-09-28,10926400
2006-09-29,11379200
2006-10-02,9556800
2006-10-03,11223200
2006-10-04,18701600
2006-10-05,13629600
2006-10-06,12823200
2006-10-09,7760800
2006-10-10,9226400
2006-10-11,7115200
2006-10-12,16012800
2006-10-13,8913600
2006-10-16,12733600
2006-10-17,11596000
2006-10-18,14620800
2006-10-19,6892000
2006-10-20,9458400
2006-10-23,9538400
2006-10-24,11481600
2006-10-25,22471200
2006-10-26,16076000
2006-10-27,11157600
2006-10-30,10457600
2006-10-31,9246400
2006-11-01,14890400
2006-11-02,16651200
2006-11-03,11793600
2006-11-06,11483200
2006-11-07,14104800
2006-11-08,8949600
2006-11-09,9478400
2006-11-10,8728000
2006-11-13,11998400
2006-11-14,7215200
2006-11-15,13675200
2006-11-16,6719200
2006-11-17,10045600
2006-11-20,9708800
2006-11-21,7824000
2006-11-22,4570400
2006-11-24,5413600
2006-11-27,8764000
2006-11-28,7517600
2006-11-29,7023200
2006-11-30,17116800
2006-12-01,13722400
2006-12-04,13048000
2006-12-05,14239200
2006-12-06,14532800
2006-12-07,7474400
2006-12-08,8344800
2006-12-11,14856000
2006-12-12,13992000
2006-12-13,14917600
2006-12-14,11707200
2006-12-15,10960800
2006-12-18,8676000
2006-12-19,13292000
2006-12-20,28552800
2006-12-21,34651200
2006-12-22,9952000
2006-12-26,6452800
2006-12-27,6652800
2006-12-28,6076000
2006-12-29,6665600
2007-01-03,17299200
2007-01-04,15085600
2007-01-05,14996800
2007-01-08,10109600
2007-01-09,15167200
2007-01-10,13012800
2007-01-11,14316000
2007-01-12,9296800
2007-01-16,9264800
2007-01-17,10762400
2007-01-18,16351200
2007-01-19,11123200
2007-01-22,19514400
2007-01-23,13594400
2007-01-24,8871200
2007-01-25,10141600
2007-01-26,10981600
2007-01-29,16308000
2007-01-30,19752800
2007-01-31,17216800
2007-02-01,24736800
2007-02-02,10944000
2007-02-05,11786400
2007-02-06,11491200
2007-02-07,20092000
2007-02-08,15504000
2007-02-09,16579200
2007-02-12,20029472
2007-02-13,18204360
2007-02-14,13357624
2007-02-15,11341600
2007-02-16,15173600
2007-02-20,14660800
2007-02-21,11065600
2007-02-22,11451200
2007-02-23,7232000
2007-02-26,13248856
2007-02-27,18844000
2007-02-28,17872000
2007-03-01,16936880
2007-03-02,11324800
2007-03-05,11975200
2007-03-06,12863200
2007-03-07,18890320
2007-03-08,12782400
2007-03-09,10588800
2007-03-12,8794400
2007-03-13,11155200
2007-03-14,13520800
2007-03-15,11751200
2007-03-16,19292800
2007-03-19,11548800
2007-03-20,8747200
2007-03-21,15316416
2007-03-22,25697600
2007-03-23,35018248
2007-03-26,11599480
2007-03-27,17855200
2007-03-28,18037600
2007-03-29,13173600
2007-03-30,12464800
2007-04-02,9031200
2007-04-03,10764800
2007-04-04,11908400
2007-04-05,9134000
2007-04-09,11630800
2007-04-10,13752000
2007-04-11,10686488
2007-04-12,8052400
2007-04-13,8572800
2007-04-16,9806400
2007-04-17,8610000
2007-04-18,8291600
2007-04-19,9158840
2007-04-20,14458000
2007-04-23,9939200
2007-04-24,9717200
2007-04-25,9505480
2007-04-26,12355200
2007-04-27,7848360
2007-04-30,10242572
2007-05-01,12098800
2007-05-02,9485200
2007-05-03,5989200
2007-05-04,7687200
2007-05-07,10214816
2007-05-08,10196400
2007-05-09,12282272
2007-05-10,10914400
2007-05-11,13996800
2007-05-14,14686400
2007-05-15,13916000
2007-05-16,10677440
2007-05-17,8446500
2007-05-18,9664888
2007-05-21,16391760
2007-05-22,15042000
2007-05-23,8990800
2007-05-24,11262404
2007-05-25,9115200
2007-05-29,12687764
2007-05-30,14638800
2007-05-31,21175600
2007-06-01,16765200
2007-06-04,9418400
2007-06-05,12096000
2007-06-06,16855560
2007-06-07,26093600
2007-06-08,35568704
2007-06-11,20000064
2007-06-12,23488304
2007-06-13,12826000
2007-06-14,16084360
2007-06-15,12562400
2007-06-18,7524000
2007-06-19,12092000
2007-06-20,10204800
2007-06-21,11491400
2007-06-22,15773200
2007-06-25,19765996
2007-06-26,21800400
2007-06-27,56502984
2007-06-28,20503416
2007-06-29,11669600
2007-07-02,14157828
2007-07-03,9467200
2007-07-05,12194632
2007-07-06,8476080
2007-07-09,10976472
2007-07-10,11587600
2007-07-11,15405200
2007-07-12,12102000
2007-07-13,8435200
2007-07-16,8343600
2007-07-17,12642400
2007-07-18,14374200
2007-07-19,16358800
2007-07-20,19228412
2007-07-23,14269600
2007-07-24,19211416
2007-07-25,18154568
2007-07-26,34760868
2007-07-27,21394840
2007-07-30,18933460
2007-07-31,19502724
2007-08-01,24377160
2007-08-02,13747444
2007-08-03,17859200
2007-08-06,14806000
2007-08-07,15945228
2007-08-08,18205600
2007-08-09,34845576
2007-08-10,22112948
2007-08-13,14322400
2007-08-14,12666800
2007-08-15,13448884
2007-08-16,17456120
2007-08-17,12576800
2007-08-20,13122000
2007-08-21,10607200
2007-08-22,14485200
2007-08-23,9080800
2007-08-24,7920800
2007-08-27,7053400
2007-08-28,18553600
2007-08-29,11531600
2007-08-30,9425200
2007-08-31,12354800
2007-09-04,13048000
2007-09-05,9819600
2007-09-06,9376800
2007-09-07,10242928
2007-09-10,8439600
2007-09-11,6804800
2007-09-12,9981200
2007-09-13,8672180
2007-09-14,9575600
2007-09-17,18174800
2007-09-18,18737200
2007-09-19,25739280
2007-09-20,16824000
2007-09-21,41142080
2007-09-24,24655336
2007-09-25,22343200
2007-09-26,10460796
2007-09-27,14309600
2007-09-28,12752800
2007-10-01,16150800
2007-10-02,9663200
2007-10-03,12736400
2007-10-04,10562000
2007-10-05,16045600
2007-10-08,7972400
2007-10-09,23422000
2007-10-10,17946000
2007-10-11,23566000
2007-10-12,21796040
2007-10-15,19207600
2007-10-16,17908000
2007-10-17,13084000
2007-10-18,8748400
2007-10-19,18352000
2007-10-22,17367200
2007-10-23,15898000
2007-10-24,19608800
2007-10-25,19069600
2007-10-26,14576800
2007-10-29,9694400
2007-10-30,8095200
2007-10-31,11764400
2007-11-01,12705600
2007-11-02,9771200
2007-11-05,10694624
2007-11-06,9244252
2007-11-07,11726668
2007-11-08,15633176
2007-11-09,12809300
2007-11-12,16968192
2007-11-13,12602716
2007-11-14,11415828
2007-11-15,8388940
2007-11-16,14151596
2007-11-19,12268448
2007-11-20,11240568
2007-11-21,9668588
2007-11-23,3479200
2007-11-26,7994252
2007-11-27,10461252
2007-11-28,14082660
2007-11-29,6916016
2007-11-30,10806692
2007-12-03,13298800
2007-12-04,14831840
2007-12-05,10892848
2007-12-06,10533400
2007-12-07,7061736
2007-12-10,7772772
2007-12-11,11172840
2007-12-12,13623740
2007-12-13,15991900
2007-12-14,9867200
2007-12-17,9237520
2007-12-18,13237992
2007-12-19,12203708
2007-12-20,25314144
2007-12-21,11972316
2007-12-24,5818144
2007-12-26,7419004
2007-12-27,8405632
2007-12-28,17604620
2007-12-31,7368744
2008-01-02,9781612
2008-01-03,10636232
2008-01-04,22335532
2008-01-07,20808636
2008-01-08,16714696
2008-01-09,23320428
2008-01-10,22925800
2008-01-11,22223480
2008-01-14,14272568
2008-01-15,28277944
2008-01-16,23447600
2008-01-17,17617992
2008-01-18,17035916
2008-01-22,22091148
2008-01-23,31090208
2008-01-24,21211344
2008-01-25,18719352
2008-01-28,10897644
2008-01-29,14389072
2008-01-30,22191548
2008-01-31,29711972
2008-02-01,16319940
2008-02-04,12340200
2008-02-05,14421820
2008-02-06,15425364
2008-02-07,15486436
2008-02-08,11468300
2008-02-11,10993800
2008-02-12,12473920
2008-02-13,13797704
2008-02-14,12611824
2008-02-15,10672764
2008-02-19,9343040
2008-02-20,9100960
2008-02-21,13146752
2008-02-22,13349488
2008-02-25,9977924
2008-02-26,10002816
2008-02-27,9118916
2008-02-28,8518192
2008-02-29,11806924
2008-03-03,10357264
2008-03-04,16664104
2008-03-05,11769424
2008-03-06,18622280
2008-03-07,17196920
2008-03-10,16182620
2008-03-11,14697484
2008-03-12,18241380
2008-03-13,19245984
2008-03-14,18881648
2008-03-17,18277120
2008-03-18,13801044
2008-03-19,20753824
2008-03-20,43300684
2008-03-24,29827672
2008-03-25,20459760
2008-03-26,20653976
2008-03-27,15341392
2008-03-28,21333480
2008-03-31,23122812
2008-04-01,18046964
2008-04-02,15547684
2008-04-03,12903796
2008-04-04,12564984
2008-04-07,13005972
2008-04-08,13129400
2008-04-09,12546772
2008-04-10,17466180
2008-04-11,13063988
2008-04-14,8822340
2008-04-15,9449888
2008-04-16,11082396
2008-04-17,13870476
2008-04-18,16033060
2008-04-21,14613820
2008-04-22,11544528
2008-04-23,14086328
2008-04-24,14331604
2008-04-25,12367356
2008-04-28,11620956
2008-04-29,10004644
2008-04-30,16749724
2008-05-01,12510484
2008-05-02,11914376
2008-05-05,8763944
2008-05-06,7839032
2008-05-07,10035020
2008-05-08,18050956
2008-05-09,9467424
2008-05-12,33614992
2008-05-13,15700820
2008-05-14,15339512
2008-05-15,11500780
2008-05-16,8302828
2008-05-19,9701104
2008-05-20,14901504
2008-05-21,11214552
