time_captured,CAT_High
2006-01-03,58.11
2006-01-04,59.43
2006-01-05,59.86
2006-01-06,60.76
2006-01-09,61.68
2006-01-10,61.52
2006-01-11,61.64
2006-01-12,62.66
2006-01-13,62.49
2006-01-17,63.15
2006-01-18,62.72
2006-01-19,63.0
2006-01-20,62.51
2006-01-23,61.44
2006-01-24,61.86
2006-01-25,63.25
2006-01-26,65.44
2006-01-27,68.37
2006-01-30,68.12
2006-01-31,68.17
2006-02-01,69.34
2006-02-02,69.1
2006-02-03,68.97
2006-02-06,68.82
2006-02-07,68.34
2006-02-08,68.89
2006-02-09,69.75
2006-02-10,68.87
2006-02-13,69.06
2006-02-14,70.41
2006-02-15,71.65
2006-02-16,72.0
2006-02-17,72.39
2006-02-21,72.79
2006-02-22,73.73
2006-02-23,73.09
2006-02-24,72.92
2006-02-27,73.99
2006-02-28,73.36
2006-03-01,74.94
2006-03-02,74.62
2006-03-03,75.5
2006-03-06,74.88
2006-03-07,74.02
2006-03-08,73.05
2006-03-09,72.52
2006-03-10,72.01
2006-03-13,71.75
2006-03-14,72.28
2006-03-15,74.7
2006-03-16,75.39
2006-03-17,76.35
2006-03-20,77.11
2006-03-21,76.27
2006-03-22,76.45
2006-03-23,77.21
2006-03-24,76.66
2006-03-27,76.16
2006-03-28,76.23
2006-03-29,73.98
2006-03-30,74.35
2006-03-31,72.46
2006-04-03,75.48
2006-04-04,75.52
2006-04-05,76.15
2006-04-06,76.08
2006-04-07,76.05
2006-04-10,75.92
2006-04-11,76.74
2006-04-12,78.25
2006-04-13,77.77
2006-04-17,78.8
2006-04-18,79.1
2006-04-19,79.95
2006-04-20,79.32
2006-04-21,80.0
2006-04-24,79.72
2006-04-25,77.28
2006-04-26,76.8
2006-04-27,75.65
2006-04-28,76.1
2006-05-01,76.61
2006-05-02,77.66
2006-05-03,78.23
2006-05-04,79.13
2006-05-05,80.89
2006-05-08,80.12
2006-05-09,81.14
2006-05-10,82.03
2006-05-11,81.3
2006-05-12,79.5
2006-05-15,77.9
2006-05-16,78.97
2006-05-17,77.16
2006-05-18,76.45
2006-05-19,75.08
2006-05-22,73.38
2006-05-23,74.75
2006-05-24,75.2
2006-05-25,74.08
2006-05-26,74.82
2006-05-30,74.44
2006-05-31,73.42
2006-06-01,73.47
2006-06-02,73.55
2006-06-05,72.81
2006-06-06,70.02
2006-06-07,68.75
2006-06-08,67.54
2006-06-09,69.05
2006-06-12,68.4
2006-06-13,67.5
2006-06-14,67.58
2006-06-15,71.05
2006-06-16,71.37
2006-06-19,71.45
2006-06-20,71.64
2006-06-21,73.45
2006-06-22,72.66
2006-06-23,73.25
2006-06-26,72.96
2006-06-27,72.97
2006-06-28,72.93
2006-06-29,74.69
2006-06-30,74.95
2006-07-03,75.43
2006-07-05,73.8
2006-07-06,74.24
2006-07-07,73.94
2006-07-10,74.1
2006-07-11,73.61
2006-07-12,73.2
2006-07-13,71.07
2006-07-14,70.29
2006-07-17,70.19
2006-07-18,70.15
2006-07-19,71.79
2006-07-20,71.87
2006-07-21,71.1
2006-07-24,70.56
2006-07-25,71.02
2006-07-26,70.93
2006-07-27,72.62
2006-07-28,71.71
2006-07-31,71.66
2006-08-01,70.43
2006-08-02,71.21
2006-08-03,72.9
2006-08-04,74.08
2006-08-07,73.92
2006-08-08,73.43
2006-08-09,72.35
2006-08-10,69.04
2006-08-11,68.22
2006-08-14,68.61
2006-08-15,67.46
2006-08-16,69.55
2006-08-17,70.04
2006-08-18,69.75
2006-08-21,68.43
2006-08-22,69.1
2006-08-23,69.21
2006-08-24,67.22
2006-08-25,66.46
2006-08-28,66.99
2006-08-29,66.47
2006-08-30,65.73
2006-08-31,66.56
2006-09-01,67.8
2006-09-05,69.87
2006-09-06,70.4
2006-09-07,68.65
2006-09-08,68.2
2006-09-11,67.01
2006-09-12,66.04
2006-09-13,67.14
2006-09-14,66.67
2006-09-15,66.3
2006-09-18,67.6
2006-09-19,67.6
2006-09-20,67.25
2006-09-21,66.39
2006-09-22,64.67
2006-09-25,64.9
2006-09-26,66.55
2006-09-27,66.85
2006-09-28,66.59
2006-09-29,67.06
2006-10-02,66.48
2006-10-03,65.71
2006-10-04,65.54
2006-10-05,68.81
2006-10-06,68.11
2006-10-09,69.95
2006-10-10,69.41
2006-10-11,68.81
2006-10-12,69.67
2006-10-13,69.45
2006-10-16,70.25
2006-10-17,70.12
2006-10-18,70.92
2006-10-19,69.15
2006-10-20,62.28
2006-10-23,60.63
2006-10-24,61.8
2006-10-25,62.09
2006-10-26,62.78
2006-10-27,62.35
2006-10-30,61.19
2006-10-31,61.13
2006-11-01,61.02
2006-11-02,61.12
2006-11-03,60.93
2006-11-06,60.59
2006-11-07,60.4
2006-11-08,60.4
2006-11-09,60.4
2006-11-10,59.69
2006-11-13,60.21
2006-11-14,60.44
2006-11-15,61.66
2006-11-16,62.11
2006-11-17,61.37
2006-11-20,61.08
2006-11-21,62.4
2006-11-22,63.1
2006-11-24,63.33
2006-11-27,63.19
2006-11-28,61.96
2006-11-29,62.46
2006-11-30,62.7
2006-12-01,62.44
2006-12-04,61.79
2006-12-05,62.5
2006-12-06,63.1
2006-12-07,63.95
2006-12-08,63.88
2006-12-11,63.66
2006-12-12,63.3
2006-12-13,62.5
2006-12-14,62.47
2006-12-15,62.74
2006-12-18,62.59
2006-12-19,62.0
2006-12-20,61.89
2006-12-21,61.53
2006-12-22,60.89
2006-12-26,61.13
2006-12-27,61.58
2006-12-28,61.85
2006-12-29,61.65
2007-01-03,62.31
2007-01-04,61.28
2007-01-05,60.92
2007-01-08,60.57
2007-01-09,60.7
2007-01-10,60.39
2007-01-11,60.58
2007-01-12,59.9
2007-01-16,59.93
2007-01-17,60.68
2007-01-18,60.3
2007-01-19,60.2
2007-01-22,59.53
2007-01-23,59.56
2007-01-24,60.12
2007-01-25,60.12
2007-01-26,61.42
2007-01-29,62.29
2007-01-30,63.16
2007-01-31,64.34
2007-02-01,65.25
2007-02-02,65.37
2007-02-05,65.3
2007-02-06,64.95
2007-02-07,65.9
2007-02-08,65.85
2007-02-09,65.99
2007-02-12,65.18
2007-02-13,65.18
2007-02-14,66.48
2007-02-15,68.2
2007-02-16,68.04
2007-02-20,68.0
2007-02-21,68.36
2007-02-22,68.43
2007-02-23,67.66
2007-02-26,67.77
2007-02-27,66.17
2007-02-28,65.06
2007-03-01,64.29
2007-03-02,64.16
2007-03-05,63.8
2007-03-06,64.13
2007-03-07,64.65
2007-03-08,64.99
2007-03-09,64.8
2007-03-12,64.89
2007-03-13,64.65
2007-03-14,63.78
2007-03-15,63.91
2007-03-16,64.11
2007-03-19,64.75
2007-03-20,65.18
2007-03-21,66.45
2007-03-22,66.87
2007-03-23,67.43
2007-03-26,67.72
2007-03-27,67.04
2007-03-28,66.74
2007-03-29,66.91
2007-03-30,67.69
2007-04-02,67.15
2007-04-03,67.7
2007-04-04,67.76
2007-04-05,68.0
2007-04-09,68.19
2007-04-10,67.55
2007-04-11,67.17
2007-04-12,66.75
2007-04-13,67.03
2007-04-16,67.33
2007-04-17,67.76
2007-04-18,69.86
2007-04-19,68.93
2007-04-20,72.83
2007-04-23,73.0
2007-04-24,72.94
2007-04-25,73.49
2007-04-26,73.34
2007-04-27,74.1
2007-04-30,73.92
2007-05-01,73.31
2007-05-02,74.29
2007-05-03,73.69
2007-05-04,74.18
2007-05-07,73.42
2007-05-08,73.85
2007-05-09,74.76
2007-05-10,74.9
2007-05-11,75.0
2007-05-14,76.46
2007-05-15,76.84
2007-05-16,76.79
2007-05-17,75.2
2007-05-18,75.25
2007-05-21,75.26
2007-05-22,75.73
2007-05-23,77.25
2007-05-24,76.98
2007-05-25,76.59
2007-05-29,76.31
2007-05-30,78.64
2007-05-31,78.89
2007-06-01,79.46
2007-06-04,78.41
2007-06-05,78.88
2007-06-06,79.12
2007-06-07,79.28
2007-06-08,78.58
2007-06-11,79.46
2007-06-12,79.33
2007-06-13,79.97
2007-06-14,81.0
2007-06-15,81.6
2007-06-18,82.13
2007-06-19,82.8
2007-06-20,82.89
2007-06-21,81.63
2007-06-22,81.99
2007-06-25,81.58
2007-06-26,81.14
2007-06-27,80.29
2007-06-28,79.63
2007-06-29,79.35
2007-07-02,80.87
2007-07-03,79.19
2007-07-05,78.38
2007-07-06,79.14
2007-07-09,80.79
2007-07-10,81.84
2007-07-11,82.58
2007-07-12,84.15
2007-07-13,85.9
2007-07-16,86.49
2007-07-17,87.0
2007-07-18,86.98
2007-07-19,87.0
2007-07-20,83.2
2007-07-23,82.99
2007-07-24,82.37
2007-07-25,82.06
2007-07-26,80.83
2007-07-27,79.98
2007-07-30,77.75
2007-07-31,79.7
2007-08-01,80.28
2007-08-02,80.8
2007-08-03,81.42
2007-08-06,81.11
2007-08-07,81.56
2007-08-08,82.13
2007-08-09,80.48
2007-08-10,78.5
2007-08-13,79.3
2007-08-14,78.21
2007-08-15,77.32
2007-08-16,74.11
2007-08-17,75.7
2007-08-20,74.8
2007-08-21,75.0
2007-08-22,76.24
2007-08-23,76.5
2007-08-24,76.41
2007-08-27,76.89
2007-08-28,76.24
2007-08-29,75.1
2007-08-30,75.7
2007-08-31,76.28
2007-09-04,77.37
2007-09-05,76.95
2007-09-06,76.82
2007-09-07,74.5
2007-09-10,74.47
2007-09-11,74.78
2007-09-12,74.0
2007-09-13,73.4
2007-09-14,73.8
2007-09-17,74.6
2007-09-18,77.96
2007-09-19,80.17
2007-09-20,77.92
2007-09-21,78.36
2007-09-24,79.75
2007-09-25,77.31
2007-09-26,76.78
2007-09-27,78.03
2007-09-28,79.0
2007-10-01,80.04
2007-10-02,80.17
2007-10-03,79.65
2007-10-04,78.99
2007-10-05,81.0
2007-10-08,81.61
2007-10-09,82.74
2007-10-10,82.41
2007-10-11,81.76
2007-10-12,80.45
2007-10-15,80.1
2007-10-16,78.99
2007-10-17,78.86
2007-10-18,77.75
2007-10-19,75.7
2007-10-22,74.11
2007-10-23,74.6
2007-10-24,75.98
2007-10-25,75.85
2007-10-26,75.1
2007-10-29,75.36
2007-10-30,74.29
2007-10-31,75.16
2007-11-01,74.29
2007-11-02,75.13
2007-11-05,74.12
2007-11-06,75.0
2007-11-07,74.98
2007-11-08,73.83
2007-11-09,72.09
2007-11-12,70.55
2007-11-13,71.3
2007-11-14,72.0
2007-11-15,70.65
2007-11-16,70.25
2007-11-19,69.5
2007-11-20,69.23
2007-11-21,68.73
2007-11-23,68.73
2007-11-26,69.71
2007-11-27,69.43
2007-11-28,71.35
2007-11-29,72.34
2007-11-30,73.31
2007-12-03,72.68
2007-12-04,72.26
2007-12-05,73.03
2007-12-06,74.4
2007-12-07,74.77
2007-12-10,77.22
2007-12-11,77.26
2007-12-12,75.87
2007-12-13,74.51
2007-12-14,74.52
2007-12-17,72.15
2007-12-18,71.97
2007-12-19,71.68
2007-12-20,71.84
2007-12-21,73.36
2007-12-24,73.21
2007-12-26,73.93
2007-12-27,73.87
2007-12-28,73.65
2007-12-31,73.71
2008-01-02,72.67
2008-01-03,71.49
2008-01-04,69.94
2008-01-07,69.13
2008-01-08,69.49
2008-01-09,67.26
2008-01-10,68.2
2008-01-11,68.33
2008-01-14,67.5
2008-01-15,66.73
2008-01-16,66.2
2008-01-17,64.83
2008-01-18,65.05
2008-01-22,64.45
2008-01-23,65.19
2008-01-24,65.97
2008-01-25,67.75
2008-01-28,68.63
2008-01-29,69.62
2008-01-30,70.47
2008-01-31,71.64
2008-02-01,72.17
2008-02-04,71.98
2008-02-05,70.1
2008-02-06,69.05
2008-02-07,68.9
2008-02-08,68.69
2008-02-11,69.43
2008-02-12,71.26
2008-02-13,71.91
2008-02-14,71.99
2008-02-15,70.34
2008-02-19,71.11
2008-02-20,71.5
2008-02-21,72.18
2008-02-22,71.65
2008-02-25,72.33
2008-02-26,73.76
2008-02-27,75.19
2008-02-28,74.7
2008-02-29,74.34
2008-03-03,73.61
2008-03-04,72.88
2008-03-05,72.77
2008-03-06,71.84
2008-03-07,71.11
2008-03-10,70.31
2008-03-11,72.73
2008-03-12,76.64
2008-03-13,76.05
2008-03-14,76.8
2008-03-17,75.22
2008-03-18,76.87
2008-03-19,77.0
2008-03-20,74.28
2008-03-24,76.5
2008-03-25,76.94
2008-03-26,77.61
2008-03-27,78.0
2008-03-28,78.0
2008-03-31,78.63
2008-04-01,79.99
2008-04-02,79.98
2008-04-03,78.36
2008-04-04,78.57
2008-04-07,78.45
2008-04-08,77.92
2008-04-09,77.74
2008-04-10,76.93
2008-04-11,75.85
2008-04-14,76.02
2008-04-15,76.75
2008-04-16,79.17
2008-04-17,80.0
2008-04-18,85.45
2008-04-21,84.45
2008-04-22,83.34
2008-04-23,82.77
2008-04-24,82.5
2008-04-25,82.89
2008-04-28,83.6
2008-04-29,83.09
2008-04-30,83.31
2008-05-01,82.67
2008-05-02,83.64
2008-05-05,83.03
2008-05-06,83.49
2008-05-07,83.64
2008-05-08,82.73
2008-05-09,82.39
2008-05-12,84.22
2008-05-13,84.5
2008-05-14,84.1
2008-05-15,84.14
2008-05-16,83.97
2008-05-19,85.96
2008-05-20,84.05
2008-05-21,85.74
2008-05-22,83.72
2008-05-23,82.99
2008-05-27,82.23
2008-05-28,83.37
2008-05-29,83.91
