time_captured,CSCO_Low
2006-01-03,17.18
2006-01-04,17.46
2006-01-05,17.93
2006-01-06,18.47
2006-01-09,18.92
2006-01-10,18.78
2006-01-11,18.94
2006-01-12,19.08
2006-01-13,18.89
2006-01-17,18.47
2006-01-18,18.37
2006-01-19,18.82
2006-01-20,18.24
2006-01-23,18.13
2006-01-24,18.15
2006-01-25,18.26
2006-01-26,18.25
2006-01-27,18.56
2006-01-30,18.67
2006-01-31,18.32
2006-02-01,18.35
2006-02-02,18.3
2006-02-03,17.95
2006-02-06,17.83
2006-02-07,17.82
2006-02-08,19.11
2006-02-09,19.47
2006-02-10,19.6
2006-02-13,19.32
2006-02-14,19.58
2006-02-15,19.6
2006-02-16,19.83
2006-02-17,19.83
2006-02-21,19.45
2006-02-22,19.57
2006-02-23,19.56
2006-02-24,19.68
2006-02-27,19.83
2006-02-28,19.86
2006-03-01,20.34
2006-03-02,20.7
2006-03-03,20.66
2006-03-06,20.88
2006-03-07,20.68
2006-03-08,20.68
2006-03-09,20.44
2006-03-10,20.32
2006-03-13,20.81
2006-03-14,20.77
2006-03-15,21.16
2006-03-16,21.24
2006-03-17,21.15
2006-03-20,21.43
2006-03-21,21.28
2006-03-22,21.23
2006-03-23,21.21
2006-03-24,21.24
2006-03-27,21.25
2006-03-28,21.31
2006-03-29,21.28
2006-03-30,21.55
2006-03-31,21.67
2006-04-03,21.59
2006-04-04,21.4
2006-04-05,21.59
2006-04-06,21.11
2006-04-07,20.78
2006-04-10,20.77
2006-04-11,20.7
2006-04-12,20.0
2006-04-13,20.99
2006-04-17,20.73
2006-04-18,20.73
2006-04-19,21.09
2006-04-20,20.92
2006-04-21,20.49
2006-04-24,20.28
2006-04-25,20.2
2006-04-26,20.4
2006-04-27,20.52
2006-04-28,20.77
2006-05-01,20.91
2006-05-02,21.11
2006-05-03,21.32
2006-05-04,21.5
2006-05-05,21.5
2006-05-08,21.57
2006-05-09,21.41
2006-05-10,20.69
2006-05-11,19.96
2006-05-12,20.1
2006-05-15,19.5
2006-05-16,20.15
2006-05-17,19.96
2006-05-18,20.16
2006-05-19,20.32
2006-05-22,20.5
2006-05-23,20.37
2006-05-24,20.14
2006-05-25,20.28
2006-05-26,20.19
2006-05-30,19.77
2006-05-31,19.51
2006-06-01,19.67
2006-06-02,20.35
2006-06-05,19.88
2006-06-06,19.89
2006-06-07,19.9
2006-06-08,19.41
2006-06-09,19.83
2006-06-12,19.48
2006-06-13,19.31
2006-06-14,19.36
2006-06-15,19.66
2006-06-16,19.9
2006-06-19,19.71
2006-06-20,19.64
2006-06-21,19.76
2006-06-22,19.54
2006-06-23,19.55
2006-06-26,19.49
