time_captured,MSFT_Volume
2006-01-03,79974418
2006-01-04,57975661
2006-01-05,48247610
2006-01-06,100969092
2006-01-09,55627836
2006-01-10,64924946
2006-01-11,70123544
2006-01-12,45994725
2006-01-13,41449046
2006-01-17,58574807
2006-01-18,52495587
2006-01-19,60382450
2006-01-20,79228490
2006-01-23,47971611
2006-01-24,63061743
2006-01-25,59072711
2006-01-26,69531321
2006-01-27,134525193
2006-01-30,103999604
2006-01-31,94844406
2006-02-01,68437410
2006-02-02,55078684
2006-02-03,75023515
2006-02-06,60175657
2006-02-07,72188789
2006-02-08,51796468
2006-02-09,52861644
2006-02-10,52127000
2006-02-13,46710435
2006-02-14,58434046
2006-02-15,62811407
2006-02-16,49509025
2006-02-17,41513193
2006-02-21,50216190
2006-02-22,43045961
2006-02-23,48162886
2006-02-24,44755831
2006-02-27,51459788
2006-02-28,65037794
2006-03-01,53070445
2006-03-02,41856388
2006-03-03,45234151
2006-03-06,53074268
2006-03-07,51632001
2006-03-08,57554578
2006-03-09,45384011
2006-03-10,41310878
2006-03-13,40342996
2006-03-14,39998399
2006-03-15,57159425
2006-03-16,73798629
2006-03-17,120617680
2006-03-20,67095079
2006-03-21,73199528
2006-03-22,146028255
2006-03-23,73794286
2006-03-24,69163099
2006-03-27,59910619
2006-03-28,58520542
2006-03-29,53732283
2006-03-30,54612426
2006-03-31,62127618
2006-04-03,57609983
2006-04-04,45473353
2006-04-05,41554663
2006-04-06,51885792
2006-04-07,47256778
2006-04-10,39464171
2006-04-11,42953483
2006-04-12,32183970
2006-04-13,28170249
2006-04-17,35796327
2006-04-18,56276047
2006-04-19,45111328
2006-04-20,46044666
2006-04-21,58528503
2006-04-24,42319297
2006-04-25,49222438
2006-04-26,39194018
2006-04-27,100327309
2006-04-28,591078581
2006-05-01,175012523
2006-05-02,190561170
2006-05-03,211567582
2006-05-04,171268148
2006-05-05,131607958
2006-05-08,80697460
2006-05-09,75996747
2006-05-10,77650902
2006-05-11,92925377
2006-05-12,83136212
2006-05-15,70107733
2006-05-16,81868733
2006-05-17,98603006
2006-05-18,95477212
2006-05-19,100074121
2006-05-22,88387280
2006-05-23,80003157
2006-05-24,107375496
2006-05-25,83054373
2006-05-26,46867137
2006-05-30,52505325
2006-05-31,120468133
2006-06-01,80240005
2006-06-02,73937588
2006-06-05,63933933
2006-06-06,126603948
2006-06-07,73830583
2006-06-08,104127499
2006-06-09,52575760
2006-06-12,74338804
2006-06-13,113179765
2006-06-14,86087011
2006-06-15,121654179
2006-06-16,147520585
2006-06-19,129644418
2006-06-20,90604571
2006-06-21,94407586
2006-06-22,81055222
2006-06-23,60532568
2006-06-26,53644094
2006-06-27,84959066
2006-06-28,71925899
2006-06-29,121405820
2006-06-30,73135430
2006-07-03,25711432
2006-07-05,53118381
2006-07-06,44775875
2006-07-07,63169825
2006-07-10,50566038
2006-07-11,88690405
2006-07-12,77379268
2006-07-13,73099480
2006-07-14,67499367
2006-07-17,37053691
2006-07-18,65095034
2006-07-19,82199947
2006-07-20,76854396
2006-07-21,175491371
2006-07-24,59586879
2006-07-25,60075762
2006-07-26,55621972
2006-07-27,85389256
2006-07-28,51706046
2006-07-31,40321957
2006-08-01,49223513
2006-08-02,46462111
2006-08-03,43164646
2006-08-04,45695011
2006-08-07,36882940
2006-08-08,58171540
2006-08-09,44407466
2006-08-10,31768850
2006-08-11,30255521
2006-08-14,47831979
2006-08-15,48996195
2006-08-16,52375619
2006-08-17,45674944
2006-08-18,128427551
2006-08-21,88398944
2006-08-22,89329989
2006-08-23,44664979
2006-08-24,35933322
2006-08-25,33117122
2006-08-28,34192049
2006-08-29,42721167
2006-08-30,30258744
2006-08-31,26421263
2006-09-01,31595597
2006-09-05,44227536
2006-09-06,50161662
2006-09-07,51267410
2006-09-08,36866905
2006-09-11,55608252
2006-09-12,52279694
2006-09-13,37946523
