time_captured,MCD_High
2006-01-03,34.29
2006-01-04,33.85
2006-01-05,34.2
2006-01-06,34.3
2006-01-09,34.74
2006-01-10,34.85
2006-01-11,35.36
2006-01-12,35.32
2006-01-13,34.74
2006-01-17,35.16
2006-01-18,35.44
2006-01-19,35.37
2006-01-20,35.91
2006-01-23,36.09
2006-01-24,36.31
2006-01-25,36.14
2006-01-26,35.7
2006-01-27,35.24
2006-01-30,35.07
2006-01-31,35.25
2006-02-01,35.71
2006-02-02,35.81
2006-02-03,36.08
2006-02-06,36.44
2006-02-07,36.51
2006-02-08,36.75
2006-02-09,36.49
2006-02-10,36.46
2006-02-13,36.59
2006-02-14,36.55
2006-02-15,36.27
2006-02-16,36.39
2006-02-17,36.44
2006-02-21,36.0
2006-02-22,36.08
2006-02-23,35.99
2006-02-24,35.52
2006-02-27,35.53
2006-02-28,35.47
2006-03-01,35.18
2006-03-02,34.99
2006-03-03,35.06
2006-03-06,34.96
2006-03-07,34.78
2006-03-08,34.9
2006-03-09,34.73
2006-03-10,35.01
2006-03-13,34.7
2006-03-14,34.41
2006-03-15,34.83
2006-03-16,35.14
2006-03-17,35.25
2006-03-20,35.07
2006-03-21,35.14
2006-03-22,35.13
2006-03-23,34.81
2006-03-24,34.86
2006-03-27,34.65
2006-03-28,34.77
2006-03-29,34.65
2006-03-30,34.8
2006-03-31,34.63
2006-04-03,34.91
2006-04-04,34.91
2006-04-05,34.89
2006-04-06,34.91
2006-04-07,34.99
2006-04-10,35.45
2006-04-11,35.57
2006-04-12,35.41
2006-04-13,35.49
2006-04-17,34.83
2006-04-18,34.68
2006-04-19,34.85
2006-04-20,35.11
2006-04-21,35.0
2006-04-24,34.45
2006-04-25,34.17
2006-04-26,34.13
2006-04-27,34.65
2006-04-28,34.72
2006-05-01,34.75
2006-05-02,34.53
2006-05-03,34.88
2006-05-04,35.08
2006-05-05,35.25
2006-05-08,35.39
2006-05-09,35.93
2006-05-10,35.99
2006-05-11,35.96
2006-05-12,35.52
2006-05-15,35.0
2006-05-16,35.12
2006-05-17,34.76
2006-05-18,34.97
2006-05-19,34.72
2006-05-22,34.14
2006-05-23,34.13
2006-05-24,33.68
2006-05-25,33.28
2006-05-26,33.35
2006-05-30,33.08
2006-05-31,33.28
2006-06-01,33.74
2006-06-02,33.78
2006-06-05,33.56
2006-06-06,33.55
2006-06-07,33.77
2006-06-08,33.74
2006-06-09,33.88
2006-06-12,33.62
2006-06-13,33.47
2006-06-14,32.96
2006-06-15,33.53
2006-06-16,33.35
2006-06-19,33.25
2006-06-20,33.11
2006-06-21,33.54
2006-06-22,33.4
2006-06-23,33.01
2006-06-26,32.8
2006-06-27,32.79
2006-06-28,32.59
2006-06-29,33.69
2006-06-30,34.6
2006-07-03,34.0
2006-07-05,33.88
2006-07-06,33.84
2006-07-07,33.71
2006-07-10,33.89
2006-07-11,34.33
2006-07-12,34.45
2006-07-13,33.68
2006-07-14,33.13
2006-07-17,34.96
2006-07-18,35.16
2006-07-19,35.2
2006-07-20,35.0
2006-07-21,34.75
2006-07-24,34.96
2006-07-25,35.34
2006-07-26,34.77
2006-07-27,34.95
2006-07-28,35.4
2006-07-31,35.5
2006-08-01,35.23
2006-08-02,35.7
2006-08-03,36.0
2006-08-04,36.06
2006-08-07,35.56
2006-08-08,35.68
2006-08-09,35.52
2006-08-10,35.08
2006-08-11,34.96
2006-08-14,35.1
2006-08-15,35.57
2006-08-16,35.99
2006-08-17,36.25
2006-08-18,36.24
2006-08-21,36.1
2006-08-22,36.01
2006-08-23,35.74
2006-08-24,35.88
2006-08-25,35.69
2006-08-28,35.93
2006-08-29,36.15
2006-08-30,36.2
2006-08-31,36.19
2006-09-01,36.8
2006-09-05,36.76
2006-09-06,36.58
2006-09-07,36.61
2006-09-08,37.51
2006-09-11,37.75
2006-09-12,38.29
2006-09-13,38.09
2006-09-14,37.83
2006-09-15,37.83
2006-09-18,37.75
2006-09-19,37.7
2006-09-20,37.93
2006-09-21,38.42
2006-09-22,38.53
2006-09-25,38.96
2006-09-26,39.09
2006-09-27,40.06
2006-09-28,39.93
2006-09-29,39.88
2006-10-02,39.77
2006-10-03,40.05
2006-10-04,40.09
2006-10-05,40.05
2006-10-06,40.28
2006-10-09,40.7
2006-10-10,40.88
2006-10-11,41.28
2006-10-12,42.46
2006-10-13,42.22
2006-10-16,42.27
2006-10-17,41.97
2006-10-18,42.09
2006-10-19,41.47
2006-10-20,41.47
2006-10-23,42.36
2006-10-24,42.46
2006-10-25,42.48
