time_captured,AMZN_Low
2006-01-03,46.25
2006-01-04,46.69
2006-01-05,47.11
2006-01-06,47.32
2006-01-09,46.4
2006-01-10,45.36
2006-01-11,44.26
2006-01-12,44.09
2006-01-13,44.0
2006-01-17,43.66
2006-01-18,43.1
2006-01-19,44.3
2006-01-20,43.2
2006-01-23,43.5
2006-01-24,43.42
2006-01-25,43.34
2006-01-26,43.79
2006-01-27,44.53
2006-01-30,44.74
2006-01-31,44.25
2006-02-01,43.5
2006-02-02,39.8
2006-02-03,37.37
2006-02-06,37.77
2006-02-07,37.2
2006-02-08,37.11
2006-02-09,37.93
2006-02-10,37.37
2006-02-13,37.53
2006-02-14,37.38
2006-02-15,38.1
2006-02-16,38.83
2006-02-17,38.91
2006-02-21,38.26
2006-02-22,37.71
2006-02-23,37.87
2006-02-24,37.86
2006-02-27,37.93
2006-02-28,37.05
2006-03-01,36.85
2006-03-02,35.37
2006-03-03,36.67
2006-03-06,36.77
2006-03-07,36.7
2006-03-08,36.61
2006-03-09,35.9
2006-03-10,35.74
2006-03-13,35.97
2006-03-14,36.01
2006-03-15,36.43
2006-03-16,36.74
2006-03-17,35.85
2006-03-20,35.8
2006-03-21,35.66
2006-03-22,35.79
2006-03-23,35.48
2006-03-24,35.31
2006-03-27,35.14
2006-03-28,35.2
2006-03-29,35.31
2006-03-30,36.18
2006-03-31,36.48
2006-04-03,36.1
2006-04-04,36.02
2006-04-05,36.27
2006-04-06,37.13
2006-04-07,37.0
2006-04-10,36.22
2006-04-11,35.52
2006-04-12,35.91
2006-04-13,35.49
2006-04-17,35.05
2006-04-18,35.2
2006-04-19,35.89
2006-04-20,36.23
2006-04-21,35.72
2006-04-24,35.32
2006-04-25,35.01
2006-04-26,35.15
2006-04-27,35.3
2006-04-28,35.14
2006-05-01,34.44
2006-05-02,34.23
2006-05-03,33.51
2006-05-04,34.38
2006-05-05,34.15
2006-05-08,34.47
2006-05-09,34.21
2006-05-10,34.1
2006-05-11,33.08
2006-05-12,32.55
2006-05-15,32.21
2006-05-16,32.32
2006-05-17,31.53
2006-05-18,31.52
2006-05-19,32.03
2006-05-22,33.18
2006-05-23,33.76
2006-05-24,33.37
2006-05-25,34.6
2006-05-26,35.46
2006-05-30,34.44
2006-05-31,33.73
2006-06-01,34.3
2006-06-02,34.05
2006-06-05,33.27
2006-06-06,32.93
2006-06-07,32.91
2006-06-08,32.42
2006-06-09,33.45
2006-06-12,33.49
2006-06-13,33.14
2006-06-14,33.08
2006-06-15,33.67
2006-06-16,34.7
2006-06-19,35.04
2006-06-20,34.88
2006-06-21,35.34
2006-06-22,36.11
2006-06-23,36.02
2006-06-26,36.43
2006-06-27,36.17
2006-06-28,36.48
2006-06-29,36.7
2006-06-30,37.83
2006-07-03,38.23
2006-07-05,36.78
2006-07-06,36.52
2006-07-07,35.75
2006-07-10,35.4
2006-07-11,35.01
2006-07-12,34.57
2006-07-13,33.71
2006-07-14,32.8
2006-07-17,32.79
2006-07-18,32.96
2006-07-19,33.39
2006-07-20,33.83
2006-07-21,32.92
2006-07-24,33.34
2006-07-25,33.39
2006-07-26,25.96
2006-07-27,26.0
2006-07-28,26.57
2006-07-31,26.74
2006-08-01,25.84
2006-08-02,25.89
2006-08-03,25.9
2006-08-04,26.8
2006-08-07,26.59
2006-08-08,26.19
2006-08-09,26.0
2006-08-10,25.88
2006-08-11,25.76
2006-08-14,26.18
2006-08-15,26.62
2006-08-16,27.52
2006-08-17,27.83
2006-08-18,28.22
2006-08-21,27.97
2006-08-22,28.05
2006-08-23,27.77
2006-08-24,27.54
2006-08-25,27.62
2006-08-28,28.27
2006-08-29,28.75
2006-08-30,29.48
2006-08-31,30.47
2006-09-01,30.85
2006-09-05,31.24
2006-09-06,30.65
2006-09-07,29.68
2006-09-08,29.94
2006-09-11,29.72
2006-09-12,30.53
2006-09-13,31.37
2006-09-14,31.18
2006-09-15,31.58
2006-09-18,31.88
2006-09-19,30.82
2006-09-20,31.8
2006-09-21,30.07
2006-09-22,29.9
2006-09-25,30.74
2006-09-26,31.8
2006-09-27,31.93
2006-09-28,31.22
2006-09-29,31.54
2006-10-02,30.83
2006-10-03,30.58
2006-10-04,31.3
2006-10-05,32.4
2006-10-06,32.5
2006-10-09,32.45
2006-10-10,32.49
2006-10-11,32.27
2006-10-12,32.63
2006-10-13,33.08
2006-10-16,32.55
2006-10-17,31.75
2006-10-18,32.0
2006-10-19,32.1
2006-10-20,32.21
2006-10-23,32.14
2006-10-24,32.86
2006-10-25,36.04
2006-10-26,37.18
2006-10-27,37.66
2006-10-30,37.68
2006-10-31,37.8
2006-11-01,37.46
2006-11-02,37.11
2006-11-03,36.87
2006-11-06,37.53
2006-11-07,38.04
2006-11-08,38.46
2006-11-09,38.81
2006-11-10,38.76
2006-11-13,39.13
2006-11-14,39.62
2006-11-15,41.5
2006-11-16,42.4
2006-11-17,42.22
2006-11-20,41.94
2006-11-21,42.12
2006-11-22,42.18
2006-11-24,42.31
2006-11-27,40.72
2006-11-28,40.3
2006-11-29,40.0
2006-11-30,39.85
2006-12-01,39.09
2006-12-04,38.87
2006-12-05,38.72
2006-12-06,38.64
2006-12-07,38.05
2006-12-08,37.7
2006-12-11,38.08
2006-12-12,38.15
2006-12-13,38.19
2006-12-14,38.6
2006-12-15,39.23
2006-12-18,38.86
2006-12-19,38.23
2006-12-20,39.39
2006-12-21,39.65
2006-12-22,39.91
2006-12-26,39.42
2006-12-27,39.8
2006-12-28,39.92
2006-12-29,39.35
2007-01-03,38.05
2007-01-04,38.26
2007-01-05,37.6
2007-01-08,37.17
2007-01-09,37.34
2007-01-10,37.07
2007-01-11,37.17
2007-01-12,37.27
2007-01-16,37.97
2007-01-17,37.78
2007-01-18,36.72
2007-01-19,36.6
2007-01-22,36.8
2007-01-23,36.3
2007-01-24,36.5
2007-01-25,36.78
2007-01-26,36.3
2007-01-29,36.54
2007-01-30,36.63
2007-01-31,36.76
2007-02-01,37.85
2007-02-02,36.68
2007-02-05,36.77
2007-02-06,37.08
2007-02-07,38.4
2007-02-08,38.67
2007-02-09,38.66
2007-02-12,38.36
2007-02-13,38.85
2007-02-14,39.14
2007-02-15,39.86
2007-02-16,39.87
2007-02-20,40.0
2007-02-21,40.92
2007-02-22,40.89
2007-02-23,40.74
2007-02-26,40.4
2007-02-27,38.78
2007-02-28,38.08
2007-03-01,38.05
2007-03-02,37.69
2007-03-05,37.04
2007-03-06,37.41
2007-03-07,38.28
2007-03-08,37.98
2007-03-09,38.0
2007-03-12,38.38
2007-03-13,37.69
2007-03-14,37.26
2007-03-15,37.55
2007-03-16,37.52
2007-03-19,38.0
2007-03-20,38.23
2007-03-21,38.31
2007-03-22,38.91
2007-03-23,38.98
2007-03-26,38.43
2007-03-27,38.76
2007-03-28,38.74
2007-03-29,39.3
2007-03-30,39.42
2007-04-02,39.55
2007-04-03,40.4
2007-04-04,40.92
2007-04-05,41.44
2007-04-09,41.61
2007-04-10,41.46
2007-04-11,41.24
2007-04-12,41.4
2007-04-13,41.93
2007-04-16,43.67
2007-04-17,44.75
2007-04-18,44.63
2007-04-19,44.41
2007-04-20,44.52
2007-04-23,44.16
2007-04-24,44.43
2007-04-25,52.95
2007-04-26,56.07
2007-04-27,60.62
2007-04-30,61.18
2007-05-01,60.28
2007-05-02,60.9
2007-05-03,60.76
2007-05-04,62.35
2007-05-07,60.71
2007-05-08,59.7
2007-05-09,61.3
2007-05-10,60.85
2007-05-11,60.56
2007-05-14,60.6
2007-05-15,60.52
2007-05-16,60.1
2007-05-17,62.02
2007-05-18,62.28
2007-05-21,63.3
2007-05-22,67.21
2007-05-23,68.79
2007-05-24,67.71
2007-05-25,68.25
2007-05-29,67.72
2007-05-30,68.86
2007-05-31,68.57
2007-06-01,68.35
2007-06-04,67.65
2007-06-05,70.86
2007-06-06,71.86
2007-06-07,70.88
2007-06-08,71.05
2007-06-11,71.0
2007-06-12,69.42
2007-06-13,69.25
2007-06-14,70.8
2007-06-15,71.19
2007-06-18,71.4
2007-06-19,69.68
2007-06-20,69.05
2007-06-21,68.66
2007-06-22,68.42
2007-06-25,68.3
2007-06-26,67.38
2007-06-27,66.71
2007-06-28,68.15
2007-06-29,68.15
2007-07-02,68.2
2007-07-03,69.02
2007-07-05,68.06
2007-07-06,68.01
2007-07-09,69.02
2007-07-10,70.07
2007-07-11,70.15
2007-07-12,70.73
2007-07-13,72.97
2007-07-16,73.0
2007-07-17,73.59
2007-07-18,72.25
2007-07-19,73.12
2007-07-20,70.5
2007-07-23,70.85
2007-07-24,68.85
2007-07-25,83.65
2007-07-26,83.43
2007-07-27,82.48
2007-07-30,81.51
2007-07-31,78.0
2007-08-01,75.06
2007-08-02,76.12
2007-08-03,76.71
2007-08-06,76.6
2007-08-07,77.89
2007-08-08,76.56
2007-08-09,74.11
2007-08-10,72.37
2007-08-13,74.7
2007-08-14,72.92
2007-08-15,72.26
2007-08-16,70.05
2007-08-17,73.11
2007-08-20,73.8
2007-08-21,74.09
2007-08-22,77.84
2007-08-23,76.51
2007-08-24,76.69
2007-08-27,78.42
2007-08-28,76.08
2007-08-29,76.86
2007-08-30,78.3
2007-08-31,79.7
2007-09-04,79.73
2007-09-05,82.22
2007-09-06,82.85
2007-09-07,83.21
2007-09-10,82.51
2007-09-11,83.53
2007-09-12,85.97
2007-09-13,86.5
2007-09-14,86.31
2007-09-17,85.98
2007-09-18,86.71
2007-09-19,88.26
2007-09-20,88.82
2007-09-21,89.65
2007-09-24,90.81
2007-09-25,90.95
2007-09-26,92.29
2007-09-27,93.11
2007-09-28,91.7
2007-10-01,92.83
2007-10-02,91.4
2007-10-03,91.78
2007-10-04,91.45
2007-10-05,92.34
2007-10-08,94.0
2007-10-09,94.75
2007-10-10,94.37
2007-10-11,88.13
2007-10-12,88.92
2007-10-15,90.1
2007-10-16,88.5
2007-10-17,89.06
2007-10-18,89.15
2007-10-19,89.32
2007-10-22,89.02
2007-10-23,94.21
2007-10-24,83.27
2007-10-25,86.32
2007-10-26,87.7
2007-10-29,89.48
2007-10-30,88.05
2007-10-31,87.0
2007-11-01,86.5
2007-11-02,83.5
2007-11-05,82.76
2007-11-06,84.37
2007-11-07,86.16
2007-11-08,81.4
2007-11-09,78.84
2007-11-12,76.5
2007-11-13,77.8
2007-11-14,78.15
2007-11-15,76.7
2007-11-16,76.63
2007-11-19,77.94
2007-11-20,78.31
2007-11-21,78.65
2007-11-23,78.98
2007-11-26,81.14
2007-11-27,82.21
2007-11-28,86.75
2007-11-29,88.68
2007-11-30,88.31
2007-12-03,89.77
2007-12-04,90.04
2007-12-05,91.98
2007-12-06,92.83
2007-12-07,92.91
2007-12-10,92.3
2007-12-11,90.75
2007-12-12,89.32
2007-12-13,90.63
2007-12-14,88.93
2007-12-17,84.99
2007-12-18,83.86
2007-12-19,86.83
2007-12-20,89.09
2007-12-21,90.39
2007-12-24,90.3
2007-12-26,90.5
2007-12-27,92.5
2007-12-28,92.1
2007-12-31,92.45
2008-01-02,94.7
2008-01-03,94.52
2008-01-04,88.5
2008-01-07,85.47
2008-01-08,86.93
2008-01-09,80.24
2008-01-10,82.97
2008-01-11,80.29
2008-01-14,78.87
2008-01-15,78.51
2008-01-16,78.44
2008-01-17,79.54
2008-01-18,78.04
2008-01-22,72.22
2008-01-23,69.95
2008-01-24,74.19
2008-01-25,76.33
2008-01-28,74.34
2008-01-29,72.06
2008-01-30,73.25
2008-01-31,68.84
2008-02-01,73.37
2008-02-04,73.9
2008-02-05,72.0
2008-02-06,68.17
2008-02-07,67.22
2008-02-08,72.52
2008-02-11,72.77
2008-02-12,73.79
2008-02-13,73.27
2008-02-14,75.18
2008-02-15,71.94
2008-02-19,71.55
2008-02-20,71.1
2008-02-21,69.37
2008-02-22,69.86
2008-02-25,71.41
2008-02-26,70.28
2008-02-27,69.57
2008-02-28,67.11
2008-02-29,63.97
2008-03-03,61.2
2008-03-04,61.23
2008-03-05,63.82
2008-03-06,62.5
2008-03-07,62.01
2008-03-10,62.91
2008-03-11,63.71
2008-03-12,65.64
2008-03-13,64.37
2008-03-14,66.06
2008-03-17,64.92
2008-03-18,67.59
2008-03-19,70.17
2008-03-20,69.38
2008-03-24,72.75
2008-03-25,74.05
2008-03-26,73.24
2008-03-27,70.8
2008-03-28,69.26
