time_captured,JPM_Open
2006-01-03,39.83
2006-01-04,39.78
2006-01-05,39.61
2006-01-06,39.92
2006-01-09,39.88
2006-01-10,40.5
2006-01-11,40.73
2006-01-12,40.25
2006-01-13,39.78
2006-01-17,39.48
2006-01-18,39.11
2006-01-19,39.34
2006-01-20,38.81
2006-01-23,38.14
2006-01-24,38.27
2006-01-25,38.16
2006-01-26,38.71
2006-01-27,39.25
2006-01-30,39.52
2006-01-31,40.03
2006-02-01,39.88
2006-02-02,39.88
2006-02-03,39.45
2006-02-06,39.4
2006-02-07,39.2
2006-02-08,39.28
2006-02-09,39.53
2006-02-10,39.62
2006-02-13,39.77
2006-02-14,39.66
2006-02-15,39.97
2006-02-16,40.45
2006-02-17,40.66
2006-02-21,40.63
2006-02-22,40.89
2006-02-23,41.26
2006-02-24,40.94
2006-02-27,41.55
2006-02-28,41.59
2006-03-01,41.16
2006-03-02,41.63
2006-03-03,41.5
2006-03-06,41.48
2006-03-07,41.02
2006-03-08,41.49
2006-03-09,41.5
2006-03-10,41.06
2006-03-13,41.45
2006-03-14,41.26
2006-03-15,41.16
2006-03-16,41.42
2006-03-17,41.35
2006-03-20,41.31
2006-03-21,41.27
2006-03-22,41.19
2006-03-23,42.05
2006-03-24,41.99
2006-03-27,41.86
2006-03-28,41.93
2006-03-29,41.73
2006-03-30,41.54
2006-03-31,41.78
2006-04-03,41.95
2006-04-04,41.6
2006-04-05,42.17
2006-04-06,42.39
2006-04-07,42.25
2006-04-10,41.93
2006-04-11,42.0
2006-04-12,41.83
2006-04-13,41.96
2006-04-17,42.28
2006-04-18,42.22
2006-04-19,42.4
2006-04-20,42.5
2006-04-21,42.88
2006-04-24,42.51
2006-04-25,42.53
2006-04-26,42.39
2006-04-27,42.66
2006-04-28,44.1
2006-05-01,45.38
2006-05-02,45.0
2006-05-03,45.59
2006-05-04,45.51
2006-05-05,45.91
2006-05-08,46.6
2006-05-09,45.94
2006-05-10,45.74
2006-05-11,45.92
2006-05-12,44.95
2006-05-15,44.33
2006-05-16,44.6
2006-05-17,43.8
2006-05-18,43.29
2006-05-19,42.9
2006-05-22,42.75
2006-05-23,42.74
2006-05-24,42.1
2006-05-25,42.65
2006-05-26,43.1
2006-05-30,42.9
2006-05-31,42.66
2006-06-01,42.75
2006-06-02,43.8
2006-06-05,43.66
2006-06-06,42.97
2006-06-07,42.37
2006-06-08,42.0
2006-06-09,42.35
2006-06-12,42.1
2006-06-13,41.35
2006-06-14,40.64
2006-06-15,40.1
2006-06-16,40.6
2006-06-19,40.17
2006-06-20,40.14
2006-06-21,40.13
2006-06-22,41.12
2006-06-23,40.83
2006-06-26,40.67
2006-06-27,40.69
2006-06-28,41.17
2006-06-29,41.68
2006-06-30,42.93
2006-07-03,42.05
2006-07-05,42.87
2006-07-06,42.4
2006-07-07,42.45
2006-07-10,42.54
2006-07-11,42.36
2006-07-12,42.88
2006-07-13,41.95
2006-07-14,41.25
2006-07-17,40.81
2006-07-18,40.95
2006-07-19,41.9
2006-07-20,43.05
2006-07-21,43.17
2006-07-24,43.4
