time_captured,MRK_Open
2006-01-03,32.52
2006-01-04,32.75
2006-01-05,32.92
2006-01-06,33.09
2006-01-09,33.22
2006-01-10,33.45
2006-01-11,33.49
2006-01-12,33.56
2006-01-13,33.53
2006-01-17,33.11
2006-01-18,33.12
2006-01-19,33.36
2006-01-20,33.32
2006-01-23,33.14
2006-01-24,32.73
2006-01-25,32.7
2006-01-26,33.34
2006-01-27,33.8
2006-01-30,34.41
2006-01-31,34.87
2006-02-01,34.27
2006-02-02,34.55
2006-02-03,34.5
2006-02-06,34.24
2006-02-07,33.7
2006-02-08,33.9
2006-02-09,34.48
2006-02-10,33.7
2006-02-13,34.32
2006-02-14,34.51
2006-02-15,34.58
2006-02-16,35.0
2006-02-17,35.98
2006-02-21,36.52
2006-02-22,35.81
2006-02-23,35.55
2006-02-24,35.54
2006-02-27,35.02
2006-02-28,35.09
2006-03-01,35.05
2006-03-02,34.75
2006-03-03,34.94
2006-03-06,35.11
2006-03-07,34.96
2006-03-08,34.6
2006-03-09,34.57
2006-03-10,34.75
2006-03-13,34.78
2006-03-14,35.1
2006-03-15,35.0
2006-03-16,35.0
2006-03-17,35.47
2006-03-20,35.54
2006-03-21,35.86
2006-03-22,35.55
2006-03-23,36.1
2006-03-24,36.12
2006-03-27,35.91
2006-03-28,36.04
2006-03-29,35.73
2006-03-30,35.72
2006-03-31,35.77
2006-04-03,35.47
2006-04-04,35.75
2006-04-05,35.38
2006-04-06,34.62
2006-04-07,34.5
2006-04-10,34.41
2006-04-11,34.42
2006-04-12,33.9
2006-04-13,33.65
2006-04-17,33.9
2006-04-18,33.73
2006-04-19,34.45
2006-04-20,34.62
2006-04-21,35.19
2006-04-24,34.32
2006-04-25,34.29
2006-04-26,34.3
2006-04-27,34.0
2006-04-28,34.42
2006-05-01,34.67
2006-05-02,34.24
2006-05-03,34.5
2006-05-04,34.08
2006-05-05,34.44
2006-05-08,34.77
2006-05-09,34.45
2006-05-10,34.44
2006-05-11,34.61
2006-05-12,34.48
2006-05-15,34.53
2006-05-16,34.85
2006-05-17,35.0
2006-05-18,34.54
2006-05-19,35.25
2006-05-22,34.32
2006-05-23,34.36
2006-05-24,34.25
2006-05-25,34.0
2006-05-26,34.48
2006-05-30,34.31
2006-05-31,33.01
2006-06-01,33.51
2006-06-02,33.65
2006-06-05,33.85
2006-06-06,33.7
2006-06-07,34.08
2006-06-08,33.92
2006-06-09,34.0
2006-06-12,34.06
2006-06-13,33.61
2006-06-14,33.56
2006-06-15,33.56
2006-06-16,34.4
2006-06-19,34.49
2006-06-20,34.62
2006-06-21,34.92
2006-06-22,35.18
2006-06-23,35.04
2006-06-26,35.1
2006-06-27,34.9
2006-06-28,34.99
2006-06-29,35.18
2006-06-30,36.07
2006-07-03,36.9
2006-07-05,36.64
2006-07-06,36.7
2006-07-07,36.7
2006-07-10,37.0
2006-07-11,37.0
2006-07-12,37.18
2006-07-13,36.5
2006-07-14,36.94
2006-07-17,36.15
2006-07-18,36.37
2006-07-19,36.85
2006-07-20,37.09
2006-07-21,37.39
2006-07-24,38.0
2006-07-25,39.28
2006-07-26,39.16
2006-07-27,40.27
2006-07-28,41.0
2006-07-31,41.11
2006-08-01,40.38
2006-08-02,40.8
2006-08-03,41.11
2006-08-04,41.64
2006-08-07,41.35
2006-08-08,41.01
2006-08-09,41.0
2006-08-10,41.2
2006-08-11,40.95
2006-08-14,40.85
2006-08-15,41.23
2006-08-16,41.25
2006-08-17,41.3
2006-08-18,38.6
2006-08-21,40.0
2006-08-22,39.58
2006-08-23,39.85
2006-08-24,40.82
2006-08-25,39.8
2006-08-28,40.25
2006-08-29,40.9
2006-08-30,40.94
2006-08-31,40.81
2006-09-01,40.52
2006-09-05,40.99
2006-09-06,41.01
2006-09-07,41.4
2006-09-08,39.9
2006-09-11,40.7
2006-09-12,41.48
2006-09-13,41.05
2006-09-14,41.08
2006-09-15,41.2
2006-09-18,40.85
2006-09-19,41.04
2006-09-20,41.17
2006-09-21,41.94
2006-09-22,41.97
2006-09-25,42.15
2006-09-26,41.81
2006-09-27,42.0
2006-09-28,42.45
2006-09-29,41.94
2006-10-02,42.15
2006-10-03,41.93
2006-10-04,42.0
2006-10-05,42.0
2006-10-06,41.4
2006-10-09,41.86
2006-10-10,41.99
2006-10-11,41.65
2006-10-12,42.35
2006-10-13,42.68
2006-10-16,43.4
2006-10-17,43.89
2006-10-18,44.17
2006-10-19,44.48
2006-10-20,45.36
2006-10-23,45.46
2006-10-24,45.7
2006-10-25,45.9
2006-10-26,46.1
2006-10-27,46.37
2006-10-30,45.88
2006-10-31,45.5
2006-11-01,45.99
2006-11-02,45.71
2006-11-03,45.35
2006-11-06,45.08
2006-11-07,45.81
2006-11-08,44.76
2006-11-09,44.0
2006-11-10,42.77
2006-11-13,43.2
2006-11-14,43.48
2006-11-15,43.69
2006-11-16,44.4
2006-11-17,44.71
2006-11-20,44.95
2006-11-21,44.4
2006-11-22,44.06
2006-11-24,44.01
2006-11-27,44.07
2006-11-28,43.72
2006-11-29,44.1
2006-11-30,44.4
2006-12-01,44.65
2006-12-04,45.32
2006-12-05,44.55
2006-12-06,44.7
2006-12-07,44.91
2006-12-08,43.79
2006-12-11,43.95
2006-12-12,44.29
2006-12-13,43.64
2006-12-14,43.31
2006-12-15,43.71
2006-12-18,43.89
2006-12-19,43.75
2006-12-20,43.38
2006-12-21,43.31
2006-12-22,43.27
2006-12-26,42.95
2006-12-27,43.0
2006-12-28,43.12
2006-12-29,43.45
2007-01-03,44.03
2007-01-04,43.65
2007-01-05,45.1
2007-01-08,43.16
2007-01-09,44.3
2007-01-10,43.85
2007-01-11,44.25
2007-01-12,44.48
2007-01-16,44.8
2007-01-17,44.95
2007-01-18,45.05
2007-01-19,45.86
2007-01-22,45.42
2007-01-23,45.53
2007-01-24,45.78
2007-01-25,46.01
2007-01-26,45.99
2007-01-29,46.19
2007-01-30,45.76
2007-01-31,44.9
2007-02-01,44.9
2007-02-02,45.12
2007-02-05,44.61
2007-02-06,44.74
2007-02-07,44.88
2007-02-08,44.02
2007-02-09,44.06
2007-02-12,44.0
2007-02-13,44.1
2007-02-14,44.14
2007-02-15,43.91
2007-02-16,44.07
2007-02-20,44.39
2007-02-21,44.45
2007-02-22,43.85
2007-02-23,43.2
2007-02-26,44.34
2007-02-27,44.28
2007-02-28,44.26
2007-03-01,43.95
2007-03-02,44.25
2007-03-05,43.94
2007-03-06,44.25
2007-03-07,44.26
2007-03-08,43.98
2007-03-09,44.53
2007-03-12,44.43
2007-03-13,43.95
2007-03-14,43.65
2007-03-15,43.16
2007-03-16,43.29
2007-03-19,43.34
2007-03-20,43.29
2007-03-21,43.5
2007-03-22,43.8
2007-03-23,44.32
2007-03-26,44.26
2007-03-27,43.84
2007-03-28,43.41
2007-03-29,43.68
2007-03-30,44.08
2007-04-02,44.59
2007-04-03,45.29
2007-04-04,45.23
2007-04-05,45.25
