time_captured,AMZN_Close
2006-01-03,47.58
2006-01-04,47.25
2006-01-05,47.65
2006-01-06,47.87
2006-01-09,47.08
2006-01-10,45.65
2006-01-11,44.93
2006-01-12,44.36
2006-01-13,44.4
2006-01-17,44.0
2006-01-18,44.32
2006-01-19,44.45
2006-01-20,43.92
2006-01-23,43.73
2006-01-24,44.02
2006-01-25,43.6
2006-01-26,44.68
2006-01-27,45.22
2006-01-30,44.96
2006-01-31,44.82
2006-02-01,43.98
2006-02-02,42.74
2006-02-03,38.33
2006-02-06,37.95
2006-02-07,37.52
2006-02-08,38.17
2006-02-09,37.99
2006-02-10,38.52
2006-02-13,37.86
2006-02-14,38.25
2006-02-15,39.26
2006-02-16,39.15
2006-02-17,39.19
2006-02-21,38.29
2006-02-22,38.72
2006-02-23,37.9
2006-02-24,38.35
2006-02-27,38.01
2006-02-28,37.44
2006-03-01,37.12
2006-03-02,36.88
2006-03-03,37.21
2006-03-06,36.86
2006-03-07,36.93
2006-03-08,36.81
2006-03-09,36.12
2006-03-10,36.22
2006-03-13,36.19
2006-03-14,36.91
2006-03-15,36.89
2006-03-16,36.77
2006-03-17,35.99
2006-03-20,36.23
2006-03-21,35.92
2006-03-22,36.0
2006-03-23,35.68
2006-03-24,35.47
2006-03-27,35.25
2006-03-28,35.69
2006-03-29,36.32
2006-03-30,36.67
2006-03-31,36.53
2006-04-03,36.14
2006-04-04,36.77
2006-04-05,37.34
2006-04-06,38.51
2006-04-07,37.09
2006-04-10,36.61
2006-04-11,36.06
2006-04-12,36.13
2006-04-13,36.62
2006-04-17,35.27
2006-04-18,36.28
2006-04-19,36.89
2006-04-20,36.34
2006-04-21,36.03
2006-04-24,35.79
2006-04-25,35.55
2006-04-26,35.79
2006-04-27,35.74
2006-04-28,35.21
2006-05-01,34.59
2006-05-02,34.38
2006-05-03,33.96
2006-05-04,34.47
2006-05-05,35.04
2006-05-08,34.69
2006-05-09,34.84
2006-05-10,34.16
2006-05-11,33.53
2006-05-12,32.73
2006-05-15,32.78
2006-05-16,32.76
2006-05-17,31.61
2006-05-18,32.61
2006-05-19,33.94
2006-05-22,34.83
2006-05-23,33.76
2006-05-24,35.19
2006-05-25,35.63
2006-05-26,36.07
2006-05-30,34.64
2006-05-31,34.61
2006-06-01,35.07
2006-06-02,34.76
2006-06-05,33.49
2006-06-06,33.41
2006-06-07,33.77
2006-06-08,33.55
2006-06-09,33.78
2006-06-12,33.6
2006-06-13,33.47
2006-06-14,33.68
2006-06-15,34.96
2006-06-16,35.09
2006-06-19,35.07
2006-06-20,35.48
2006-06-21,36.65
2006-06-22,36.37
2006-06-23,36.55
2006-06-26,36.77
2006-06-27,36.48
2006-06-28,36.7
2006-06-29,38.52
2006-06-30,38.68
2006-07-03,38.61
2006-07-05,37.11
2006-07-06,36.8
2006-07-07,36.11
2006-07-10,35.79
2006-07-11,35.66
2006-07-12,34.63
2006-07-13,33.73
2006-07-14,32.92
2006-07-17,33.67
2006-07-18,33.49
2006-07-19,34.48
2006-07-20,34.18
2006-07-21,33.19
2006-07-24,34.31
2006-07-25,33.59
2006-07-26,26.26
2006-07-27,26.56
2006-07-28,27.17
2006-07-31,26.89
2006-08-01,26.32
2006-08-02,26.09
2006-08-03,26.69
2006-08-04,27.29
2006-08-07,26.78
2006-08-08,26.36
2006-08-09,26.21
2006-08-10,26.49
2006-08-11,26.07
2006-08-14,26.53
2006-08-15,27.77
2006-08-16,27.95
2006-08-17,29.09
2006-08-18,29.12
2006-08-21,28.13
2006-08-22,28.37
2006-08-23,28.14
2006-08-24,27.97
2006-08-25,28.03
2006-08-28,28.91
2006-08-29,29.52
2006-08-30,30.67
2006-08-31,30.83
2006-09-01,31.76
2006-09-05,32.23
2006-09-06,30.8
2006-09-07,29.73
2006-09-08,30.51
2006-09-11,30.79
2006-09-12,31.72
2006-09-13,31.67
2006-09-14,31.65
2006-09-15,32.52
