time_captured,JPM_Volume
2006-01-03,12839400
2006-01-04,13491800
2006-01-05,8109400
2006-01-06,7966900
2006-01-09,16575200
2006-01-10,16614900
2006-01-11,12333100
2006-01-12,12230400
2006-01-13,10961200
2006-01-17,9941400
2006-01-18,17908500
2006-01-19,12092300
2006-01-20,20907200
2006-01-23,13172400
2006-01-24,9781500
2006-01-25,14248700
2006-01-26,16187900
2006-01-27,12929400
2006-01-30,8701700
2006-01-31,15582500
2006-02-01,11429800
2006-02-02,10309100
2006-02-03,10440700
2006-02-06,6591900
2006-02-07,8592600
2006-02-08,10065400
2006-02-09,8496300
2006-02-10,8790500
2006-02-13,7791600
2006-02-14,12904100
2006-02-15,12686700
2006-02-16,11572000
2006-02-17,11518600
2006-02-21,7324600
2006-02-22,13168400
2006-02-23,8739500
2006-02-24,9294300
2006-02-27,8542000
2006-02-28,11716200
2006-03-01,10547700
2006-03-02,10939800
2006-03-03,12290600
2006-03-06,9877500
2006-03-07,9441300
2006-03-08,9147100
2006-03-09,9767500
2006-03-10,11175700
2006-03-13,10626100
2006-03-14,16237100
2006-03-15,14017900
2006-03-16,10045600
2006-03-17,13042400
2006-03-20,9418000
2006-03-21,13473600
2006-03-22,13516100
2006-03-23,12986800
2006-03-24,7213400
2006-03-27,7836200
2006-03-28,15562700
2006-03-29,7822900
2006-03-30,9324800
2006-03-31,10371400
2006-04-03,10872900
2006-04-04,14010100
2006-04-05,9554600
2006-04-06,6226600
2006-04-07,10754100
2006-04-10,7409300
2006-04-11,8828400
2006-04-12,5873900
2006-04-13,6554700
2006-04-17,7986200
2006-04-18,11079700
2006-04-19,9448100
2006-04-20,8435900
2006-04-21,13733100
2006-04-24,9475900
2006-04-25,11649000
2006-04-26,10647800
2006-04-27,17465000
2006-04-28,28262300
2006-05-01,16235400
2006-05-02,12964600
2006-05-03,15589700
2006-05-04,10550700
2006-05-05,17342800
2006-05-08,10284000
2006-05-09,7931000
2006-05-10,7215600
2006-05-11,10533100
2006-05-12,18205000
2006-05-15,11232300
2006-05-16,8265300
2006-05-17,13005300
2006-05-18,10905200
2006-05-19,13343200
2006-05-22,14817200
2006-05-23,13258500
2006-05-24,14155700
2006-05-25,9902400
2006-05-26,7918100
2006-05-30,8680900
2006-05-31,11348000
2006-06-01,9034900
2006-06-02,9637700
2006-06-05,7868800
2006-06-06,12679200
2006-06-07,9958000
2006-06-08,14402700
2006-06-09,8106100
2006-06-12,9059600
2006-06-13,16537400
2006-06-14,16880100
2006-06-15,18481500
2006-06-16,15754500
2006-06-19,9090100
2006-06-20,11206400
2006-06-21,15242300
2006-06-22,10497000
2006-06-23,9954700
2006-06-26,11183300
2006-06-27,14116000
2006-06-28,8540400
2006-06-29,17320800
2006-06-30,16256700
2006-07-03,6828300
2006-07-05,10452000
2006-07-06,10906500
2006-07-07,6736400
2006-07-10,5332200
2006-07-11,8814500
2006-07-12,7025400
2006-07-13,11099000
2006-07-14,10439300
2006-07-17,10806600
2006-07-18,10760900
2006-07-19,27046900
2006-07-20,16368000
2006-07-21,15203300
2006-07-24,12629200
2006-07-25,12536000
2006-07-26,14170000
2006-07-27,13841100
2006-07-28,14011100
2006-07-31,14647100
2006-08-01,13403400
2006-08-02,11051900
2006-08-03,9045600
2006-08-04,14113100
2006-08-07,5934000
2006-08-08,11026100
2006-08-09,10454500
2006-08-10,10392300
2006-08-11,6868600
2006-08-14,6985600
2006-08-15,11078300
2006-08-16,8814800
2006-08-17,6163700
2006-08-18,9213600
2006-08-21,5649000
2006-08-22,6252400
2006-08-23,9684600
2006-08-24,8682800
2006-08-25,4450900
2006-08-28,7324900
2006-08-29,8050800
2006-08-30,8596400
2006-08-31,6245400
2006-09-01,6703300
2006-09-05,6134400
2006-09-06,7126800
2006-09-07,7278500
2006-09-08,7728200
2006-09-11,7174900
2006-09-12,11557700
2006-09-13,11745800
2006-09-14,7642400
2006-09-15,15421000
2006-09-18,11125300
2006-09-19,6768700
2006-09-20,9084200
2006-09-21,7782700
2006-09-22,6046700
2006-09-25,15331300
2006-09-26,12381400
2006-09-27,8886700
2006-09-28,6167400
2006-09-29,10115300
2006-10-02,7383000
2006-10-03,11801200
2006-10-04,20650900
2006-10-05,12915500
2006-10-06,10748900
2006-10-09,7252800
2006-10-10,14165100
2006-10-11,10288100
2006-10-12,14995200
2006-10-13,7298100
2006-10-16,7330800
2006-10-17,8882000
2006-10-18,21532700
2006-10-19,11988900
2006-10-20,10979200
2006-10-23,9344500
2006-10-24,13432000
2006-10-25,9021900
2006-10-26,7644300
2006-10-27,7112500
2006-10-30,10223000
2006-10-31,12564200
2006-11-01,11492200
2006-11-02,7059000
2006-11-03,7989000
2006-11-06,8633700
2006-11-07,8535500
2006-11-08,7511200
2006-11-09,6836700
2006-11-10,5849900
2006-11-13,7664600
2006-11-14,8276800
2006-11-15,11340800
2006-11-16,8192500
2006-11-17,12991600
2006-11-20,8614500
2006-11-21,7423800
2006-11-22,7003800
2006-11-24,2927000
2006-11-27,11109800
