time_captured,PFE_Close
2006-01-03,23.78
2006-01-04,24.55
2006-01-05,24.58
2006-01-06,24.85
2006-01-09,24.85
2006-01-10,24.44
2006-01-11,24.75
2006-01-12,24.58
2006-01-13,24.67
2006-01-17,24.28
2006-01-18,24.09
2006-01-19,24.97
2006-01-20,24.71
2006-01-23,24.89
2006-01-24,24.59
2006-01-25,24.83
2006-01-26,25.05
2006-01-27,25.99
2006-01-30,25.94
2006-01-31,25.68
2006-02-01,26.05
2006-02-02,25.78
2006-02-03,25.28
2006-02-06,25.09
2006-02-07,25.18
2006-02-08,26.37
2006-02-09,26.34
2006-02-10,25.68
2006-02-13,25.58
2006-02-14,25.5
2006-02-15,25.61
2006-02-16,25.81
2006-02-17,25.82
2006-02-21,25.64
2006-02-22,26.19
2006-02-23,26.14
2006-02-24,26.37
2006-02-27,26.6
2006-02-28,26.19
2006-03-01,26.26
2006-03-02,26.06
2006-03-03,26.34
2006-03-06,25.98
2006-03-07,26.19
2006-03-08,26.17
2006-03-09,26.19
2006-03-10,26.08
2006-03-13,25.97
2006-03-14,25.97
2006-03-15,25.95
2006-03-16,26.05
2006-03-17,26.39
2006-03-20,26.47
2006-03-21,26.31
2006-03-22,26.4
2006-03-23,26.16
2006-03-24,26.02
2006-03-27,25.81
2006-03-28,25.35
2006-03-29,25.24
2006-03-30,25.2
2006-03-31,24.92
2006-04-03,25.12
2006-04-04,25.1
2006-04-05,25.17
2006-04-06,25.09
2006-04-07,24.69
2006-04-10,24.65
2006-04-11,24.35
2006-04-12,24.42
2006-04-13,24.5
2006-04-17,24.44
2006-04-18,24.93
2006-04-19,24.82
2006-04-20,24.95
2006-04-21,24.87
2006-04-24,24.79
2006-04-25,24.72
2006-04-26,24.97
2006-04-27,24.86
2006-04-28,25.33
2006-05-01,25.12
2006-05-02,25.18
2006-05-03,25.17
2006-05-04,25.22
2006-05-05,25.41
2006-05-08,25.54
2006-05-09,25.51
2006-05-10,25.04
2006-05-11,24.81
2006-05-12,24.5
2006-05-15,24.89
2006-05-16,24.9
2006-05-17,24.27
2006-05-18,23.89
2006-05-19,23.82
2006-05-22,23.72
2006-05-23,23.99
2006-05-24,23.84
2006-05-25,23.85
2006-05-26,24.0
2006-05-30,23.58
2006-05-31,23.66
2006-06-01,23.9
2006-06-02,24.19
2006-06-05,23.94
2006-06-06,23.84
2006-06-07,23.91
2006-06-08,23.86
2006-06-09,23.53
2006-06-12,23.29
2006-06-13,23.04
2006-06-14,23.11
2006-06-15,23.53
2006-06-16,23.43
2006-06-19,23.06
2006-06-20,22.95
2006-06-21,22.69
2006-06-22,22.65
2006-06-23,22.64
2006-06-26,23.01
2006-06-27,22.8
2006-06-28,22.9
2006-06-29,23.24
2006-06-30,23.47
2006-07-03,23.58
2006-07-05,23.68
2006-07-06,23.68
2006-07-07,23.68
2006-07-10,23.87
2006-07-11,23.49
2006-07-12,23.18
2006-07-13,22.87
2006-07-14,22.42
2006-07-17,22.41
2006-07-18,22.58
2006-07-19,23.3
2006-07-20,23.71
2006-07-21,23.83
2006-07-24,24.79
2006-07-25,24.96
2006-07-26,25.11
2006-07-27,25.65
2006-07-28,26.11
2006-07-31,25.99
2006-08-01,25.99
2006-08-02,25.61
2006-08-03,25.51
2006-08-04,25.98
2006-08-07,26.05
2006-08-08,26.16
2006-08-09,26.15
2006-08-10,25.97
2006-08-11,25.82
2006-08-14,26.08
2006-08-15,26.4
2006-08-16,26.75
2006-08-17,27.0
2006-08-18,27.05
2006-08-21,26.64
2006-08-22,26.98
2006-08-23,27.14
2006-08-24,27.24
2006-08-25,27.23
2006-08-28,27.54
2006-08-29,27.6
2006-08-30,27.73
2006-08-31,27.56
2006-09-01,27.96
2006-09-05,27.84
2006-09-06,27.72
2006-09-07,27.45
2006-09-08,27.59
2006-09-11,27.88
2006-09-12,28.25
2006-09-13,28.19
2006-09-14,28.2
2006-09-15,28.04
2006-09-18,28.16
2006-09-19,28.2
2006-09-20,28.47
2006-09-21,28.21
2006-09-22,28.16
2006-09-25,28.35
2006-09-26,28.4
2006-09-27,28.41
2006-09-28,28.3
2006-09-29,28.36
2006-10-02,28.31
2006-10-03,28.41
2006-10-04,28.33
2006-10-05,27.99
2006-10-06,27.9
2006-10-09,27.65
2006-10-10,27.56
2006-10-11,27.29
2006-10-12,27.65
2006-10-13,27.59
2006-10-16,27.66
2006-10-17,27.72
2006-10-18,28.1
2006-10-19,27.68
2006-10-20,27.68
2006-10-23,27.73
2006-10-24,27.26
2006-10-25,27.43
2006-10-26,27.28
2006-10-27,27.22
2006-10-30,27.2
2006-10-31,26.65
2006-11-01,26.54
2006-11-02,26.69
2006-11-03,26.55
2006-11-06,26.99
2006-11-07,27.29
