time_captured,MCD_Open
2006-01-03,34.29
2006-01-04,33.43
2006-01-05,33.82
2006-01-06,34.23
2006-01-09,34.0
2006-01-10,34.61
2006-01-11,34.82
2006-01-12,35.25
2006-01-13,34.65
2006-01-17,34.72
2006-01-18,34.58
2006-01-19,35.3
2006-01-20,35.2
2006-01-23,35.86
2006-01-24,35.94
2006-01-25,36.0
2006-01-26,35.5
2006-01-27,34.94
2006-01-30,34.9
2006-01-31,35.04
2006-02-01,35.01
2006-02-02,35.33
2006-02-03,35.45
2006-02-06,36.0
2006-02-07,36.3
2006-02-08,36.6
2006-02-09,36.31
2006-02-10,36.27
2006-02-13,36.41
2006-02-14,36.36
2006-02-15,36.26
2006-02-16,35.99
2006-02-17,36.37
2006-02-21,35.88
2006-02-22,35.75
2006-02-23,35.75
2006-02-24,35.49
2006-02-27,35.3
2006-02-28,35.3
2006-03-01,35.0
2006-03-02,34.93
2006-03-03,34.75
2006-03-06,34.61
2006-03-07,34.55
2006-03-08,34.67
2006-03-09,34.62
2006-03-10,34.6
2006-03-13,34.53
2006-03-14,34.17
2006-03-15,34.21
2006-03-16,34.7
2006-03-17,35.24
2006-03-20,34.94
2006-03-21,34.67
2006-03-22,35.03
2006-03-23,34.81
2006-03-24,34.54
2006-03-27,34.42
2006-03-28,34.36
2006-03-29,34.2
2006-03-30,34.41
2006-03-31,34.41
2006-04-03,34.45
2006-04-04,34.88
2006-04-05,34.58
2006-04-06,34.47
2006-04-07,34.63
2006-04-10,35.0
2006-04-11,35.39
2006-04-12,35.37
2006-04-13,35.49
2006-04-17,34.78
2006-04-18,34.32
2006-04-19,34.33
2006-04-20,34.55
2006-04-21,34.88
2006-04-24,34.35
2006-04-25,34.06
2006-04-26,33.9
2006-04-27,33.85
2006-04-28,34.6
2006-05-01,34.64
2006-05-02,34.4
2006-05-03,34.48
2006-05-04,34.85
2006-05-05,34.88
2006-05-08,35.21
2006-05-09,35.7
2006-05-10,35.76
2006-05-11,35.95
2006-05-12,35.37
2006-05-15,34.88
2006-05-16,35.05
2006-05-17,34.53
2006-05-18,34.83
2006-05-19,34.65
2006-05-22,34.08
2006-05-23,34.03
2006-05-24,33.63
2006-05-25,33.14
2006-05-26,33.35
2006-05-30,32.8
2006-05-31,32.78
2006-06-01,32.97
2006-06-02,33.55
2006-06-05,33.51
2006-06-06,33.25
2006-06-07,33.5
2006-06-08,33.57
2006-06-09,33.65
2006-06-12,33.5
2006-06-13,33.0
2006-06-14,32.0
2006-06-15,32.91
