time_captured,MSFT_Low
2006-01-03,26.1
2006-01-04,26.77
2006-01-05,26.91
2006-01-06,26.49
2006-01-09,26.76
2006-01-10,26.59
2006-01-11,26.9
2006-01-12,26.97
2006-01-13,27.01
2006-01-17,26.9
2006-01-18,26.7
2006-01-19,26.85
2006-01-20,26.26
2006-01-23,26.3
2006-01-24,26.22
2006-01-25,26.23
2006-01-26,26.31
2006-01-27,27.19
2006-01-30,27.78
2006-01-31,27.87
2006-02-01,27.76
2006-02-02,27.55
2006-02-03,27.34
2006-02-06,27.09
2006-02-07,26.81
2006-02-08,26.71
2006-02-09,26.65
2006-02-10,26.51
2006-02-13,26.34
2006-02-14,26.35
2006-02-15,26.5
2006-02-16,26.57
2006-02-17,26.56
2006-02-21,26.34
2006-02-22,26.47
2006-02-23,26.54
2006-02-24,26.52
2006-02-27,26.67
2006-02-28,26.87
2006-03-01,26.95
2006-03-02,26.9
2006-03-03,26.74
2006-03-06,26.83
2006-03-07,26.81
2006-03-08,26.97
2006-03-09,27.0
2006-03-10,26.88
2006-03-13,26.94
2006-03-14,26.99
2006-03-15,27.01
2006-03-16,27.22
2006-03-17,27.27
2006-03-20,27.67
2006-03-21,27.68
2006-03-22,26.8
2006-03-23,26.66
2006-03-24,26.62
2006-03-27,27.0
2006-03-28,26.81
2006-03-29,26.92
2006-03-30,27.0
2006-03-31,27.21
2006-04-03,27.44
2006-04-04,27.47
2006-04-05,27.64
2006-04-06,27.37
2006-04-07,27.23
2006-04-10,27.2
2006-04-11,27.0
2006-04-12,26.97
2006-04-13,27.0
2006-04-17,26.73
2006-04-18,26.82
2006-04-19,26.96
2006-04-20,26.7
2006-04-21,27.0
2006-04-24,26.98
2006-04-25,27.02
2006-04-26,27.0
2006-04-27,26.94
2006-04-28,24.0
2006-05-01,24.09
2006-05-02,23.9
2006-05-03,23.15
2006-05-04,23.14
2006-05-05,23.52
2006-05-08,23.51
2006-05-09,23.49
2006-05-10,23.59
2006-05-11,23.15
2006-05-12,23.05
2006-05-15,23.03
2006-05-16,22.91
2006-05-17,22.73
2006-05-18,22.76
2006-05-19,22.52
2006-05-22,22.45
2006-05-23,22.77
2006-05-24,22.98
2006-05-25,23.54
2006-05-26,23.56
2006-05-30,23.14
2006-05-31,22.65
2006-06-01,22.62
2006-06-02,22.67
2006-06-05,22.49
2006-06-06,21.98
2006-06-07,22.01
2006-06-08,21.97
2006-06-09,21.89
2006-06-12,21.7
2006-06-13,21.46
2006-06-14,21.55
2006-06-15,21.8
2006-06-16,21.79
2006-06-19,22.12
2006-06-20,22.5
2006-06-21,22.53
2006-06-22,22.78
2006-06-23,22.5
2006-06-26,22.63
2006-06-27,22.84
2006-06-28,22.91
2006-06-29,23.22
2006-06-30,23.3
2006-07-03,23.45
2006-07-05,23.3
2006-07-06,23.42
2006-07-07,23.3
2006-07-10,23.38
2006-07-11,22.74
2006-07-12,22.62
2006-07-13,22.25
2006-07-14,22.23
2006-07-17,22.26
2006-07-18,22.48
2006-07-19,22.72
2006-07-20,22.78
2006-07-21,23.0
2006-07-24,23.79
2006-07-25,23.9
2006-07-26,24.1
2006-07-27,23.77
2006-07-28,24.06
2006-07-31,24.01
2006-08-01,23.85
2006-08-02,24.03
2006-08-03,24.15
2006-08-04,24.15
2006-08-07,24.19
2006-08-08,24.2
2006-08-09,24.34
2006-08-10,24.34
2006-08-11,24.2
2006-08-14,24.35
2006-08-15,24.44
2006-08-16,24.47
2006-08-17,24.61
2006-08-18,24.98
2006-08-21,25.56
2006-08-22,25.62
2006-08-23,25.52
2006-08-24,25.5
2006-08-25,25.69
2006-08-28,25.69
2006-08-29,25.63
2006-08-30,25.64
2006-08-31,25.68
2006-09-01,25.64
2006-09-05,25.56
2006-09-06,25.51
2006-09-07,25.39
2006-09-08,25.46
2006-09-11,25.42
2006-09-12,25.72
2006-09-13,25.49
2006-09-14,25.98
2006-09-15,26.49
2006-09-18,26.67
2006-09-19,26.72
2006-09-20,26.99
2006-09-21,26.85
2006-09-22,26.48
2006-09-25,26.79
2006-09-26,26.88
2006-09-27,27.12
2006-09-28,27.26
2006-09-29,27.21
2006-10-02,27.15
2006-10-03,27.21
2006-10-04,27.37
2006-10-05,27.78
2006-10-06,27.65
2006-10-09,27.62
2006-10-10,27.44
2006-10-11,27.42
2006-10-12,27.54
2006-10-13,28.31
2006-10-16,28.33
2006-10-17,28.17
2006-10-18,28.26
