time_captured,AXP_Open
2006-01-03,51.7
2006-01-04,52.44
2006-01-05,51.9
2006-01-06,52.64
2006-01-09,52.82
2006-01-10,53.58
2006-01-11,53.7
2006-01-12,53.58
2006-01-13,53.7
2006-01-17,53.08
2006-01-18,52.65
2006-01-19,53.06
2006-01-20,52.59
2006-01-23,51.5
2006-01-24,51.9
2006-01-25,52.5
2006-01-26,53.15
2006-01-27,53.22
2006-01-30,53.15
2006-01-31,52.51
2006-02-01,52.45
2006-02-02,52.6
2006-02-03,52.57
2006-02-06,52.22
2006-02-07,52.1
2006-02-08,51.97
2006-02-09,52.95
2006-02-10,53.14
2006-02-13,53.0
2006-02-14,53.3
2006-02-15,53.68
2006-02-16,54.05
2006-02-17,54.48
2006-02-21,54.5
2006-02-22,53.97
2006-02-23,54.28
2006-02-24,54.59
2006-02-27,54.87
2006-02-28,54.3
2006-03-01,53.95
2006-03-02,54.11
2006-03-03,53.6
2006-03-06,53.73
2006-03-07,53.55
2006-03-08,53.59
2006-03-09,53.81
2006-03-10,53.25
2006-03-13,54.45
2006-03-14,53.77
2006-03-15,53.96
2006-03-16,54.0
2006-03-17,54.41
2006-03-20,55.0
2006-03-21,53.96
2006-03-22,52.09
2006-03-23,53.55
2006-03-24,53.1
2006-03-27,53.18
2006-03-28,53.4
2006-03-29,52.85
2006-03-30,52.4
2006-03-31,51.76
2006-04-03,52.81
2006-04-04,52.42
2006-04-05,53.45
2006-04-06,52.8
2006-04-07,52.44
2006-04-10,51.68
2006-04-11,51.77
2006-04-12,51.25
2006-04-13,51.2
2006-04-17,51.09
2006-04-18,51.1
2006-04-19,52.3
2006-04-20,51.88
2006-04-21,52.73
2006-04-24,52.2
2006-04-25,51.77
2006-04-26,51.5
2006-04-27,52.0
2006-04-28,53.63
2006-05-01,53.88
2006-05-02,52.9
2006-05-03,52.45
2006-05-04,52.25
2006-05-05,53.0
2006-05-08,53.65
2006-05-09,53.6
2006-05-10,53.42
2006-05-11,53.57
2006-05-12,52.6
2006-05-15,52.7
2006-05-16,53.2
2006-05-17,52.6
2006-05-18,52.07
2006-05-19,52.01
2006-05-22,51.88
2006-05-23,52.3
2006-05-24,52.33
2006-05-25,53.42
2006-05-26,54.22
2006-05-30,54.41
2006-05-31,54.0
2006-06-01,54.5
2006-06-02,54.78
2006-06-05,54.55
2006-06-06,53.83
2006-06-07,53.4
2006-06-08,53.25
2006-06-09,53.4
2006-06-12,53.49
2006-06-13,52.84
2006-06-14,52.18
2006-06-15,53.0
2006-06-16,53.57
2006-06-19,52.91
2006-06-20,52.38
2006-06-21,52.73
2006-06-22,52.78
2006-06-23,52.5
2006-06-26,52.63
